"Action","actie"
"Invalid subscription ID.","Ongeldig abonnement-ID."
"Message","bericht"
"Need to Confirm","Moet bevestigen"
"New Newsletter Template","Nieuwe nieuwsbrief sjabloon"
"Newsletter","Nieuwsbrief"
"Newsletter Message Preview","Preview nieuwsbriefbericht"
"Newsletter Problem Reports","Nieuwsbrief probleemrapporten"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Newsletter Styles","Nieuwsbrief stijlen"
"Newsletter subscribe","Nieuwsbrief abonneren"
"Newsletter Subscribers","Nieuwsbrief abonnees"
"Newsletter Subscription","Abonnement op nieuwsbrief"
"Newsletter subscription confirmation","Bevestiging nieuwsbrief"
"Newsletter Subscription Form","Nieuwsbrief aanmeldformulier"
"Newsletter Subscription Form Before","Nieuwsbrief aanmeldformulier voor"
"Newsletter subscription success","Nieuwsbrief inschrijving gelukt"
"Newsletter Templates","Nieuwsbrief sjablonen"
"Newsletter unsubscribe","Uitschrijven nieuwsbrief"
"Newsletter unsubscription success","Nieuwsbrief uitschrijven gelukt"
"Newsletter Variables","Nieuwsbrief variabelen"
"New Template","Nieuwe sjabloon"
"No problems found.","Geen problemen gevonden."
"No subscribers selected.","Geen abonnees geselecteerd."
"Not Activated","Niet geactiveerd"
"No Templates Found","Geen sjablonen gevonden"
"Not Sent","Niet verzonden"
"Pause","Onderbreken"
"Paused","Gepauzeerd"
"Per email address. Default 3 per hour. 0 to disable.","Standaard 3 per uur. 0 om uit te schakelen."
"Per IP address (lenient, legitimate users). Default 30 per hour. 0 to disable.","Standaard 30 per uur om uit te schakelen per IP adres (soepele, legitieme gebruikers)."
"Please enter a valid email address.","Vul alstublieft een geldig e-mailadres in."
"Please refer to exeption.log","Raadpleeg de exeption.log"
"Please select subscriber(s)","Selecteer abonnee a.u.b."
"Preview","Voorvertoning"
"Preview Template","Sjabloon vooraf bekijken"
"Processed","Verwerkt"
"Queue Date Start","Wachtrij startdatum"
"Queue Finish","Wachtrij Voltooien"
"Queue Information","Wachtrij informatie"
"Queue Newsletter...","Nieuwsbrief wachtrij"
"Queue Start","Wachtrij start"
"Queue Subject","Wachtrij onderwerp"
"Recipients","Ontvangers"
"Reset","Reset"
"Resume","Hervatten"
"Return HTML Version","Geef HTML-versie terug"
"Save and Resume","Opslaan en hervatten"
"Save As","Opslaan als"
"Save Newsletter","Nieuwsbrief opslaan"
"Save Template","Sjabloon opslaan"
"Segment Name","Segment Naam"
"Selected problems have been deleted.","Geselecteerde problemen zijn verwijderd."
"Selected problem subscribers have been unsubscribed.","Geselecteerde abonnees zijn uitgeschreven."
"Sender","Afzender"
"Sender Email","E-mailadres afzender"
"Sender Name","Naam afzender"
"Sender name is required","Afzendernaam is vereist"
"Sending","Verzenden"
"Sent","Verzonden"
"Sequence Step Number","Stappnummer gelijk"
"Sign up for our newsletter","Meld u aan voor onze nieuwsbrief"
"Sign Up for Our Newsletter:","Meld u aan voor onze nieuwsbrief:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Inschrijving is alleen voor beheerder geweigerd voor gasten. <a href=""%s"">Registreer</a>."
"Start","Beginnen"
"Status","status"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Subject","Onderwerp"
"Submit","Bevestigen"
"Subscribe","Abonneren"
"Subscribed","Ingeschreven"
"Subscriber","Ontvangers"
"Subscriber Email","E-mailadres ontvanger"
"Subscribers","Ontvangers"
"Subscribers From","Abonnees van"
"Subscription Options","Abonnement opties"
"Success Email Sender","Afzender Succes E-mail"
"Success Email Template","E-mailsjabloon voor succes"
"Template code is required","Sjabloon code is vereist"
"Template Content","Sjabloon inhoud"
"Template Information","Sjabloon Informatie"
"Template Name","Template naam"
"Template Styles","Template Styles"
"Template Subject","Sjabloon onderwerp"
"Template Type","Sjabloon Type"
"Template type must be numeric","Sjabloontype moet numeriek zijn"
"Thank you for your subscription.","Bedankt voor uw inschrijving."
"The newsletter template has been deleted.","Het nieuwsbriefsjabloon werd verwijderd."
"There was a problem with the subscription.","Er is een probleem met uw inschrijving."
"There was a problem with the subscription: %s","Er is een probleem met de inschrijving: %s"
"There was a problem with the un-subscription.","Er is een probleem met uitschrijven."
"The subscription has been removed.","Het abonnement is verwijderd."
"The subscription has been saved.","Het abonnement is opgeslagen."
"This email address is already assigned to another user.","Dit e-mailadres is al toegewezen aan een andere gebruiker."
"This email address is already confirmed.","Dit e-mailadres is al bevestigd."
"This email address is already registered.","Dit e-mailadres is al geregistreerd."
"Type","Type"
"Unconfirmed","Onbevestigd"
"Unsubscribe","Afmelden"
"Unsubscribed","Uitgeschreven"
"Unsubscribe Link","Link opzeggen"
"Unsubscribe Selected","Geselecteerde uitschrijven"
"Unsubscription Email Sender","Afzender Uitschrijving E-mail"
"Unsubscription Email Template","Template e-mail uitschrijving"
"View Newsletter","Nieuwsbrief bekijken"
"Website","website"
"You are currently subscribed to our newsletter.","U bent momenteel geabonneerd op onze nieuwsbrief."
"You have been unsubscribed.","U bent uitgeschreven."
"Your subscription has been confirmed.","Uw abonnement is bevestigd."
