"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s of %s"
"%s and above","%s and above"
"%s Item(s)","%s Item(s)"
"An error occurred while saving the product. ","An error occurred while saving the product. "
"An error occurred while saving the search query.","An error occurred while saving the search query."
"An error occurred while saving the URL rewrite","An error occurred while saving the URL rewrite"
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while updating the product(s) attributes.","An error occurred while updating the product(s) attributes."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","An invalid store was specified."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply","Toepassen"
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply price filter","Apply price filter"
"Apply To","Pas Toe Op"
"Approved","Akkoord"
"A product type is not defined for the indexer.","Een producttype is niet opgegeven"
"Are you sure?","Weet u het zeker?"
"Are you sure you want to delete this category?","Weet u zeker dat u deze categorie wilt verwijderen?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Are you sure you would like to remove this item from the compare products?"
"Assign","Toewijzen"
"Assigned Products","Assigned Products"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Associated Products","Gerelateerde producten"
"Attrib. Set Name","Attrib. Set Name"
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute add","Attribute add"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code."
"Attribute Information","Attribuutinformatie"
"Attribute Name:","Attribute Name:"
"Attribute remove","Attribute remove"
"Attributes","Attributen"
"Attribute Set","Attributenset"
"Attribute Sets","Attribuut-sets"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Autogenerate"
"Availability:","Beschikbaarheid:"
"Back","Terug"
"Background Color","Background Color"
"Backorders","Nabestellingen"
"Based On","Gebaseerd Op"
"Base Image Width","Base Image Width"
"Before Order Confirmation","Voorafgaand aan orderbevestiging"
"Best Value","Best Value"
"Block after Info Column","Blok na info-kolom"
"Bottom/Left","Onder/links"
"Bottom/Right","Onder/rechts"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bundle Items","Bundel-artikelen"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Cache Lifetime (Seconds)","Cache Lifetime (in seconden)"
"Cache refresh needed.","Cache refresh needed."
"Can't create image.","Can't create image."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Can be used only with catalog input type Dropdown","Can be used only with catalog input type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Cancel","Annuleren"
"Cannot create image.","Cannot create image."
"Cannot create writeable directory '%s'.","Cannot create writeable directory '%s'."
"Cart Item Attribute","Attribuut winkelwagen-artikel"
"Catalog","Catalogus"
"Catalog, Search","Catalogus, zoeken"
"Catalog Category (Anchor)","Catalog Category (Anchor)"
"Catalog Category (Non-Anchor)","Catalog Category (Non-Anchor)"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Catalog Category Link","Catalogus Categorie Link"
"Catalog New Products List","Catalogus Nieuwe Producten Lijst"
"Catalog Price Scope","Scope catalogusprijs"
"Catalog Product Compare List","Catalog Product Compare List"
"Catalog product custom options API","Catalog product custom options API"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Catalogus Producten Link"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Product View (Configurable)","Catalog Product View (Configurable)"
"Catalog Product View (Grouped)","Catalog Product View (Grouped)"
"Catalog Product View (Simple)","Catalog Product View (Simple)"
"Catalog Product View (Virtual)","Catalog Product View (Virtual)"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Catalog URL Rewrites"
"Categories","Categorieën"
"categories","categories"
"Categories Sitemap","Categories Sitemap"
"Category","Categorie"
"Category API","Category API"
"Category attributes API","Category attributes API"
"Category Data","Category Data"
"Category delete error: %s","Category delete error: %d"
"Category Flat Data","Categorieën Flat Data"
"Category is not dynamic.","Category is not dynamic."
"Category Link Block Template","Categorieën-link block-sjabloon"
"Category Link Inline Template","Categorieën-link inline-sjabloon"
"Category move error: %s","Category move error: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Category not found.","Category not found."
"Category Products","Categorie producten"
"Category save error: %s","Category save error: %s"
"Category Top Navigation","Categorie topnavigatie"
"Category URL Suffix","Categorie URL achtervoegsel"
"Category was not found.","Category was not found."
"Center","Centreer"
"Change","Verander"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Verander status"
"Check items to add to the cart or","Selecteer items om ze aan het mandje toe te voegen of"
"Choose an Option...","Kies een optie..."
"Clear All","Alles wissen"
"Clear Price","Prijs verwijderen"
"Click for price","Klik voor de prijs"
"Close Window","sluit venster"
"Collapse All","Alles inklappen"
"Comma-separated.","gescheiden door een komma"
"Comparable","Vergelijkbaar"
"Comparable on Front-end","Comparable on Front-end"
"Comparable on the Frontend","Comparable on the Frontend"
"Compare","Vergelijken"
"Compare Products","Producten vergelijken"
"Conditions","Voorwaarden"
"Conditions Combination","Voorwaardencombinatie"
"Configurable Product","Configurable Product"
"Configurable Product Settings","Configurable Product Settings"
"Continue","Doorgaan"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable."
"Copy From Configurable","Copy From Configurable"
"Country/State","Land/Provincie"
"Create","Creëren"
"Create (Upload)","Create (Upload)"
"Create attribute set based on another set","Create attribute set based on another set"
"Create Empty","Create Empty"
"Create new attribute","Create new attribute"
"Create new category","Create new category"
"Create new product","Create new product"
"Create Permanent Redirect for old URL","Maak een permanente doorverwijzing voor de oude URL"
"Create Permanent Redirect for URLs if URL Key Changed","Maak een permanente URL-verwijzing aan voor URLs als de URL-key veranderd"
"Create Product Settings","Create Product Settings"
"Create Simple Associated Product","Create Simple Associated Product"
"Cross-sells","Kruis-verkopen"
"Custom Design","Eigen design"
"Customer Group","Klantengroep"
"Customers Reviews","Klanten-reviews"
"Customers Tagged Product","Customers Tagged Product"
"Custom Options","Eigen opties"
"Custom options","Custom options"
"Data Type for Saving in Database","Datatype voor opslaan in database"
"Date & Time Custom Options","Datum & Tijd klantopties"
"Date Subscribed","Date Subscribed"
"Datetime","Datum / tijd"
"Decimal","Decimaal"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default ""What's This"" Text Message","Standaard ""Wat is dit?"" bericht"
"Default Popup Text Message","Standaard popup bericht"
"Default Price","Standaard-prijs"
"Default Price Navigation Step","Stappen (10/20/30/ etc...)"
"Default Qty","Standaard-aantal"
"Default Values","standaardwaarden"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Verwijderen"
"Delete Attribute","Verwijder attribuut"
"Delete attribute","Delete attribute"
"Delete Attribute Set","Delete Attribute Set"
"Delete Category","Delete Category"
"Delete category","Delete category"
"Delete File","Bestand verwijderen"
"Delete Group Price","Delete Group Price"
"Delete product","Delete product"
"Delete Row","Rij verwijderen"
"Delete Search","Zoekactie verwijderen"
"Delete Tier","Verwijder staffel"
"Depends on design theme","Depends on design theme"
"Description","Omschrijving"
"Design","Ontwerp"
"Details","Gegevens"
"Disabled","Uitgeschakeld"
"Disallowed file format.","Disallowed file format."
"Disallowed file type.","Bestandstype niet toegestaan."
"Display Actual Price","Toon werkelijke prijs"
"Display in Suggested Terms","Voorgestelde termen weergeven"
"Display Page Control","Toon paginering"
"Display Price Interval as One Price","Toon prijs-stap als één prijs"
"Display Product Count","Toon aantal producten"
"Display Type","Weergave modus"
"Downloadable Information","Downloadbare informatie"
"Do you want to duplicate the product images as well?","Do you want to duplicate the product images as well?"
"Do you want to duplicate the product images as well?","Do you want to duplicate the product images as well?"
"Duplicate","Dupliceren"
"Duplicate Product","Duplicate Product"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Dynamic category processed successfully.","Dynamic category processed successfully."
"Dynamic Category Rules","Dynamic Category Rules"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"each","each"
"Edit","Bewerken"
"Edit Attribute Set '%s'","Edit Attribute Set '%s'"
"Edit Product Attribute","Productattribuut wijzigen"
"Edit Product Attribute ""%s""","Edit Product Attribute ""%s"""
"Edit Search","Zoekactie wijzigen"
"Edit Search '%s'","Edit Search '%s'"
"Edit Set Name","Edit Set Name"
"Email","E-mail"
"Empty","Leeg"
"Enable Add to cart Button in product listings","Enable Add to cart Button in product listings"
"Enabled","Ingeschakeld"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"Enable MAP","MAP (minimaal geadverteerde prijs) inschakelen"
"Enable Qty Increments","Activeer opklimmende aantallen"
"Enable WYSIWYG","Enable WYSIWYG"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Error loading children: %s","Error loading children: %s"
"ex. http://domain.com","bijv. http://domein.nl"
"Exclude","Sluit uit"
"Expand All","Alles uitklappen"
"Failed","Mislukt"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Failed to move file: %s"
"Field is not complete","Field is not complete"
"File","Bestand"
"File options format is not valid.","File options format is not valid."
"File upload failed","File upload failed"
"File upload failed. Please contact the store administrator.","File upload failed. Please contact the store administrator."
"File upload failed with error code: %s","File upload failed with error code: %s"
"Filter","Filteren"
"Filterable (no results)","Filterbaar (geen resultaten)"
"Filterable (with results)","Filterbaar (met resultaten)"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filters","Filters"
"First Name","Voornaam"
"Fixed","Vast"
"For internal use.","For internal use."
"For the last time placed.","Voor de laatste keer geplaatst."
"From","Van"
"Frontend","Frontend"
"Frontend Properties","Frontend Properties"
"Gallery","Gallerij"
"General Information","Algemene informatie"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Get special price"
"Global","Systeem"
"Globally Editable","Systeembreed bewerkbaar"
"Go to Home Page","Ga naar homepagina"
"Grid","Foto-tabel"
"Group add","Group add"
"Grouped Product","Grouped Product"
"Group remove","Group remove"
"Groups","Groepen"
"Home","Home"
"HTML tags are not allowed in SKU attribute.","HTML tags are not allowed in SKU attribute."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","If empty, the Category Name will be used"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Beeld"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","Image does not exist."
"Image type and information need to be specified for each store view.","Image type and information need to be specified for each store view."
"In Cart","In winkelwagen"
"Incl. Tax","Incl. BTW"
"Indexed category/products association","Categorieën/product-koppeling"
"Index product and categories URL rewrites","Index product and categories URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Productprijzen"
"Info","Info"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Invoertype"
"In Stock","Op voorraad"
"In stock","Op voorraad"
"Integer","Integer"
"Internal Error","Internal Error"
"Interval Division Limit","Interval deellimiet"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s.","Invalid block: %s."
"Invalid category.","Invalid category."
"Invalid category IDs.","Invalid category IDs."
"Invalid custom option(s).","Invalid custom option(s)."
"Invalid image file type.","Invalid image file type."
"Invalid image type.","Invalid image type."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product collection resource.","Invalid product collection resource."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Invalid store specified"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Assortimentsbeheer"
"Is Default","Is standaard"
"Is Required","Is Vereist"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Keep Frame","Keep Frame"
"Label","label"
"Last Name","Achternaam"
"Last Notification","Last Notification"
"Layered Navigation","Gelaagde navigatie"
"Learn More","Lees verder"
"leave blank if its not an image","leave blank if its not an image"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Link product does not exist."
"Link to a Specified Category","Link naar een Gespecificeerde Categorie."
"Link to a Specified Product","Link naar een Gespecificeerd Product"
"List","Lijst"
"List Mode","Lijstweergave"
"List of Products that are set as New","Producten Lijst met nieuwe producten"
"List of types","List of types"
"Manage Attributes","Manage Attributes"
"Manage Attribute Sets","Beheer attributensets"
"Manage Catalog Categories","Beheer catalogus-categorieën"
"Manage Categories","Beheer categorieën"
"Manage Label / Options","Beheer Label/Opties"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Manage Product Attributes","Beheer productattributen"
"Manage Products","Manage Products"
"Manage Product Sets","Beheer productensets"
"Manage Stock","Voorraad beheren"
"Manage Titles (Size, Color, etc.)","Beheer titels (grootte, kleur, etc)"
"Max Characters","Max tekens"
"Maximal Depth","Maximale Diepte"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum file size","Maximale bestandsgrootte"
"Maximum image height","Maximum hoogte afbeelding"
"Maximum Image Size","Maximum grootte afbeelding"
"Maximum image width","Maximum breedte afbeelding"
"Maximum number of characters:","Maximale aantal karakters:"
"Maximum Number of Price Intervals","Maximaal aantal prijsintervallen"
"Maximum number of price intervals is 100","Maximaal aantal prijsintervallen is 100"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Maximum resolution for upload image","Maximum resolution for upload image"
"Maximum width and height dimension for upload image is %s.","Maximum width and height dimension for upload image is %s."
"Maximum width and height resolutions for upload image","Maximum width and height resolutions for upload image"
"Maximum width base product image will be scaled down to in pixels","Maximum width base product image will be scaled down to in pixels"
"Maximum width small product image will be scaled down to in pixels","Maximum width small product image will be scaled down to in pixels"
"Media Image","Media-afbeelding"
"Middle Name","Middle Name"
"Minimum Advertised Price","Minimum geadverteerde verkoopprijs"
"Minimum Lines per Page","Minimum Lines per Page"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty for Item's Status to be Out of Stock"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"Move","Verplaats"
"Move category in tree","Move category in tree"
"Multi update product","Multi update product"
"Must be in the allowed values list.","Must be in the allowed values list."
"My Account","Mijn account"
"N/A","n.v.t."
"Name","Naam"
"Name in %s","Name in %s"
"New Product","Nieuw product"
"New Product Attribute","Nieuw product-attribuut"
"New Products","Nieuwe producten"
"New products","Nieuwe producten"
"New Products Grid Template","Nieuwe producten tabel-sjabloon"
"New Products List Template","Nieuwe producten lijst-sjabloon"
"New Root Category","New Root Category"
"New Search","Nieuwe zoekactie"
"New Subcategory","New Subcategory"
"Next","Volgende"
"No","Nee"
"No, without images","No, without images"
"No image","Geen afbeelding"
"No layout updates","Geen lay-out-updates"
"None","Geen"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"No product collections found.","No product collections found."
"Notify for Quantity Below","Melden bij Aantal lager dan"
"Notify Low Stock RSS","RSS voor melding weinig voorraad"
"Not Visible Individually","Niet individueel zichtbaar"
"Number of Products per Page","Aantal producten per pagina"
"Number of Products to Display","Aantal producten op de display"
"Number of results","Aantal resultaten"
"Number of results (For the last time placed)","Aantal resultaten (voor de laatste keer geplaatst)"
"Number of Uses","Aantal keer gebruikt"
"On Gesture","Op gebaar"
"Option:","Option:"
"Options","Opties"
"Options Control","Options Control"
"Options is required","Options is required"
"Option validation failed to add product to cart.","Option validation failed to add product to cart."
"Option values","Option values"
"Out of Stock","Niet op voorraad"
"Out of stock","Niet op voorraad"
"Pad resized images to exact dimensions with background color","Pad resized images to exact dimensions with background color"
"Page Title Separator","Scheidingsteken paginatitel"
"Parent category is equal to child category.","Parent category is equal to child category."
"Parent category was not found.","Parent category was not found."
"Parent Products","Parent Products"
"Pending","In afwachting"
"Pending Reviews RSS","RSS van wachtende reviews"
"Percentage","Percentage"
"per page","per pagina"
"Please add rows to option.","Voeg rijen toe aan optie."
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a file for the required option ""%s"".","Please select a file for the required option ""%s""."
"Please select a parent category before adding a new one.","Please select a parent category before adding a new one."
"Please select a static block ...","Please select a static block ..."
"Please select items.","Selecteer producten."
"Please select one or more attributes.","Please select one or more attributes."
"Please select product(s).","Please select product(s)."
"Please select products for attributes update","Please select products for attributes update"
"Please specify date required option <em>%s</em>.","Please specify date required option <em>%s</em>."
"Please specify the number of products, that will not be divided into subintervals.","Geef het aantal producten op, welke niet in deelintervallen verdeeld zullen worden."
"Please specify the product's option(s).","Please specify the product's option(s)."
"Please specify the product's required option(s).","Please specify the product's required option(s)."
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product required option <em>%s</em>.","Please specify the product required option <em>%s</em>."
"Please specify the quantity of product(s).","Specificeer het aantal producten a.u.b."
"Please specify time required option <em>%s</em>.","Please specify time required option <em>%s</em>."
"Please wait...","Even geduld..."
"Position","Positie"
"Position in Layered Navigation","Positie in gelaagde navigatie"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Prev","Vorige"
"Previous","Vorige"
"Price","Prijs"
"Price:","Prijs:"
"Price: %s","Price: %s"
"Price Navigation Step Calculation","Prijsweergave (stappen)"
"Price Type","Prijstype"
"Price values for options should be specified in system base currency.","Price values for options should be specified in system base currency."
"Product","Product"
"Product Alerts","Product-notificaties"
"Product API","Product API"
"Product Attribute","Product-attribuut"
"Product Attributes","Productkenmerken"
"Product attributes API","Product attributes API"
"Product attribute sets API","Product attribute sets API"
"Product Categories","Productcategorieën"
"Product collection expected.","Product collection expected."
"Product Extra Info","Product Extra Info"
"Product Flat Data","Product platte data"
"Product ID","Product ID"
"Product Image","Product Image"
"Product Image Placeholders","Placeholder voor productafbeelding"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product Image Watermarks","Watermerken voor productafbeelding"
"Product Info Column","Kolom productgegevens"
"Product Information","Product Information"
"Product In Websites","Product in websites"
"Product is not loaded","Product is niet geladen"
"Product Link Block Template","Product-link block-sjabloon"
"Product Link Inline Template","Product-link inline-sjabloon"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product Listing Sort by","Productlijst sorteren op"
"Product Name","Product naam"
"Product Prices","Product Prices"
"Product Reviews","Productreviews"
"Products","Producten"
"products","producten"
"Products Comparison List","Product vergelijk-lijst"
"Products Information","Gegevens producten"
"Products only","Alleen producten"
"Products per Page on Grid Allowed Values","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on Grid Default Value","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on List Allowed Values","Toegestane waarden voor producten per pagina in lijstweergave"
"Products per Page on List Default Value","Standaardwaarde voor producten per pagina in lijstweergave"
"Products Reviews","Reviews"
"Products Sitemap","Products Sitemap"
"Product Tags","Product Tags"
"Product Tier Price API","Product Tier Price API"
"Product Type","Product Type"
"Product types API","Product types API"
"Product URL Suffix","Product URL achtervoegsel"
"Product View Extra Hint","Product View Extra Hint"
"Product with this combination of attributes already associated to configurable.","Product with this combination of attributes already associated to configurable."
"Properties","Kenmerken"
"px.","px."
"Qty","Aantal"
"Qty:","Aantal:"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Qty Increments","Opklimmend aantal"
"Qty Uses Decimals","Hoeveelheid gebruikt decimalen"
"Quantity","Aantal"
"Quick Create","Quick Create"
"Quick simple product creation","Quick simple product creation"
"Records for ""%s"" store found.","Records for ""%s"" store found."
"Redirect","Redirect"
"Redirect URL","Doorverwijs URL"
"Regular Price:","Regular Price:"
"Related Products","Gerelateerde producten"
"Remove","Verwijder"
"Remove attribute from attribute set","Remove attribute from attribute set"
"Remove attribute set","Remove attribute set"
"Remove custom option","Remove custom option"
"Remove filter: %s","Remove filter: %s"
"Remove group from attribute set","Remove group from attribute set"
"Remove option","Remove option"
"Remove product assignment","Remove product assignment"
"Remove Product From Websites","Product van websites verwijderen"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Remove value from custom option","Remove value from custom option"
"Rename existing group","Rename existing group"
"Rename group","Rename group"
"Reorganize EAV category structure to flat structure","EAV categoriestructuur naar platte structuur omschrijving"
"Reorganize EAV product structure to flat structure","EAV productstructur naar platte structuur omschrijven"
"Reset","Herstel"
"Results","Resultaten"
"Results per page","Results per page"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Reviews","Reviews"
"Roll Over for preview","Roll Over for preview"
"Root","Hoofd (root)"
"Save","Opslaan"
"save","bespaar"
"Save and Continue Edit","Toepassen"
