"-- Please Select --","-- Selecteer --"
"Account Created In Store","Account aangemaakt in winkel"
"Sales rule is not active.","Verkoopregel is niet actief."
"Sales rule is required when coupon generation is enabled.","Verkoopregel is vereist wanneer het genereren van kortingscodes is ingeschakeld."
"Sales rule must be configured for specific coupon codes.","Verkoopregel moet worden geconfigureerd voor specifieke kortingscodes."
"Sales rule must have auto-generation enabled.","Verkoopregel moet auto-generatie ingeschakeld hebben."
"Sales rule to base coupon on","Verkoopregel om coupon te baseren op"
"Sales rule to use as template for generated coupons","Verkoopregel om te gebruiken als sjabloon voor gegenereerde coupons"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Save Email Sequences","E-mailreeksen opslaan"
"Save Segment","Groep opslaan"
"Save Segments","Groepen opslaan"
"Scheduled","Gepland"
"Segment ID is required.","Segment-ID is vereist."
"Segment Information","Segment Informatie"
"Segment Name","Segment Naam"
"Segment name is required.","Segmentnaam is vereist."
"Segment Refresh Cron Schedule","Segment vernieuwen Cron Schedule"
"Selected sales rule is not active.","Geselecteerde verkoopregel is niet actief."
"Selected sales rule must be configured for ""Specific Coupon"" type.","Geselecteerde verkoopregel moet worden geconfigureerd voor ""Specifieke Coupon"" type."
"Selected sales rule must have ""Use Auto Generation"" enabled.","Geselecteerde verkoopregel moet ""Gebruik automatische generatie"" hebben ingeschakeld."
"Sent","Verzonden"
"Sequence ID is required.","Sequence ID is vereist."
"Sequence not found.","Sequence niet gevonden."
"Sequence step %d: %s","Sequence step %d: %s"
"Sequence Step Settings","Stapinstellingen voor volgorde"
"Shopping Cart","Winkelwagen"
"Shopping Cart Information","Informatie over winkelwagen"
"Simple Product","Eenvoudig product"
"Skipped","Overgeslagen"
"Statistics","Statistieken"
"Status Change Date","Statuswijziging datum"
"Step","Stap"
"Step Number","Stap Nr"
"Step number %d already exists for this segment %s trigger.","Stap nummer %d bestaat al voor de trigger van dit segment %s."
"Step number must be greater than 0.","Stap nummer moet groter zijn dan 0."
"Subject","Onderwerp"
"Subscription Status","Inschrijving Status"
"Template ID is required.","SjabloonID is vereist."
"The email sequence has been deleted.","De e-mailreeks is verwijderd."
"The email sequence has been saved.","De e-mailreeks is opgeslagen."
"The segment has been deleted.","Het segment is verwijderd."
"The segment has been refreshed.","Het segment is vernieuwd."
"The segment has been saved.","Het segment is opgeslagen."
"This segment no longer exists.","Dit segment bestaat niet meer."
"This sequence no longer exists.","Deze volgorde bestaat niet meer."
"Total of %d record(s) were deleted.","Totaal van %d record(s) werden verwijderd."
"Total of %d record(s) were updated.","Totaal van %d record(s) zijn bijgewerkt."
"Total Ordered Amount","Totaal bestelbedrag"
"Trigger event must be either ""enter"" or ""exit"".","Trigger event moet zijn of ""enter"" of ""exit""."
"Unable to find a segment to refresh.","Kan segment niet vinden om te vernieuwen."
"Unknown Segment","Onbekend segment"
"View","Bekijken"
"View Count","Aantal keer bekeken"
"View Customers in Segment","Bekijk klanten in segment"
"Viewed","Bekeken"
"Viewed Products","Bekeken producten"
"Virtual Product","Virtueel product"
"When customer enters segment","Wanneer klant het segment betreedt"
"When customer exits segment","Wanneer klanten het segment verlaten"
"Wishlist","Verlanglijst"
"Wishlist Items Count","Aantal producten op verlanglijst"
"Wishlist Shared","Verlanglijst gedeeld"
