"""Remember Me"" Cookie Lifetime","""Onthoud mij"" Cookie Levensduur"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, WEBP, AVIF, SVG. Not all browsers support all these formats!","Toegestane bestandstypen: ICO, PNG, GIF, JPG, JPEG, APNG, WEBP, AVIF, SVG. Niet alle browsers ondersteunen al deze formaten!"
"Allowed IPs (comma separated)","Toegestane IP's (komma gescheiden)"
"Allowed Shipping Countries","Toegestane verzendlanden"
"Allow Maho Backend to run in frame","Maho Backend toestaan om te draaien in frame"
"Allow Maho Frontend to run in frame","Maho Frontend toestaan om uit te voeren in frame"
"Allows customers to stay logged in when switching between different stores.","Stelt klanten in staat om ingelogd te blijven bij het wisselen tussen verschillende winkels."
"Allow Symlinks","Symlinks toestaan"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternatieve tekst voor volgende link in pagineringsmenu. Indien leeg, wordt de standaard pijl afbeelding gebruikt."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternatieve tekst voor vorige link in pagineringsmenu. Indien leeg, wordt de standaard pijl afbeelding gebruikt."
"Anchor symbol (#) is not supported in request path","Ankersymbool (#) wordt niet ondersteund in het opgevraagde pad"
"Anchor symbol (#) is not supported in url rewrite suffix","Ankersymbool (#) wordt niet ondersteund in achtervoegsel van url rewrite"
"Anchor Text for Next","Ankertekst voor volgende"
"Anchor Text for Previous","Tekst voor Vorige"
"An error occured.","Er is een fout opgetreden."
"An error occurred while saving. Please review the error log.","Er is een fout opgetreden tijdens het opslaan. Bekijk het foutenlogboek."
"Are you sure?","Weet je het zeker?"
"Are you sure you want to delete the selected email log entries?","Weet u zeker dat u de geselecteerde invoergegevens in het e-maillogboek wilt verwijderen?"
"Auto-redirect to Base URL","Auto-doorverwijzing naar de basis-URL"
"Back","Achterzijde"
"Backup Options","Back-up opties"
"Base JavaScript URL","Basis JavaScript URL"
"Base Link URL","Basis link URL"
"Base Media URL","Basis media-URL"
"Base Secure URL","Veilige basis-URL"
"Base Skin URL","Basis Skin URL"
"Base Unsecure URL","Onveilige basis-URL"
"Base URL","Basis URL"
"Bcc","Bcc"
"Before modifying the store view code please make sure that it is not used in index.php.","Controleer voordat u de winkelaanzichtcode aanpast of het niet gebruikt wordt in index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Controleer voordat u de website code aanpast, of het niet gebruikt wordt in index.php."
"Cache Storage Management","Cache Opslagbeheer"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cache opslag kan extra gegevens bevatten. Weet u zeker dat u deze wilt legen?"
"Can't retrieve entity config: %s","Kan entiteit config: %s niet ophalen"
"Can't retrieve request object","Kan verzoekobject niet ophalen"
"Cancel","annuleren"
"Cannot complete this operation from non-admin area.","Kan deze bewerking van niet-admin gebied niet voltooien."
"Can not create invoice. Order was not found.","Kan factuur niet aanmaken. Bestelling is niet gevonden."
"Card type does not match credit card number.","Creditcardtype komt niet overeen met het creditcardnummer."
"Cc","Cc"
"Clean Log After (days)","Schoon logboek op na (dagen)"
"Code","Code"
"Controls how much referrer information is sent with requests","Bepaalt hoeveel referrer informatie wordt verzonden met aanvragen"
"Cookie Domain","Cookie Domein"
"Cookie Lifetime","Cookie levensduur"
"Cookie Path","Cookie pad"
"Cookie Restriction Mode","Cookie restrictiemodus"
"Copyright","Auteursrecht"
"Core","Kern"
"Could not write sanitized SVG file.","Kan het sanitized SVG-bestand niet schrijven."
"Countries Options","Landen opties"
"Country","Land:"
"Create Store","Winkel aanmaken"
"Create Store View","Winkelaanzicht aanmaken"
"Create Website","Website maken"
"Credit card number does not match credit card type.","Het creditcardnummer komt niet overeen met het type creditcard."
"Cron Expression for Cache Flushing","Cron Expressie voor Cache Flushing"
"CSS Settings","CSS Settings"
"Current Package Name","Huidige pakketnaam"
"Custom1 Contact Email","Custom1 contact e-mail"
"Custom1 Contact Name","Custom1 contact naam"
"Custom2 Contact Email","Custom2 contact e-mail"
"Custom2 Contact Name","Custom2 contact naam"
"Custom Admin Path","Aangepaste admin-pad"
"Custom Admin URL","Aangepaste admin-URL"
"Custom Design","Aangepast ontwerp"
"Custom Email 1","Eigen e-mail 1"
"Custom Email 2","Aangepaste e-mail 2"
"Customer Support","Klantenservice"
"Custom Variables","Aangepaste variabelen"
"Dashboard","Dashboard"
"Date","Datum:"
"Date From","Datum vanaf"
"Date To","Datum tot"
"Debug","Debug"
"Default","Standaard"
"Default Country","Standaard land"
"Default Description","Standaard beschrijving"
"Default Keywords","Standaard trefwoorden"
"Default No-route URL","Standaard No-route URL"
"Default Pages","Standaard pagina's"
"Default Robots","Default Robots"
"Default Store","Standaard Winkel"
"Default Store View","Standaard Winkelaanzicht"
"Default Title","Default Title"
"Default Web URL","Default Web URL"
"Defer Only","Alleen uitstellen"
"Delete","Verwijderen"
"Delete Store","Verwijder winkel"
"Delete Store View","Winkelaanzicht verwijderen"
"Delete Website","Website verwijderen"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Het verwijderen van een %1$s zal de aan de %1$s gekoppelde informatie niet verwijderen (bijvoorbeeld categorieën, producten, etc. , maar de %1$s kan niet hersteld worden. Er wordt voorgesteld dat u een databaseback-up maakt voordat u de %1$s verwijdert."
"Design","Ontwerp"
"Design Change","Ontwerp verandering"
"Developer","Ontwikkelaar"
"Developer Client Restrictions","Ontwikkelaar Client Beperkingen"
"Disable Modules Output","Module uitvoer uitschakelen"
"Disallowed block name for frontend.","Bloknaam voor frontend niet toegestaan."
"Disallowed template variable method.","Geen sjabloonvariabele methode."
"Display Demo Store Notice","Kennisgeving van de Demo winkel weergeven"
"Duplicate Of Template Name","Duplicaat van sjabloonnaam"
"Edit Design Change","Ontwerp Wijziging Bewerken"
"Edit Store","Winkel bewerken"
"Edit Store View","Winkelaanzicht bewerken"
"Edit Website","Website bewerken"
"Email - Footer","Email - Footer"
"Email - Header","E-mail - koptekst"
"Email Body","E-mail Body"
"Email Details","E-mail details"
"Email Footer Template","E-mail voettekst sjabloon"
"Email Header Template","E-mail koptekst sjabloon"
"Email Log","E-mail log"
"Email log entries older than this number of days will be automatically deleted.","E-mail logboek vermeldingen ouder dan dit aantal dagen worden automatisch verwijderd."
"Email Log Entry","E-mail Logboek Invoer"
"Empty identifier field name","Lege identifier veldnaam"
"Empty main table name","Lege naam hoofdtabel"
"Enable Charts","Inschakelen van grafieken"
"Enabled","Ingeschakeld"
"Enabled for Admin","Ingeschakeld voor Admin"
"Enabled for Frontend","Ingeschakeld voor Frontend"
"Enable Email Logging","E-maillogboekregistratie inschakelen"
"Enable Email Queue","Emailwachtrij inschakelen"
"Enable global search","Globaal zoeken inschakelen"
"Enable HSTS (HTTP Strict Transport Security)","HSTS inschakelen (HTTP Strict Transport Security)"
"Enables browser XSS filtering. Note: Modern browsers prefer CSP over this header.","Staat browser XSS filtering toe. Opmerking: Moderne browsers prefereren CSP boven deze kop."
"Enable X-Content-Type-Options","X-Content-Type-Opties inschakelen"
"Enable X-XSS-Protection","X-XSS-bescherming inschakelen"
"Enabling ability to run Maho in a frame is not recommended for security reasons.","Mogelijkheid om Maho te draaien in een frame is niet aanbevolen om veiligheidsredenen."
"Error","Foutmelding"
"Error generating PDF: %s","Fout bij genereren PDF: %s"
"Error in file: ""%s"" - %s","Fout in bestand: ""%s"" - %s"
"European Union Countries","Landen van de Europese Unie"
"Excel XML","Excel XML"
"Failed","Mislukt"
"Favicon Icon","Favicon icoon"
"File %s does not exist","Bestand %s bestaat niet"
"File %s is not readable","Bestand %s is niet leesbaar"
"File is not a valid SVG.","Bestand is geen geldig SVG."
"File name is too long. Maximum length is %s.","Bestandsnaam is te lang. Maximale lengte is %s."
"File not found","Bestand niet gevonden"
"File system","Bestand systeem"
"File type for image conversions","Bestandstype voor beeldconversies"
"File with an extension ""%s"" is protected and cannot be uploaded","Bestand met een extensie ""%s"" is beveiligd en kan niet worden geüpload"
"First Day of Week","Eerste dag van de week"
"Flush & Apply Updates","Updates verwijderen en toepassen"
"Flush Cache Storage","Leeg Cache Opslag"
"Footer","Voettekst"
"Forces browsers to use HTTPS. Only works on HTTPS connections.","Dwingt browsers om HTTPS te gebruiken. Werkt alleen op HTTPS verbindingen."
"Forgot Password Email Sender","Wachtwoord email afzender vergeten"
"Forgot Password Email Template","Wachtwoord e-mail sjabloon vergeten"
"From","van"
"Frontend","Frontend"
"General","Algemeen"
"General Contact","Algemeen contact"
"General Contact Email","Algemene contactmail"
"General Contact Name","Algemene contactnaam"
"General Settings","Algemene instellingen"
"Get info about current Maho installation","Krijg informatie over de huidige Maho installatie"
"Global","Wereldwijd"
"Header","Koptekst"
"Helper attributes should not be used in custom layout updates.","Helper attributen mogen niet worden gebruikt in aangepaste lay-out updates."
"Host","Hostnaam"
"How long browsers should remember to use HTTPS. Default: 31536000 (1 year)","Hoe lang browsers moeten onthouden om HTTPS te gebruiken. Standaard: 31536000 (1 jaar)"
"How many links to display at once.","Aantal links om tegelijk weer te geven."
"HSTS Max Age (seconds)","HSTS Max Leeftijd (seconden)"
"HTML filtration has failed.","HTML filtratie is mislukt."
"HTML Head","HTML Hoofd"
"HTML tags are not allowed","HTML tags zijn niet toegestaan"
"ID","ID"
"ID Path for Specified Store","ID-pad voor opgegeven winkel"
"If empty, the ""Allow Countries"" list is used for shipping.","Als dit leeg is, wordt de ""Landenlijst toegestaan"" gebruikt voor verzending."
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Als de huidige positie van het frame niet de uiterste pagina's bedekt, zal de link naar de huidige positie plus/min deze waarde weergeven."
"Image quality","Kwaliteit van afbeelding"
"Incorrect credit card expiration date.","Onjuiste vervaldatum van creditcard."
"Invalid base url type","Ongeldig basis-url type"
"Invalid block: %s","Ongeldig blok: %s"
"Invalid block type: %s","Ongeldig bloktype: %s"
"Invalid connection","Ongeldige verbinding"
"Invalid date","Ongeldige datum"
"Invalid image.","Invalid image."
"Invalid layout update handle","Ongeldige lay-out update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Ongeldige berichten opslag ""%s"" voor initialisatie lay-out berichten"
"Invalid MIME type.","Ongeldig MIME-type."
"Invalid or empty SVG file.","Ongeldig of leeg SVG-bestand."
"Invalid query","Ongeldige zoekopdracht"
"Invalid stream.","Ongeldige stream."
"Invalid template path used in layout update.","Ongeldige sjabloonpad gebruikt in lay-outupdate."
"Invalid transactional email code: %s","Ongeldige transactionele e-mailcode: %s"
"Invalid URL","Ongeldige URL"
"Invalid URL scheme.","Ongeldig URL-schema."
"Invalid website's configuration path: %s","Ongeldige website configuratie pad: %s"
"JavaScript Deferral Mode","JavaScript Deferale Modus"
"JavaScript Settings","JavaScript instellingen"
"Lax","Lax"
"Layout","Indeling"
"Leave empty for access from any location.","Laat leeg voor toegang op elke locatie."
"List of stores","Lijst van winkels"
"Loading Indicator Timeout","Laden Indicator Time-out"
"Load on Intent","Laden op Intent"
"Locale","Lokalisatie"
"Locale Options","Lokalisatie opties"
"Login is Case Sensitive","Login is hoofdlettergevoelig"
"Logo Image","Logo afbeelding"
"Logo Image Alt","Alt afbeelding van logo"
"Logo Image Src","Logo afbeeldingsfragment"
"Log Settings","Log Instellingen"
"Maho info","Maho info"
"Maho info API","Maho info API"
"Mail Sending Settings","E-mail verzenden instellingen"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/maho/","Zorg ervoor dat de base URL eindigt met een '/' (slash), bijvoorbeeld http://uwdomein/maho/"
"Manage Stores","Beheer winkels"
"Match expressions in the same order as displayed in the configuration.","Toon expressies in dezelfde volgorde als weergegeven in de configuratie."
"Media Storage","Media Opslag"
"Message recipients data must be set.","Er moet een berichtgeadresseerde data worden ingesteld."
"Minifies CSS files and caches them in media/mahominify for improved performance","Minifies CSS files en caches in media/mahominify voor verbeterde prestaties"
"Minifies JavaScript files and caches them in media/mahominify for improved performance","Minifies JavaScript bestanden en caches in media/mahominify voor betere prestaties"
"Minify CSS Files","Minify CSS Files"
"Minify JavaScript Files","Verkleinen JavaScript bestanden"
"Minimum Log Severity","Minimum Log Severity"
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous Scripts","Diverse Scripts"
"Model collection resource name is not defined.","Bronnaam van modelcollectie is niet gedefinieerd."
"Module ""%1$s"" cannot depend on ""%2$s"".","Module ""%1$s"" kan niet afhankelijk zijn van ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Module ""%1$s"" vereist module ""%2$s""."
"Name","naam"
"New Admin User Create Notification","Nieuwe Admin Gebruiker Maak Melding"
"New Admin User Email Template","Nieuwe beheerder gebruiker e-mail sjabloon"
"New Design Change","Nieuwe ontwerpwijziging"
"New Store","Nieuwe winkel"
"New Store View","Nieuwe Winkelaanzicht"
"New Website","Nieuwe website"
"No","Neen"
"None","geen"
"Number from 0 to 100 (default is 85, recommended by Google). Higher values preserve more details but increase file size. For WebP format, you can also use 101 to enable lossless compression.","Nummer van 0 tot 100 (standaard is 85, aanbevolen door Google). Hogere waarden bewaren meer details, maar verhogen de bestandsgrootte. Voor WebP formaat kun je ook 101 gebruiken om lossless compressie te activeren."
"Number of milliseconds to delay showing the loading indicator. The default value is ""200"". An empty value disables the delay.","Aantal milliseconden om de laadindicator te tonen. De standaardwaarde is ""200"". Een lege waarde schakelt de vertraging uit."
"Number of seconds between each allowed request.","Aantal seconden tussen elke toegestane aanvraag."
"Offloader header","Offloader header"
"Only messages at this severity level or higher will be logged. For example, selecting ""Error"" will log Error, Critical, Alert, and Emergency messages, but not Warning, Notice, Info, or Debug. Note: Developer mode overrides this setting and logs all levels.","Alleen berichten op dit niveau of hoger zullen worden gelogd. Bijvoorbeeld, het selecteren van ""Fout"" logt Fout, Kritische, Alert, en Noodberichten, maar niet waarschuwen, Info, of Debug. Opmerking: Ontwikkelaarsmodus overschrijft deze instelling en logt alle niveaus."
"Package","Pakket"
"Pagination","Paginering"
"Pagination Frame","Paginering Frame"
"Pagination Frame Skip","Paginering frame overslaan"
"Path ""%s"" contains an invalid stream wrapper.","Pad ""%s"" bevat een ongeldige stream wrapper."
"Path ""%s"" contains invalid parent directory references.","Pad ""%s"" bevat ongeldige bovenliggende directory verwijzingen."
"Path ""%s"" is not available and cannot be used.","Pad ""%s"" is niet beschikbaar en kan niet worden gebruikt."
"Path ""%s"" is protected and cannot be used.","Pad ""%s"" is beveiligd en kan niet gebruikt worden."
"PHP SOAP extension is required.","PHP SOAP extensie is vereist."
"Please define flag code.","Definieer een vlag code."
"Please do not use ""event"" for an attribute code.","Gelieve ""event"" niet te gebruiken voor een attribuutcode."
"Please enter a number 0 or greater in this field.","Vul in dit veld a.u.b. een getal gelijk aan of groter dan 0 in."
"Please enter a number 1 or greater in this field.","Vul in dit veld a.u.b. een getal gelijk aan of groter dan 1 in."
"Please enter a number greater than 0 in this field.","Voer in dit veld a.u.b. een getal groter dan 0 in."
"Please enter a number lower than 100.","Voer een getal kleiner dan 100 in."
"Please enter a valid $ amount. For example $100.00.","Voer een geldig $ bedrag in. Bijvoorbeeld: $100,00."
"Please enter a valid credit card number.","Geef een geldig creditcardnummer op."
"Please enter a valid credit card verification number.","Geef a.u.b. een geldig credit card verificatie nummer op."
"Please enter a valid date.","Voer een geldige datum in."
"Please enter a valid date between %s and %s","Voer een geldige datum in tussen %s en %s"
"Please enter a valid date equal to or greater than %s","Voer een geldige datum gelijk aan of groter dan %s in"
"Please enter a valid date less than or equal to %s","Voer een geldige datum in kleiner dan of gelijk aan %s"
"Please enter a valid day (1-%d).","Voer een geldige dag in (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Voer een geldig e-mailadres in. Bijvoorbeeld johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Geef een geldig faxnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890."
"Please enter a valid full date","Voer een geldige volledige datum in"
"Please enter a valid month (1-12).","Voer een geldige maand in (1-12)."
"Please enter a valid number in this field.","Voer een geldig getal in dit veld in."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Geef een geldig Burger Service Nummer op. Bijvoorbeeld 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Voer een geldige URL in. Bijvoorbeeld http://www.voorbeeld.com of www.voorbeeld.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Geef een geldige URL op. Protocol is vereist (http://, https:// or ftp://)"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Voer een geldige URL-sleutel in. Bijvoorbeeld ""voorbeeld-pagina"", ""voorbeeld-pagina.html"" of ""anderniveau/voorbeeld-pagina""."
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Voer een geldige XML-identifier in. Bijvoorbeeld iets_1, block5, id-4."
"Please enter a valid year (1900-%d).","Voer een geldig jaar in (1900-%d)."
"Please enter a valid zip code.","Voer een geldige postcode in."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in. Bijvoorbeeld 90602 of 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Voer het issue nummer of de startdatum in voor het switch/solo kaarttype."
"Please enter more characters. Password should contain both numeric and alphabetic characters.","Voer meer tekens in. Wachtwoord moet zowel numerieke als alfabetische tekens bevatten."
"Please enter more characters or clean leading or trailing spaces.","Voer meer tekens in of reinig lekkere of loopspaties."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Voer een geldige CSS-lengte in. Bijvoorbeeld 100px of 77pt of 20em of .5ex of 50%."
"Please make sure your passwords match.","Zorg ervoor dat de wachtwoorden overeenkomen."
"Please select a file","Selecteer een bestand"
"Please select an option.","Selecteer een optie a.u.b."
"Please select email log entries to delete.","Selecteer de te verwijderen e-maillog."
"Please select one of the above options.","Selecteer een van de bovenstaande opties."
"Please select one of the options.","Selecteer a.u.b. één van de opties."
"Please select State/Province.","Selecteer een staat/provincie."
"Please set available and/or protected paths list(s) before validation.","Stel a.u.b. beschikbare en/of beveiligde paden in voordat u valideert."
"Please specify either a category or a product, or both.","Geef een categorie of product op, of beide."
"Please use letters only (a-z or A-Z) in this field.","Gebruik alleen letters (a-z of A-Z) in dit veld."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Gebruik alstublieft alleen cijfers in dit veld. Vermijd spaties of andere tekens zoals punten of komma's."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Gebruik alleen letters (a-z), cijfers (0-9) of underscores (_) in dit veld, het eerste teken moet een letter zijn."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Gebruik alleen letters (a-z of A-Z), cijfers (0-9) of underscores (_) in dit veld, eerste teken moet een letter zijn."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruik alleen letters (a-z en A-Z) of cijfers (0-9) in dit veld. Spaties of andere tekens zijn niet toegestaan."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Gebruik alleen letters (a-z of A-Z) of cijfers (0-9) of spaties en # in dit veld."
"Please use only visible characters and spaces.","Gebruik alleen zichtbare tekens en spaties."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datumformaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please wait, loading...","Een ogenblik geduld, laden..."
"Port","Poort"
"Prevents browsers from MIME-sniffing responses. Recommended for security.","Voorkomt browsers van MIME-sninffing reacties. Aanbevolen voor veiligheid."
"Profiler","Profiler"
"Rate limit","Tarief limiet"
"Recovery Link Expiration Period (hours)","Herstel Link Verloopperiode (uren)"
"Referrer Policy","Referrer Policy"
"Request Path for Specified Store","Pad aanvragen voor opgegeven winkel"
"Request path length exceeds allowed %s symbols.","Verzoek path lengte overschrijdt toegestane %s symbolen."
"Resource ""%s"" is not found.","Bron ""%s"" is niet gevonden."
"Resource is not set.","Bron is niet ingesteld."
"Retrieve info about current Maho installation","Informatie over de huidige Maho installatie ophalen"
"Retrieve store data","Winkel gegevens ophalen"
"Retrieve store list","Haal winkellijst op"
"Return-Path Email","Retour-pad e-mail"
"Root Category","Hoofdcategorie (root)"
"Sales Representative","Verkoop representatief"
"Sales Representative Contact Email","Verkoop vertegenwoordiger contact e-mail"
"Sales Representative Contact Name","Verkoop vertegenwoordiger contact naam"
"Same-Site","Same-site"
"Save","Opslaan"
"Save Store","Winkel opslaan"
"Save Store View","Winkelaanzicht opslaan"
"Save Website","Website opslaan"
"Secure","Beveiligen"
"Security","Beveiliging"
"Sender Email","E-mailadres afzender"
"Sender Name","Naam afzender"
"Sent","Verzonden"
"Services","Voorzieningen"
"Session Cookie Management","Sessie cookie beheer"
"Session Lifetime (seconds)","Levensduur sessie (seconden)"
"Session Validation Settings","Instellingen sessievalidatie"
"Set as Default","Als standaard instellen"
"Set Return-Path","Retourpad instellen"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Small Logo Image Src","Klein Logo Afbeeldingsfragment"
"Sort Order","Sorteren bestelling"
"Start date cannot be greater than end date.","Startdatum kan niet groter zijn dan einddatum."
"Startup Page","Startup Page"
"Status","status"
"Storage Configuration for Media","Opslag configuratie voor media"
"Store","Winkel"
"Store API","Store API"
"Store Contact Address","Adres webwinkel"
"Store Contact Information","Winkel contactgegevens"
"Store Contact Telephone","Telefoon winkel"
"Store Email Addresses","E-mailadressen van winkel"
"Store Hours of Operation","Winkel uren van bewerking"
"Store Information","Winkel informatie"
"Store Name","Winkel naam"
"Store View","Winkelaanzicht"
"Store view doesn't exist","Winkelaanzicht bestaat niet"
"Store View Information","Winkelaanzicht informatie"
"Store View Name","Winkelaanzicht naam"
"Store with the same code","Opslaan met dezelfde code"
"Strict","Strikt"
"Subject","Onderwerp"
"SVG file could not be sanitized.","SVG-bestand kon niet worden afgesneden."
"SVG sanitization failed: %s","SVG sanitisering mislukt: %s"
"System","Systeem"
"Template","Sjabloon"
"Template Path Hints","Tips voor sjabloon pad"
"Templates","Sjablonen"
"Template Settings","Sjabloon instellingen"
"Template Variables","Template variabelen"
"Text length does not satisfy specified text range.","Tekstlengte komt niet overeen met het opgegeven tekstbereik."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","De %s die u hebt ingevoerd is ongeldig. Zorg ervoor dat het volgt op ""http://domain.com/"" formaat."
"The default value is ""30 2 * * *"". An empty value disables automatic cache flushing.","De standaardwaarde is ""30 2 * * *"". Een lege waarde schakelt automatische cache-flushing uit."
"The file extension ""%s"" is not allowed. Allowed extensions: %s","De bestandsextensie ""%s"" is niet toegestaan. Toegestane extensies: %s"
"The file extension ""%s"" is not allowed for security reasons.","De bestandsextensie ""%s"" is om veiligheidsredenen niet toegestaan."
"The From Date value should be less than or equal to the To Date value.","De ""Datum vanaf"" moet kleiner zijn dan of gelijk zijn aan de ""Datum tot""."
"Themes","Thema’s"
"The store code may contain only letters (a-z), numbers (0-9), underscore(_) or dash(-), the first character must be a letter","De winkelcode mag alleen letters (a-z), cijfers (0-9), underscore(_) of dash(-) bevatten, het eerste teken moet een letter zijn"
"The store does not exist","De winkel bestaat niet"
"The store has been deleted.","De winkel is verwijderd."
"The store has been saved.","De winkel is opgeslagen."
"The store view #%d is disabled.","Winkelaanzicht #%d is uitgeschakeld."
"The store view has been deleted.","Het winkelaanzicht is verwijderd."
"The store view has been saved","Het winkelaanzicht is opgeslagen"
"The template Name must not be empty.","De naam van het sjabloon mag niet leeg zijn."
"The value is not within the specified range.","De waarde valt niet binnen het opgegeven bereik."
"The website does not exist.","De website bestaat niet."
"The website has been deleted.","De website is verwijderd."
"The website has been saved.","De website is opgeslagen."
"This date is a required value.","Deze datum is een verplichte waarde."
"This email log entry no longer exists.","Deze e-mail log bestaat niet meer."
"This functionality limits the number of requests a user (identified by IP address) can perform within a specific time frame, preventing excessive resources usage and maintaining system performance, stability and security.","Deze functionaliteit beperkt het aantal verzoeken dat een gebruiker (geïdentificeerd door IP-adres) kan uitvoeren binnen een specifiek tijdsbestek, overmatig gebruik van hulpbronnen en handhaving van systeemprestaties, stabiliteit en veiligheid voorkomen."
"This is a required field.","Dit is een verplicht veld."
"This setting enable notification when new admin user created.","Deze instelling schakelt melding in wanneer nieuwe beheerder gebruiker is aangemaakt."
"This store cannot be deleted.","Deze winkel kan niet worden verwijderd."
"This store view cannot be deleted.","Dit winkelaanzicht kan niet worden verwijderd."
"This website cannot be deleted.","Deze website kan niet worden verwijderd."
"This will be displayed just before body closing tag.","Dit zal worden weergegeven voor de body sluit tag."
"This will be included before head closing tag in page HTML.","Dit wordt opgenomen voor hoofdsluitende tag in pagina HTML."
"Timeframe","Timeframe"
"Timezone","Timezone"
"Title Prefix","Titel voorvoegsel"
"Title Suffix","Titel achtervoegsel"
"To","tot"
"Too Soon: You are trying to perform this operation too frequently. Please wait a few seconds and try again.","Te snel: U probeert dit te vaak uit te voeren. Wacht een paar seconden en probeer het opnieuw."
"Transactional Emails","Transactionele e-mails"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Vertalings-, blok- en andere uitvoer caches moeten worden uitgeschakeld voor zowel front-end als admin inline vertalingen."
"Translate Inline","Inline vertalen"
"Translations","Vertalen"
"Transport","Vervoer"
"Two and more slashes together are not permitted in request path","Twee of meer slashes samen zijn niet toegestaan in het verzoekpad"
"Two and more slashes together are not permitted in url rewrite suffix","Twee of meer slashes bij elkaar zijn niet toegestaan in url-rewrite achtervoegsel"
