"* Select shipping method","*Selecteer een verzendmethode"
"Parcel Post","Pakketpost"
"Pessimistic","Pessimistisch"
"Priority Mail","Priority Post"
"Priority Overnight","Prioriteit Overnight"
"Rate 1 Amount","Bedrag Tarief 1"
"Rate 1 Ship To Applicable Countries","Tarief 1 Verzend naar geactiveerde landen"
"Rate 1 Ship to Specific Countries","Tarief 1 Verzend naar specifieke landen"
"Rate 1 Title","Titel Tarief 1"
"Rate 2 Amount","Bedrag Tarief 2"
"Rate 2 Ship To Applicable Countries","Tarief 2 Verzend naar geactiveerde landen"
"Rate 2 Ship to Specific Countries","Tarief 2 Verzend naar specifieke landen"
"Rate 2 Title","Titel Tarief 2"
"Rate 3 Amount","Bedrag Tarief 3"
"Rate 3 Ship To Applicable Countries","Tarief 3 Verzend naar geactiveerde landen"
"Rate 3 Ship to Specific Countries","Tarief 3 Verzend naar specifieke landen"
"Rate 3 Title","Titel Tarief 3"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Vereist voor live Google Checkout-transacties. Zorg ervoor dat deze optie overeenkomt met Gebruik beveiligde URLs in Frontend (""Web"" > ""Beveiligd"")."
"Residential","Particulier"
"Sandbox","Zandbak"
"Secure Callback URL","Beveiligde Callback URL"
"Small - %s","Klein - %s"
"Standard Overnight","Standaard vannacht"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Het belastingbedrag is toegepast op basis van de informatie ontvangen van Google Checkout, omdat het ontvangen belastingbedrag van Google Checkout verschilt van het berekende belastingbedrag"
"Title","Titel"
"Total Chargeback: %s","Totaal Chargeback: %s"
"Total Charged: %s","Totaal berekend: %s"
"Total Refunded: %s","Total gecrediteerd: %s"
"Transparent","Transparant"
"UPS","UPS"
"USPS","PostNL"
"United Kingdom","Verenigd Koninkrijk"
"United States","Verenigde Staten"
"Unknown Reason","Onbekende Reden"
"White Background","Witte achtergrond"
"Yes","Ja"
"You will be redirected to GoogleCheckout in a few seconds.","U wordt binnen enkele seconden doorverwezen naar Google Checkout"
