"Abandoned Carts","Niet afgemaakte winkelwagens"
"Refresh Lifetime Statistics","Vernieuw statistieken van tijd"
"Refresh Statistics","Vernieuw statistieken"
"Refresh Statistics for the Last Day","Vernieuw statistieken van de laatste dag"
"Refunds","Terugbetalingen"
"Report","Rapporteren"
"Reports","Rapporten"
"Results","Resultaten"
"Revenue","Omzet"
"Review","Beoordelen"
"Reviews","Beoordelingen"
"Reviews for %s","Beoordelingen voor %s"
"Sales","Verkoop"
"Sales Report","Verkoop Rapport"
"Search Query","Zoek query"
"Search Terms","Zoek termen"
"Select day of the month.","Selecteer dag van de maand."
"Shipping","Verzendkosten"
"Shopping Cart","Winkelwagen"
"Shopping Cart Price Rule","Winkelwagen Prijs Regel"
"Show Actual Values","Toon actuele waarden"
"Show for Current","Tonen voor huidige"
"Show Report","Rapport weergeven"
"Specified","Opgegeven"
"Statistics","Statistieken"
"Stock Qty","Voorraad aantal"
"Submitted In","Verzonden in"
"Submitted On","Verzonden op"
"Subtotal","Subtotaal"
"Tag","Tagnaam"
"Tag ""%s"" details","Tag ""%s"" details"
"Tag Detail","Tag Detail"
"Tag Name","Tag naam"
"Tags Submitted by %s","Tags ingestuurd door %s"
"Tags submitted to %s","Tags verzonden naar %s"
"Tag Use","Gebruik tag"
"Tax","Belasting"
"This Month","Deze Maand"
"This Year","Dit jaar"
"Title","Aanspreektitel"
"To","tot"
"Total","Totaal"
"Total invoiced","Totaal gefactureerd"
"Total Invoiced vs. Paid Report","Rapportage Totaal Gefactureerd vs. Betaald"
"Total Ordered Report","Rapportage Totaal Besteld"
"Total refunded","Totaal terugbetaald"
"Total Refunded Report","Rapportage Totaal Terugbetaald"
"Total Shipped Report","Rapportage Totaal Verzonden"
"Total Tags","Totaal aantal tags"
"undefined","ongedefinieerd"
"Updated At","Bijgewerkt op"
"Viewed Products Grid Template","Bekeken producten tabel-sjabloon"
"Viewed Products Images and Names Template","Bekeken product afbeeldingen en namen sjabloon"
"Viewed Products Images Only Template","Alleen bekeken productafbeeldingen sjabloon"
"Viewed Products List Template","Bekeken producten lijst-sjabloon"
"Viewed Products Names Only Template","Alleen bekeken productnamen sjabloon"
"Visible In","Zichtbaar in"
"Year","jaar"
"Year-To-Date Starts","Startdatum jaar"
"Yes","ja"
"Your Recently Compared","Uw onlangs vergeleken"
"Your Recently Viewed","Uw onlangs bekeken"
