"""Remember Me"" Default Value","""Onthoud mij"" standaardwaarde"
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation"
"If you believe this is an error, please contact us at %s","Als u denkt dat dit een fout is, neem dan contact met ons op via %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ongeldige attribuut optie opgegeven voor attribuut %s (%s), record wordt overgeslagen."
"Invalid attribute set specified, skipping the record.","Ongeldige attributenset opgegeven, record wordt overgeslagen."
"Invalid billing address for (%s)","Ongeldig factuuradres voor (%s)"
"Invalid current password","Ongeldig huidige wachtwoord"
"Invalid customer data","Ongeldige klantgegevens"
"Invalid email address ""%s"".","Ongeldig e-mailadres ""%s""."
"Invalid email address.","Ongeldig e-mailadres"
"Invalid form key. Please refresh the page.","Ongeldige formuliersleutel. Gelieve de pagina te vernieuwen."
"Invalid login link.","Ongeldige inloglink."
"Invalid login or password.","Ongeldige gebruikersnaam of wachtwoord."
"Invalid or expired login link.","Ongeldige of verlopen inloglink."
"Invalid password reset customer Id.","Ongeldig wachtwoord reset klant Id."
"Invalid password reset token.","Ongeldig wachtwoord reset token."
"Invalid request method.","Ongeldige aanvraagmethode."
"Invalid shipping address for (%s)","Ongeldig verzendadres voor (%s)"
"Invalid store specified, skipping the record.","Ongeldige winkel opgegeven, record wordt overgeslagen."
"Invalid VAT number format for %s.","Ongeldig BTW-nummer formaat voor %s."
"Invalid website, skipping the record, line: %s","Ongeldige website, record wordt overgeslagen, regel %s"
"IP Address","IP adres"
"Last Activity","Laatste activiteit"
"Last Date Subscribed","Laatste datum geabonneerd"
"Last Date Unsubscribed","Laatste datum uitgeschreven"
"Last Name","Achternaam is vereist"
"Last URL","Laatste URL"
"Leave empty for default (2). Valid range: 1-4","Laat leeg voor standaard (2). Geldig bereik: 1-4"
"Leave empty for default (15 minutes).","Laat leeg voor standaard (15 minuten)."
"Lifetime Sales","Levenslange Verkoop"
"Log In","Log in"
"Login","Aanmelden"
"Login and password are required.","Login en wachtwoord zijn vereist."
"Login Form","Login formulier"
"Login Information","Login informatie"
"Login Options","Login opties"
"Login with Magic Link","Login met Magic Link"
"Logout","Afmelden"
"Log Out","Log uit"
"Magic Link Email Sender","Magic Link E-mail Afzender"
"Magic Link Email Template","Magic Link E-mail Sjabloon"
"Magic Link Login","Magic Link Login"
"Magic Link Rate Limit - Email (requests per hour)","Magic Link Rate Limiet - E-mail (aanvragen per uur)"
"Magic Link Rate Limit - IP (requests per hour)","Magic Link Rate Limiet - IP (aanvragen per uur)"
"Magic Link Registration Password Requirement","Magic Link Registration Wachtwoord Requirement"
"Magic Link Token Expiration (minutes)","Magische Link Token Verloopt (minuten)"
"Manage Addresses","Adressen beheren"
"Manage Customers","Klanten beheren"
"Maximum length must be less then %s symbols","Maximale lengte moet minder zijn dan %s symbolen."
"Maximum magic link requests per email address per hour. Default: 3.","Maximale magische link aanvragen per e-mailadres per uur. Standaard: 3."
"Maximum magic link requests per IP address per hour. Default: 10.","Maximaal aantal magische linkaanvragen per IP-adres per uur. Standaard: 10."
"Middle Name","Tweede naam"
"Minimum admin password length","Minimale admin wachtwoord lengte"
"Minimum password length","Minimale wachtwoordlengte"
"Missing email, skipping the record, line: %s","E-mailadres ontbreekt, record wordt overgeslagen, regel %s"
"Missing email, skipping the record.","E-mailadres ontbreekt, record wordt overgeslagen."
"Missing first name, skipping the record, line: %s","Voornaam ontbreekt, record wordt overgeslagen, regel %s"
"Missing firstname, skipping the record.","Voornaam ontbreekt, record wordt overgeslagen."
"Missing last name, skipping the record, line: %s","Achternaam ontbreekt, record wordt overgeslagen, regel %s"
"Missing lastname, skipping the record.","Achternaam ontbreekt, record wordt overgeslagen."
"Missing website, skipping the record, line: %s","Website ontbreekt, record wordt overgeslagen, regel %s"
"MM","mm"
"Month","maand"
"My Account","Mijn account"
"My Account Wrapper","Mijn Account Wrapper"
"My Dashboard","Mijn dashboard"
"My Orders","Mijn bestellingen"
"n/a","n/a"
"Name","naam"
"Name and Address Options","Naam- en adresopties"
"Never","Nooit"
"New account","Nieuw account"
"New account confirmation key","Bevestigingssleutel nieuw account"
"New account confirmed","Nieuw account bevestigd"
"New Account Email Template","Nieuw account e-mail sjabloon"
"New Address","Nieuw adres"
"New Customer","Nieuwe klant"
"New Customer Address","Nieuw klant adres"
"New Customer Group","Nieuwe klantgroep"
"New Customer Groups","Nieuwe klantgroepen"
"New Customers","Nieuwe klanten"
"New Group","Nieuwe groep"
"New Password","Nieuw wachtwoord"
"New password field cannot be empty.","Nieuw wachtwoord veld mag niet leeg zijn."
"Newsletter","Nieuwsbrief"
"Newsletter Finish","Nieuwsbrief einde"
"Newsletter Information","Nieuwsbrief informatie"
"Newsletter Received","Nieuwsbrief ontvangen"
"Newsletter Start","Nieuwsbrief start"
"Newsletter Subscription","Abonnement op nieuwsbrief"
"No customer collections found","Geen klant verzamelingen gevonden"
"No Items Found","Geen artikelen gevonden"
"No item specified.","Geen artikel gespecificeerd."
"No Newsletter Found","Geen nieuwsbrief gevonden"
"No Password (Full Passwordless)","Geen wachtwoord (zonder wachtwoorden)"
"Not confirmed, can login","Niet bevestigd, kan inloggen"
"Not confirmed, cannot login","Niet bevestigd, kan niet inloggen"
"Not Sent","Niet verzonden"
"Number of Lines in a Street Address ","Aantal regels in een straat "
"Offline","Offline"
"Online","Online"
"Online Customers","Online klanten"
"Online Customers Options","Opties Online klanten"
"Online Minutes Interval","Online minuteninterval"
"or","of"
"Order #","Bestelling #"
"Orders","Bestellingen"
"Order Total","Totaal bestelbedrag"
"Password","Wachtwoord"
"Password:","Wachtwoord:"
"Password forgotten","Wachtwoord vergeten"
"Password Management","Wachtwoord beheer"
"Password Options","Wachtwoord opties"
"Paused","Gepauzeerd"
"PDF","PDF-bestand"
"Pending","Lopende"
"Personal Information","Persoonlijke informatie"
"Per Website","Per website"
"Please, check your email for confirmation key.","Controleer uw e-mail voor de bevestigingssleutel."
"Please enter a number 1 or greater in this field.","Vul in dit veld a.u.b. een getal gelijk aan of groter dan 1 in."
"Please enter a number 7 or greater in this field.","Voer in dit veld a.u.b. een getal van 7 of groter in."
"Please enter a password with at most %s characters.","Voer een wachtwoord in met maximaal %s tekens."
"Please enter a valid date between %s and %s at %s.","Voer een geldige datum in tussen %s en %s bij %s."
"Please enter a valid date equal to or greater than %s at %s.","Voer een geldige datum gelijk aan of groter dan %s bij %s."
"Please enter a valid date less than or equal to %s at %s.","Voer een geldige datum in kleiner dan of gelijk aan %s bij %s."
"Please enter the city.","Vul de plaats in."
"Please enter the country.","Voer het land in."
"Please enter the first name.","Vul a.u.b. de voornaam in."
"Please enter the last name.","Vul a.u.b. de achternaam in."
"Please enter the state/province.","Vul de staat/provincie in."
"Please enter the street.","Vul de straat in."
"Please enter the telephone number.","Vul het telefoonnummer in."
"Please enter the zip/postal code.","Vul de postcode in."
"Please enter your email.","Vul uw e-mailadres in."
"Please enter your email below and we'll send you confirmation link for it.","Voer je e-mailadres hieronder in en we sturen je een bevestigingslink."
"Please make sure your passwords match.","Zorg ervoor dat de wachtwoorden overeenkomen."
"Please select","Gelieve te selecteren"
"Please select a website which contains store view","Selecteer een website met winkelaanzicht"
"Please select region, state or province","Selecteer regio, staat of provincie a.u.b."
"Prefix Dropdown Options","Dropdown-opties voorvoegsel"
"Price","Prijs"
"Product","product"
"Product ID","Product ID"
"Product Name","Product Naam"
"Product Reviews","Product beoordelingen"
"Product Tags","Product tags"
"Provided address does not belong to the logged in customer.","Het opgegeven adres behoort niet tot de ingelogde klant."
"Purchased On","Gekocht op"
"Purchase On","Koop op"
"Qty","Aantal"
"Recent Orders","Recente bestellingen"
"Records for %s store found.","Records gevonden voor %s store"
"Recovery Link Expiration Period (hours)","Herstel Link Verloopperiode (uren)"
"Redirect Customer to Account Dashboard after Logging in","Klant omleiden naar accountdashboard na inloggen"
"Refunded","Terugbetaald"
"Register","Registreren"
"Registration Form","Registratie formulier"
"Registration successful, but we could not send the login link. Please use the login page.","Registratie succesvol, maar we konden de login link niet sturen. Gebruik alstublieft de login pagina."
"Remember Me","Onthoud mij"
"Remind Email Template","Herinnering e-mail sjabloon"
"Remind Password","Wachtwoord herinneren"
"Remove","Verwijderen"
"Remove address","Adres verwijderen"
"Require admin user to change user password","Verplicht de admin gebruiker om het gebruikerswachtwoord te wijzigen"
"Require Emails Confirmation","E-mailbevestiging vereisen"
"Require Password (Default)","Wachtwoord vereisen (standaard)"
"Reset a Password","Wachtwoord opnieuw instellen"
"Retrieve address data","Adresgegevens ophalen"
"Retrieve address info","Adresgegevens ophalen"
"Retrieve customer addresses","Klantadressen ophalen"
"Retrieve customer data","Klantgegevens ophalen"
"Retrieve customer groups","Klantgroepen ophalen"
"Retrieve customer info","Klantinformatie ophalen"
"Retrieve customers","Klanten ophalen"
"Retrieve your confirmation link here","Haal hier uw bevestigingslink op"
"Retrieve your password","Wachtwoord ophalen"
"Sales Statistics","Verkoop statistieken"
"Save","Opslaan"
"Save Address","Adres opslaan"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Save Customer","Klant opslaan"
"Save Customer Group","Klantgroep opslaan"
"Saved %d record(s)","%d record(s) opgeslagen"
"Save in address book","In adresboek opslaan"
"Semicolon (;) separated values.<br>Put semicolon in the beginning for empty first option.<br>Leave empty for open text field.","Puntkomma (;) gescheiden waarden.<br>Zet een puntkomma aan het begin voor een lege eerste optie.<br>Laat leeg voor een open tekstveld."
"Send confirmation link","Stuur bevestigingslink"
"Send From","Verzenden vanaf"
"Sending","Verzenden"
"Send Welcome Email","Welkomst-e-mail verzenden"
"Send Welcome Email after Confirmation","Welkomst-e-mail verzenden na bevestiging"
"Sent","Verzonden"
"Session Start Time","Sessie starttijd"
"Set as Default Billing Address","Als standaard factuuradres instellen"
"Set as Default Shipping Address","Instellen als standaard afleveradres"
"Share Customer Accounts","Klantaccounts delen"
"Shipped to Name","Verzonden aan naam"
"Shopping Cart","Winkelwagen"
"Shopping Cart - %d item(s)","Winkelwagen - %d product(en)"
"Shopping Cart of %1$s - %2$d item(s)","Winkelwagen van %1$s - %2$d product(en)"
"Show Date of Birth","Toon Geboortedatum"
"Show Gender","Geslacht weergeven"
"Show Middle Name (initial)","Toon tweede naam (begin)"
"Show Prefix","Toon voorvoegsel"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","BTW-nummer tonen"
"Show VAT Number on Frontend","BTW-nummer in winkeletalage tonen"
"Sign Up for Newsletter","Abonneer u op de nieuwsbrief"
"Skipping import row, required field ""%s"" is not defined.","Sla importeren van rij over, vereist veld%sis niet opgegeven."
"Skipping import row, website ""%s"" field does not exist.","Sla importeren van rij over, website ""%s"" veld bestaat niet."
"SKU","Artikelnummer"
"State/Province","Staat/provincie"
"Status","status"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Street Address","Straat en huisnummer"
"Street Address %s","Straat Adres %s"
"Subject","Onderwerp"
"Submit","Bevestigen"
"Subscribed to Newsletter?","Geabonneerd op nieuwsbrief?"
"Subscribe to Newsletter","Abonneren op nieuwsbrief"
"Suffix Dropdown Options","Dropdown opties achtervoegsel"
"Tag Name","Tag naam"
"Tax/VAT number","BTW nummer"
"Tax Calculation Based On","BTW berekening op basis van"
"Tax Class","Belasting groep"
"Telephone","Telefoon"
"Text","Tekstveld"
"Text One Line","Tekst één regel"
"Thank you for registering! We have sent you an email with a login link to %s.","Bedankt voor het registreren! We hebben u een e-mail gestuurd met een inloglink naar %s."
"Thank you for registering with %s.","Dank u voor uw registratie bij %s."
"The account information has been saved.","De accountgegevens zijn opgeslagen."
"The address does not belong to this customer.","Het adres behoort niet tot deze klant."
"The address has been deleted.","Het adres is verwijderd"
"The address has been saved.","Het adres is opgeslagen"
"The customer does not have default billing address.","De klant heeft geen standaard factuuradres."
"The customer email (%s) already exists, skipping the record, line: %s","Het klant-e-mailadres (%s) bestaat al, record wordt overgeslagen, regel %s"
"The customer group has been deleted.","De klantgroep is verwijderd."
"The customer group has been saved.","De klantgroep is opgeslagen."
"The customer ID and email did not match, skipping the record, line: %s","Het klant-ID en e-mail komen niet overeen, record wordt overgeslagen, regel: %s"
"The customer is currently assigned to Customer Group %s.","De klant is momenteel toegewezen aan klantgroep %s."
"The Date of Birth is required.","De Geboortedatum is vereist."
"The first name cannot be empty.","De voornaam mag niet leeg zijn."
"The group ""%s"" cannot be deleted","De groep ""%s"" kan niet worden verwijderd"
"The last name cannot be empty.","De achternaam kan niet leeg zijn."
"The minimum password length is %s","De minimale wachtwoordlengte is %s"
"The password cannot be empty.","Het wachtwoord mag niet leeg zijn."
"The password must have at least %d characters. Leading or trailing spaces will be ignored.","Het wachtwoord moet ten minste %d tekens bevatten. Spaties worden genegeerd."
"There are no items in customer's shopping cart at the moment","Er zijn momenteel geen producten in de winkelwagen van de klant"
"There are no items in customer's wishlist at the moment","Er staan momenteel geen artikelen op de verlanglijst van de klant"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account."
"There was an error validating the VAT ID.","Er is een fout opgetreden bij het valideren van het BTW-nummer."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Er is een fout opgetreden bij het valideren van het BTW-nummer. De klant zou tot klantgroep %s behoren."
"The suffix that goes after name (Jr., Sr., etc.)","Het achtervoegsel dat achter de naam staat (Jr., Sr., etc.)"
"The TAX/VAT number is required.","Het BTW nummer is vereist."
"The title that goes before name (Mr., Mrs., etc.)","De titel die voor de naam staat (Mr., Mr., etc.)"
"The VAT ID entered (%s) is not a valid VAT ID.","Het ingevoerde BTW-nummer (%s) is geen geldig BTW-nummer."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Het ingevulde BTW-nummer (%s) is geen geldig BTW-nummer. De klant zou tot klantgroep %s behoren."
"The VAT ID is valid. The current Customer Group will be used.","Het BTW-nummer is geldig. De huidige klantgroep zal worden gebruikt."
"This account is not active.","Dit account is niet actief."
"This account is not confirmed.","Dit account is niet bevestigd."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dit account is niet bevestigd. <a href=""%s"">Klik hier</a> om de bevestigingsmail opnieuw te verzenden."
"This customer email already exists","Deze klant e-mail bestaat al"
"This customer has no saved addresses.","Deze klant heeft geen opgeslagen adressen."
"This email does not require confirmation.","Deze e-mail hoeft niet te worden bevestigd."
"This email is sent on checkbox <em>Email Link to Set Password</em> is checked on the customer page in backend.","This email is sent on checkbox <em>Email Link to Set Password</em> is checked on the customer page in backend."
"This email will be sent instead of default welcome email, after account confirmation.","Deze e-mail wordt verzonden in plaats van het standaard welkomstbericht, na de bevestiging van het account."
"This email with a link to set password is sent on new account creation in backend.","Deze e-mail met een link om wachtwoord in te stellen wordt verzonden bij het aanmaken van een nieuw account in het Beheergedeelte."
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Om het BTW-nummer op de frontend weer te geven, stel de optie BTW-nummer op winkeletalage in op Ja"
"Total","Totaal"
"Type","Type"
"Unable to validate VAT number. Please try again later.","Kan BTW-nummer niet valideren. Probeer het later opnieuw."
"Unknown","onbekend"
"Unsubscribe from Newsletter","Afmelden voor nieuwsbrief"
"Update","Vernieuwen"
"Update customer address data","Klantadres gegevens bijwerken"
"Update customer data","Klantgegevens bijwerken"
"Use as My Default Billing Address","Gebruik als mijn standaard factuuradres"
"Use as my default billing address","Gebruik mijn standaard factuuradres"
"Use as My Default Shipping Address","Gebruik als mijn standaard afleveradres"
"Use as my default shipping address","Gebruiken als mijn standaard verzendadres"
"Validate on Each Transaction","Valideer bij elke transactie"
"Validate VAT Number","Valideer BTW-nummer"
"Validate VAT numbers against the EU VIES service in real time on address forms.","Valideer BTW-nummers tegenover de EU VIES-dienst in real time op adresformulieren."
"Validation Error Group","Validatie fout groep"
"VAT Number","BTW nummer"
"VAT number format is valid.","BTW-nummer formaat is geldig."
"VAT number format is valid. VIES validation is not available for this country.","BTW-nummerformaat is geldig. VIES-validatie is niet beschikbaar voor dit land."
"VAT number is not valid.","BTW nummer is ongeldig"
"VAT number is required.","BTW nummer is vereist."
"VAT number is valid.","Het BTW-nummer is geldig."
"VAT Number Validation","BTW nummer validatie"
"VAT Request Date","BTW-nummer aanvraagdatum"
"VAT Request Identifier","BTW-nummer ID"
"VAT validation is not available for this country.","btw validatie is niet beschikbaar voor dit land."
"VIES service is unavailable. VAT format is valid.","VIES-service is niet beschikbaar. BTW-formaat is geldig."
"View","Bekijken"
"View Order","Bestelling bekijken"
"Visitor","bezoeker"
"Visitors Only","Alleen bezoekers"
"Warning: email containing password in plaintext will be sent.","Waarschuwing: e-mail met wachtwoord in platte tekst zal worden verzonden."
"Website","website"
"Welcome, %s!","Welkom, %s!"
"Welcome Email","Welkom e-mail"
"When disabled, only guest checkout is available. Customer registration, login, and account pages are disabled.","Indien uitgeschakeld, zijn alleen gastkassa beschikbaar. Klantregistratie, login en account pagina's zijn uitgeschakeld."
"Wishlist","Verlanglijst"
"Wishlist - %d item(s)","Verlanglijst - %d artikel(en)"
"Would you like to change the Customer Group for this order?","Wilt u de klantengroep wijzigen voor deze bestelling?"
"Wrong confirmation key.","Verkeerde bevestigingscode."
"Wrong customer account specified.","Onjuist klant account opgegeven."
"Wrong email.","Verkeerd e-mailadres."
"Wrong transactional account email type","Verkeerde transactionele e-mail type"
"Year","jaar"
"You are currently subscribed to our newsletter.","U bent momenteel geabonneerd op onze nieuwsbrief."
"You are not subscribed to our newsletter.","U bent niet geabonneerd op onze nieuwsbrief."
"You are now logged out","Je bent nu uitgelogd"
"You have been successfully logged in.","U bent succesvol ingelogd."
