"* Required Fields","* Pflichtfelder"
"Select Amount","Betrag auswählen"
"Send Email","E-Mail senden"
"Send gift card email to %s?","Geschenkgutschein-E-Mail an %s senden?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","Status"
"The gift card has been deleted.","Der Geschenkgutschein wurde gelöscht."
"The gift card has been saved.","Der Geschenkgutschein wurde gespeichert."
"This gift card is in %s, which cannot be converted to %s.","Dieser Geschenkgutschein ist in %sund kann nicht in %s umgewandelt werden."
"This gift card no longer exists.","Dieser Geschenkgutschein existiert nicht mehr."
"This is a required field.","Dies ist ein Pflichtfeld."
"To","An"
"Too many attempts. Please wait a moment and try again.","Zu viele Versuche. Bitte warten Sie einen Moment und versuchen Sie es erneut."
"Too many recent lookup attempts. Please wait a while before trying again.","Zu viele kürzlich durchgeführte Suchversuche. Bitte warten Sie eine Weile, bevor Sie es erneut versuchen."
"Total: %s","Gesamt: %s"
"Transaction History","Transaktionsverlauf"
"Unable to check balance.","Kann Kontostand nicht überprüfen."
"Unable to find a gift card to delete.","Es konnte keine Geschenkkarte zum Löschen gefunden werden."
"Unknown","Unbekannt"
"Updated At","Aktualisiert am"
"Used","Verwendet"
"Use Default (%s)","Standard verwenden (%s)"
"View","Ansicht"
"Website","Webseite"
"Websites","Webseiten"
"We could not find an active gift card for that code on this store.","Wir konnten keinen aktiven Geschenkgutschein für diesen Code in diesem Shop finden."
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","Bei der Rückerstattung auf eine abgelaufene Geschenkkarte verlängern, verlängern Sie das Ablaufdatum um diese viele Tage. 0 = keine Verlängerung (Karten bleiben abgelaufen, aber das Guthaben wird wiederhergestellt."
"Your Email","Ihre E-Mail"
"Your Name","Ihr Name"
