"%d product(s) were updated","%d Produkt(e) wurden aktualisiert"
"%s (Default Template from Locale)","%s (Standardvorlage aus dem Gebiet)"
"%s cache type(s) disabled.","%s Cache-Typ(en) deaktiviert."
"%s cache type(s) enabled.","%s Cache-Typ(en) aktiviert."
"%s cache type(s) refreshed.","%s Cache-Typ(en) aktualisiert."
"An error occurred while clearing the configurable swatches image cache.","Beim Löschen des konfigurierbaren Swatches-Bild-Caches ist ein Fehler aufgetreten."
"An error occurred while clearing the image cache.","Beim Löschen des Bild-Caches ist ein Fehler aufgetreten."
"An error occurred while clearing the minified CSS/JS cache.","Beim Löschen des CSS/JS-Caches ist ein Fehler aufgetreten."
"An error occurred while deleting email log entries.","Beim Löschen der E-Mail-Logeinträge ist ein Fehler aufgetreten."
"An error occurred while deleting email template data. Please review log and try again.","Beim Löschen der E-Mail-Vorlagendaten ist ein Fehler aufgetreten. Bitte protokollieren und erneut versuchen."
"An error occurred while deleting record(s).","Beim Löschen der Einträge(n) ist ein Fehler aufgetreten."
"An error occurred while deleting this role.","Beim Löschen dieser Rolle ist ein Fehler aufgetreten."
"An error occurred while deleting this set.","Beim Löschen dieses Sets ist ein Fehler aufgetreten."
"An error occurred while deleting this template.","Beim Löschen dieser Vorlage ist ein Fehler aufgetreten."
"An error occurred while deleting URL Rewrite.","Beim Löschen des URL-Rewrites ist ein Fehler aufgetreten."
"An error occurred while finishing process. Please refresh the cache","Beim Beenden des Prozesses ist ein Fehler aufgetreten. Bitte aktualisieren Sie den Cache"
"An error occurred while logging in.","Beim Anmelden ist ein Fehler aufgetreten."
"An error occurred while rebuilding the catalog index.","Beim Neuaufbau des Katalogindex ist ein Fehler aufgetreten."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Beim Neuaufbau des KatalogInventar-Status ist ein Fehler aufgetreten."
"An error occurred while rebuilding the flat catalog category.","Beim Neuaufbau der Flachkatalogkategorie ist ein Fehler aufgetreten."
"An error occurred while rebuilding the flat product catalog.","Beim Neuaufbau des Flat-Produktkatalogs ist ein Fehler aufgetreten."
"An error occurred while rebuilding the search index.","Beim Neuaufbau des Suchindex ist ein Fehler aufgetreten."
"An error occurred while refreshing roles.","Beim Aktualisieren der Rollen ist ein Fehler aufgetreten."
"An error occurred while refreshing the Catalog Rewrites.","Beim Aktualisieren der Katalog-Rewrites ist ein Fehler aufgetreten."
"An error occurred while refreshing the catalog rewrites.","Beim Aktualisieren des Katalog-Rewrites ist ein Fehler aufgetreten."
"An error occurred while refreshing the Layered Navigation indices.","Beim Aktualisieren der Facettennavigation Indizes ist ein Fehler aufgetreten."
"An error occurred while refreshing the layered navigation indices.","Beim Aktualisieren der Layernavigation Indizes ist ein Fehler aufgetreten."
"An error occurred while saving account.","Beim Speichern des Kontos ist ein Fehler aufgetreten."
"An error occurred while saving review.","Beim Speichern der Überprüfung ist ein Fehler aufgetreten."
"An error occurred while saving the customer.","Beim Speichern des Kunden ist ein Fehler aufgetreten."
"An error occurred while saving this configuration:","Fehler beim Speichern dieser Konfiguration:"
"An error occurred while saving this role.","Beim Speichern dieser Rolle ist ein Fehler aufgetreten."
"An error occurred while saving this template.","Beim Speichern dieser Vorlage ist ein Fehler aufgetreten."
"An error occurred while saving URL Rewrite.","Beim Speichern des URL-Rewrites ist ein Fehler aufgetreten."
"An error occurred while sending the test email.","Beim Senden der Test-E-Mail ist ein Fehler aufgetreten."
"An error occurred while updating the email address.","Beim Aktualisieren der E-Mail-Adresse ist ein Fehler aufgetreten."
"An error occurred while updating the selected review(s).","Beim Aktualisieren der ausgewählten Bewertung(en) ist ein Fehler aufgetreten."
"Any","Alle"
"Any Attribute Set","Jedes Attribut-Set"
"Any Group","Jede Gruppe"
"Any Status","Jeder Status"
"Any Type","Jeder Typ"
"Any Visibility","Jede Sichtbarkeit"
"API Key","API-Schlüssel"
"API Key Confirmation","API-Schlüssel Bestätigung"
"Archive file name:","Archivdateiname:"
"Area","Fläche"
"Are you sure you want to delete the selected URL rewrites?","Sind Sie sicher, dass Sie die ausgewählten URL-Rewrites löschen möchten?"
"Are you sure you want to do this?","Bist du sicher, dass du dies tun möchtest?"
"ASCII","ASCII"
"Assigned","Zugewiesen"
"Associated Tags","Verknüpfte Tags"
"At least one currency has to be allowed.","Mindestens eine Währung muss erlaubt sein."
"Attributes","Attribute"
"Attribute Set Name:","Attributset Name:"
"A user with the same user name or email already exists.","Ein Benutzer mit dem gleichen Benutzernamen oder E-Mail existiert bereits."
"Authorization confirmed","Autorisierung bestätigt"
"Authorize","Autorisieren"
"Authorize application","Anwendung autorisieren"
"Authorized OAuth Tokens","Autorisierte OAuth-Token"
"Automatic (equalize price ranges)","Automatisch (Preisspanne ausgleichen)"
"Automatic (equalize product counts)","Automatisch (Produktzahl ausgleichen)"
"Average","Durchschnitt"
"Average Order Amount","Durchschnittlicher Auftragsbetrag"
"Back","Zurück"
"Backend Locale","Backend-Gebietsschema"
"Base currency","Basiswährung"
"Bcc","Bcc"
"Bestsellers","Bestsellers"
"Billing Address","Rechnungsadresse"
"Billing Address: ","Rechnungsadresse: "
"Billing Agreement","Zahlungsvereinbarung"
"Billing Agreements","Zahlungsvereinbarungen"
"BINARY","BINARIE"
"Block Details","Blockdetails"
"Block has been deleted.","Block wurde gelöscht."
"Block Information","Block-Informationen"
"Block Name","Blockname"
"Block Name is disallowed.","Blockname ist nicht zulässig."
"Block Name is incorrect.","Blockname ist falsch."
"Block Name is required field.","Blockname ist ein Pflichtfeld."
"Blocks","Blöcke"
"Both (without and with tax)","Beides (ohne und mit Steuer)"
"Browse Files...","Dateien durchsuchen..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle mit dynamischer Preisgestaltung können keine benutzerdefinierten Optionen enthalten. Optionen werden nicht gespeichert."
"By Email","Per E-Mail"
"By IP","Nach IP"
"By IP and Email","Per IP und E-Mail"
"Cache Control","Cache-Steuerung"
"Cache Control (beta)","Cache-Kontrolle (Beta)"
"Cache Management","Cache-Verwaltung"
"Cache Type","Cache Type"
"Cancel","Abbrechen"
"Cannot add new comment.","Kann keinen neuen Kommentar hinzufügen."
"Cannot add tracking number.","Trackingnummer kann nicht hinzugefügt werden."
"Cannot create an invoice without products.","Kann keine Rechnung ohne Artikel erstellen."
"Cannot create credit memo for the order.","Rechnungskorrektur für die Bestellung kann nicht erstellt werden."
"Cannot delete the design change.","Die Designänderung kann nicht gelöscht werden."
"Cannot delete tracking number.","Trackingnummer kann nicht gelöscht werden."
"Cannot do shipment for the order.","Versand für die Bestellung nicht möglich."
"Cannot do shipment for the order separately from invoice.","Der Versand für die Bestellung kann nicht getrennt von der Rechnung erfolgen."
"Cannot initialize shipment for adding tracking number.","Versand kann nicht initialisiert werden, um Trackingnummer hinzuzufügen."
"Cannot initialize shipment for delete tracking number.","Versand kann nicht initialisiert werden, um die Trackingnummer zu löschen."
"Cannot load track with retrieving identifier.","Track kann nicht geladen werden mit dem Abrufen der Bezeichnung."
"Cannot retrieve tracking number detail.","Details der Trackingnummer können nicht abgerufen werden."
"Cannot save shipment.","Versand kann nicht gespeichert werden."
"Cannot save the credit memo.","Die Rechnungskorrektur kann nicht gespeichert werden."
"Cannot send shipment information.","Versandinformationen können nicht gesendet werden."
"Cannot update item quantity.","Artikelmenge kann nicht aktualisiert werden."
"Cannot update the item's quantity.","Die Artikelmenge kann nicht aktualisiert werden."
"Card Verification Number","Kartenprüfnummer"
"Catalog","Katalog"
"Catalog Price Rules","Katalogpreisregeln"
"Catalog Rewrites","Katalog-Rewrites"
"Categories","Kategorien"
"Category","Kategorie"
"Category:","Kategorie:"
"Change Password","Passwort ändern"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Diagramm ist deaktiviert. Wenn Sie das Diagramm aktivieren möchten, klicken Sie <a href=""%s"">hier</a>."
"Checkbox","Checkbox"
"Child Transactions","Kind-Transaktionen"
"Choose an attribute","Attribut auswählen"
"Choose Store View:","Shopansicht auswählen:"
"Chosen category does not associated with any website, so url rewrite is not possible.","Gewählte Kategorien sind mit keiner Website verknüpft, daher ist ein Umschreiben von Url Rewrite nicht möglich."
"Chosen product does not associated with any website, so url rewrite is not possible.","Das gewählte Produkt ist mit keiner Website verknüpft, daher ist ein Umschreiben der URL nicht möglich."
"Clear","Leeren"
"Close","Schließen"
"close","schließen"
"CMS","CMS"
"Code","Code"
"Color scheme","Farbschema"
"Color scheme: dark","Farbschema: dunkel"
"Color scheme: follow system","Farbschema: dem System folgen"
"Color scheme: light","Farbschema: Licht"
"Comment text field cannot be empty.","Kommentar-Textfeld darf nicht leer sein."
"Compiled observers, cron jobs, routes, and API permissions.","Kompilierte Beobachter, Cron-Jobs, Routen und API-Berechtigungen."
"Config form fieldset clone model required to be able to clone fields","Konfiguriere das Formular Fieldset clone Model um Felder klonen zu können"
"Configuration","Konfiguration"
"Confirmation Of Authorization","Bestätigung der Autorisierung"
"Confirmed email:","Bestätigte E-Mail:"
"Confirm New Password","Neues Passwort bestätigen"
"Confirm token authorization for admin","Token Autorisierung für Admin bestätigen"
"Confirm token authorization Pop Up for admin","Token Autorisierung für Admin bestätigen"
"Continue","Weiter"
"Convert to Plain Text","In reinen Text konvertieren"
"Country","Land"
"Country:","Land:"
"Coupon Discount (Formatted Text)","Gutscheinrabatt (formatierter Text)"
"Coupon Discount Amount (Raw Number)","Rabattbetrag des Gutscheins (Rohnummer)"
"Coupons","Gutscheine"
"Create","Anlegen"
"Created At","Erstellt am"
"Create DB Backup","DB Sicherung erstellen"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Kreditkarte %s"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kreditkartenart"
"Credit memo #%s comment added","Rechnungskorrektur #%s Kommentar hinzugefügt"
"Credit memo #%s created","Rechnungskorrektur #%s erstellt"
"Credit memo's total must be positive.","Die Rechnungskorrektur muss positiv sein."
"Credit Memo History","Gutschriftsverlauf"
"Credit Memos","Gutschriften"
"Credit Memo Totals","Rechnungskorrektursumme"
"CRITICAL","KRITISCH"
"Critical","Kritisch"
"critical","kritisch"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab getrennt"
"Currency","Währung"
"Currency ""%s"" is used as %s in %s.","Währung ""%s"" wird als %s in %s verwendet."
"Currency doesn't exist.","Währung existiert nicht."
"Currency Information","Währungsinformationen"
"Current Admin Password","Aktuelles Admin-Passwort"
"Current Configuration Scope:","Aktueller Konfigurationsbereich:"
"Current Month","Aktueller Monat"
"Current password field cannot be empty.","Das aktuelle Passwortfeld darf nicht leer sein."
"Custom","Eigene"
"Customer","Kunde"
"Customer email address changed from %s to %s by %s.","E-Mail-Adresse des Kunden von %s auf %s von %s geändert."
"Customer Group:","Kundengruppe:"
"Customer Groups","Kundengruppen"
"Customer Name","Kundenname"
"Customer Reviews","Kundenbewertungen"
"Customers","Kunden"
"Customers by Number of Orders","Kunden nach Anzahl der Bestellungen"
"Customers by Orders Total","Kunden nach Bestellsumme"
"Customer Shopping Carts","Kunden-Einkaufswagen"
"Customer Since:","Kunde seit:"
"Customer Tax Classes","Kundensteuerklassen"
"Customer with the same email already exists.","Kunde mit der gleichen E-Mail existiert bereits."
"Custom Symbol","Eigenes Symbol"
"Custom Variable ""%s""","Benutzerdefinierte Variable ""%s"""
"Custom Variables","Eigene Variablen"
"Dashboard","Dashboard"
"Database","Datenbank"
"Dataflow - Advanced Profiles","Dataflow - Erweiterte Profile"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Datenformat"
"Data transfer:","Datenübertragung:"
"Date","Datum"
"Date & Time","Datum & Zeit"
"Date Added","Hinzugefügt am"
"Date Updated","Datum aktualisiert"
"Day","Tag"
"Debug","Debug"
"Decimal separator:","Dezimaltrenner:"
"Default (Admin) Values","Standardwerte (Admin)"
"Default Billing Address","Standard-Rechnungsadresse"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","Standardwährung ""%s"" ist in erlaubten Währungen nicht verfügbar."
"Default scope","Standardbereich"
"Default Symbol","Standardsymbol"
"Default Template from Locale","Standardvorlage aus Locale"
"Default Values","Standardwerte"
"Delete","Löschen"
"Delete %s","Löschen %s"
"Delete %s '%s'","%s '%s ' löschen"
"Delete Block","Block löschen"
"Delete File","Datei löschen"
"Delete Image","Bild löschen"
"Delete Profile","Profil löschen"
"Delete Role","Rolle löschen"
"Delete Store","Store löschen"
"Delete Store View","StoreView löschen"
"Delete Template","Vorlage löschen"
"Delete User","Benutzer löschen"
"Delete Variable","Variable löschen"
"Delete Website","Website löschen"
"Description","Beschreibung"
"Design","Design"
"Details","Details"
"Direction:","Richtung:"
"Disable","Deaktivieren"
"Disable All Email Communications","Deaktiviere alle E-Mail-Kommunikation"
"Disabled","Deaktiviert"
"Disallowed block name for frontend.","Nicht erlaubter Blockname für Frontend."
"Display default currency","Standardwährung anzeigen"
"Do nothing","Nichts tun"
"Download","Download"
"Downloads","Downloads"
"Do you really want to KILL parallel process and start new indexing process?","Wollen Sie wirklich den parallelen Prozess KILL starten und einen neuen Indizierungsprozess starten?"
"Drop-down","Drop-down"
"Edit","Bearbeiten"
"Edit Block","Block bearbeiten"
"Edit Block '%s'","Block '%s ' bearbeiten"
"Edit Design Change","Designänderung bearbeiten"
"Edit Email Template","E-Mail-Vorlage bearbeiten"
"Edit Order","Bestellung bearbeiten"
"Edit Queue","Warteschlange bearbeiten"
"Edit Review","Bewertung bearbeiten"
"Edit Role","Rolle bearbeiten"
"Edit Store View","StoreView bearbeiten"
"Edit System Template","Systemvorlage bearbeiten"
"Edit Template","Vorlage bearbeiten"
"Edit URL Rewrite","URL-Rewrite bearbeiten"
"Edit User","Benutzer bearbeiten"
"Edit User '%s'","Benutzer '%s ' bearbeiten"
"Edit Variable","Variable bearbeiten"
"Edit Variable '%s'","Variable '%s ' bearbeiten"
"Edit Website","Webseite bearbeiten"
"Email","E-Mail"
"Email:","Email:"
"Email Address:","E-Mail-Adresse:"
"Email can only be changed for guest orders.","E-Mail kann nur bei Gastbestellungen geändert werden."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","E-Mail-Transport ist deaktiviert. Bitte konfigurieren Sie einen E-Mail-Transport in den E-Mail-Sende-Einstellungen."
"Emergency","Notfall"
"Enable","Aktivieren"
"Enable 2FA","2FA aktivieren"
"Enabled","Aktiviert"
"Enable Password Authentication","Passwort-Authentifizierung aktivieren"
"Enclose Values In:","Werte einschließen in:"
"Engagement","Engagement"
"Enter current password and press ""Save Account"" to confirm passkey change.","Geben Sie das aktuelle Passwort ein und drücken Sie ""Konto speichern"", um die Passwortänderung zu bestätigen."
"Enter new email address:","Neue E-Mail-Adresse eingeben:"
"Enter the 6-digit code from your authenticator app","Geben Sie den 6-stelligen Code aus Ihrer Authentifizierungs-App ein"
"Entity Attributes","Entitäts-Attribute"
"Entity Type","Entitätstyp"
"Entity type:","Entitäts-Typ:"
"Entry & Exit Pages","Ein- und Ausstiegsseiten"
"Error","Fehler"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","Beispiel: ""sitemap/"" oder ""/"" für den Basispfad (Pfad muss beschreibbar sein)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","zzgl. Steuern"
"Excl. Tax:","zzgl. Steuern:"
"Expiration Date","Ablaufdatum"
"Export","Exportieren"
"Export:","Exportieren:"
"Export CSV","CSV exportieren"
"Export Filters","Filter exportieren"
"Export to:","Exportieren nach:"
"Failed","Fehler"
"failed","fehlgeschlagen"
"Failed to add a product to cart by id ""%s"".","Fehler beim Hinzufügen eines Artikels in den Warenkorb von der Id ""%s""."
"Failed to cancel the billing agreement.","Die Zahlungsvereinbarung konnte nicht storniert werden."
"Failed to delete the billing agreement.","Fehler beim Löschen der Zahlungsvereinbarung."
"Failed to send test email. Please check your email configuration and error logs.","Fehler beim Senden der Test-E-Mail. Bitte überprüfen Sie Ihre E-Mail-Konfiguration und Fehlerprotokolle."
"Failed to update the profile.","Fehler beim Aktualisieren des Profils."
"Field","Feld"
"Field Mapping","Feldzuordnung"
"File","Datei"
"File Information","Dateiinformation"
"File mode","Datei-Modus"
"File name:","Dateiname:"
"File System","Dateisystem"
"Finished profile execution.","Profilausführung abgeschlossen."
"First Invoice Created Date","Erstes Rechnungsdatum"
"First Name","Vorname"
"First Name:","Vorname:"
"First Name is required field.","Vorname ist ein Pflichtfeld."
"Fixed","Feste"
"Flush Catalog Images Cache","Katalogbilder-Cache leeren"
"Flush Minified CSS/JS Cache","Minified CSS/JS-Cache leeren"
"Flush Swatch Images Cache","Musterbilder-Cache leeren"
"For category","Für Kategorie"
"Forgot Admin Password","Admin-Passwort vergessen"
"Forgot your password?","Passwort vergessen?"
"Forgot your user name or password?","Benutzername oder Passwort vergessen?"
"For product","Für Produkt"
"From","Von"
"from","von"
"FTP Host[:Port]","FTP-Host[:Port]"
"General Information","Allgemeine Informationen"
"Give the verifier code to application administrator","Den Bestätigungscode an den Anwendungsadministrator vergeben"
"GLOBAL","GLOBAL"
"Global Search","Globale Suche"
"Google Sitemaps","Google Sitemaps"
"Go to messages inbox","Zum Posteingang"
"Go to notifications","Gehe zu Benachrichtigungen"
"Grand Total","Gesamtsumme"
"Grid (default) / List","Raster (Standard) / Liste"
"Grid Only","Nur Raster"
"Group:","Gruppe:"
"Guest","Gast"
"Health Check","Gesundheitscheck"
"Helper attributes should not be used in custom layout updates.","Helper Attribute sollten nicht in benutzerdefinierten Layout-Updates verwendet werden."
"Helper for options rendering doesn't implement required interface.","Helper für Optionsrendering implementiert nicht die erforderliche Schnittstelle."
"Home","Zuhause"
"HTTP (unsecure)","HTTP (unsicher)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Id","Id"
"ID Path","ID-Pfad"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Wenn ein Konto mit %s verbunden ist, erhalten Sie eine E-Mail mit einem Link zum Zurücksetzen Ihres Passworts."
"If this message persists, please contact the store owner.","Wenn diese Nachricht weiterhin besteht, wenden Sie sich bitte an den Shop-Eigentümer."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Wenn Sie keinen Optionswert für eine bestimmte Shopansicht angeben, wird der Standardwert (Admin) verwendet."
"Images Cache","Images Cache"
"Import","Importieren"
"Import/Export","Import/Export"
"Import/Export Advanced","Erweiterte Import/Export"
"Import/Export Profile","Import/Export Profil"
"Import and Export","Import und Export"
"Import and Export Tax Rates","Steuersätze importieren und exportieren"
"Imported <strong>%s</strong> records","Importierte <strong>%s</strong> Datensätze"
"Import Service","Import-Service"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. Steuern"
"Incl. Tax:","inkl. Steuern:"
"Incoming Message","Eingehende Nachricht"
"In Database:","In Datenbank:"
"In File:","In Datei:"
"Informational","Informativ"
"Input fields (from - to)","Eingabefelder (von - zu)"
"Insert Variable...","Variable einfügen..."
"Interactive","Interaktiv"
"Interface Locale: %s","Schnittstellensprache: %s"
"Internal Error","Interner Fehler"
"Invalid 2FA verification code","Ungültiger 2FA-Bestätigungscode"
"Invalidated","Ungültig"
"Invalid current password.","Ungültiges aktuelles Passwort."
"Invalid data","Ungültige Daten"
"Invalid email address ""%s"".","Ungültige E-Mail-Adresse ""%s""."
"Invalid email address.","Ungültige E-Mail-Adresse."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Ungültiger Feldname '%s', darf nicht einer von NOT, AND, ODER, XOR sein"
"Invalid Form Key. Please refresh the page.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite."
"Invalid Import Service Specified","Ungültiger Import-Service angegeben"
"Invalid input data for %s => %s rate","Ungültige Eingabedaten für %s => %s Rate"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Ungültiger Operator '%s', muss einer von NOT, AND, ODER, XOR sein"
"Invalid parent block for this block","Ungültiger Elternblock für diesen Block"
"Invalid parent block for this block.","Ungültiger Elternblock für diesen Block."
"Invalid password reset token.","Ungültiges Passwort-Reset Token."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Ungültige POST-Daten (bitte überprüfen Sie die Einstellungen post_max_size und upload_max_filesize in Ihrer php.ini-Datei)."
"Invalid request method","Ungültige Anfragemethode"
"Invalid response","Ungültige Antwort"
"Invalid Secret Key. Please refresh the page.","Ungültiger Geheimschlüssel. Bitte aktualisieren Sie die Seite."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Ungültiger Absendername ""%s"". Bitte verwenden Sie nur sichtbare Zeichen und Leerzeichen."
"Invalid template data.","Ungültige Vorlagendaten."
"Invalid template path used in layout update.","Ungültiger Template-Pfad für Layout-Update."
"Invalid timezone","Ungültige Zeitzone"
"Invalid User Name or Password.","Ungültiger Benutzername oder Passwort."
"Inventory Stock Status","Lagerbestand Status"
"Invoice #%s comment added","Rechnung #%s Kommentar hinzugefügt"
"Invoice #%s created","Rechnung #%s erstellt"
"Invoice canceling error.","Fehler beim Stornieren der Rechnung."
"Invoice capturing error.","Fehler beim Erfassen der Rechnung."
"Invoice History","Rechnungsverlauf"
"Invoices","Rechnungen"
"Invoice Totals","Rechnungssumme"
"Invoice voiding error.","Invoice voiding error."
"IP Address","IP-Adresse"
"Is Allowed","Ist erlaubt"
"Is Allowed is required field.","Ist erlaubt ist ein Pflichtfeld."
"Is Closed","Ist geschlossen"
"Is Default","Ist Standard"
"Issue Number","Ticket Nummer"
"Items","Artikel"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS-Cache"
"Languages","Sprachen"
"Last 5 Orders","Letzte 5 Bestellungen"
"Last 5 Search Terms","Letzte 5 Suchbegriffe"
"Last 7 Days","Letzte 7 Tage"
"Last 24 Hours","Letzte 24 Stunden"
"Last Credit Memo Created Date","Letzte Rechnungskorrektur erstellt am"
"Last Invoice Created Date","Letztes Rechnungsdatum"
"Last Logged In (%s):","Zuletzt eingeloggt (%s):"
"Last Logged In:","Zuletzt eingeloggt:"
"Last Name","Nachname"
"Last Name:","Nachname:"
"Last Name is required field.","Nachname ist ein Pflichtfeld."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Zuletzt aktualisiert: %s. Um die <a href=""%s"">Statistik</a>zu aktualisieren, klicken Sie <a href=""%s"">hier</a>."
"Latest Message:","Letzte Nachricht:"
"Layered Navigation Indices","Indizes der Filternavigation"
"Layered Navigation Indices were refreshed.","Indizes für Filternavigation wurden aktualisiert."
"Leave empty to use tax identifier","Leer lassen, um Steuer-Bezeichner zu verwenden"
"Lifetime","Lebensdauer"
"Lifetime Sales","Lebenslange Verkäufe"
"Lifetime statistics have been updated.","Lebenslange Statistiken wurden aktualisiert."
"Links","Links"
