"-- Please Select --","-- Bitte wählen --"
"Account Created In Store","Konto im Store erstellt"
"Generate a unique coupon code for each customer","Generieren Sie einen einzigartigen Gutscheincode für jeden Kunden"
"Generate Coupon","Gutschein generieren"
"Generate unique coupon","einmaligen Gutschein generieren"
"Grouped Product","Gruppiertes Produkt"
"hours","std"
"If %s %s %s","Wenn %s %s %s"
"Immediate","Sofort"
"Invalid newsletter template selected.","Ungültige Newsletter-Vorlage ausgewählt."
"Invalid request.","Ungültige Anfrage."
"Invalid sales rule selected for coupon generation.","Ungültige Verkaufsregel für die Gutscheingenerierung ausgewählt."
"Invalid segment.","Ungültiges Segment."
"Invalid status.","Ungültiger Status."
"Invalid trigger type.","Ungültiger Triggertyp."
"Is Active","Ist aktiv"
"Items Count","Artikelanzahl"
"Items Quantity","Artikelmenge"
"Last Refreshed","Zuletzt aktualisiert"
"Last Updated Date","Zuletzt aktualisiert am"
"Last Viewed Date","Zuletzt angesehenes Datum"
"Last Viewed Date","Zuletzt angesehenes Datum"
"Leave empty to apply to all customer groups","Leer lassen, um für alle Kundengruppen anzuwenden"
"Lifetime Profit (Sales - Refunds)","Lebenszeitgewinn (Verkäufe - Erstattung)"
"Lifetime Refunds Amount","Erstattungsbetrag auf Lebenszeit"
"Lifetime Sales Amount","Lebenslange Verkaufssumme"
"Manage Email Sequences","E-Mail-Sequenzen verwalten"
"Manage Segments","Segmente verwalten"
"Manual","Manuell"
"Master switch to enable/disable all email automation for this segment","Master-Schalter zum Aktivieren/Deaktivieren aller E-Mail-Automatisierung für dieses Segment"
"minutes","minuten"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minuten vor dem Senden warten (0 = Sofort, 60 = 1 Stunde, 1440 = 1 Tag)"
"Mode","Modus"
"New Email Sequence Step for ""%s""","Neuer E-Mail-Sequenz-Schritt für ""%s"""
"New Segment","Neues Segment"
"New Sequence","Neue Sequenz"
"Newsletter","Newsletter"
"Newsletter Subscription","Newsletter-Abonnement"
"Newsletter Template","Newsletter-Vorlage"
"Newsletter template to use for this step","Newsletter-Vorlage für diesen Schritt"
"None","Keine"
"Not Active","Nicht aktiv"
"Number of days until coupon expires (default: 30)","Anzahl der Tage bis der Gutschein abläuft (Standard: 30)"
"Number of Orders","Anzahl der Bestellungen"
"Order","Sortierung"
"Order History","Bestellverlauf"
"Order in the email sequence (1, 2, 3...)","Bestellung in der E-Mail-Sequenz (1, 2, 3...)"
"Pending","Ausstehend"
"Personal Information","Persönliche Informationen"
"Please save the segment first.","Bitte zuerst das Segment speichern."
"Please select...","Bitte auswählen..."
"Please select at least one website.","Bitte wählen Sie mindestens eine Website aus."
"Please select segment(s).","Bitte Segment(en) auswählen."
"Prefix for coupon codes","Präfix für Gutscheincodes"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Präfix für generierte Gutscheincodes (z.B. CART, WELCOME)"
"Processing","Verarbeitung"
"Product: %s","Produkt: %s"
"Product Type","Produkttyp"
"Progress record already exists for this customer and sequence.","Der Fortschritts-Datensatz für diesen Kunden und seine Sequenz existiert bereits."
"Purchase Date","Kaufdatum"
"Quantity in Cart","Menge im Warenkorb"
"Quantity Ordered","Bestellte Menge"
"Refresh Mode","Aktualisierungsmodus"
"Refresh Segments","Segmente aktualisieren"
"Row Total","Zeilensumme"
"Row Total (Inc. Tax)","Zeilensumme (Inc. Steuer)"
"Sales rule does not exist.","Verkaufsregel existiert nicht."
"Sales rule is not active.","Verkaufsregel ist nicht aktiv."
"Sales rule is required when coupon generation is enabled.","Verkaufsregel ist erforderlich, wenn Gutscheingenerierung aktiviert ist."
"Sales rule must be configured for specific coupon codes.","Verkaufsregel muss für bestimmte Gutscheincodes konfiguriert werden."
"Sales rule must have auto-generation enabled.","Verkaufsregel muss automatisch generiert werden."
"Sales rule to base coupon on","Verkaufsregel zum Basisgutschein"
"Sales rule to use as template for generated coupons","Verkaufsregel als Vorlage für generierte Gutscheine"
"Save and Continue Edit","Speichern und Bearbeiten fortsetzen"
"Save Email Sequences","E-Mail Sequenzen speichern"
"Save Segment","Segment speichern"
"Save Segments","Segmente speichern"
"Scheduled","Geplant"
"Segment ID is required.","Segment-ID ist erforderlich."
"Segment Information","Segmentinformationen"
"Segment Name","Segmentname"
"Segment name is required.","Segmentname ist erforderlich."
"Segment Refresh Cron Schedule","Cron-Zeitplan für Segment aktualisieren"
"Selected sales rule is not active.","Ausgewählte Verkaufsregel ist nicht aktiv."
"Selected sales rule must be configured for ""Specific Coupon"" type.","Die gewählte Verkaufsregel muss für den Typ ""Spezifischer Coupon"" konfiguriert werden."
"Selected sales rule must have ""Use Auto Generation"" enabled.","Ausgewählte Verkaufsregel muss ""Automatische Erzeugung verwenden"" aktiviert haben."
"Sent","Gesendet"
"Sequence ID is required.","Sequenz-ID ist erforderlich."
"Sequence not found.","Sequenz nicht gefunden."
"Sequence step %d: %s","Sequenz-Schritt %d: %s"
"Sequence Step Settings","Sequenz-Schritt-Einstellungen"
"Shopping Cart","Warenkorb"
"Shopping Cart Information","Warenkorb-Informationen"
"Simple Product","Einfaches Produkt"
"Skipped","Übersprungen"
"Statistics","Statistiken"
"Status Change Date","Datum der Statusänderung"
"Step","Schritt"
"Step Number","Schrittnummer"
"Step number %d already exists for this segment %s trigger.","Schrittnummer %d existiert bereits für dieses Segment %s Trigger."
"Step number must be greater than 0.","Schrittnummer muss größer als 0 sein."
"Subject","Betreff"
"Subscription Status","Abonnementstatus"
"Template ID is required.","Template-ID ist erforderlich."
"The email sequence has been deleted.","Die E-Mail-Sequenz wurde gelöscht."
"The email sequence has been saved.","Die E-Mail-Sequenz wurde gespeichert."
"The segment has been deleted.","Das Segment wurde gelöscht."
"The segment has been refreshed.","Das Segment wurde aktualisiert."
"The segment has been saved.","Das Segment wurde gespeichert."
"This segment no longer exists.","Dieses Segment existiert nicht mehr."
"This sequence no longer exists.","Diese Sequenz existiert nicht mehr."
"Total of %d record(s) were deleted.","Insgesamt wurden %d Einträge(n) gelöscht."
"Total of %d record(s) were updated.","Gesamte %d Einträge(n) wurden aktualisiert."
"Total Ordered Amount","Gesamt bestellter Betrag"
"Trigger event must be either ""enter"" or ""exit"".","Trigger-Ereignis muss entweder ""Enter"" oder ""Beenden"" sein."
"Unable to find a segment to refresh.","Konnte kein Segment zum Aktualisieren finden."
"Unknown Segment","Unbekanntes Segment"
"View","Ansicht"
"View Count","Anzahl anzeigen"
"View Customers in Segment","Kunden im Segment anzeigen"
"Viewed","Angesehen"
"Viewed Products","Gesehene Produkte"
"Virtual Product","Virtuelles Produkt"
"When customer enters segment","Wenn der Kunde das Segment betreten"
"When customer exits segment","Wenn der Kunde das Segment verlassen"
"Wishlist","Wunschliste"
"Wishlist Items Count","Anzahl Wunschzettel"
"Wishlist Shared","Wunschliste geteilt"
