"Action","Aktion"
"Resume","Wiederaufnehmen"
"Return HTML Version","HTML-Version ausgeben"
"Save and Resume","Speichern und fortsetzen"
"Save As","Speichern als"
"Save Newsletter","Newsletter speichern"
"Save Template","Vorlage speichern"
"Segment Name","Segment Name"
"Selected problems have been deleted.","Ausgewählte Probleme wurden gelöscht."
"Selected problem subscribers have been unsubscribed.","Ausgewählte Empfänger mit Problemen wurden vom Abonnement abgemeldet."
"Sender","Absender"
"Sender Email","Absender E-Mail"
"Sender Name","Absendername"
"Sender name is required","Sender name is required"
"Sending","Wird gesendet"
"Sent","Gesendet"
"Sequence Step Number","Sequence Step Number"
"Sign up for our newsletter","Anmeldung für unseren Newsletter"
"Sign Up for Our Newsletter:","Melden Sie sich für unseren Newsletter an:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Leider gestattet der Administrator keine Gastanmeldung. Bitte <a href=""%s"">registrieren Sie sich</a>."
"Start","Starten"
"Status","Status"
"Store","Shop"
"Store View","StoreView"
"Subject","Betreff"
"Submit","Absenden"
"Subscribe","Abonnieren"
"Subscribed","Abonniert"
"Subscriber","Abonnent"
"Subscriber Email","Subscriber Email"
"Subscribers","Abonnenten"
"Subscribers From","Abonnenten von"
"Subscription Options","Abonnementoptionen"
"Success Email Sender","Absender für Erfolgs-E-Mail"
"Success Email Template","Vorlage für Erfolgs-E-Mail"
"Template code is required","Template code is required"
"Template Content","Vorlageninhalt"
"Template Information","Vorlageninformationen"
"Template Name","Vorlagenname"
"Template Styles","Vorlagen-Stile"
"Template Subject","Vorlage-Betreff"
"Template Type","Vorlagentyp"
"Template type must be numeric","Template type must be numeric"
"Thank you for your subscription.","Vielen Dank für Ihre Anmeldung."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"There was a problem with the subscription.","Es gab ein Problem bei der Anmeldung."
"There was a problem with the subscription: %s","Bei der Anmeldung trat folgender Fehler auf: ""%s"""
"There was a problem with the un-subscription.","Bei der Abmeldung trat ein Fehler auf."
"The subscription has been removed.","Die Anmeldung wurde gelöscht."
"The subscription has been saved.","Die Anmeldung wurde gespeichert."
"This email address is already assigned to another user.","Diese E-Mail-Adresse ist bereits einem anderen Nutzer zugewiesen."
"This email address is already confirmed.","Diese E-Mail-Adresse ist bereits bestätigt."
"This email address is already registered.","Diese E-Mail-Adresse ist bereits registriert."
"Type","Typ"
"Unconfirmed","Unbestätigt"
"Unsubscribe","Abbestellen"
"Unsubscribed","Abbestellt"
"Unsubscribe Link","Unsubscribe Link"
"Unsubscribe Selected","Ausgewählte abmelden"
"Unsubscription Email Sender","Absender Abmeldungs-E-Mail"
"Unsubscription Email Template","Vorlage Abmeldungs-E-Mail"
"View Newsletter","Newsletter anzeigen"
"Website","Webseite"
"You have been unsubscribed.","Sie haben sich erfolgreich abgemeldet."
"Your subscription has been confirmed.","Ihr Abonnement wurde bestätigt."
