"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s wurde zu Ihrer Wunschliste hinzugefügt. Klicken Sie <a href=""%2$s"">hier</a> um weiter einzukaufen."
"%1$s has been updated in your wishlist.","%1$s wurde auf Ihrer Wunschliste aktualisiert."
"%d product(s) have been added to shopping cart: %s.","%d Produkt(e) wurden dem Warenkorb hinzugefügt: %s."
"%s's Wishlist","%sWunschzettel"
"%s for ""%s"".","%s für ""%s""."
"%s has been moved to wishlist %s","%s wurde in die Wunschliste %s verschoben"
"%s has been moved to wishlist %s. Please note that uploaded files will need to be re-uploaded when adding to cart.","%s wurde in die Wunschliste %sverschoben. Bitte beachten Sie, dass hochgeladene Dateien beim Hinzufügen in den Warenkorb erneut hochgeladen werden müssen."
"%s was added to your shopping cart.","%s wurde in Ihren Warenkorb gelegt."
"* Required Fields","* Pflichtfelder"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Aktivieren Sie dieses Kontrollkästchen, wenn Sie einen Link zu einem RSS-Feed Ihrer Wunschliste hinzufügen möchten."
"Click for price","Für Preis anklicken"
"Comment","Kommentar"
"Comment:","Kommentar:"
"Configured Price:","Konfigurierter Preis:"
"Configure Wishlist Item","Wunschlisten-Element konfigurieren"
"Could not find wishlist","Konnte Wunschliste nicht finden"
"Customer My Account My Wishlist","Kunde - Mein Konto - Mein Wunschzettel"
"Customer My Account Wishlist Sharing Form","Kunde Mein Konto Mein Wunschzettel Freigabeformular"
"Customer Shared Wishlist View","Geteilte Wunschlistenansicht des Kunden"
"Date Added","Hinzugefügt am"
"Days in Wishlist","Tage in der Wunschliste"
"Display Wishlist Summary","Wunschlistenübersicht anzeigen"
"Edit","Bearbeiten"
"Email address can't be empty.","E-Mail-Adresse darf nicht leer sein."
"Email Sender","E-Mail Absender"
"Email Template","E-Mail-Vorlage"
"Enabled","Aktiviert"
"General Options","Allgemeine Optionen"
"Go to Wishlist","Gehe zur Wunschliste"
"Helper for wishlist options rendering doesn't implement required interface.","Helfer für die Darstellung von Wunschlisten-Optionen implementiert nicht die erforderliche Schnittstelle."
"In stock","Auf Lager"
"Last Added Items","Zuletzt hinzugefügte Artikel"
"Message","Nachricht"
"My Wishlist","Mein Wunschzettel"
"My Wishlist (%d item)","Mein Wunschzettel (%d Artikel)"
"My Wishlist (%d items)","Mein Wunschzettel (%d Artikel)"
"My Wishlist <small>(%d)</small>","Meine Wunschliste <small>(%d)</small>"
"My Wishlist Link","Mein Wunschzettel Link"
"Options Details","Optionsdetails"
"Out of stock","Nicht auf Lager"
"Please, enter your comments...","Bitte geben Sie Ihre Kommentare ein..."
"Please add product to wishlist again.","Bitte fügen Sie das Produkt erneut zur Wunschliste hinzu."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Bitte geben Sie eine gültige E-Mail-Adresse ein, getrennt durch Kommas. Zum Beispiel johndoe@domain.com, johnsmith@domain.com."
"Please enter no more than 5 email addresses.","Bitte geben Sie nicht mehr als 5 E-Mail-Adressen ein."
"Please input a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse ein."
"Price","Preis"
"Product","Produkt"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produkte %s haben erforderliche Optionen. Jede von ihnen kann nur separat in den Warenkorb gelegt werden."
"Qty","Menge"
"Remove Item","Element entfernen"
"Remove item","Element entfernen"
"Remove This Item","Dieses Element entfernen"
"Requested cart item doesn't exist","Angeforderter Warenkorb-Artikel existiert nicht"
"Requested wishlist doesn't exist","Angeforderte Wunschliste existiert nicht"
"RSS Feed","RSS-Feed"
"RSS link to %s's wishlist","RSS-Link zur Wunschliste von %s"
"Share Options","Optionen teilen"
"Share Wishlist","Wunschliste teilen"
"Share Your Wishlist","Wunschliste teilen"
"Sharing Information","Weitergabe von Informationen"
"SKU","SKU"
"This product(s) is currently out of stock","Dieses Produkt(e) ist derzeit nicht auf Lager"
"This Wishlist has no Items","Dieser Wunschzettel hat keine Artikel"
"Unable to add the following product(s) to shopping cart: %s.","Folgende Artikel(e) konnten nicht zum Warenkorb hinzugefügt werden: %s."
"Update Wishlist","Wunschliste aktualisieren"
"Up to 5 email addresses, separated by commas","Bis zu 5 E-Mail-Adressen, durch Kommas getrennt"
"User Description","Benutzerbeschreibung"
"View Details","Details anzeigen"
"View Product","Produkt anzeigen"
"What's this?","Was ist das?"
"Wishlist","Wunschliste"
"Wishlist could not be created.","Wunschliste konnte nicht erstellt werden."
"Wishlist is empty now.","Wunschliste ist jetzt leer."
"Wishlist Sharing","Wunschzettel teilen"
"You have no items in your wishlist.","Sie haben keine Artikel in Ihrer Wunschliste."
"Your Wishlist has been shared.","Ihr Wunschzettel wurde geteilt."
