"* Select shipping method","* Versandart auswählen"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Versand - Versanddienst berechnet"
"Google Checkout Shipping - Digital Delivery","Google Checkout Versand - Digitale Lieferung"
"Google Checkout Shipping - Flat Rate","Google Checkout Versand - Pauschale"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Versand - Händler berechnet"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google-Bestellnummer: %s"
"Google Order Status Change:","Änderung des Google-Bestellstatus:"
"Google Refund:","Google Erstattung:"
"Google Risk Information:","Google Risikoinformationen:"
"GoogleCheckout is not configured","GoogleCheckout ist nicht konfiguriert"
"Ground","Boden"
"Hide Cart Contents","Warenkorb-Inhalt ausblenden"
"Home Delivery","Hauszustellung"
"IP Address: %s","IP-Adresse: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Wenn aktiviert, werden die Warenkorb-Inhalte ausgeblendet, nachdem Sie auf den GoogleCheckout-Button im Warenkorb geklickt haben, und wiederhergestellt, wenn ""Warenkorb bearbeiten"" Link aktiviert wurde."
"Inches","Zoll"
"Invoice Auto-Created: %s","Rechnung automatisch erstellt: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Willst der Käufer Marketing-E-Mails erhalten: %s"
"Key/URL delivery","Schlüssel/URL Lieferung"
"Large - %s","Groß - %s"
"Latest Charge: %s","Letzte Ladung: %s"
"Latest Chargeback: %s","Letzte Rückbuchung: %s"
"Latest Refund: %s","Letzte Erstattung: %s"
"Location","Standort"
"Media Mail","Medien-Mail"
"Medium - %s","Mittel - %s"
"Merchant ID","Händler-ID"
"Merchant Key","Händlerschlüssel"
"Method","Methode"
"New Order Status","Neuer Bestellstatus"
"Next Day Air","Nächster Tag Luft"
"Next Day Air Early AM","Nächster Tag Air Early AM"
"Next Day Air Saver","Nächster Tag Luftsparmodus"
"No","Nein"
"No Comment","Kein Kommentar"
"No Reason","Kein Grund"
"Optimistic","Optimistisch"
"Optional, leave empty for home page.","Optional, leer lassen für die Homepage."
"Order creation error","Fehler beim Erstellen der Bestellung"
"Parcel Post","Paketpost"
"Pessimistic","Pessimistic"
"Priority Mail","Priority Mail"
"Priority Overnight","Priorität über Nacht"
"Rate 1 Amount","Rate 1 Betrag"
"Rate 1 Ship To Applicable Countries","Rate 1 Versand an zulässige Länder"
"Rate 1 Ship to Specific Countries","Rate 1 Versand an bestimmte Länder"
"Rate 1 Title","Rate 1 Titel"
"Rate 2 Amount","Rate 2 Betrag"
"Rate 2 Ship To Applicable Countries","Rate 2 Versand an zulässige Länder"
"Rate 2 Ship to Specific Countries","Rate 2 Versand an bestimmte Länder"
"Rate 2 Title","Rate 2 Titel"
"Rate 3 Amount","Rate 3 Betrag"
"Rate 3 Ship To Applicable Countries","Rate 3 Versand an zulässige Länder"
"Rate 3 Ship to Specific Countries","Rate 3 Versand an bestimmte Länder"
"Rate 3 Title","Rate 3 Titel"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Erforderlich für Live Google Checkout Transaktionen. Stellen Sie sicher, dass diese Option der Verwendung sicherer URLs im Frontend entspricht (""Web"" > ""Sicherstellung"")."
"Residential","Wohngebiet"
"Sandbox","Sandbox"
"Secure Callback URL","Secure Callback URL"
"Small - %s","Klein - %s"
"Standard Overnight","Standard Übernachtung"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Der Steuerbetrag wurde basierend auf den Informationen von Google Checkout angewendet weil der Steuerbetrag von Google Checkout sich von dem errechneten Steuerbetrag unterscheidet"
"Title","Titel"
"Total Chargeback: %s","Gesamt Rückbuchung: %s"
"Total Charged: %s","Gesamt geladen: %s"
"Total Refunded: %s","Gesamt erstattet: %s"
"Transparent","Transparent"
"UPS","USV"
"USPS","USPS"
"United Kingdom","Großbritannien"
"United States","Vereinigte Staaten"
"Unknown Reason","Unbekannter Grund"
"White Background","Weißer Hintergrund"
"Yes","Ja"
"You will be redirected to GoogleCheckout in a few seconds.","Sie werden in wenigen Sekunden zu GoogleCheckout weitergeleitet."
