"# of Use","# Benutzen"
"%1$s incl tax.","%1$s inkl. Steuer."
"%s-%s of %s","%s-%s von %s"
"%s and above","%s und höher"
"%s Item(s)","%s Eintrag(e)"
"Catalog Seo Sitemap (Category Tree)","Katalog Seo Sitemap (Kategoriebaum)"
"Catalog Seo Sitemap (Common)","Katalog Seo Sitemap (gemeinsam)"
"Catalog Seo Sitemap (Product List)","Katalog Seo Sitemap (Produktliste)"
"Catalog URL Rewrites","Katalog-URL-Rewrites"
"Categories","Kategorien"
"categories","kategorie"
"Categories Sitemap","Kategorien Sitemap"
"Category","Kategorie"
"Category API","Kategorie-API"
"Category attributes API","API für Kategorie-Attribute"
"Category Data","Kategorie-Daten"
"Category delete error: %s","Fehler beim Löschen der Kategorie: %s"
"Category Flat Data","Kategorieflat Daten"
"Category ID","Kategorie-ID"
"Category is not dynamic.","Kategorie ist nicht dynamisch."
"Category Link Block Template","Kategorie Link Blockvorlage"
"Category Link Inline Template","Kategorie-Link-Inline-Vorlage"
"Category move error: %s","Fehler beim Verschieben der Kategorie: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorie muss eine Instanz von Mage_Catalog_Model_Category sein."
"Category not found.","Kategorie nicht gefunden."
"Category Products","Kategorie-Produkte"
"Category save error: %s","Kategorie-Speicherfehler: %s"
"Category Top Navigation","Kategorie-Top Navigation"
"Category URL Suffix","Kategorie-URL-Suffix"
"Category was not found.","Kategorie wurde nicht gefunden."
"Center","Zentriert"
"Change","Ändern"
"Change Attribute Set","Attribut-Set ändern"
"Change or Retrieve attribute store view","Attribut StoreView ändern oder abrufen"
"Change status","Status ändern"
"Changing the attribute set may result in data loss for attributes that do not exist in the new set. Are you sure?","Das Ändern der Attributmenge kann zu Datenverlust für Attribute führen, die nicht im neuen Set vorhanden sind. Sind Sie sicher?"
"Check items to add to the cart or","Artikel zum Hinzufügen in den Warenkorb auswählen"
"Choose an Option...","Wählen Sie eine Option..."
"Clear All","Alles löschen"
"Clear Price","Preis löschen"
"Click for price","Für Preis anklicken"
"Close Window","Fenster schließen"
"Collapse All","Alle einklappen"
"Comma-separated.","Komma-getrennt."
"Comparable","Vergleichbar"
"Comparable on Front-end","Vergleichbar auf Front-End"
"Comparable on the Frontend","Vergleichbar im Frontend"
"Compare","Vergleichen"
"Compare Products","Produkte vergleichen"
"Conditions","Bedingungen"
"Conditions Combination","Bedingungskombination"
"Configurable","Konfigurierbar"
"Configurable Product Settings","Konfigurierbare Produkteinstellungen"
"Continue","Weiter"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Steuert die Anzeige der Schaltflächen ""In den Warenkorb einfügen"" und ""Details anzeigen"" in Kategorieseiten und Produktlisten. Wenn deaktiviert, können nur Produktnamen und Bilder angeklickt werden."
"Copy From Configurable","Kopieren von konfigurierbar"
"Country/State","Land / Staat"
"Create","Anlegen"
"Create (Upload)","Erstellen (Hochladen)"
"Create attribute set based on another set","Attributset basierend auf einem anderen Set erstellen"
"Create Empty","Leer erstellen"
"Create new attribute","Neues Attribut erstellen"
"Create new category","Neue Kategorie erstellen"
"Create new product","Neues Produkt erstellen"
"Create Permanent Redirect for old URL","Permanente Weiterleitung für alte URL erstellen"
"Create Permanent Redirect for URLs if URL Key Changed","Permanente Weiterleitung für URLs erstellen, wenn der URL-Schlüssel geändert wurde"
"Create Product Settings","Produkteinstellungen erstellen"
"Create Simple Associated Product","Einfaches verknüpftes Produkt erstellen"
"Cross-sells","Cross-Sells"
"Custom Design","Eigenes Design"
"Customer Group","Kundengruppe"
"Customers Reviews","Kundenbewertungen"
"Customers Tagged Product","Kunden markiertes Produkt"
"Custom Options","Eigene Optionen"
"Custom options","Eigene Optionen"
"Data Type for Saving in Database","Datentyp zum Speichern in der Datenbank"
"Date & Time Custom Options","Datum & Uhrzeit benutzerdefinierte Optionen"
"Date Subscribed","Anmeldedatum"
"Datetime","Datumszeit"
"Decimal","Dezimalzahl"
"Declare attribute value saving scope","Speicherbereich für Attributwerte festlegen"
"Default ""What's This"" Text Message","Standard ""Was ist das"" Text Nachricht"
"Default Popup Text Message","Standard Popup Textnachricht"
"Default Price","Standardpreis"
"Default Price Navigation Step","Standard-Preisnavigationsschritt"
"Default Qty","Default Qty"
"Default Values","Standardwerte"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definiert den Umfang der Basiswährung (""WährungsSetup"" > ""Währungsoptionen"" > ""Basiswährung"")."
"Delete","Löschen"
"Delete Attribute","Attribut löschen"
"Delete attribute","Attribut löschen"
"Delete Attribute Set","Attribut-Set löschen"
"Delete Category","Kategorie löschen"
"Delete category","Kategorie löschen"
"Delete File","Datei löschen"
"Delete Group Price","Gruppenpreis löschen"
"Delete product","Produkt löschen"
"Delete Row","Zeile löschen"
"Delete Search","Suche löschen"
"Delete Tier","Lösche Stufe"
"Depends on design theme","Abhängig vom Design Design"
"Description","Beschreibung"
"Design","Design"
"Details","Details"
"Disabled","Deaktiviert"
"Disallowed file format.","Dateiformat nicht erlaubt."
"Disallowed file type.","Nicht erlaubter Dateityp."
"Display Actual Price","Aktuellen Preis anzeigen"
"Display in Suggested Terms","In empfohlenen Termini anzeigen"
"Display Page Control","Seitensteuerung anzeigen"
"Display Price Interval as One Price","Preisintervall als Einzelpreis anzeigen"
"Display Product Count","Produktzahl anzeigen"
"Display Type","Anzeigetyp"
"Downloadable Information","Herunterladbare Informationen"
"Do you want to duplicate the product images as well?","Möchten Sie auch die Produktbilder duplizieren?"
"Do you want to duplicate the product images as well?","Möchten Sie auch die Produktbilder duplizieren?"
"Duplicate","Duplicate"
"Duplicate Product","Produkt duplizieren"
"Duplicate website, country and state tax found.","Doppelte Webseite, Landes- und Landessteuer gefunden."
"Duplicate website group price customer group.","Kundengruppe der Webseitengruppe duplizieren."
"Duplicate website tier price customer group and quantity.","Duplizieren von Webseiten-Staffelpreisgruppen und -mengen."
"Dynamic category processed successfully.","Dynamische Kategorie erfolgreich verarbeitet."
"Dynamic Category Rules","Dynamische Kategorie-Regeln"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Z.B. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamische Direktiven analysieren beeinträchtigt die Katalogleistung."
"each","jeder"
"Edit","Bearbeiten"
"Edit Attribute Set '%s'","Attributset '%s ' bearbeiten"
"Edit Product Attribute","Produkt-Attribut bearbeiten"
"Edit Product Attribute ""%s""","Produkt-Attribut ""%s "" bearbeiten"
"Edit Search","Suche bearbeiten"
"Edit Search '%s'","Suche '%s ' bearbeiten"
"Edit Set Name","Set Name bearbeiten"
"Email","E-Mail"
"Empty","Leer"
"Enable Add to cart Button in product listings","Zum Warenkorb-Button in Produktlisten hinzufügen"
"Enabled","Aktiviert"
"Enable MAP","MAP aktivieren"
"Enable Qty Increments","Mengensteigerungen aktivieren"
"Enable WYSIWYG","WYSIWYG aktivieren"
"Error during retrieval of option value: %s","Fehler beim Abrufen des Optionswertes: %s"
"Error loading children: %s","Fehler beim Laden der Unterseiten: %s"
"ex. http://domain.com","z. B. http://domain.com"
"Exclude","Ausschließen"
"Expand All","Alle aufklappen"
"Failed","Fehler"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Fehler beim Kopieren der Datei %s. Bitte löschen Sie Medien mit nicht vorhandenen Bildern und versuchen Sie es erneut."
"Failed to move file: %s","Fehler beim Verschieben der Datei: %s"
"Field is not complete","Feld ist nicht vollständig"
"File","Datei"
"File options format is not valid.","Dateioptionen Format ist ungültig."
"File upload failed","Datei-Upload fehlgeschlagen"
"File upload failed. Please contact the store administrator.","Datei-Upload fehlgeschlagen. Bitte kontaktieren Sie den Shop-Administrator."
"File upload failed with error code: %s","Datei-Upload fehlgeschlagen mit Fehlercode: %s"
"Filter","Filtern"
"Filterable (no results)","Filterbar (keine Ergebnisse)"
"Filterable (with results)","Filterbar (mit Ergebnisse)"
"Filter model name must be declared.","Filtermodellname muss deklariert werden."
"Filter must be an object. Please set correct filter.","Filter muss ein Objekt sein. Bitte setzen Sie den korrekten Filter."
"Filters","Filter"
"First Name","Vorname"
"Fixed","Feste"
"For internal use.","Für den internen Gebrauch."
"For the last time placed.","Zum letzten Mal platziert."
"From","Von"
"Frontend","Frontend"
"Frontend Properties","Frontend Eigenschaften"
"Gallery","Galerie"
"General Information","Allgemeine Informationen"
"Get full information about attribute with list of options","Erhalten Sie vollständige Informationen über Attribut mit Optionsliste"
"Get full information about custom option in product","Erhalten Sie vollständige Informationen über benutzerdefinierte Optionen in Produkt"
"Get list of available custom option types","Liste der verfügbaren benutzerdefinierten Optionsarten erhalten"
"Get list of non-default attributes by product type and attributes set","Liste von nicht standardmäßigen Attributen nach Artikeltyp und Attributset abrufen"
"Get list of possible attribute types","Liste möglicher Attributtypen erhalten"
"Get special price","Sonderpreis erhalten"
"Global","Globale"
"Globally Editable","Global editierbar"
"Go to Home Page","Zur Startseite"
"Grid","Raster"
"Group add","Gruppe hinzufügen"
"Grouped","Gruppiert"
"Group remove","Gruppe entfernen"
"Groups","Gruppen"
"Home","Zuhause"
"HTML tags are not allowed in SKU attribute.","HTML-Tags sind im SKU-Attribut nicht erlaubt."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Wenn leer, wird der Kategoriename verwendet"
"If empty, the Product Name will be used","Wenn leer, wird der Produktname verwendet"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Wenn Sie keinen Optionswert für eine bestimmte Shopansicht angeben, wird der Standardwert (Admin) verwendet."
"Image","Bild"
"Image content is not valid base64 data.","Bildinhalt ist keine gültigen base64-Daten."
"Image does not exist.","Bild existiert nicht."
"Image type and information need to be specified for each store view.","Bildtyp und -informationen müssen für jede StoreView angegeben werden."
"In Cart","Im Warenkorb"
"Incl. Tax","Inkl. Steuern"
"Indexed category/products association","Indexierte Kategorie/Produkt-Zuordnung"
"Index product and categories URL rewrites","Indexieren von Produkten und Kategorien URL-Rewrites"
"Index product attributes for layered navigation building","Produktattribute für Layernavigation indizieren"
"Index product prices","Produktpreise indizieren"
"Info","Info"
"Info Column Options Wrapper","Info Spalten-Optionen Wrapper"
"Input Type","Input Type"
"In Stock","Auf Lager"
"In stock","Auf Lager"
"Integer","Ganzzahl"
"Internal Error","Interner Fehler"
"Interval Division Limit","Intervall Division Limit"
"Invalid attribute %s","Ungültiges Attribut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ungültige Attributoption für Attribut %s (%s) angegeben, Eintrag wird übersprungen."
"Invalid attribute set specified, skipping the record.","Ungültige Attributmenge angegeben, Eintrag wird übersprungen."
"Invalid block: %s.","Ungültiger Block: %s."
"Invalid category.","Ungültige Kategorie."
"Invalid category IDs.","Ungültige Kategorie-IDs."
"Invalid custom option(s).","Ungültige benutzerdefinierte Option(en)."
"Invalid image file type.","Ungültiger Bilddatei-Typ."
"Invalid image type.","Ungültiger Bildtyp."
"Invalid option ID specified for %s (%s), skipping the record.","Ungültige Options-ID für %s (%s) angegeben, Eintrag wird übersprungen."
"Invalid product collection resource.","Ungültige Artikel-Sammlungsquelle."
"Invalid product type specified, skipping the record.","Ungültiger Produkttyp angegeben, Eintrag wird übersprungen."
"Invalid store specified","Ungültiger Store angegeben"
"Invalid store specified, skipping the record.","Ungültiger Store angegeben, Eintrag wird übersprungen."
"Invalid Tier Prices","Ungültige Statuspreise"
"Invalid tier prices. The product is not associated to the requested website.","Ungültige Preise. Das Produkt ist nicht mit der angeforderten Website verknüpft."
"Inventory","Inventar"
"Is Default","Ist Standard"
"Is Required","Benötigt"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikel, die Sie nicht im Katalog oder in den Suchergebnissen anzeigen möchten, sollten den Status 'Deaktiviert' im gewünschten Shop haben."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikel, die Sie nicht im Katalog oder in den Suchergebnissen anzeigen möchten, sollten den Status 'Deaktiviert' im gewünschten Shop haben."
"Keep Frame","Frame behalten"
"Label","Label"
"Last Name","Nachname"
"Last Notification","Letzte Benachrichtigung"
"Layered Navigation","Filternavigation"
"Learn More","Mehr erfahren"
"leave blank if its not an image","leer lassen, wenn kein Bild vorhanden ist"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Linie %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Verwandt, Up-Sell, Cross-Selling)"
"Link product does not exist.","Link Produkt existiert nicht."
"Link to a Specified Category","Link zu einer bestimmten Kategorie"
"Link to a Specified Product","Link zu einem bestimmten Produkt"
"List","Liste"
"List Mode","Listenmodus"
"List of Products that are set as New","Liste der Produkte, die als neu gesetzt werden"
"List of types","Liste der Typen"
"Manage Attributes","Attribute verwalten"
"Manage Attribute Sets","Attributsets verwalten"
"Manage Catalog Categories","Katalogkategorien verwalten"
"Manage Categories","Kategorien verwalten"
"Manage Label / Options","Label / Optionen verwalten"
"Manage Options (values of your attribute)","Optionen verwalten (Werte Ihres Attributs)"
"Manage Product Attributes","Produktattribute verwalten"
"Manage Products","Produkte verwalten"
"Manage Product Sets","Produkt-Sets verwalten"
"Manage Stock","Lagerbestand verwalten"
"Manage Titles (Size, Color, etc.)","Titel verwalten (Größe, Farbe, etc.)"
"Max Characters","Max. Zeichen"
"Maximal Depth","Maximale Tiefe"
"Maximum allowed image size for '%s' is %sx%s px.","Maximal zulässige Bildgröße für '%s' ist %sx%s px."
"Maximum file size","Maximale Größe der Datei"
"Maximum image height","Maximale Bildhöhe"
"Maximum Image Size","Maximale Bildgröße"
"Maximum image width","Maximale Bildbreite"
"Maximum number of characters:","Maximale Anzahl von Zeichen:"
"Maximum Number of Price Intervals","Maximale Anzahl an Preisintervallen"
"Maximum number of price intervals is 100","Maximale Anzahl an Preisintervallen ist 100"
"Maximum Qty Allowed in Shopping Cart","Maximale Menge im Warenkorb erlaubt"
"Maximum resolution for upload image","Maximale Auflösung für hochgeladenes Bild"
"Maximum width and height dimension for upload image is %s.","Maximale Breite und Höhe für das Upload-Bild ist %s."
"Maximum width and height resolutions for upload image","Maximale Breite und Höhe der Auflösungen für hochgeladene Bilder"
"Maximum width base product image will be scaled down to in pixels","Maximale Breite des Basisproduktbildes wird in Pixeln herabgesetzt"
"Maximum width small product image will be scaled down to in pixels","Maximale Breite des kleinen Artikelbildes wird in Pixeln herabgesetzt"
"Media Image","Medienbild"
"Middle Name","Mittlerer Name"
"Minimum Advertised Price","Minimaler angezeigter Preis"
"Minimum Lines per Page","Minimale Zeilen pro Seite"
"Minimum Qty Allowed in Shopping Cart","Mindestbestellmenge im Warenkorb erlaubt"
"Minimum Qty for Item's Status to be Out of Stock","Mindestmenge für ausverkauften Artikelstatus"
"Missing SKU, skipping the record.","Fehlende SKU, Eintrag wird übersprungen."
"Move","Bewegen"
"Move category in tree","Kategorie in Baum verschieben"
"Multi update product","Multi-Update-Produkt"
"Must be in the allowed values list.","Muss in der Liste erlaubter Werte sein."
"My Account","Mein Konto"
"N/A","N/A"
"Name","Name"
"Name in %s","Name in %s"
"New Product","Neues Produkt"
"New Product Attribute","Neues Produkt-Attribut"
"New Products","Neue Produkte"
"New products","Neue Produkte"
"New Products Grid Template","Neue Artikel-Grid-Vorlage"
"New Products Images and Names Template","Vorlage für neue Produktbilder und Namen"
"New Products Images Only Template","Nur Bilder für neue Produkte Vorlage"
"New Products List Template","Neue Produktlistenvorlage"
"New Products Names Only Template","Nur neue Produktnamen Vorlage"
"New Root Category","Neue Hauptkategorie"
"New Search","Neue Suche"
"New Subcategory","Neue Unterkategorie"
"Next","Nächste"
"No","Nein"
"No, without images","Nein, ohne Bilder"
"No image","Kein Bild"
"No layout updates","Keine Layout-Updates"
"None","Keine"
"No options of this product are available.","Keine Optionen für dieses Produkt verfügbar."
"No product collections found.","Keine Produkt-Sammlungen gefunden."
"Notify for Quantity Below","Benachrichtigung für Menge unter"
"Notify Low Stock RSS","RSS-Benachrichtigung mit geringem Lagerbestand"
"Not Individually","Nicht einzeln"
"Number of Products per Page","Anzahl der Produkte pro Seite"
"Number of Products to Display","Anzahl der anzuzeigenden Produkte"
"Number of results","Anzahl der Ergebnisse"
"Number of results (For the last time placed)","Anzahl der Ergebnisse (zum letzten Mal)"
"Number of Uses","Anzahl der Verwendungen"
"On Gesture","Auf Geste"
"Option:","Option:"
"Options","Optionen"
"Options Control","Optionensteuerung"
"Options is required","Optionen sind erforderlich"
"Option validation failed to add product to cart.","Die Optionsüberprüfung konnte kein Produkt in den Warenkorb legen."
"Option values","Optionswerte"
"Out of Stock","Nicht auf Lager"
"Out of stock","Nicht auf Lager"
"Pad resized images to exact dimensions with background color","Größe der Bilder auf exakte Maße mit Hintergrundfarbe anpassen"
"Page Title Separator","Seitentiteltrennzeichen"
"Parent category is equal to child category.","Elternkategorie ist gleich der untergeordneten Kategorie."
"Parent category was not found.","Übergeordnete Kategorie wurde nicht gefunden."
"Parent Products","Übergeordnete Produkte"
"Pending","Ausstehend"
"Pending Reviews RSS","Ausstehende Bewertungen RSS"
"Percentage","Prozentsatz"
"per page","pro Seite"
"Please add rows to option.","Bitte fügen Sie Zeilen zur Option hinzu."
"Please click on the Close Window button if it is not closed automatically.","Bitte klicken Sie auf die Schaltfläche Fenster schließen, wenn es nicht automatisch geschlossen wird."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Bitte aktualisieren Sie ""Katalog-URL-Rewrites"" und ""Produkt-Attribute"" im System -&gt; <a href=""%s"">Index-Management</a>"
"Please select a file for the required option ""%s"".","Bitte wählen Sie eine Datei für die gewünschte Option ""%s""."
"Please select a parent category before adding a new one.","Bitte wählen Sie eine übergeordnete Kategorie aus, bevor Sie eine neue hinzufügen."
