"""Remember Me"" Cookie Lifetime","""Remember me"" Cookie Lebensdauer"
"Cannot complete this operation from non-admin area.","Dieser Vorgang kann nicht von einem Nicht-Admin-Bereich abgeschlossen werden."
"Can not create invoice. Order was not found.","Rechnung konnte nicht erstellt werden. Bestellung wurde nicht gefunden."
"Card type does not match credit card number.","Kartentyp stimmt nicht mit Kreditkartennummer überein."
"Cc","Cc"
"Clean Log After (days)","Lösche Log nach (Tage)"
"Code","Code"
"Controls how much referrer information is sent with requests","Legt fest, wie viele Referrer-Informationen bei Anfragen gesendet werden"
"Cookie Domain","Cookie-Domain"
"Cookie Lifetime","Cookie Lebensdauer"
"Cookie Path","Cookie-Pfad"
"Cookie Restriction Mode","Cookie-Restriktionsmodus"
"Copyright","Copyright"
"Core","Kern"
"Could not write sanitized SVG file.","Konnte SVG-Datei nicht schreiben."
"Countries Options","Länderoptionen"
"Country","Land"
"Create Store","Shop erstellen"
"Create Store View","StoreView erstellen"
"Create Website","Webseite erstellen"
"Credit card number does not match credit card type.","Kreditkartennummer stimmt nicht mit Kreditkartentyp überein."
"Cron Expression for Cache Flushing","Cron-Ausdruck für Cache-Flushing"
"CSS Settings","CSS Settings"
"Current Package Name","Aktueller Paketname"
"Custom1 Contact Email","Eigene 1 Kontakt E-Mail"
"Custom1 Contact Name","Eigener 1 Kontaktname"
"Custom2 Contact Email","Kunden2 Kontakt-E-Mail"
"Custom2 Contact Name","Eigener 2 Kontaktname"
"Custom Admin Path","Benutzerdefinierter Adminpfad"
"Custom Admin URL","Eigene Admin-URL"
"Custom Design","Eigenes Design"
"Custom Email 1","Eigene E-Mail 1"
"Custom Email 2","Eigene E-Mail 2"
"Customer Support","Kundensupport"
"Custom Variables","Eigene Variablen"
"Dashboard","Dashboard"
"Date","Datum"
"Date From","Datum ab"
"Date To","Datum bis"
"Debug","Debug"
"Default","Standard"
"Default Country","Standardland"
"Default Description","Standardbeschreibung"
"Default Keywords","Standard-Keywords"
"Default No-route URL","Standard-No-Route-URL"
"Default Pages","Standardseiten"
"Default Robots","Default Robots"
"Default Store","Standard-Shop"
"Default Store View","Standard StoreView"
"Default Title","Default Title"
"Default Web URL","Default Web URL"
"Defer Only","Nur verschieben"
"Delete","Löschen"
"Delete Store","Store löschen"
"Delete Store View","StoreView löschen"
"Delete Website","Website löschen"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Das Löschen eines %1$s löscht nicht die Informationen, die mit der %1$s verknüpft sind (z.B. Kategorien, Produkte usw.). , aber die %1$s kann nicht wiederhergestellt werden. Es wird empfohlen, vor dem Löschen der %1$s eine Datenbanksicherung zu erstellen."
"Design","Design"
"Design Change","Designänderung"
"Developer","Entwickler"
"Developer Client Restrictions","Entwickler-Client-Einschränkungen"
"Disable Modules Output","Modulausgabe deaktivieren"
"Disallowed block name for frontend.","Nicht erlaubter Blockname für Frontend."
"Disallowed template variable method.","Nicht erlaubte Template-Variablen-Methode."
"Display Demo Store Notice","Demo-Store-Hinweis anzeigen"
"Duplicate Of Template Name","Duplikat des Vorlagen-Namens"
"Edit Design Change","Designänderung bearbeiten"
"Edit Store","Store bearbeiten"
"Edit Store View","StoreView bearbeiten"
"Edit Website","Webseite bearbeiten"
"Email - Footer","Email - Footer"
"Email - Header","E-Mail - Kopfzeile"
"Email Body","E-Mail-Body"
"Email Details","E-Mail-Details"
"Email Footer Template","Vorlage E-Mail-Fußzeile"
"Email Header Template","Vorlage E-Mail-Kopfzeile"
"Email Log","E-Mail-Log"
"Email log entries older than this number of days will be automatically deleted.","E-Mail-Logeinträge, die älter als diese Anzahl von Tagen sind, werden automatisch gelöscht."
"Email Log Entry","E-Mail-Log-Eintrag"
"Empty identifier field name","Leerer Bezeichnerfeldname"
"Empty main table name","Leerer Tabellenname"
"Enable Charts","Diagramme aktivieren"
"Enabled","Aktiviert"
"Enabled for Admin","Für Admin aktiviert"
"Enabled for Frontend","Für Frontend aktiviert"
"Enable Email Logging","E-Mail-Protokollierung aktivieren"
"Enable Email Queue","E-Mail-Warteschlange aktivieren"
"Enable global search","Globale Suche aktivieren"
"Enable HSTS (HTTP Strict Transport Security)","HSTS aktivieren (HTTP Strict Transport Security)"
"Enables browser XSS filtering. Note: Modern browsers prefer CSP over this header.","Aktiviert XSS-Filterung des Browsers. Hinweis: Moderne Browser bevorzugen CSP gegenüber diesem Header."
"Enable X-Content-Type-Options","X-Content-Type-Optionen aktivieren"
"Enable X-XSS-Protection","X-XSS-Schutz aktivieren"
"Enabling ability to run Maho in a frame is not recommended for security reasons.","Es wird nicht empfohlen, Maho aus Sicherheitsgründen in einem Rahmen auszuführen."
"Error","Fehler"
"Error generating PDF: %s","Fehler beim Generieren von PDF: %s"
"Error in file: ""%s"" - %s","Fehler in der Datei: ""%s"" - %s"
"European Union Countries","Länder der Europäischen Union"
"Excel XML","Excel XML"
"Failed","Fehler"
"Favicon Icon","Favicon Symbol"
"File %s does not exist","Datei %s existiert nicht"
"File %s is not readable","Datei %s ist nicht lesbar"
"File is not a valid SVG.","Datei ist kein gültiges SVG."
"File name is too long. Maximum length is %s.","Dateiname ist zu lang. Maximale Länge ist %s."
"File not found","Datei nicht gefunden"
"File system","Dateisystem"
"File type for image conversions","Dateityp für Bildkonvertierungen"
"File with an extension ""%s"" is protected and cannot be uploaded","Datei mit der Erweiterung ""%s"" ist geschützt und kann nicht hochgeladen werden"
"First Day of Week","Erster Wochentag"
"Flush & Apply Updates","Aktualisierungen leeren & anwenden"
"Flush Cache Storage","Cache leeren"
"Footer","Fußzeile"
"Forces browsers to use HTTPS. Only works on HTTPS connections.","Erzwingt Browser HTTPS zu verwenden. Funktioniert nur bei HTTPS-Verbindungen."
"Forgot Password Email Sender","Passwort vergessen E-Mail Absender"
"Forgot Password Email Template","Vorlage Passwort vergessen-E-Mail"
"From","Von"
"Frontend","Frontend"
"General","Allgemein"
"General Contact","Allgemeiner Kontakt"
"General Contact Email","Allgemeine Kontakt E-Mail"
"General Contact Name","Allgemeiner Kontaktname"
"General Settings","Allgemeine Einstellungen"
"Get info about current Maho installation","Infos zur aktuellen Maho-Installation abrufen"
"Global","Globale"
"Header","Kopfzeile"
"Helper attributes should not be used in custom layout updates.","Helper Attribute sollten nicht in benutzerdefinierten Layout-Updates verwendet werden."
"Host","Host"
"How long browsers should remember to use HTTPS. Default: 31536000 (1 year)","Wie lange der Browser HTTPS verwenden soll. Standard: 31536000 (1 Jahr)"
"How many links to display at once.","Wie viele Links auf einmal angezeigt werden sollen."
"HSTS Max Age (seconds)","HSTS Max Alter (Sekunden)"
"HTML filtration has failed.","HTML-Filtration ist fehlgeschlagen."
"HTML Head","HTML-Kopf"
"HTML tags are not allowed","HTML-Tags sind nicht erlaubt"
"ID","ID"
"ID Path for Specified Store","ID-Pfad für den angegebenen Store"
"If empty, the ""Allow Countries"" list is used for shipping.","Wenn leer, wird die Liste ""Länder erlauben"" für den Versand verwendet."
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Wenn die aktuelle Rahmenposition die meisten Seiten nicht deckt, wird der Link zur aktuellen Position plus/minus diesen Wert dargestellt."
"Image quality","Bildqualität"
"Incorrect credit card expiration date.","Falsches Ablaufdatum der Kreditkarte."
"Invalid base url type","Ungültiger Basisurl-Typ"
"Invalid block: %s","Ungültiger Block: %s"
"Invalid block type: %s","Ungültiger Blocktyp: %s"
"Invalid connection","Ungültige Verbindung"
"Invalid date","Ungültiges Datum"
"Invalid image.","Invalid image."
"Invalid layout update handle","Ungültiges Layout-Update-Handle"
"Invalid messages storage ""%s"" for layout messages initialization","Ungültiger Nachrichtenspeicher ""%s"" für die Initialisierung von Layoutnachrichten"
"Invalid MIME type.","Ungültiger MIME-Typ."
"Invalid or empty SVG file.","Ungültige oder leere SVG-Datei."
"Invalid query","Ungültige Abfrage"
"Invalid stream.","Ungültiger Stream."
"Invalid template path used in layout update.","Ungültiger Template-Pfad für Layout-Update."
"Invalid transactional email code: %s","Ungültiger Transaktions-E-Mail-Code: %s"
"Invalid URL","Ungültige URL"
"Invalid URL scheme.","Ungültiges URL-Schema."
"Invalid website's configuration path: %s","Ungültiger Website-Konfigurationspfad: %s"
"JavaScript Deferral Mode","JavaScript-Deferral-Modus"
"JavaScript Settings","JavaScript Einstellungen"
"Lax","Fritz"
"Layout","Layout"
"Leave empty for access from any location.","Leer lassen für den Zugriff von jedem Ort."
"List of stores","Liste der Filialen"
"Loading Indicator Timeout","Zeitüberschreitung beim Laden des Indikators"
"Load on Intent","Ladung bei Absicht"
"Locale","Lokal"
"Locale Options","Gebietsschema-Optionen"
"Login is Case Sensitive","Anmeldung ist Groß-/Kleinschreibung"
"Logo Image","Logo Bild"
"Logo Image Alt","Logo-Alt"
"Logo Image Src","Logo Bild Src"
"Log Settings","Log-Einstellungen"
"Maho info","Maho Info"
"Maho info API","Maho info API"
"Mail Sending Settings","Mailversand Einstellungen"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/maho/","Stellen Sie sicher, dass die Basis-URL mit '/' (Slash) endet, z.B. http://yourdomain/maho/"
"Manage Stores","Stores verwalten"
"Match expressions in the same order as displayed in the configuration.","Passen Sie Ausdrücke in der gleichen Reihenfolge wie in der Konfiguration an."
"Media Storage","Medienspeicher"
"Message recipients data must be set.","Daten für Nachrichtenempfänger müssen gesetzt sein."
"Minifies CSS files and caches them in media/mahominify for improved performance","Verkleinert CSS-Dateien und speichert sie in media/mahominify für verbesserte Leistung"
"Minifies JavaScript files and caches them in media/mahominify for improved performance","Verkleinert JavaScript-Dateien und speichert sie in media/mahominify für verbesserte Leistung"
"Minify CSS Files","Minify CSS Files"
"Minify JavaScript Files","JavaScript-Dateien minimieren"
"Minimum Log Severity","Minimale Log-Schweregrad"
"Miscellaneous HTML","Verschiedenes HTML"
"Miscellaneous Scripts","Verschiedene Skripte"
"Model collection resource name is not defined.","Ressourcenname der Modellsammlung ist nicht definiert."
"Module ""%1$s"" cannot depend on ""%2$s"".","Modul ""%1$s"" kann nicht von ""%2$s "" abhängen."
"Module ""%1$s"" requires module ""%2$s"".","Modul ""%1$s"" benötigt Modul ""%2$s""."
"Name","Name"
"New Admin User Create Notification","Neue Admin-Benutzer Erstellungsbenachrichtigung"
"New Admin User Email Template","Neue Admin Benutzer E-Mail Vorlage"
"New Design Change","Neue Designänderung"
"New Store","Neuer Shop"
"New Store View","Neue Store-Ansicht"
"New Website","Neue Webseite"
"No","Nein"
"None","Keine"
"Number from 0 to 100 (default is 85, recommended by Google). Higher values preserve more details but increase file size. For WebP format, you can also use 101 to enable lossless compression.","Anzahl von 0 bis 100 (Standard ist 85, empfohlen von Google). Höhere Werte bewahren mehr Details, erhöhen aber die Dateigröße. Für das WebP-Format können Sie auch 101 verwenden, um verlustfreie Komprimierung zu ermöglichen."
"Number of milliseconds to delay showing the loading indicator. The default value is ""200"". An empty value disables the delay.","Anzahl der Millisekunden, die die Anzeige der Ladeanzeige verzögert werden. Der Standardwert ist ""200"". Ein leerer Wert deaktiviert die Verzögerung."
"Number of seconds between each allowed request.","Anzahl der Sekunden zwischen jeder zulässigen Anfrage."
"Offloader header","Offloader header"
"Only messages at this severity level or higher will be logged. For example, selecting ""Error"" will log Error, Critical, Alert, and Emergency messages, but not Warning, Notice, Info, or Debug. Note: Developer mode overrides this setting and logs all levels.","Nur Nachrichten auf dieser Schweregrad oder höher werden protokolliert. Wenn Sie zum Beispiel ""Fehler"" wählen, werden Fehler, Kritik, Alarm und Notfallmeldungen protokolliert, aber nicht Warnung, Notiz, Info oder Debug. Hinweis: Der Entwicklermodus überschreibt diese Einstellung und protokolliert alle Levels."
"Package","Paket"
"Pagination","Paginierung"
"Pagination Frame","Paginierungsrahmen"
"Pagination Frame Skip","Paginierungsrahmen überspringen"
"Path ""%s"" contains an invalid stream wrapper.","Pfad ""%s"" enthält einen ungültigen Stream-Wrapper."
"Path ""%s"" contains invalid parent directory references.","Pfad ""%s"" enthält ungültige übergeordnete Verzeichnisreferenzen."
"Path ""%s"" is not available and cannot be used.","Pfad ""%s"" ist nicht verfügbar und kann nicht verwendet werden."
"Path ""%s"" is protected and cannot be used.","Pfad ""%s"" ist geschützt und kann nicht verwendet werden."
"PHP SOAP extension is required.","PHP-SOAP-Erweiterung ist erforderlich."
"Please define flag code.","Bitte definieren Sie den Flag-Code."
"Please do not use ""event"" for an attribute code.","Bitte verwenden Sie nicht ""Event"" für einen Attribut-Code."
"Please enter a number 0 or greater in this field.","Bitte geben Sie eine Zahl 0 oder höher in dieses Feld ein."
"Please enter a number 1 or greater in this field.","Bitte geben Sie eine Zahl 1 oder höher in dieses Feld ein."
"Please enter a number greater than 0 in this field.","Bitte geben Sie eine Zahl größer 0 in dieses Feld ein."
"Please enter a number lower than 100.","Bitte geben Sie eine Zahl kleiner als 100 ein."
"Please enter a valid $ amount. For example $100.00.","Bitte geben Sie einen gültigen $-Betrag ein. Zum Beispiel $100.00."
"Please enter a valid credit card number.","Bitte geben Sie eine gültige Kreditkartennummer ein."
"Please enter a valid credit card verification number.","Bitte geben Sie eine gültige Kreditkartenüberprüfungsnummer ein."
"Please enter a valid date.","Bitte geben Sie ein gültiges Datum ein."
"Please enter a valid date between %s and %s","Bitte geben Sie ein gültiges Datum zwischen %s und %s ein"
"Please enter a valid date equal to or greater than %s","Bitte geben Sie ein gültiges Datum in Höhe oder größer als %s ein"
"Please enter a valid date less than or equal to %s","Bitte geben Sie ein gültiges Datum kleiner oder gleich %s ein"
"Please enter a valid day (1-%d).","Bitte geben Sie einen gültigen Tag ein (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Bitte geben Sie eine gültige E-Mail-Adresse ein. Zum Beispiel johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Bitte geben Sie eine gültige Faxnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid full date","Bitte geben Sie ein gültiges Volldatum ein"
"Please enter a valid month (1-12).","Bitte geben Sie einen gültigen Monat ein (1-12)."
"Please enter a valid number in this field.","Bitte geben Sie eine gültige Zahl in dieses Feld ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte geben Sie eine gültige Telefonnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Bitte geben Sie eine gültige Sozialversicherungsnummer ein. Zum Beispiel 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Bitte geben Sie eine gültige URL ein. Zum Beispiel http://www.example.com oder www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Bitte geben Sie eine gültige URL ein. Protokoll ist erforderlich (http://, https:// oder ftp://)"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Bitte geben Sie einen gültigen URL-Schlüssel ein. Zum Beispiel ""Beispielseite"", ""example-page.html"" oder ""anotherlevel/example-page""."
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Bitte geben Sie eine gültige XML-Kennung ein. Zum Beispiel etwas 1, block5, id-4."
"Please enter a valid year (1900-%d).","Bitte geben Sie ein gültiges Jahr ein (1900-%d)."
"Please enter a valid zip code.","Bitte geben Sie eine gültige Postleitzahl ein."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte geben Sie eine gültige Postleitzahl ein. Zum Beispiel 90602 oder 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Bitte geben Sie die Ticketnummer oder das Startdatum für den Umschalt-/Solo-Kartentyp ein."
"Please enter more characters. Password should contain both numeric and alphabetic characters.","Bitte mehr Zeichen eingeben. Das Passwort sollte sowohl numerische als auch alphabetische Zeichen enthalten."
"Please enter more characters or clean leading or trailing spaces.","Bitte geben Sie mehr Zeichen ein oder säubern Sie führende oder nachfolgende Leerzeichen."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Bitte geben Sie eine gültige CSS-Länge ein. Zum Beispiel 100px oder 77pt oder 20em oder .5ex oder 50%."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Passwörter übereinstimmen."
"Please select a file","Bitte eine Datei auswählen"
"Please select an option.","Bitte wählen Sie eine Option."
"Please select email log entries to delete.","Bitte wählen Sie die zu löschenden E-Mail-Logeinträge aus."
"Please select one of the above options.","Bitte wählen Sie eine der oben genannten Optionen."
"Please select one of the options.","Bitte wählen Sie eine der Optionen aus."
"Please select State/Province.","Bitte Bundesland/Provinz auswählen."
"Please set available and/or protected paths list(s) before validation.","Bitte setzen Sie verfügbare und/oder geschützte Pfade Liste(n) vor der Validierung."
"Please specify either a category or a product, or both.","Bitte geben Sie entweder eine Kategorie oder ein Produkt oder beides an."
"Please use letters only (a-z or A-Z) in this field.","Bitte verwenden Sie nur Buchstaben (a-z oder A-Z) in diesem Feld."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Bitte verwenden Sie nur Zahlen in diesem Feld. Bitte vermeiden Sie Leerzeichen oder andere Zeichen wie Punkte oder Kommas."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Bitte verwenden Sie nur Buchstaben (a-z), Zahlen (0-9) oder Unterstrich (_) in diesem Feld. Das erste Zeichen sollte ein Buchstabe sein."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Bitte verwenden Sie nur Buchstaben (a-z oder A-Z), Zahlen (0-9) oder Unterstrich (_) in diesem Feld. Das erste Zeichen sollte ein Buchstabe sein."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bitte verwenden Sie nur Buchstaben (a-z oder A-Z) oder Zahlen (0-9) nur in diesem Feld. Leerzeichen oder andere Zeichen sind nicht erlaubt."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Bitte verwenden Sie nur Buchstaben (a-z oder A-Z) oder Zahlen (0-9) oder Leerzeichen und # nur in diesem Feld."
"Please use only visible characters and spaces.","Bitte verwenden Sie nur sichtbare Zeichen und Leerzeichen."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bitte verwenden Sie dieses Datumsformat: dd/mm/yyyy. Zum Beispiel 17/03/2006 für den 17. März 2006."
"Please wait, loading...","Bitte warten, lade..."
"Port","Port"
"Prevents browsers from MIME-sniffing responses. Recommended for security.","Verhindert Browser von MIME-Sniffing-Antworten. Empfohlen für Sicherheit."
"Profiler","Profiler"
"Rate limit","Preislimit"
"Recovery Link Expiration Period (hours)","Wiederherstellungslink Ablaufzeit (Stunden)"
"Referrer Policy","Verweisrichtlinie"
"Request Path for Specified Store","Pfad für den angegebenen Store anfordern"
"Request path length exceeds allowed %s symbols.","Abfragepfadlänge überschreitet die erlaubten %s Zeichen."
"Resource ""%s"" is not found.","Ressource ""%s"" wurde nicht gefunden."
"Resource is not set.","Ressource ist nicht gesetzt."
"Retrieve info about current Maho installation","Informationen zur aktuellen Maho-Installation abrufen"
"Retrieve store data","Speicherdaten abrufen"
"Retrieve store list","Shop-Liste abrufen"
"Return-Path Email","Rückgabepfad E-Mail"
"Root Category","Hauptkategorie"
"Sales Representative","Vertriebsvertreter"
"Sales Representative Contact Email","Verkaufsagenten-Kontakt E-Mail"
"Sales Representative Contact Name","Name des Vertriebsvertreters"
"Same-Site","Gleiche Seite"
"Save","Speichern"
"Save Store","Store speichern"
"Save Store View","StoreView speichern"
"Save Website","Webseite speichern"
"Secure","Sicher"
"Security","Sicherheit"
"Sender Email","Absender-E-Mail"
"Sender Name","Absendername"
"Sent","Gesendet"
"Services","Dienste"
"Session Cookie Management","Sitzungs-Cookie-Management"
"Session Lifetime (seconds)","Sitzungsdauer (Sekunden)"
"Session Validation Settings","Einstellungen zur Sitzungsüberprüfung"
"Set as Default","Als Standard festlegen"
"Set Return-Path","Rückgabepfad festlegen"
"Skin (Images / CSS)","Skin (Bilder / CSS)"
"Small Logo Image Src","Kleines Logo Bild"
"Sort Order","Sortierung"
"Start date cannot be greater than end date.","Das Startdatum darf nicht größer als das Enddatum sein."
"Startup Page","Startup Page"
"Status","Status"
"Storage Configuration for Media","Speicherkonfiguration für Medien"
"Store","Shop"
"Store API","Store API"
"Store Contact Address","Shop-Kontaktadresse"
"Store Contact Information","Store-Kontaktinformationen"
"Store Contact Telephone","Store-Kontakt Telefon"
"Store Email Addresses","Shop-E-Mail-Adressen"
"Store Hours of Operation","Arbeitsstunden speichern"
"Store Information","Shop-Informationen"
"Store Name","Shopname"
"Store View","Store-Ansicht"
"Store view doesn't exist","Store-Ansicht existiert nicht"
"Store View Information","StoreView Informationen"
"Store View Name","StoreView Name"
"Store with the same code","Mit demselben Code speichern"
"Strict","Streng"
"Subject","Betreff"
"SVG file could not be sanitized.","SVG-Datei konnte nicht bereinigt werden."
"SVG sanitization failed: %s","SVG-Bereinigung fehlgeschlagen: %s"
"System","System"
"Template","Vorlage"
"Template Path Hints","Template-Pfad-Hinweise"
"Templates","Vorlagen"
"Template Settings","Vorlageneinstellungen"
"Template Variables","Template-Variablen"
"Text length does not satisfy specified text range.","Textlänge entspricht nicht dem angegebenen Textbereich."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Die eingegebene %s ist ungültig. Bitte stellen Sie sicher, dass sie dem Format ""http://domain.com/"" folgt."
"The default value is ""30 2 * * *"". An empty value disables automatic cache flushing.","Der Standardwert ist ""30 2 * * *"". Ein leerer Wert deaktiviert die automatische Cache-Leiste."
"The file extension ""%s"" is not allowed. Allowed extensions: %s","Die Dateiendung ""%s"" ist nicht erlaubt. Erlaubte Dateiendungen: %s"
"The file extension ""%s"" is not allowed for security reasons.","Die Dateiendung ""%s"" ist aus Sicherheitsgründen nicht erlaubt."
"The From Date value should be less than or equal to the To Date value.","Der Anfangsdatum sollte kleiner oder gleich dem Enddatum sein."
"Themes","Themes"
"The store code may contain only letters (a-z), numbers (0-9), underscore(_) or dash(-), the first character must be a letter","Der Store-Code darf nur Buchstaben (a-z), Zahlen (0-9), Unterstrich (_) oder Bindestrich(-) enthalten, das erste Zeichen muss ein Buchstabe sein"
"The store does not exist","Der Shop existiert nicht"
"The store has been deleted.","Der Shop wurde gelöscht."
"The store has been saved.","Der Shop wurde gespeichert."
"The store view #%d is disabled.","Die Store-Ansicht #%d ist deaktiviert."
"The store view has been deleted.","Die Store-Ansicht wurde gelöscht."
"The store view has been saved","Die Store-Ansicht wurde gespeichert"
"The template Name must not be empty.","Der Vorlagenname darf nicht leer sein."
"The value is not within the specified range.","Der Wert liegt nicht innerhalb des angegebenen Bereichs."
"The website does not exist.","Die Website existiert nicht."
