"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Aktionen"
"Total Amount","Gesamtbetrag"
"total amount","Gesamtsumme"
"Total Items Quantity","Artikelgesamtmenge"
"total quantity","Gesamtmenge"
"Total Weight","Gesamtgewicht"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Update prices using the following information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Produkt aktualisieren"
"Usage limit enforced for logged in customers only","Usage limit enforced for logged in customers only"
"Use Auto Generation","Assistent zur Erstellung nutzen"
"Used","Verwendet"
"Uses per Coupon","Verwendungen pro Rabattcode"
"Uses per Customer","Verwendungen pro Kunde"
"Website","Webseite"
"Websites","Webseiten"
"Wrong rule specified.","Wrong rule specified."
"Yes","Ja"
