"%s wants to connect to your store","%s möchte sich mit Ihrem Shop verbinden"
"-- No Role --","-- Keine Rolle --"
"Access Token Lifetime","Zugangs-Token Lebenszeit"
"MCP Requires Authentication","MCP erfordert Authentifizierung"
"Modern REST API at /api/rest/v2/*","Moderne REST API unter /api/rest/v2/*"
"New API Key","Neuer API-Schlüssel"
"New API User","Neuer API-Benutzer"
"New Role","Neue Rolle"
"No grantable permissions could be loaded. Run ""composer dump-autoload"" in the Maho root, then reload this page.","Es konnten keine grantierbaren Berechtigungen geladen werden. Führen Sie ""Komponist dump-autoload"" im Maho-Root aus und laden Sie diese Seite erneut."
"No permissions needed, these are read-only public endpoints.","Keine Berechtigungen erforderlich, dies sind schreibgeschützte öffentliche Endpunkte."
"OAuth2 Client Credentials","OAuth2 Client Zugangsdaten"
"OAuth2 client_id and client_secret will be generated when you save this user.","OAuth2 client_id und client_secret werden generiert, wenn Sie diesen Benutzer speichern."
"OAuth2 Settings","OAuth2 Einstellungen"
"Off: an agent browses the public catalog tools without a token, and a client is challenged only when it reaches for a tool it may not use. On: /api/mcp challenges every unauthenticated caller. Turn it on if a client will not start the browser login on its own.","Aus: Ein Agent durchsucht die öffentlichen Katalogwerkzeuge ohne Token, und ein Client wird nur dann herausgefordert, wenn er auf ein Werkzeug zutrifft, das er nicht verwenden kann. Ein: /api/mcp fordert jeden nicht authentifizierten Anrufer ab. Schalten Sie ihn ein, wenn ein Client den Browser-Login nicht alleine startet."
"Original Magento 1 JSON-RPC at /api/jsonrpc","Original Magento 1 JSON-RPC unter /api/jsonrpc"
"Original Magento 1 REST API at /api/rest/*","Original Magento 1 REST API unter /api/rest/*"
"Original Magento 1 SOAP at /api/soap","Original Magento 1 SOAP unter /api/seap"
"Original Magento 1 SOAP v2 at /api/v2_soap","Original Magento 1 SOAP v2 bei /api/v2_soap"
"Original Magento 1 XML-RPC at /api/xmlrpc","Original Magento 1 XML-RPC unter /api/xmlrpc"
"Permissions","Berechtigungen"
"Please select an application.","Bitte wählen Sie eine Anwendung aus."
"Public Storefront Access","Zugriff auf öffentliche Schaufenster"
"Read and change store data through the API, using your own admin permissions.","Speicherdaten über die API lesen und ändern, indem Sie Ihre eigenen Administratorrechte verwenden."
"Refresh Token Lifetime","Aktualisiere Token Lebenszeit"
"Regenerate Credentials","Zugangsdaten neu generieren"
"Registered","Registriert"
"Registration alone grants nothing: an admin must still log in and approve. Turning this off blocks most connector interfaces, which have no way to enter a client id by hand.","Allein die Registrierung gewährt nichts: Ein Administrator muss sich trotzdem anmelden und genehmigen. Dies ausschalten blockiert die meisten Schnittstellen, die keine Möglichkeit haben, eine Client-ID von Hand zu betreten."
"Resource Access","Ressourcen-Zugriff"
"REST/GraphQL - Roles","REST/GraphQL - Rollen"
"REST/GraphQL - Users","REST/GraphQL - Benutzer"
"Restrict to Stores","Auf Stores beschränken"
"REST v2 (new)","REST v2 (neu)"
"Revoke Access","Zugriff widerrufen"
"Revoke access for the selected applications?","Zugriff für die ausgewählten Anwendungen widerrufen?"
"Revoked %d grant(s). Access tokens already issued stop working when they expire.","Entzogene %d Grant(en). Die bereits ausgestellten Zugangs-Token funktionieren nicht mehr, wenn sie ablaufen."
"Role","Rolle"
"Role has been deleted.","Rolle wurde gelöscht."
"Role has been saved.","Rolle wurde gespeichert."
"Role Info","Rolleninfo"
"Role Information","Rolleninformationen"
"Role Name","Rollenname"
"Role name is required.","Rollenname ist erforderlich."
"Save and Continue Edit","Speichern und Bearbeiten fortsetzen"
"Save API User","API Benutzer speichern"
"Save Role","Rolle speichern"
"Save these credentials now. The secret cannot be retrieved later.","Diese Zugangsdaten jetzt speichern. Das Geheimnis kann nicht später abgerufen werden."
"Sends you back to","Sendet Sie zurück an"
"Service Account Permissions","Dienstkontenberechtigungen"
"Status","Status"
"Symfony App Secret","Symfony App Secret"
"System","System"
"The authorization could not be completed.","Die Autorisierung konnte nicht abgeschlossen werden."
"These operations use customer JWT tokens obtained when a customer logs in. They are scoped to the logged-in customer's own data and cannot be granted to service accounts.","Diese Operationen verwenden Kunden JWT Token, die bei der Anmeldung eines Kunden erhalten wurden. Sie sind auf die eingeloggten Kundendaten beschränkt und können nicht auf Servicekonten übertragen werden."
"These permissions control what API users (service accounts) can do. Grant only the operations each integration needs.","Diese Berechtigungen bestimmen, was API-Benutzer (Service-Konten) tun können. Gewähren Sie nur die Operationen, die jede Integration benötigt."
"These resources are publicly readable without authentication. Any visitor or app can access this data via GET requests.","Diese Ressourcen sind ohne Authentifizierung öffentlich lesbar. Jeder Besucher oder jede App kann über GET-Anfragen auf diese Daten zugreifen."
"This API user no longer exists.","Dieser API-Benutzer existiert nicht mehr."
"This application registered itself and has not been verified. Approve it only if you started this connection yourself.","Diese Anwendung hat sich selbst registriert und nicht verifiziert. Bestätigen Sie sie nur, wenn Sie diese Verbindung selbst gestartet haben."
"This authorization request expired or is no longer valid. Start again from the application.","Diese Autorisierungsanfrage ist abgelaufen oder ist nicht mehr gültig. Starten Sie erneut von der Anwendung."
"This role no longer exists.","Diese Rolle existiert nicht mehr."
"Unnamed client","Unbenannter Client"
"User Info","Benutzerinfo"
"Username","Benutzername"
"User Role","Benutzerrolle"
"Verified","Verifiziert"
"You denied the connection.","Sie haben die Verbindung abgelehnt."
"Your admin role may not approve API connections.","Ihre Admin-Rolle kann API-Verbindungen nicht genehmigen."
