"3D Secure","3D sicher"
"Payer Email","Zahlende E-Mail"
"Payer ID","Payer ID"
"Pay Later","Später bezahlen"
"Pay Later Messaging","Spätere Nachrichten bezahlen"
"Payment Action","Zahlungsaktion"
"Payment Method","Zahlungsmethode"
"Payment method has been deleted.","Zahlungsart wurde gelöscht."
"PayPal","PayPal"
"PayPal - Advanced Checkout (Card Fields)","PayPal - Erweiterte Kasse (Standardfelder)"
"PayPal - General Settings","PayPal - Allgemeine Einstellungen"
"PayPal - Standard Checkout (PayPal Buttons)","PayPal - Standard Checkout (PayPal Buttons)"
"PayPal - Vault (Saved Payment Methods)","PayPal - Tresor (Gespeicherte Zahlungsmethoden)"
"PayPal capture failed: no capture ID returned.","PayPal-Aufnahme fehlgeschlagen: Keine Capture-ID zurückgegeben."
"PayPal Client ID and Client Secret are required when a PayPal payment method is enabled.","PayPal Client ID und Client Secret sind erforderlich, wenn eine PayPal-Zahlungsmethode aktiviert ist."
"PayPal Credit","PayPal-Guthaben"
"PayPal did not return a payer email address.","PayPal hat keine Zahler-E-Mail-Adresse zurückgegeben."
"PayPal order amount does not match this cart.","PayPal Bestellbetrag stimmt nicht mit diesem Warenkorb überein."
"PayPal order could not be approved. Status: %s","PayPal-Bestellung konnte nicht genehmigt werden. Status: %s"
"PayPal order currency does not match this cart.","PayPal Bestellwährung stimmt nicht mit diesem Warenkorb überein."
"PayPal order does not belong to this cart.","PayPal-Bestellung gehört nicht zu diesem Warenkorb."
"PayPal Order ID","PayPal Bestell-ID"
"PayPal order ID not found.","PayPal Bestell-ID nicht gefunden."
"Please complete the PayPal payment before placing the order.","Bitte füllen Sie die PayPal-Zahlung aus, bevor Sie die Bestellung aufgeben."
"Processor Response","Prozessorantwort"
"Przelewy24","Przelewy24"
"Quote is no longer active and no matching order was found.","Das Angebot ist nicht mehr aktiv und es wurde keine passende Reihenfolge gefunden."
"Registers a webhook with PayPal to receive real-time notifications for payments, refunds, and disputes. Requires a publicly accessible HTTPS URL.","Registriert einen Webhook bei PayPal, um Echtzeit-Benachrichtigungen bei Zahlungen, Erstattungen und Streitigkeiten zu erhalten. Benötigt eine öffentlich zugängliche HTTPS-URL."
"Register Webhook","Webhook registrieren"
"Review your order on the next step to confirm your payment with PayPal.","Überprüfen Sie Ihre Bestellung im nächsten Schritt, um Ihre Zahlung mit PayPal zu bestätigen."
"Sandbox Mode","Sandbox-Modus"
"Saved Payment","Gespeicherte Zahlung"
"Saved Payment Method","Gespeicherte Zahlungsmethode"
"Saved Payment Methods","Gespeicherte Zahlungsarten"
"Save this payment method for future purchases","Diese Zahlungsmethode für zukünftige Einkäufe speichern"
"Send cart line items to PayPal for display during checkout.","Versenden Sie Artikel in der Warenkorblinie an PayPal zur Anzeige während des Bestellvorgangs."
"SEPA","SEPA"
"Sofort","Sofort"
"Sort Order","Sortierung"
"Test Connection","Verbindung testen"
"This order has already been placed.","Diese Bestellung wurde bereits aufgegeben."
"This PayPal order has already been used.","Diese PayPal-Bestellung wurde bereits verwendet."
"Title","Titel"
"Transfer Line Items","Linienelemente übertragen"
"Type","Typ"
"Unable to delete payment method.","Zahlungsmethode konnte nicht gelöscht werden."
"Use PayPal sandbox environment for testing.","Verwenden Sie die PayPal Sandbox Umgebung zum Testen."
"Venmo","Venmo"
"Webhook ID","Webhook-ID"
"Webhook registered successfully. ID: %s","Webhook erfolgreich registriert. ID: %s"
"Webhook registration failed: %s","Webhook Registrierung fehlgeschlagen: %s"
"You have no saved payment methods.","Sie haben keine gespeicherten Zahlungsmethoden."
