"""Remember Me"" Default Value","Standardwert ""An mich erinnern"""
"Customer collection expected.","Kunden-Sammlung erwartet."
"Customer Configuration","Kundenkonfiguration"
"Customer email is required","Kunden-E-Mail ist erforderlich"
"Customer Forgot Password Form","Kunde Passwort vergessen Formular"
"Customer Group","Kundengruppe"
"Customer Groups","Kundengruppen"
"Customer Information","Kundeninformationen"
"Customer Login","Kundenanmeldung"
"Customer My Account (All Pages)","Kunde Mein Konto (Alle Seiten)"
"Customer My Account Address Book","Kunde - Mein Account-Adressbuch"
"Customer My Account Address Edit Form","Kunde Meine Account-Adresse bearbeiten Formular"
"Customer My Account Dashboard","Kunde - Mein Konto - Dashboard"
"Customers","Kunden"
"Customer Since","Kunde seit"
"Customers Only","Nur Kunden"
"Customer View","Kundenansicht"
"Customer website ID must be specified when using the website scope","Die Kunden-Website-ID muss angegeben werden, wenn der Webseitenumfang genutzt wird"
"Customer will stay on the current page if ""No"" is selected.","Der Kunde bleibt auf der aktuellen Seite, wenn ""Nein"" ausgewählt ist."
"Date","Datum"
"Date Added","Hinzugefügt am"
"Date of Birth","Geburtsdatum"
"Day","Tag"
"Days in Wishlist","Tage in der Wunschliste"
"DD","DD"
"Default Addresses","Standardadressen"
"Default Billing Address","Standard-Rechnungsadresse"
"Default Email Domain","Standard-E-Mail-Domäne"
"Default Group","Standardgruppe"
"Default Shipping Address","Standard-Lieferadresse"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardwert für automatische Gruppenänderungen nach USt-IdNr. deaktivieren"
"Default Welcome Email","Standard-Willkommens-E-Mail"
"Delete","Löschen"
"Delete Address","Adresse löschen"
"Delete Customer","Kunden löschen"
"Delete customer","Kunden löschen"
"Delete customer address","Kundenadresse löschen"
"Delete Customer Group","Kundengruppe löschen"
"Deleted Stores","Gelöschte Stores"
"Details","Details"
"Disabled","Deaktiviert"
"Edit","Bearbeiten"
"Edit Account Info","Konto-Info bearbeiten"
"Edit Account Information","Kontoinformationen bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Customer's Address","Kundenadresse bearbeiten"
"Edit Customer Group ""%s""","Kundengruppe ""%s "" bearbeiten"
"Edit Customer Groups","Kundengruppen bearbeiten"
"Edit Group","Gruppe bearbeiten"
"Email","E-Mail"
"Email:","Email:"
"Email Address","E-Mail-Adresse"
"Email Link to Set Password","E-Mail Link zum Passwort setzen"
"Email Link to Set Password on New Account","E-Mail-Link, um Passwort bei einem neuen Konto zu setzen"
"Email Link to Set Password Options","E-Mail-Link, um Passwortoptionen zu setzen"
"Email Sender","E-Mail Absender"
"Email Template","E-Mail-Vorlage"
"Enable ""Remember Me""","Aktiviere ""Remember Me"""
"Enable Automatic Assignment to Customer Group","Automatische Zuweisung an Kundengruppe aktivieren"
"Enable Customer Accounts in Frontend","Kundenkonten im Frontend aktivieren"
"Enable Magic Link Login","Magic Link Login aktivieren"
"Enable Real-time VAT Validation","Echtzeit-USt-USt-Validierung aktivieren"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Kundenkonto konnte nicht bestätigt werden."
"Fax","Fax"
"First Name","Vorname"
"Forgot and Remind Email Sender","E-Mail-Absender vergessen und erinnern"
"Forgot Email Template","E-Mail-Vorlage vergessen"
"Forgot Password","Passwort vergessen"
"Forgot password flow secure","Passwortverlauf sicher vergessen"
"Forgot password requests to times per 24 hours from 1 e-mail","Passwortvergessen-Anfragen per 24 Stunden per E-Mail vergessen"
"Forgot password requests to times per hour from 1 IP","Passwortanfragen zu Zeiten pro Stunde von 1 IP vergessen"
"Forgot Your Password","Passwort vergessen"
"Forgot Your Password?","Passwort vergessen?"
"Form Fields Before","Formularfelder vorher"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Aus Ihrem Mein Konto Dashboard haben Sie die Möglichkeit, einen Schnappschuss Ihrer letzten Kontoaktivität anzusehen und Ihre Kontoinformationen zu aktualisieren. Wählen Sie einen Link unten, um Informationen anzuzeigen oder zu bearbeiten."
"Gender","Geschlecht"
"Gender is required.","Geschlecht ist erforderlich."
"Generate Human-Friendly Customer ID","Generiere human-freundliche Kunden-ID"
"Global","Globale"
"Group","Gruppe"
"Group for Invalid VAT ID","Gruppe für ungültige USt-ID"
"Group for Valid VAT ID - Domestic","Gruppe für gültige USt-IdNr. - Inland"
"Group for Valid VAT ID - Intra-Union","Gruppe für gültige USt-IdNr. - innerhalb der Union"
"Group Information","Gruppen-Informationen"
"Group Name","Gruppenname"
"Guest","Gast"
"Hello, %s!","Hallo, %s!"
"How long the magic link remains valid. Default: 10 minutes.","Wie lange der magische Link gültig bleibt. Standard: 10 Minuten."
"How long to cache VIES validation results. Set to 0 to disable caching.","Wie lange VIES Validierungsergebnisse zwischengespeichert werden sollen. Setzen Sie 0 um das Caching zu deaktivieren."
"HTML","HTML"
"ID","ID"
"If there is an account associated with %s you will receive an email with a login link.","Wenn ein Konto mit %s verbunden ist, erhalten Sie eine E-Mail mit einem Login-Link."
"If VIES service is down, accept VAT numbers that pass format validation.","Wenn VIES Service nicht verfügbar ist, akzeptieren Sie MwSt.-Nummern, die die Formatvalidierung übergeben."
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation","Wenn Sie ein registrierter MwSt-Kunde sind, bitte <a href=""%s"">klicken Sie hier</a> , um Ihre Rechnungsadresse für eine korrekte MwSt.-Berechnung einzugeben"
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation","Wenn Sie ein registrierter MwSt-Kunde sind, bitte <a href=""%s"">klicken Sie hier</a> , um Ihre Lieferadresse für eine korrekte MwSt.-Berechnung einzugeben"
"If you believe this is an error, please contact us at %s","Wenn Sie glauben, dass dies ein Fehler ist, kontaktieren Sie uns bitte unter %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ungültige Attributoption für Attribut %s (%s) angegeben, Eintrag wird übersprungen."
"Invalid attribute set specified, skipping the record.","Ungültige Attributmenge angegeben, Eintrag wird übersprungen."
"Invalid billing address for (%s)","Ungültige Rechnungsadresse für (%s)"
"Invalid current password","Ungültiges aktuelles Passwort"
"Invalid customer data","Ungültige Kundendaten"
"Invalid email address ""%s"".","Ungültige E-Mail-Adresse ""%s""."
"Invalid email address.","Ungültige E-Mail-Adresse."
"Invalid form key. Please refresh the page.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite."
"Invalid login link.","Ungültiger Login-Link."
"Invalid login or password.","Ungültiger Login oder Passwort."
"Invalid or expired login link.","Ungültiger oder abgelaufener Login-Link."
"Invalid password reset customer Id.","Ungültige Passwort-Reset Kunden-Id."
"Invalid password reset token.","Ungültiges Passwort-Reset Token."
"Invalid request method.","Ungültige Anfragemethode."
"Invalid shipping address for (%s)","Ungültige Lieferadresse für (%s)"
"Invalid store specified, skipping the record.","Ungültiger Store angegeben, Eintrag wird übersprungen."
"Invalid VAT number format for %s.","Ungültiges USt-Nummernformat für %s."
"Invalid website, skipping the record, line: %s","Ungültige Website, Eintrag wird übersprungen, Zeile: %s"
"IP Address","IP-Adresse"
"Last Activity","Letzte Aktivität"
"Last Date Subscribed","Letztes Anmeldedatum"
"Last Date Unsubscribed","Letztes Datum abgemeldet"
"Last Name","Nachname"
"Last URL","Letzte URL"
"Leave empty for default (2). Valid range: 1-4","Leer lassen für Standard (2). Gültiger Bereich: 1-4"
"Leave empty for default (15 minutes).","Leer lassen für Standard (15 Minuten)."
"Lifetime Sales","Lebenslange Verkäufe"
"Log In","Anmelden"
"Login","Anmelden"
"Login and password are required.","Login und Passwort sind erforderlich."
"Login Form","Anmeldeformular"
"Login Information","Anmeldedaten"
"Login Options","Anmeldeoptionen"
"Login with Magic Link","Mit Magic Link anmelden"
"Logout","Abmelden"
"Log Out","Abmelden"
"Magic Link Email Sender","Magischer Link E-Mail Absender"
"Magic Link Email Template","Vorlage für Magic Link E-Mail"
"Magic Link Login","Magic Link Login"
"Magic Link Rate Limit - Email (requests per hour)","Preislimit für Magic Link - E-Mail (Anfragen pro Stunde)"
"Magic Link Rate Limit - IP (requests per hour)","Magic Link Rate Limit - IP (Anfragen pro Stunde)"
"Magic Link Registration Password Requirement","Magic Link Registrierungspasswort Voraussetzung"
"Magic Link Token Expiration (minutes)","Ablauf des Magic Link Token (Minuten)"
"Manage Addresses","Adressen verwalten"
"Manage Customers","Kunden verwalten"
"Maximum length must be less then %s symbols","Maximale Länge muss kleiner als %s sein"
"Maximum magic link requests per email address per hour. Default: 3.","Maximale Anzahl von magischen Link-Anfragen pro E-Mail-Adresse pro Stunde. Standard: 3."
"Maximum magic link requests per IP address per hour. Default: 10.","Maximale Anzahl von magischen Link-Anfragen pro IP-Adresse pro Stunde. Standard: 10."
"Middle Name","Mittlerer Name"
"Minimum admin password length","Minimale Länge des Admin-Passworts"
"Minimum password length","Minimale Passwortlänge"
"Missing email, skipping the record, line: %s","E-Mail fehlt, Eintrag wird übersprungen, Zeile: %s"
"Missing email, skipping the record.","E-Mail fehlt, Eintrag wird übersprungen."
"Missing first name, skipping the record, line: %s","Vorname fehlt, Datensatz wird übersprungen, Zeile: %s"
"Missing firstname, skipping the record.","Vorname fehlt, Eintrag wird übersprungen."
"Missing last name, skipping the record, line: %s","Nachname fehlt, Datensatz wird übersprungen, Zeile: %s"
"Missing lastname, skipping the record.","Nachname fehlt, Eintrag wird übersprungen."
"Missing website, skipping the record, line: %s","Fehlende Website überspringen den Datensatz, Zeile: %s"
"MM","KM"
"Month","Monat"
"My Account","Mein Konto"
"My Account Wrapper","Mein Account Wrapper"
"My Dashboard","Mein Dashboard"
"My Orders","Meine Bestellungen"
"n/a","n/a"
"Name","Name"
"Name and Address Options","Namens- und Adressoptionen"
"Never","Nie"
"New account","Neues Konto"
"New account confirmation key","Bestätigungsschlüssel für neues Konto"
"New account confirmed","Neues Konto bestätigt"
"New Account Email Template","Vorlage für neue Account-E-Mail"
"New Address","Neue Adresse"
"New Customer","Neuer Kunde"
"New Customer Address","Neue Kundenadresse"
"New Customer Group","Neue Kundengruppe"
"New Customer Groups","Neue Kundengruppen"
"New Customers","Neue Kunden"
"New Group","Neue Gruppe"
"New Password","Neues Passwort"
"New password field cannot be empty.","Neues Passwortfeld darf nicht leer sein."
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter beendet"
"Newsletter Information","Newsletter Information"
"Newsletter Received","Newsletter empfangen"
"Newsletter Start","Newsletter-Start"
"Newsletter Subscription","Newsletter-Abonnement"
"No customer collections found","Keine Kunden-Sammlungen gefunden"
"No Items Found","Keine Artikel gefunden"
"No item specified.","Kein Element angegeben."
"No Newsletter Found","Kein Newsletter gefunden"
"No Password (Full Passwordless)","Kein Passwort (ohne Passwort)"
"Not confirmed, can login","Nicht bestätigt, kann sich anmelden"
"Not confirmed, cannot login","Nicht bestätigt, kann sich nicht anmelden"
"Not Sent","Nicht gesendet"
"Number of Lines in a Street Address ","Anzahl der Zeilen in einer Straßenadresse "
"Offline","Offline"
"Online","Online"
"Online Customers","Online-Kunden"
"Online Customers Options","Online-Kundenoptionen"
"Online Minutes Interval","Online-Minuten-Intervall"
"or","oder"
"Order #","Bestellung #"
"Orders","Bestellungen"
"Order Total","Bestellsumme"
"Password","Passwort"
"Password:","Passwort:"
"Password forgotten","Passwort vergessen"
"Password Management","Passwort-Verwaltung"
"Password Options","Passwort-Optionen"
"Paused","Pausiert"
"PDF","PDF"
"Pending","Ausstehend"
"Personal Information","Persönliche Informationen"
"Per Website","Pro Website"
"Please, check your email for confirmation key.","Bitte überprüfen Sie Ihre E-Mail nach dem Bestätigungsschlüssel."
"Please enter a number 1 or greater in this field.","Bitte geben Sie eine Zahl 1 oder höher in dieses Feld ein."
"Please enter a number 7 or greater in this field.","Bitte geben Sie eine Zahl 7 oder höher in dieses Feld ein."
"Please enter a password with at most %s characters.","Bitte geben Sie ein Passwort mit maximal %s Zeichen ein."
"Please enter a valid date between %s and %s at %s.","Bitte geben Sie ein gültiges Datum zwischen %s und %s bei %s ein."
"Please enter a valid date equal to or greater than %s at %s.","Bitte geben Sie ein gültiges Datum in Höhe oder größer als %s bei %s ein."
"Please enter a valid date less than or equal to %s at %s.","Bitte geben Sie ein gültiges Datum kleiner oder gleich %s bei %s ein."
"Please enter the city.","Bitte geben Sie die Stadt ein."
"Please enter the country.","Bitte geben Sie das Land ein."
"Please enter the first name.","Bitte geben Sie den Vornamen ein."
"Please enter the last name.","Bitte geben Sie den Nachnamen ein."
"Please enter the state/province.","Bitte geben Sie das Bundesland/die Provinz ein."
"Please enter the street.","Bitte geben Sie die Straße ein."
"Please enter the telephone number.","Bitte geben Sie die Telefonnummer ein."
"Please enter the zip/postal code.","Bitte geben Sie die Postleitzahl ein."
"Please enter your email.","Bitte geben Sie Ihre E-Mail ein."
"Please enter your email below and we'll send you confirmation link for it.","Bitte geben Sie Ihre E-Mail unten ein und wir senden Ihnen den Bestätigungslink zu."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Passwörter übereinstimmen."
"Please select","Bitte wählen"
"Please select a website which contains store view","Bitte wählen Sie eine Webseite mit Store-Ansicht"
"Please select region, state or province","Bitte Region, Bundesland oder Provinz auswählen"
"Prefix Dropdown Options","Präfix Dropdown Optionen"
"Price","Preis"
"Product","Produkt"
"Product ID","Produkt-ID"
"Product Name","Produktname"
"Product Reviews","Produktbewertungen"
"Product Tags","Produkt-Tags"
"Provided address does not belong to the logged in customer.","Die angegebene Adresse gehört nicht zum eingeloggten Kunden."
"Purchased On","Kauft am"
"Purchase On","Kaufen an"
"Qty","Menge"
"Recent Orders","Neueste Bestellungen"
"Records for %s store found.","Datensätze für %s Store gefunden."
"Recovery Link Expiration Period (hours)","Wiederherstellungslink Ablaufzeit (Stunden)"
"Redirect Customer to Account Dashboard after Logging in","Kunden nach dem Anmelden zum Kunden-Dashboard weiterleiten"
"Refunded","Erstattet"
"Register","Registrieren"
"Registration Form","Anmeldeformular"
"Registration successful, but we could not send the login link. Please use the login page.","Registrierung erfolgreich, aber wir konnten den Login-Link nicht senden. Bitte verwenden Sie die Login-Seite."
"Remember Me","Erinnere mich"
"Remind Email Template","E-Mail Vorlage erinnern"
"Remind Password","Passwort erinnern"
"Remove","Entfernen"
"Remove address","Adresse entfernen"
"Require admin user to change user password","Admin-Benutzer muss das Benutzerkennwort ändern"
"Require Emails Confirmation","E-Mail Bestätigung erforderlich"
"Require Password (Default)","Passwort erforderlich (Standard)"
"Reset a Password","Passwort zurücksetzen"
"Retrieve address data","Adressdaten abrufen"
"Retrieve address info","Adressinfo abfragen"
"Retrieve customer addresses","Kundenadressen abrufen"
"Retrieve customer data","Kundendaten abrufen"
"Retrieve customer groups","Kundengruppen abrufen"
"Retrieve customer info","Kundeninfo abrufen"
"Retrieve customers","Kunden abrufen"
"Retrieve your confirmation link here","Bestätigungslink hier abrufen"
"Retrieve your password","Passwort abrufen"
"Sales Statistics","Verkaufsstatistik"
"Save","Speichern"
"Save Address","Adresse speichern"
"Save and Continue Edit","Speichern und Bearbeiten fortsetzen"
"Save Customer","Kunde speichern"
"Save Customer Group","Kundengruppe speichern"
"Saved %d record(s)","%d Eintrag(e) gespeichert"
"Save in address book","Im Adressbuch speichern"
"Semicolon (;) separated values.<br>Put semicolon in the beginning for empty first option.<br>Leave empty for open text field.","Semikolon (;) getrennte Werte.<br>Setze Semikolon am Anfang für leere erste Option.<br>Leer lassen für geöffnetes Textfeld."
"Send confirmation link","Bestätigungslink senden"
"Send From","Senden von"
"Sending","Senden"
"Send Welcome Email","Willkommens-E-Mail senden"
"Send Welcome Email after Confirmation","Willkommens-E-Mail nach Bestätigung senden"
"Sent","Gesendet"
"Session Start Time","Session-Startzeit"
"Set as Default Billing Address","Als Standard-Rechnungsadresse festlegen"
"Set as Default Shipping Address","Als Standard-Lieferadresse festlegen"
"Share Customer Accounts","Kundenkonten teilen"
"Shipped to Name","Versandt an Name"
"Shopping Cart","Warenkorb"
"Shopping Cart - %d item(s)","Shopping Cart - %d item(s)"
"Shopping Cart of %1$s - %2$d item(s)","Warenkorb von %1$s - %2$d Artikel(e)"
"Show Date of Birth","Geburtsdatum anzeigen"
"Show Gender","Zeige Geschlecht"
"Show Middle Name (initial)","Mittleren Namen anzeigen (initial)"
"Show Prefix","Präfix anzeigen"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Steuernummer anzeigen"
"Show VAT Number on Frontend","USt-IdNr. im Frontend anzeigen"
"Sign Up for Newsletter","Abonnieren Sie den Newsletter"
"Skipping import row, required field ""%s"" is not defined.","Importzeile wird übersprungen, Pflichtfeld ""%s"" ist nicht definiert."
"Skipping import row, website ""%s"" field does not exist.","Importzeile übersprungen, Webseite ""%s"" Feld existiert nicht."
"SKU","SKU"
"State/Province","Bundesland/Provinz"
"Status","Status"
"Store","Shop"
"Store View","Store-Ansicht"
"Street Address","Straße"
"Street Address %s","Straße %s"
"Subject","Betreff"
"Submit","Absenden"
"Subscribed to Newsletter?","Newsletter abonniert?"
"Subscribe to Newsletter","Newsletter abonnieren"
"Suffix Dropdown Options","Suffix Dropdown Optionen"
"Tag Name","Tag-Name"
"Tax/VAT number","Steuern/USt-Nummer"
"Tax Calculation Based On","Steuerberechnung basierend auf"
"Tax Class","Steuerklasse"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Text eine Zeile"
"Thank you for registering! We have sent you an email with a login link to %s.","Vielen Dank für Ihre Registrierung! Wir haben Ihnen eine E-Mail mit einem Login-Link an %s geschickt."
"Thank you for registering with %s.","Vielen Dank für Ihre Registrierung bei %s."
"The account information has been saved.","Die Kontoinformationen wurden gespeichert."
"The address does not belong to this customer.","Die Adresse gehört nicht zu diesem Kunden."
"The address has been deleted.","Die Adresse wurde gelöscht."
"The address has been saved.","Die Adresse wurde gespeichert."
"The customer does not have default billing address.","Der Kunde hat keine Standard-Rechnungsadresse."
"The customer email (%s) already exists, skipping the record, line: %s","Die Kunden-E-Mail (%s) existiert bereits. Datensatz wird übersprungen, Zeile: %s"
"The customer group has been deleted.","Die Kundengruppe wurde gelöscht."
"The customer group has been saved.","Die Kundengruppe wurde gespeichert."
"The customer ID and email did not match, skipping the record, line: %s","Kundennummer und E-Mail stimmen nicht überein. Datensatz wird übersprungen, Zeile: %s"
"The customer is currently assigned to Customer Group %s.","Der Kunde ist derzeit der Kundengruppe %s zugeordnet."
"The Date of Birth is required.","Das Geburtsdatum ist erforderlich."
"The first name cannot be empty.","Der Vorname darf nicht leer sein."
"The group ""%s"" cannot be deleted","Die Gruppe ""%s"" kann nicht gelöscht werden"
"The last name cannot be empty.","Der Nachname darf nicht leer sein."
"The minimum password length is %s","Die minimale Passwortlänge ist %s"
"The password cannot be empty.","Das Passwort darf nicht leer sein."
"The password must have at least %d characters. Leading or trailing spaces will be ignored.","Das Passwort muss mindestens %d Zeichen enthalten. Führende oder nachfolgende Leerzeichen werden ignoriert."
"There are no items in customer's shopping cart at the moment","Derzeit sind keine Artikel im Warenkorb des Kunden vorhanden"
"There are no items in customer's wishlist at the moment","Im Moment gibt es keine Artikel in der Wunschliste des Kunden"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account."
"There was an error validating the VAT ID.","Beim Validieren der USt-IdNr. ist ein Fehler aufgetreten."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Bei der Überprüfung der USt-IdNr. ist ein Fehler aufgetreten. Der Kunde gehört zur Kundengruppe %s."
"The suffix that goes after name (Jr., Sr., etc.)","Das Suffix nach dem Namen (Jr., Sr., etc.)"
"The TAX/VAT number is required.","Die Steuernummer ist erforderlich."
"The title that goes before name (Mr., Mrs., etc.)","Der Vorname (Mr., Mrs., etc.)"
"The VAT ID entered (%s) is not a valid VAT ID.","Die angegebene USt-IdNr. (%s) ist keine gültige USt-IdNr."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Die eingegebene USt-IdNr. (%s) ist keine gültige USt-IdNr. . Der Kunde würde zur Kundengruppe %s gehören."
"The VAT ID is valid. The current Customer Group will be used.","Die USt-IdNr. ist gültig. Die aktuelle Kundengruppe wird verwendet."
"This account is not active.","Dieses Konto ist nicht aktiv."
"This account is not confirmed.","Dieses Konto wurde nicht bestätigt."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dieses Konto ist nicht bestätigt. <a href=""%s"">Klicken Sie hier</a> um die Bestätigungs-E-Mail erneut zu senden."
"This customer email already exists","Diese Kunden-E-Mail existiert bereits"
"This customer has no saved addresses.","Dieser Kunde hat keine gespeicherten Adressen."
"This email does not require confirmation.","Diese E-Mail erfordert keine Bestätigung."
"This email is sent on checkbox <em>Email Link to Set Password</em> is checked on the customer page in backend.","Diese E-Mail wird im Kontrollkästchen <em>E-Mail Link zum Setzen von Passwort</em> auf der Kundenseite im Backend gesendet."
"This email will be sent instead of default welcome email, after account confirmation.","Diese E-Mail wird nach Bestätigung des Kontos anstelle der Standard-Willkommens-E-Mail versendet."
"This email with a link to set password is sent on new account creation in backend.","Diese E-Mail mit einem Link zum Passwort wird bei der Erstellung eines neuen Kontos im Backend versendet."
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Um die USt-IdNr. im Frontend anzuzeigen, setzen Sie die USt-IdNr. im Frontend auf Ja."
"Total","Gesamt"
"Type","Typ"
"Unable to validate VAT number. Please try again later.","Die USt-IdNr. konnte nicht validiert werden. Bitte versuchen Sie es später erneut."
"Unknown","Unbekannt"
"Unsubscribe from Newsletter","Newsletter abbestellen"
"Update","Aktualisieren"
"Update customer address data","Kundenadressdaten aktualisieren"
"Update customer data","Kundendaten aktualisieren"
"Use as My Default Billing Address","Als Standard-Rechnungsadresse verwenden"
"Use as my default billing address","Als Standard-Rechnungsadresse verwenden"
"Use as My Default Shipping Address","Als Standard Versandadresse verwenden"
"Use as my default shipping address","Als Standard-Lieferadresse verwenden"
"Validate on Each Transaction","Bei jeder Transaktion validieren"
"Validate VAT Number","USt-IdNr. validieren"
"Validate VAT numbers against the EU VIES service in real time on address forms.","Validieren Sie MwSt-Nummern gegenüber dem EU-VIES-Service in Echtzeit auf Adressformularen."
"Validation Error Group","Validierungsfehlergruppe"
"VAT Number","USt-IdNr."
"VAT number format is valid.","Das Format der USt-Nummer ist gültig."
"VAT number format is valid. VIES validation is not available for this country.","Das Format der USt-Nummer ist gültig. VIES-Validierung ist für dieses Land nicht verfügbar."
"VAT number is not valid.","Die USt-IdNr. ist nicht gültig."
"VAT number is required.","USt-IdNr. ist erforderlich."
"VAT number is valid.","Die USt-IdNr. ist gültig."
