"%s wants to connect to your store","Το %s θέλει να συνδεθεί στο κατάστημά σας"
"-- No Role --","-- Δεν Υπάρχει Ρόλος --"
"Access Token Lifetime","Διάρκεια Ζωής Διακριτικού Πρόσβασης"
"Modern REST API at /api/rest/v2/*","Μοντέρνο API REST στο /api/rest/v2/*"
"New API Key","Νέο Κλειδί Api"
"New API User","Νέος Χρήστης Api"
"New Role","Νέος Ρόλος"
"No grantable permissions could be loaded. Run ""composer dump-autoload"" in the Maho root, then reload this page.","Δεν ήταν δυνατή η φόρτωση κανενός είδους αδειών. Εκτελέστε το ""composer dump-autoload"" στη ρίζα Maho, στη συνέχεια φορτώστε ξανά αυτή τη σελίδα."
"No permissions needed, these are read-only public endpoints.","Δεν απαιτούνται δικαιώματα, πρόκειται για δημόσια τελικά σημεία μόνο για ανάγνωση."
"OAuth2 Client Credentials","OAuth2 Πιστοποιητικά Πελάτη"
"OAuth2 client_id and client_secret will be generated when you save this user.","OAuth2 client_id και client_secret θα δημιουργηθούν όταν αποθηκεύσετε αυτόν τον χρήστη."
"OAuth2 Settings","Ρυθμίσεις OAuth2"
"Off: an agent browses the public catalog tools without a token, and a client is challenged only when it reaches for a tool it may not use. On: /api/mcp challenges every unauthenticated caller. Turn it on if a client will not start the browser login on its own.","Off: ένας πράκτορας περιηγείται τα εργαλεία δημόσιου καταλόγου χωρίς ένα token, και ένας πελάτης αμφισβητείται μόνο όταν φτάσει για ένα εργαλείο που μπορεί να μην χρησιμοποιήσει. Ενεργό: το /api/mcp προκαλεί κάθε μη πιστοποιημένο καλούντα. Ενεργοποιήστε το αν ένας πελάτης δεν θα ξεκινήσει τη σύνδεση του προγράμματος περιήγησης από μόνος του."
"Original Magento 1 JSON-RPC at /api/jsonrpc","Αρχικό Magento 1 JSON-RPC στο /api/jsonrpc"
"Original Magento 1 REST API at /api/rest/*","Αρχικό Magento 1 REST API στο /api/rest/*"
"Original Magento 1 SOAP at /api/soap","Αρχικό Magento 1 SOAP στο /api/σαπούνι"
"Original Magento 1 SOAP v2 at /api/v2_soap","Αρχικό Magento 1 SOAP v2 στο /api/v2_soap"
"Original Magento 1 XML-RPC at /api/xmlrpc","Αρχικό Magento 1 XML-RPC στο /api/xmlrpc"
"Permissions","Δικαιώματα"
"Please select an application.","Παρακαλώ επιλέξτε μια εφαρμογή."
"Public Storefront Access","Πρόσβαση Στο Δημόσιο Κατάστημα"
"Read and change store data through the API, using your own admin permissions.","Ανάγνωση και αλλαγή δεδομένων αποθήκευσης μέσω του API, χρησιμοποιώντας τα δικά σας δικαιώματα διαχειριστή."
"Refresh Token Lifetime","Ανανέωση Διάρκειας Ζωής Token"
"Regenerate Credentials","Αναδημιουργία Διαπιστευτηρίων"
"Registered","Εγγεγραμμένος"
"Registration alone grants nothing: an admin must still log in and approve. Turning this off blocks most connector interfaces, which have no way to enter a client id by hand.","Μόνο η εγγραφή δεν χορηγεί τίποτα: ένας διαχειριστής πρέπει να εξακολουθεί να συνδέεται και να εγκρίνει. Απενεργοποιώντας αυτό το μπλοκ οι περισσότερες διεπαφές σύνδεσης, οι οποίες δεν έχουν τρόπο να εισέλθουν σε ένα id πελάτη με το χέρι."
"Resource Access","Πρόσβαση Πόρων"
"REST/GraphQL - Roles","REST/GraphQL - Ρόλοι"
"REST/GraphQL - Users","REST/GraphQL - Χρήστες"
"Restrict to Stores","Περιορισμός σε Καταστήματα"
"REST v2 (new)","REST v2 (νέα)"
"Revoke Access","Ανάκληση Πρόσβασης"
"Revoke access for the selected applications?","Ανάκληση πρόσβασης για τις επιλεγμένες εφαρμογές?"
"Revoked %d grant(s). Access tokens already issued stop working when they expire.","Ανακαλέστηκε %d grant(s). Τα διακριτικά πρόσβασης που έχουν ήδη εκδοθεί σταματούν να λειτουργούν όταν λήξουν."
"Role","Ρόλος"
"Role has been deleted.","Ο ρόλος έχει διαγραφεί."
"Role has been saved.","Ο ρόλος έχει αποθηκευτεί."
"Role Info","Πληροφορίες Ρόλου"
"Role Information","Πληροφορίες Ρόλου"
"Role Name","Όνομα Ρόλου"
"Role name is required.","Όνομα ρόλου απαιτείται."
"Save and Continue Edit","Αποθήκευση και συνέχεια επεξεργασίας"
"Save API User","Αποθήκευση Χρήστη Api"
"Save Role","Αποθήκευση Ρόλου"
"Save these credentials now. The secret cannot be retrieved later.","Αποθηκεύστε αυτά τα διαπιστευτήρια τώρα. Το μυστικό δεν μπορεί να ανακτηθεί αργότερα."
"Sends you back to","Σας στέλνει πίσω στο"
"Service Account Permissions","Δικαιώματα Λογαριασμού Υπηρεσίας"
"Status","Κατάσταση"
"Symfony App Secret","Μυστικό Εφαρμογής Symfony"
"System","Σύστημα"
"The authorization could not be completed.","Η εξουσιοδότηση δεν μπόρεσε να ολοκληρωθεί."
"These operations use customer JWT tokens obtained when a customer logs in. They are scoped to the logged-in customer's own data and cannot be granted to service accounts.","Αυτές οι λειτουργίες χρησιμοποιούν tokens πελάτη JWT που λαμβάνονται όταν ένας πελάτης συνδέεται. Τα στοιχεία αυτά καλύπτονται από τα δεδομένα του συνδεδεμένου πελάτη και δεν μπορούν να χορηγηθούν σε λογαριασμούς υπηρεσιών."
"These permissions control what API users (service accounts) can do. Grant only the operations each integration needs.","Αυτά τα δικαιώματα ελέγχουν τι μπορούν να κάνουν οι χρήστες API (λογαριασμοί υπηρεσιών). Εκχωρήστε μόνο τις λειτουργίες που χρειάζεται κάθε ενοποίηση."
"These resources are publicly readable without authentication. Any visitor or app can access this data via GET requests.","Αυτοί οι πόροι είναι δημόσια αναγνώσιμοι χωρίς έλεγχο. Κάθε επισκέπτης ή εφαρμογή μπορεί να έχει πρόσβαση σε αυτά τα δεδομένα μέσω αιτημάτων GET."
"This API user no longer exists.","Αυτός ο χρήστης API δεν υπάρχει πλέον."
"This application registered itself and has not been verified. Approve it only if you started this connection yourself.","Αυτή η αίτηση καταχωρήθηκε από μόνη της και δεν έχει επαληθευτεί. Έγκριση μόνο αν ξεκινήσατε αυτή τη σύνδεση μόνοι σας."
"This authorization request expired or is no longer valid. Start again from the application.","Αυτή η αίτηση εξουσιοδότησης έληξε ή δεν είναι πλέον έγκυρη. Ξεκινήστε ξανά από την εφαρμογή."
"This role no longer exists.","Αυτός ο ρόλος δεν υπάρχει πλέον."
"Unnamed client","Ανώνυμος πελάτης"
"User Info","Πληροφορίες Χρήστη"
"Username","Όνομα Χρήστη"
"User Role","Ρόλος Χρήστη"
"Verified","Επαληθευμένο"
"You denied the connection.","Αρνηθήκατε τη σύνδεση."
"Your admin role may not approve API connections.","Ο ρόλος του διαχειριστή σας ενδέχεται να μην εγκρίνει συνδέσεις API."
