"%s %s cycle.","%s κύκλος %s."
"Severe 3D Secure Card Validation","Σοβαρή 3D Επικύρωση Ασφαλούς Κάρτας"
"Shipping Amount","Ποσό Αποστολής"
"Shipping Country","Χώρα Αποστολής"
"Shipping Method","Μέθοδος Αποστολής"
"Shipping Postcode","Ταχυδρομικός Κώδικας Αποστολής"
"Shipping Region","Περιοχή Αποστολής"
"Shipping State/Province","Κράτος Αποστολής/Επαρχία"
"Short description of the recurring payment. By default equals to the product name.","Σύντομη περιγραφή της επαναλαμβανόμενης πληρωμής. Από προεπιλογή ισούται με το όνομα του προϊόντος."
"Sort Order","Σειρά Ταξινόμησης"
"Start Date","Ημερομηνία Έναρξης"
"Start date has invalid format.","Η ημερομηνία έναρξης δεν έχει έγκυρη μορφή."
"Start date is undefined.","Η ημερομηνία έναρξης δεν έχει οριστεί."
"Status","Κατάσταση"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","Κατάσταση ""%s"" δεν μπορεί να αποδεσμευτεί. Χρησιμοποιείται στις ρυθμίσεις του %d τρόπου πληρωμής: %s"
"Stores","Καταστήματα"
"Subscriber Name","Όνομα Συνδρομητή"
"Subtotal","Υποσύνολο"
"Switch/Solo/Maestro Issue Number","Αριθμός Έκδοσης Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Μόνο"
"Switch/Solo/Maestro Start Date","Ημερομηνία Έναρξης Switch/Solo/Maestro"
"Tax Amount","Ποσό Φόρου"
"Test Mode","Δοκιμαστική Λειτουργία"
"The date when billing for the profile begins.","Η ημερομηνία έναρξης της χρέωσης για το προφίλ."
"The number of billing cycles for payment period.","Ο αριθμός των κύκλων χρέωσης για την περίοδο πληρωμής."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Ο αριθμός των προγραμματισμένων πληρωμών που μπορεί να αποτύχουν πριν από την αυτόματη αναστολή του προφίλ."
"The payment restriction has been deleted.","Ο περιορισμός πληρωμής έχει διαγραφεί."
"The payment restriction has been saved.","Ο περιορισμός πληρωμής έχει αποθηκευτεί."
"The payment review action is unavailable.","Η ενέργεια ελέγχου πληρωμής δεν είναι διαθέσιμη."
"The requested Payment Method is not available.","Η ζητούμενη μέθοδος πληρωμής δεν είναι διαθέσιμη."
"This restriction no longer exists.","Αυτός ο περιορισμός δεν υπάρχει πλέον."
"Title","Τίτλος"
"total amount","συνολικό ποσό"
"Total Items Quantity","Συνολική Ποσότητα Αντικειμένων"
"Total of %d record(s) were deleted.","Σύνολο του %d εγγραφή(ες) διαγράφηκαν."
"Total of %d record(s) were updated.","Σύνολο %d εγγραφή(ες) ενημερώθηκαν."
"total quantity","συνολική ποσότητα"
"Total Weight","Συνολικό Βάρος"
"Trial Billing Amount","Δοκιμαστικό Ποσό Χρέωσης"
"Trial billing amount is wrong.","Το ποσό δοκιμαστικής χρέωσης είναι λάθος."
"Trial Billing Frequency","Δοκιμαστική Συχνότητα Χρέωσης"
"Trial Billing Period Unit","Δοκιμαστική Μονάδα Περιόδου Χρέωσης"
"Trial billing period unit is wrong.","Η δοκιμαστική μονάδα περιόδου χρέωσης είναι λάθος."
"Trial Period","Δοκιμαστική Περίοδος"
"Trial period frequency is wrong.","Η συχνότητα της δοκιμαστικής περιόδου είναι λάθος."
"Trial period max cycles is wrong.","Οι μέγιστοι κύκλοι δοκιμής είναι λάθος."
"Two Weeks","Δύο Εβδομάδες"
"Type","Τύπος"
"Unable to find a restriction to delete.","Δεν είναι δυνατή η εύρεση περιορισμού για διαγραφή."
"Unable to save Billing Agreement:","Δεν είναι δυνατή η αποθήκευση συμφωνίας χρέωσης:"
"Unit for billing during the subscription period.","Μονάδα χρέωσης κατά τη διάρκεια της περιόδου συνδρομής."
"Void action is not available.","Ακύρωση ενέργειας δεν είναι διαθέσιμη."
"Week","Εβδομάδα"
"What is this?","Τι είναι αυτό?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Αν θα ανασταλεί το προφίλ πληρωμής εάν η αρχική χρέωση αποτύχει ή θα προστεθεί στο υπόλοιπο που εκκρεμεί."
"Wrong %s specified.","Λάθος %s καθορίστηκε."
"Wrong or empty billing amount specified.","Καθορίστηκε λάθος ή άδειο ποσό χρέωσης."
"Year","Έτος"
"Zero Subtotal Checkout","Μηδενική Ολοκλήρωση Αγοράς"
