"%s Screenshot","%s Screenshot"
"%s violation(s)","%s violation(s)"
"Accessibility Scan","Σάρωση Προσβασιμότητας"
"The scanner cannot run on this server yet:","Ο σαρωτής δεν μπορεί να εκτελεστεί σε αυτόν τον διακομιστή ακόμη:"
"The scanner returned an unexpected result","Ο σαρωτής επέστρεψε ένα απρόσμενο αποτέλεσμα"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","Ο σαρωτής δεν έχει εγκατασταθεί ακόμα. Εκτελέστε ""./maho accessibility:install"" από τη γραμμή εντολών για να τον εγκαταστήσετε."
"The URL to scan must belong to one of the configured store base URLs","Η διεύθυνση URL που θα γίνει σάρωση πρέπει να ανήκει σε ένα από τα βασικά URL του καταστήματος"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Αυτή η έκθεση δημιουργήθηκε με αυτοματοποιημένους ελέγχους (άξονας), οι οποίοι ανιχνεύουν μόνο ένα υποσύνολο κριτηρίων επιτυχίας WCAG. Μια αναφορά χωρίς παραβιάσεις δεν εγγυάται συμμόρφωση; χειροκίνητη δοκιμή με ένα πληκτρολόγιο και ένα πρόγραμμα ανάγνωσης οθόνης εξακολουθεί να απαιτείται."
"Total","Σύνολο"
"Total Scans","Σύνολο Σαρώσεων"
"Total Violations","Συνολικές Παραβάσεις"
"Unable to acquire the scanner install lock","Δεν είναι δυνατή η απόκτηση του κλειδώματος εγκατάστασης του σαρωτή"
"Unable to copy the scanner script to %s","Αδυναμία αντιγραφής του σεναρίου σάρωσης στο %s"
"Unable to create directory %s","Αδυναμία δημιουργίας καταλόγου %s"
"Unable to start process: %s","Αδυναμία εκκίνησης της διαδικασίας: %s"
"URL","URL"
"URLs to Scan","URL για σάρωση"
"URL to scan","URL για σάρωση"
"URL to scan, e.g. https://store.example.com/","URL για σάρωση, π.χ. https://store.example.com/"
"Violation #%s: %s","Παραβίαση #%s: %s"
"Violations","Παραβάσεις"
"Violations (Latest Scan)","Παραβιάσεις (Τελευταία Σάρωση)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 Επίπεδο A"
"WCAG 2.2 Level AA","WCAG 2.2 Επίπεδο AA"
"WCAG 2.2 Level AAA","WCAG 2.2 Επίπεδο AAA"
"WCAG Level","Επίπεδο WCAG"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Πλάτος x ύψος σε CSS pixels, σαρωμένο με προσομοίωση κινητού. Προεπιλογή: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Πλάτος x ύψος σε CSS pixels. Κάθε σάρωση εκτελείται με ένα πέρασμα ανά προβολή. Προεπιλογή: 1280x1024"
