"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"Email Template","Πρότυπο Email"
"Enable Gift Cards","Ενεργοποίηση Δωροκάρτας"
"Enter gift card code","Εισάγετε τον κωδικό δωροκάρτας"
"Error generating gift card PDF: %s","Σφάλμα δημιουργίας κάρτας δώρων PDF: %s"
"Expired","Έληξε"
"Expires","Λήγει"
"Expires At","Λήγει Στις"
"Fixed + Range","Σταθερό + Εύρος"
"Fixed Amount(s)","Σταθερό Ποσό(-ά)"
"Fixed Amounts","Σταθερά Ποσά"
"From","Από"
"From:","Από:"
"Gift Card","Δωροκάρτα"
"Gift card ""%s"" has been fully used.","Η δωροκάρτα ""%s"" έχει χρησιμοποιηθεί πλήρως."
"Gift card ""%s"" has expired.","Δωροκάρτα ""%s"" έχει λήξει."
"Gift card ""%s"" is already applied.","Η δωροκάρτα ""%s"" εφαρμόζεται ήδη."
"Gift card ""%s"" is not active.","Δωροκάρτα ""%s"" δεν είναι ενεργή."
"Gift card ""%s"" is not valid.","Δωροκάρτα ""%s"" δεν είναι έγκυρη."
"Gift card ""%s"" is not valid for this website.","Δωροκάρτα ""%s"" δεν είναι έγκυρη για αυτόν τον ιστότοπο."
"Gift card ""%s"" was applied.","Δωροκάρτα ""%s"" εφαρμόστηκε."
"Gift card amount cannot be less than %s","Το ποσό της δωροκάρτας δεν μπορεί να είναι μικρότερο από %s"
"Gift card amount cannot be more than %s","Ποσό δωροκάρτας δεν μπορεί να είναι μεγαλύτερο από %s"
"Gift Card Code","Κωδικός Δωροκάρτας"
"Gift Card History","Ιστορικό Δωροκάρτας"
"Gift Card Information","Πληροφορίες Δωροκάρτας"
"Gift card not found.","Η δωροκάρτα δεν βρέθηκε."
"Gift Card Notification Email","Email Ειδοποίησης Δωροκάρτας"
"Gift Card Options","Επιλογές Δωροκάρτας"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Τα προϊόντα δωροκάρτας δεν μπορούν να προστεθούν όταν εφαρμόζεται ένας κωδικός δωροκάρτας. Παρακαλώ αφαιρέστε πρώτα τον κωδικό της δωροκάρτας."
"Gift Cards","Κάρτες Δώρου"
"Gift cards cannot be used to purchase gift card products.","Οι δωροκάρτες δεν μπορούν να χρησιμοποιηθούν για την αγορά προϊόντων δωροκάρτας."
"Gift Cards Configuration","Ρύθμιση Δωροκαρτών"
"Gift Card Transaction History","Ιστορικό Συναλλαγών Δωροκάρτας"
"Gift card was removed.","Η δωροκάρτα αφαιρέθηκε."
"Gift Certificates","Δωροεπιταγές"
"Inactive","Ανενεργό"
"Initial Balance","Αρχικό Υπόλοιπο"
"Invalid form key. Please refresh the page and try again.","Μη έγκυρο κλειδί φόρμας. Ανανεώστε τη σελίδα και προσπαθήστε ξανά."
"Invalid gift card code.","Μη έγκυρος κωδικός δωροκάρτας."
"Invalid request.","Μη έγκυρη αίτηση."
"Leave blank for immediate delivery","Αφήστε κενό για άμεση παράδοση"
"Leave empty to use system default. 0 = never expires.","Αφήστε κενό για να χρησιμοποιήσετε το προεπιλεγμένο σύστημα. 0 = δεν λήγει ποτέ."
"Lifetime (days)","Διάρκεια Ζωής (Ημέρες)"
"Lost cards not replaced","Χαμένες κάρτες δεν αντικαταστάθηκαν"
"Manage Gift Cards","Διαχείριση Δωροκαρτών"
"Maximum Amount","Μέγιστο Ποσό"
"Message:","Μήνυμα:"
"Minimum Amount","Ελάχιστο Ποσό"
"New Gift Card","Νέα Δωροκάρτα"
"Not redeemable for cash","Δεν μπορούν να εξαργυρωθούν για μετρητά"
"Optional","Προαιρετικό"
"Order #","Παραγγελία #"
"Order History","Ιστορικό Παραγγελιών"
"Other Amount","Άλλο Ποσό"
"Personal Message","Προσωπικό Μήνυμα"
"Please enter a gift card code.","Παρακαλώ εισάγετε έναν κωδικό δωροκάρτας."
"Please select a valid gift card amount","Παρακαλώ επιλέξτε ένα έγκυρο ποσό δωροκάρτας"
"Please select gift card(s).","Παρακαλώ επιλέξτε δωροκάρτα(ες)."
"Price varies","Η τιμή ποικίλλει"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","Email Παραλήπτη"
"Recipient Name","Όνομα Παραλήπτη"
"Refund Expiration Extension (days)","Επιστροφή Επέκταση Λήξης (Ημέρες)"
"Refund to Gift Card","Επιστροφή στην δωροκάρτα"
"Remove","Αφαίρεση"
"Save And Continue Edit","Αποθήκευση Και Συνέχεια Επεξεργασίας"
"Save Gift Card","Αποθήκευση Δωροκάρτας"
"Schedule Delivery","Παράδοση Προγραμματισμού"
"Select Amount","Επιλέξτε Ποσό"
"Send Email","Αποστολή Email"
"Send gift card email to %s?","Αποστολή email δωροκάρτας στο %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","Κατάσταση"
"The gift card has been deleted.","Η δωροκάρτα έχει διαγραφεί."
"The gift card has been saved.","Η δωροκάρτα έχει αποθηκευτεί."
"This gift card no longer exists.","Αυτή η δωροκάρτα δεν υπάρχει πλέον."
"This is a required field.","Αυτό είναι ένα απαιτούμενο πεδίο."
"To","Προς"
"Too many attempts. Please wait a moment and try again.","Πάρα πολλές προσπάθειες. Παρακαλώ περιμένετε ένα λεπτό και προσπαθήστε ξανά."
"Total: %s","Σύνολο: %s"
"Unable to check balance.","Δεν είναι δυνατό να ελεγχθεί το υπόλοιπο."
"Unable to find a gift card to delete.","Δεν είναι δυνατή η εύρεση δωροκάρτας για διαγραφή."
"Unknown","Άγνωστο"
"Updated At","Ενημερώθηκε Στις"
"Used","Χρησιμοποιείται"
"Use Default (%s)","Χρήση Προεπιλογής (%s)"
"View","Προβολή"
"Website","Ιστοσελίδα"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","Όταν επιστρέφετε σε μια κάρτα δώρου που έχει λήξει, παρατείνετε τη λήξη κατά τόσες ημέρες. 0 = καμία επέκταση (η κάρτα παραμένει ληγμένη αλλά το υπόλοιπο αποκαθίσταται)."
"Your Email","Το Email Σας"
"Your Name","Το Όνομά Σας"
