"%s file does not exists or is not readable","Το αρχείο %s δεν υπάρχει ή δεν είναι αναγνώσιμο"
"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"Invalid seek position","Μη έγκυρη θέση αναζήτησης"
"Invalid seek position: %d","Μη έγκυρη θέση αναζήτησης: %d"
"Invalid value for '%s'","Μη έγκυρη τιμή για '%s'"
"Invalid value for '%s' column","Μη έγκυρη τιμή για τη στήλη '%s'"
"No data provided for import","Δεν παρέχονται δεδομένα για την εισαγωγή"
"No data rows found after header processing","Δεν βρέθηκαν γραμμές δεδομένων μετά την επεξεργασία κεφαλίδας"
"Node does not has model token tag","Ο κόμβος δεν έχει ετικέτα διακριτικού μοντέλου"
"No filter data provided","Δεν παρέχονται δεδομένα φίλτρου"
"No source specified","Δεν καθορίστηκε πηγή"
"Not implemented yet","Δεν έχει εφαρμοστεί ακόμα"
"No valid data sent","Δεν εστάλησαν έγκυρα δεδομένα"
"No writer specified","Δεν ορίστηκε εγγραφέας"
"Please fix errors and re-upload file","Παρακαλώ διορθώστε τα σφάλματα και ανεβάστε ξανά το αρχείο"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Παρακαλώ διορθώστε τα σφάλματα και να ξαναανεβάσετε το αρχείο ή απλά πατήστε το κουμπί ""Εισαγωγή"" για να παραλείψετε τις γραμμές με τα σφάλματα"
"Products","Προϊόντα"
"Replace Existing Complex Data","Αντικατάσταση Υπάρχοντων Σύνθετων Δεδομένων"
"Row %d is not an array","Η γραμμή %d δεν είναι πίνακας"
"Row %d missing columns: %s","Σειρά %d στήλες που λείπουν: %s"
"Select File to Import","Επιλογή αρχείου για εισαγωγή"
"Skip","Παράλειψη"
"Source data array cannot be empty","Ο πίνακας δεδομένων πηγής δεν μπορεί να είναι κενός"
"Source data must be an array","Τα δεδομένα προέλευσης πρέπει να είναι ένας πίνακας"
"Source file moving failed","Αποτυχία μετακίνησης αρχείου πηγής"
"Source is not set","Η πηγή δεν έχει οριστεί"
"Source must be a string file path or array","Η πηγή πρέπει να είναι διαδρομή αρχείου συμβολοσειράς ή πίνακας"
"Status","Κατάσταση"
"There are no product types available for export","Δεν υπάρχουν διαθέσιμοι τύποι προϊόντος για εξαγωγή"
"There is no data for export","Δεν υπάρχουν δεδομένα για εξαγωγή"
"To","Προς"
"Total size of uploadable files must not exceed %s","Το συνολικό μέγεθος των μεταφορτώσιμων αρχείων δεν πρέπει να υπερβαίνει το %s"
"Unknown attribute filter type","Άγνωστος τύπος φίλτρου χαρακτηριστικού"
"Uploaded file has no extension","Το μεταφορτωμένο αρχείο δεν έχει επέκταση"
"Validation finished successfully","Η επικύρωση ολοκληρώθηκε με επιτυχία"
