"# of Use","# χρήσης"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s από %s"
"%s and above","%s και άνω"
"%s Item(s)","%s Item(s)"
"Anchor Custom Title","Προσαρμοσμένος Τίτλος Σημείου Αγκύρωσης"
"and","και"
"and above","και πάνω"
"An error occurred while adding products to websites.","Παρουσιάστηκε σφάλμα κατά την προσθήκη προϊόντων σε ιστοσελίδες."
"An error occurred while clearing comparison list.","Παρουσιάστηκε σφάλμα κατά την εκκαθάριση της λίστας σύγκρισης."
"An error occurred while deleting this review.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή αυτής της αξιολόγησης."
"An error occurred while removing products from websites.","Παρουσιάστηκε σφάλμα κατά την αφαίρεση προϊόντων από ιστοσελίδες."
"An error occurred while saving the attribute set.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση του συνόλου χαρακτηριστικών."
"An error occurred while saving the collection, aborting. Error message: %s","Παρουσιάστηκε σφάλμα κατά την αποθήκευση της συλλογής, ματαίωση. Μήνυμα σφάλματος: %s"
"An error occurred while saving the product. ","Παρουσιάστηκε σφάλμα κατά την αποθήκευση του προϊόντος. "
"An error occurred while saving the search query.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση του ερωτήματος αναζήτησης."
"An error occurred while saving the URL rewrite","Παρουσιάστηκε σφάλμα κατά την αποθήκευση της επανεγγραφής URL"
"An error occurred while saving this review.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση αυτής της αξιολόγησης."
"An error occurred while updating the product(s) attributes.","Παρουσιάστηκε σφάλμα κατά την ενημέρωση των χαρακτηριστικών του προϊόντος."
"An error occurred while updating the product(s) status.","Παρουσιάστηκε σφάλμα κατά την ενημέρωση κατάστασης του προϊόντος."
"An invalid group ID is specified, skipping the record.","Ένα μη έγκυρο αναγνωριστικό ομάδας έχει καθοριστεί, παρακάμπτοντας την εγγραφή."
"An invalid option ID is specified for %s (%s), skipping the record.","Ένα μη έγκυρο ID επιλογής έχει καθοριστεί για %s (%s), παρακάμπτοντας την εγγραφή."
"An invalid store was specified.","Ένα μη έγκυρο κατάστημα έχει καθοριστεί."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Εφαρμόζεται μόνο σε προϊόντα και κατηγορίες καταλόγου. Κάθε περιεχόμενο πολυμέσων θα εισαχθεί στον επεξεργαστή ως στατικό URL. Δεν ενημερώνεται αν το URL βάσης ρύθμισης παραμέτρων του συστήματος αλλάξει."
"Apply","Εφαρμογή"
"Apply MAP (Default Value)","Εφαρμογή MAP (Προκαθορισμένη Τιμή)"
"Apply price filter","Εφαρμογή φίλτρου τιμών"
"Apply To","Εφαρμογή Σε"
"Approved","Εγκρίθηκε"
"A product type is not defined for the indexer.","Ένας τύπος προϊόντος δεν ορίζεται για το ευρετήριο."
"Are you sure?","Είσαι σίγουρος?"
"Are you sure you want to delete this category?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτήν την κατηγορία?"
"Are you sure you would like to remove all products from your comparison?","Είστε σίγουροι ότι θα θέλατε να αφαιρέσετε όλα τα προϊόντα από τη σύγκρισή σας?"
"Are you sure you would like to remove this item from the compare products?","Είστε βέβαιοι ότι θα θέλατε να αφαιρέσετε αυτό το στοιχείο από τα προϊόντα σύγκρισης?"
"Assign","Ανάθεση"
"Assigned Products","Ανατεθειμένα Προϊόντα"
"Assign product link","Αντιστοιχίστε σύνδεσμο προϊόντος"
"Assign product to category","Αντιστοιχίστε προϊόν σε κατηγορία"
"Associated Products","Συνδεδεμένα Προϊόντα"
"Attrib. Set Name","Όνομα Σετ Attrib."
"Attribute ""%s"" is invalid.","Χαρακτηριστικό ""%s"" δεν είναι έγκυρο."
"Attribute ""%s"" is required.","Το χαρακτηριστικό ""%s"" απαιτείται."
"Attribute add","Προσθήκη χαρακτηριστικού"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Ο κωδικός χαρακτηριστικού δεν είναι έγκυρος. Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (a-z), αριθμούς (0-9) ή χαρακτήρα υπογράμμισης (_) σε αυτό το πεδίο, ο πρώτος χαρακτήρας πρέπει να είναι ένα γράμμα. Μην χρησιμοποιήσετε το ""event"" για έναν κωδικό χαρακτηριστικού."
"Attribute Information","Πληροφορίες Χαρακτηριστικού"
"Attribute Name:","Όνομα Χαρακτηριστικού:"
"Attribute remove","Αφαίρεση χαρακτηριστικού"
"Attributes","Χαρακτηριστικά"
"Attribute Set","Σύνολο Χαρακτηριστικών"
"Attribute Sets","Σύνολα Χαρακτηριστικών"
"Attribute with the same code already exists","Υπάρχει ήδη χαρακτηριστικό με τον ίδιο κωδικό"
"Attrribute names can be specified per store.","Τα ονόματα Attrribute μπορούν να οριστούν ανά κατάστημα."
"Autogenerate","Αυτόματη Δημιουργία"
"Availability:","Διαθεσιμότητα:"
"Back","Πίσω"
"Background Color","Χρώμα Φόντου"
"Backorders","Προπαραγγελίες"
"Based On","Βασισμένο Σε"
"Base Image Width","Πλάτος Εικόνας Βάσης"
"Before Order Confirmation","Πριν Την Επιβεβαίωση Παραγγελίας"
"Best Value","Καλύτερη Τιμή"
"Block after Info Column","Αποκλεισμός μετά από τη στήλη Πληροφορίες"
"Bottom/Left","Κάτω/Αριστερά"
"Bottom/Right","Κάτω/Δεξιά"
"Bottom Block Options Wrapper","Περιτύλιγμα Επιλογών Κάτω Μπλοκ"
"Bundle Items","Δέσμη Αντικειμένων"
"Buy %1$s","Αγορά %1$s"
"Buy %1$s for","Αγοράστε %1$s για"
"Buy %1$s for %2$s","Αγοράστε %1$s για %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Αγοράστε %1$s για %2$s (%3$s συμπεριλαμβανομένου του φόρου) κάθε"
"Buy %1$s for %2$s each","Αγοράστε %1$s για %2$s το καθένα"
"Cache Lifetime (Seconds)","Διάρκεια Ζωής Προσωρινής Αποθήκευσης (Δευτερόλεπτα)"
"Cache refresh needed.","Απαιτείται ανανέωση της προσωρινής μνήμης."
"Can't create image.","Αδυναμία δημιουργίας εικόνας."
"Can be Divided into Multiple Boxes for Shipping","Μπορεί να χωριστεί σε πολλαπλά κιβώτια για αποστολή"
"Can be used only with catalog input type Dropdown","Μπορεί να χρησιμοποιηθεί μόνο με τύπο εισόδου καταλόγου Αναπτυσσόμενο"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Μπορεί να χρησιμοποιηθεί μόνο με τον τύπο εισόδου Αναπτυσσόμενου Μενού καταλόγου, Πολλαπλών Επιλογών και Τιμής"
"Cancel","Ακύρωση"
"Cannot create image.","Αδυναμία δημιουργίας εικόνας."
"Cannot create writeable directory '%s'.","Αδυναμία δημιουργίας εγγράψιμου καταλόγου '%s'."
"Cart Item Attribute","Χαρακτηριστικό Στοιχείου Καλαθιού"
"Catalog","Κατάλογος"
"Catalog + Search","Κατάλογος + Αναζήτηση"
"Catalog Category (Anchor)","Κατηγορία Καταλόγου (Άγκυρα)"
"Catalog Category (Non-Anchor)","Κατηγορία Καταλόγου (Μη Άγκυρα)"
"Catalog Category (Without Subcategories)","Κατηγορία Καταλόγου (Χωρίς Υποκατηγορίες)"
"Catalog Category Link","Σύνδεσμος Κατηγορίας Καταλόγου"
"Catalog New Products List","Νέα Λίστα Καταλόγου Προϊόντων"
"Catalog Price Scope","Εμβέλεια Τιμών Καταλόγου"
"Catalog Product Compare List","Λίστα Συγκρίσεων Προϊόντων Καταλόγου"
"Catalog product custom options API","Κατάλογος προϊόντων προσαρμοσμένες επιλογές API"
"Catalog product custom option values API","Κατάλογος προϊόντων προσαρμοσμένη επιλογή τιμές API"
"Catalog Product Email to a Friend","Email Καταλόγου Προϊόντος σε έναν φίλο"
"Catalog Product Image Gallery Popup","Αναδυόμενο Γκαλερί Εικόνων Καταλόγου Προϊόντων"
"Catalog Product Link","Σύνδεσμος Προϊόντος Καταλόγου"
"Catalog Product View (Any)","Προβολή Προϊόντων Καταλόγου (Άνεις)"
"Catalog Product View (Configurable)","Προβολή Προϊόντων Καταλόγου (Διαμορφώσιμο)"
"Catalog Product View (Grouped)","Προβολή Προϊόντων Καταλόγου (Ομαδοποιημένο)"
"Catalog Product View (Simple)","Προβολή Προϊόντων Καταλόγου (Simple)"
"Catalog Product View (Virtual)","Προβολή Προϊόντων Καταλόγου (Εικονική)"
"Catalog Seo Sitemap (Category List)","Κατάλογος Seo Χάρτης Ιστοσελίδας (Λίστα Κατηγοριών)"
"Catalog Seo Sitemap (Category Tree)","Κατάλογος Seo Χάρτης Ιστοσελίδας (Κατηγορία Δέντρο)"
"Catalog Seo Sitemap (Common)","Χάρτης Ιστοτόπου Του Καταλόγου Seo (Common)"
"Catalog Seo Sitemap (Product List)","Κατάλογος Seo Χάρτης Τοποθεσίας (Λίστα Προϊόντων)"
"Catalog URL Rewrites","Επανεγγραφές Url Καταλόγου"
"Categories","Κατηγορίες"
"categories","κατηγορίες"
"Categories Sitemap","Κατηγορίες Χάρτη Ιστοτόπου"
"Category","Κατηγορία"
"Category API","Κατηγορία API"
"Category attributes API","Χαρακτηριστικά κατηγορίας API"
"Category Data","Δεδομένα Κατηγορίας"
"Category delete error: %s","Σφάλμα διαγραφής κατηγορίας: %s"
"Category Flat Data","Επίπεδα Δεδομένα Κατηγορίας"
"Category ID","ID Κατηγορίας"
"Category is not dynamic.","Η κατηγορία δεν είναι δυναμική."
"Category Link Block Template","Πρότυπο Μπλοκ Συνδέσμου Κατηγορίας"
"Category Link Inline Template","Εσωτερικό Πρότυπο Συνδέσμου Κατηγορίας"
"Category move error: %s","Σφάλμα μετακίνησης κατηγορίας: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","Η κατηγορία πρέπει να είναι μια παρουσία του Mage_Catalog_Model_Category."
"Category not found.","Η κατηγορία δεν βρέθηκε."
"Category Products","Προϊόντα Κατηγορίας"
"Category save error: %s","Σφάλμα αποθήκευσης κατηγορίας: %s"
"Category Top Navigation","Επάνω Πλοήγηση Κατηγορίας"
"Category URL Suffix","Επίθεμα Κατηγορίας URL"
"Category was not found.","Η κατηγορία δεν βρέθηκε."
"Center","Κέντρο"
"Change","Αλλαγή"
"Change Attribute Set","Αλλαγή Συνόλου Χαρακτηριστικών"
"Change or Retrieve attribute store view","Αλλαγή ή Ανάκτηση προβολής καταστήματος χαρακτηριστικών"
"Change status","Αλλαγή κατάστασης"
"Changing the attribute set may result in data loss for attributes that do not exist in the new set. Are you sure?","Αλλάζοντας το σύνολο χαρακτηριστικών μπορεί να οδηγήσει σε απώλεια δεδομένων για χαρακτηριστικά που δεν υπάρχουν στο νέο σύνολο. Είστε σίγουροι?"
"Check items to add to the cart or","Ελέγξτε τα στοιχεία για προσθήκη στο καλάθι ή"
"Choose an Option...","Επιλέξτε μια Επιλογή..."
"Clear All","Εκκαθάριση Όλων"
"Clear Price","Καθαρισμός Τιμής"
"Click for price","Κάντε κλικ για τιμή"
"Close Window","Κλείσιμο Παραθύρου"
"Collapse All","Σύμπτυξη Όλων"
"Comma-separated.","Διαχωρισμός κομμάτων."
"Comparable","Συγκρίσιμο"
"Comparable on Front-end","Συγκρίσιμο στο Front-end"
"Comparable on the Frontend","Συγκρίσιμο στην περιοχή πελατών"
"Compare","Σύγκριση"
"Compare Products","Σύγκριση Προϊόντων"
"Conditions","Προϋποθέσεις"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Configurable","Διαμορφώσιμο"
"Configurable Product Settings","Διαμορφώσιμες Ρυθμίσεις Προϊόντος"
"Continue","Συνέχεια"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Ελέγχει την εμφάνιση των κουμπιών Προσθήκη στο Καλάθι και Προβολή λεπτομερειών στις σελίδες κατηγορίας και τις λίστες προϊόντων. Όταν απενεργοποιηθεί, μόνο τα ονόματα των προϊόντων και οι εικόνες θα είναι ενεργά."
"Copy From Configurable","Αντιγραφή Από Διαμορφώσιμο"
"Country/State","Χώρα/Κράτος"
"Create","Δημιουργία"
"Create (Upload)","Δημιουργία (Upload)"
"Create attribute set based on another set","Δημιουργία συνόλου χαρακτηριστικών με βάση ένα άλλο σύνολο"
"Create Empty","Δημιουργία Κενού"
"Create new attribute","Δημιουργία νέου χαρακτηριστικού"
"Create new category","Δημιουργία νέας κατηγορίας"
"Create new product","Δημιουργία νέου προϊόντος"
"Create Permanent Redirect for old URL","Δημιουργία Μόνιμης Ανακατεύθυνσης για το παλιό URL"
"Create Permanent Redirect for URLs if URL Key Changed","Δημιουργία Μόνιμης Ανακατεύθυνσης για URL εάν το κλειδί URL αλλάξει"
"Create Product Settings","Δημιουργία Ρυθμίσεων Προϊόντος"
"Create Simple Associated Product","Δημιουργήστε Απλό Σχετικό Προϊόν"
"Cross-sells","Διασταυρούμενες πωλήσεις"
"Custom Design","Προσαρμοσμένη Σχεδίαση"
"Customer Group","Ομάδα Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Customers Tagged Product","Πελάτες Με Ετικέτα Προϊόν"
"Custom Options","Προσαρμοσμένες Επιλογές"
"Custom options","Προσαρμοσμένες επιλογές"
"Data Type for Saving in Database","Τύπος δεδομένων για αποθήκευση στη βάση δεδομένων"
"Date & Time Custom Options","Προσαρμοσμένες Επιλογές Ημερομηνίας & Ώρας"
"Date Subscribed","Ημερομηνία Εγγραφής"
"Datetime","Ημερομηνία"
"Decimal","Δεκαδικός"
"Declare attribute value saving scope","Δηλώστε την τιμή χαρακτηριστικού πεδίου εξοικονόμησης"
"Default ""What's This"" Text Message","Προεπιλεγμένο Μήνυμα Κειμένου ""Τι Είναι Αυτό"""
"Default Popup Text Message","Προεπιλεγμένο Αναδυόμενο Μήνυμα Κειμένου"
"Default Price","Προεπιλεγμένη Τιμή"
"Default Price Navigation Step","Βήμα Προεπιλεγμένης Τιμής Πλοήγησης"
"Default Qty","Default Qty"
"Default Values","Προεπιλεγμένες Τιμές"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Καθορίζει το πεδίο εφαρμογής του βασικού νομίσματος (""Ρύθμιση Νομίσματος"" > ""Επιλογές Νομίσματος"" > ""Νόμισμα βάσης"")."
"Delete","Διαγραφή"
"Delete Attribute","Διαγραφή Χαρακτηριστικού"
"Delete attribute","Διαγραφή χαρακτηριστικού"
"Delete Attribute Set","Διαγραφή Συνόλου Χαρακτηριστικών"
"Delete Category","Διαγραφή Κατηγορίας"
"Delete category","Διαγραφή κατηγορίας"
"Delete File","Διαγραφή Αρχείου"
"Delete Group Price","Διαγραφή Τιμής Ομάδας"
"Delete product","Διαγραφή προϊόντος"
"Delete Row","Διαγραφή Γραμμής"
"Delete Search","Διαγραφή Αναζήτησης"
"Delete Tier","Διαγραφή Βαθμίδας"
"Depends on design theme","Εξαρτάται από το σχεδιαστικό θέμα"
"Description","Περιγραφή"
"Design","Σχεδιασμός"
"Details","Λεπτομέρειες"
"Disabled","Απενεργοποιημένο"
"Disallowed file format.","Μη επιτρεπόμενη μορφή αρχείου."
"Disallowed file type.","Μη επιτρεπόμενος τύπος αρχείου."
"Display Actual Price","Εμφάνιση Πραγματικής Τιμής"
"Display in Suggested Terms","Εμφάνιση σε προτεινόμενους όρους"
"Display Page Control","Προβολή Σελίδας Ελέγχου"
"Display Price Interval as One Price","Εμφάνιση διαστήματος τιμών ως μία τιμή"
"Display Product Count","Πλήθος Προϊόντων Εμφάνισης"
"Display Type","Τύπος Εμφάνισης"
"Downloadable Information","Πληροφορίες Για Λήψη"
"Do you want to duplicate the product images as well?","Θέλετε να αντιγράψετε και τις εικόνες του προϊόντος?"
"Do you want to duplicate the product images as well?","Θέλετε να αντιγράψετε και τις εικόνες του προϊόντος?"
"Duplicate","Duplicate"
"Duplicate Product","Αντίγραφο Προϊόντος"
"Duplicate website, country and state tax found.","Διπλότυπη ιστοσελίδα, χώρα και κατάσταση φόρου βρέθηκε."
"Duplicate website group price customer group.","Διπλότυπη ομάδα πελατών ομάδας ιστοσελίδων."
"Duplicate website tier price customer group and quantity.","Διπλότυπη ιστοσελίδα βαθμίδα τιμή ομάδα πελάτη και την ποσότητα."
"Dynamic category processed successfully.","Δυναμική κατηγορία επεξεργάστηκε επιτυχώς."
"Dynamic Category Rules","Δυναμικοί Κανόνες Κατηγορίας"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Π.χ. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Δυναμικές οδηγίες που αναλύουν επηρεάζει την απόδοση καταλόγου."
"each","κάθε"
"Edit","Επεξεργασία"
"Edit Attribute Set '%s'","Επεξεργαστείτε Το Σύνολο Χαρακτηριστικών '%s'"
"Edit Product Attribute","Επεξεργασία Χαρακτηριστικού Προϊόντος"
"Edit Product Attribute ""%s""","Επεξεργασία Χαρακτηριστικού Προϊόντος ""%s"""
"Edit Search","Επεξεργασία Αναζήτησης"
"Edit Search '%s'","Επεξεργασία Αναζήτησης '%s'"
"Edit Set Name","Επεξεργασία Ονόματος Συνόλου"
"Email","E-mail"
"Empty","Κενό"
"Enable Add to cart Button in product listings","Ενεργοποίηση κουμπιού Προσθήκη στο Καλάθι στις καταχωρήσεις προϊόντων"
"Enabled","Ενεργοποιημένο"
"Enable MAP","Ενεργοποίηση MAP"
"Enable Qty Increments","Ενεργοποίηση Προσαυξήσεις Ποσ."
"Enable WYSIWYG","Ενεργοποίηση WYSIWYG"
"Error during retrieval of option value: %s","Σφάλμα κατά την ανάκτηση της τιμής επιλογής: %s"
"Error loading children: %s","Σφάλμα φόρτωσης παιδιών: %s"
"ex. http://domain.com","π.χ. http://domain.com"
"Exclude","Εξαίρεση"
"Expand All","Ανάπτυξη Όλων"
"Failed","Απέτυχε"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Αποτυχία αντιγραφής αρχείου %s. Παρακαλώ, διαγράψτε τα πολυμέσα με ανύπαρκτες εικόνες και προσπαθήστε ξανά."
"Failed to move file: %s","Αποτυχία μετακίνησης αρχείου: %s"
"Field is not complete","Το πεδίο δεν είναι πλήρες"
"File","Αρχείο"
"File options format is not valid.","Η μορφή των επιλογών αρχείων δεν είναι έγκυρη."
"File upload failed","Η μεταφόρτωση αρχείου απέτυχε"
"File upload failed. Please contact the store administrator.","Η μεταφόρτωση αρχείου απέτυχε. Παρακαλώ επικοινωνήστε με το διαχειριστή του καταστήματος."
"File upload failed with error code: %s","Η μεταφόρτωση αρχείου απέτυχε με κωδικό σφάλματος: %s"
"Filter","Φίλτρο"
"Filterable (no results)","Φιλτράρισμα (χωρίς αποτελέσματα)"
"Filterable (with results)","Φιλτράρισμα (με αποτελέσματα)"
"Filter model name must be declared.","Όνομα μοντέλου φίλτρου πρέπει να δηλωθεί."
"Filter must be an object. Please set correct filter.","Το φίλτρο πρέπει να είναι αντικείμενο. Παρακαλώ ορίστε το σωστό φίλτρο."
"Filters","Φίλτρα"
"First Name","Όνομα"
"Fixed","Σταθερό"
"For internal use.","Για εσωτερική χρήση."
"For the last time placed.","Για τελευταία φορά τοποθετήθηκε."
"From","Από"
"Frontend","Frontend"
"Frontend Properties","Ιδιότητες Περιοχής Χρήσης"
"Gallery","Συλλογή"
"General Information","Γενικές Πληροφορίες"
"Get full information about attribute with list of options","Λάβετε πλήρεις πληροφορίες σχετικά με το χαρακτηριστικό με τη λίστα επιλογών"
"Get full information about custom option in product","Περισσότερες πληροφορίες σχετικά με την προσαρμοσμένη επιλογή στο προϊόν"
"Get list of available custom option types","Λάβετε τη λίστα των διαθέσιμων τύπων προσαρμοσμένων επιλογών"
"Get list of non-default attributes by product type and attributes set","Αποκτήστε τη λίστα των μη προεπιλεγμένων χαρακτηριστικών ανά τύπο προϊόντος και τα χαρακτηριστικά που έχουν οριστεί"
"Get list of possible attribute types","Αποκτήστε λίστα με πιθανούς τύπους χαρακτηριστικών"
"Get special price","Λάβετε ειδική τιμή"
"Global","Καθολικό"
"Globally Editable","Καθολικά Επεξεργάσιμο"
"Go to Home Page","Μετάβαση στην Αρχική Σελίδα"
"Grid","Πλέγμα"
"Group add","Προσθήκη ομάδας"
"Grouped","Ομαδοποιημένο"
"Group remove","Αφαίρεση ομάδας"
"Groups","Ομάδες"
"Home","Αρχική"
"HTML tags are not allowed in SKU attribute.","Δεν επιτρέπονται ετικέτες HTML στο χαρακτηριστικό SKU."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Αν είναι κενό, θα χρησιμοποιηθεί το Όνομα Κατηγορίας"
"If empty, the Product Name will be used","Αν είναι κενό, θα χρησιμοποιηθεί το Όνομα Προϊόντος"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Εάν δεν καθορίσετε μια τιμή επιλογής για μια συγκεκριμένη προβολή καταστήματος, τότε θα χρησιμοποιηθεί η προεπιλεγμένη τιμή (Διαχειριστής)."
"Image","Εικόνα"
"Image content is not valid base64 data.","Το περιεχόμενο εικόνας δεν είναι έγκυρα δεδομένα base64."
"Image does not exist.","Η εικόνα δεν υπάρχει."
"Image type and information need to be specified for each store view.","Ο τύπος εικόνας και οι πληροφορίες πρέπει να καθορίζονται για κάθε προβολή καταστήματος."
"In Cart","Στο Καλάθι"
"Incl. Tax","Με Φπα"
"Indexed category/products association","Ευρετήριο συσχέτισης κατηγορίας/προϊόντων"
"Index product and categories URL rewrites","Προϊόν ευρετηρίου και κατηγορίες URL ξαναγράφει"
"Index product attributes for layered navigation building","Χαρακτηριστικά προϊόντος ευρετηρίου για πολυεπίπεδη κτίριο πλοήγησης"
"Index product prices","Δείκτης τιμών των προϊόντων"
"Info","Πληροφορίες"
"Info Column Options Wrapper","Περίβλημα Επιλογών Στηλών Πληροφοριών"
"Input Type","Input Type"
"In Stock","Σε Απόθεμα"
"In stock","Σε απόθεμα"
"Integer","Ακέραιος"
"Internal Error","Εσωτερικό Σφάλμα"
"Interval Division Limit","Όριο Διαίρεσης Διαστήματος"
"Invalid attribute %s","Μη έγκυρο χαρακτηριστικό %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Μη έγκυρη επιλογή χαρακτηριστικού καθορίστηκε για το χαρακτηριστικό %s (%s), παρακάμπτοντας την εγγραφή."
"Invalid attribute set specified, skipping the record.","Καθορίστηκε μη έγκυρο σύνολο χαρακτηριστικών, παρακάμπτοντας την εγγραφή."
"Invalid block: %s.","Μη έγκυρο μπλοκ: %s."
"Invalid category.","Μη έγκυρη κατηγορία."
"Invalid category IDs.","Μη έγκυρα ID κατηγορίας."
"Invalid custom option(s).","Μη έγκυρη προσαρμοσμένη επιλογή(ες)."
"Invalid image file type.","Μη έγκυρος τύπος αρχείου εικόνας."
"Invalid image type.","Μη έγκυρος τύπος εικόνας."
"Invalid option ID specified for %s (%s), skipping the record.","Μη έγκυρο ID επιλογής που ορίστηκε για το %s (%s), παράλειψη της εγγραφής."
"Invalid product collection resource.","Μη έγκυρος πόρος συλλογής προϊόντων."
"Invalid product type specified, skipping the record.","Μη έγκυρος τύπος προϊόντος καθορίστηκε, παρακάμπτοντας την εγγραφή."
"Invalid store specified","Καθορίστηκε μη έγκυρο κατάστημα"
