"Abandoned Carts","Εγκαταλειμμένα Καλάθια"
"Product Tags","Ετικέτες Προϊόντος"
"Purchases","Αγορές"
"Quantity of Items","Ποσότητα ειδών"
"Quantity Ordered","Ποσότητα Που Παραγγέλθηκε"
"Recently Compared","Πρόσφατα Συγκρίθηκαν"
"Recently Compared Products","Πρόσφατα Συγκριθέντα Προϊόντα"
"Recently Viewed","Πρόσφατα Προβλήθηκαν"
"Recently Viewed/Compared Products","Πρόσφατα Προβληθέντα/Συγκριθέντα Προϊόντα"
"Recently Viewed Products","Πρόσφατα Προβεβλημένα Προϊόντα"
"Refresh Lifetime Statistics","Ανανέωση Στατιστικών Διάρκειας Ζωής"
"Refresh Statistics","Ανανέωση Στατιστικών"
"Refresh Statistics for the Last Day","Ανανέωση στατιστικών για την τελευταία ημέρα"
"Refunds","Επιστροφή"
"Report","Αναφορά"
"Reports","Αναφορές"
"Results","Αποτελέσματα"
"Revenue","Έσοδα"
"Review","Επανεξέταση"
"Reviews","Κριτικές"
"Reviews for %s","Αξιολογήσεις για %s"
"Sales","Πωλήσεις"
"Sales Report","Έκθεση Πωλήσεων"
"Search Query","Ερώτημα Αναζήτησης"
"Search Terms","Όροι Αναζήτησης"
"Select day of the month.","Επιλέξτε την ημέρα του μήνα."
"Shipping","Μεταφορικά"
"Shopping Cart","Καλάθι Αγορών"
"Shopping Cart Price Rule","Κανόνας Τιμής Καλαθιού Αγορών"
"Show Actual Values","Εμφάνιση Πραγματικών Τιμών"
"Show for Current","Εμφάνιση για τρέχον"
"Show Report","Εμφάνιση Αναφοράς"
"Specified","Καθορίστηκε"
"Statistics","Στατιστικά"
"Stock Qty","Απόθεμα Ποσ."
"Submitted In","Υποβλήθηκε Σε"
"Submitted On","Υποβλήθηκε Στις"
"Subtotal","Υποσύνολο"
"Tag","Ετικέτα"
"Tag ""%s"" details","Ετικέτα ""%s"" λεπτομέρειες"
"Tag Detail","Λεπτομέρειες Ετικέτας"
"Tag Name","Όνομα Ετικέτας"
"Tags Submitted by %s","Ετικέτες Υποβλήθηκε από %s"
"Tags submitted to %s","Ετικέτες που υποβλήθηκαν σε %s"
"Tag Use","Χρήση Ετικέτας"
"Tax","Φόρος"
"This Month","Αυτόν Το Μήνα"
"This Year","Αυτό Το Έτος"
"Title","Τίτλος"
"To","Προς"
"Total","Σύνολο"
"Total invoiced","Σύνολο τιμολογημένων"
"Total Invoiced vs. Paid Report","Έκθεση Σύνολο Τιμολογημένων έναντι Πληρωμένης"
"Total Ordered Report","Έκθεση Συνολικής Παραγγελίας"
"Total refunded","Συνολική επιστροφή χρημάτων"
"Total Refunded Report","Έκθεση Συνολικής Επιστροφής"
"Total Shipped Report","Έκθεση Συνολικού Αποσταλμένου"
"Total Tags","Σύνολο Ετικετών"
"undefined","απροσδιόριστο"
"Updated At","Ενημερώθηκε Στις"
"Viewed Products Grid Template","Πρότυπο Πλέγματος Προβληθέντων Προϊόντων"
"Viewed Products Images and Names Template","Πρότυπο Εικόνων Προϊόντων και Ονομάτων που Προβλήθηκαν"
"Viewed Products Images Only Template","Πρότυπο Εικόνων Προϊόντων Που Προβλήθηκαν Μόνο"
"Viewed Products List Template","Πρότυπο Λίστας Προβληθέντων Προϊόντων"
"Viewed Products Names Only Template","Πρότυπο Ονομάτων Προϊόντων Που Προβλήθηκαν Μόνο"
"Visible In","Ορατό Μέσα"
"Year","Έτος"
"Year-To-Date Starts","Έτος-Έως Ημερομηνία Έναρξης"
"Yes","Ναι"
"Your Recently Compared","Τα Πρόσφατα Συγκρίθηκαν Σας"
"Your Recently Viewed","Οι Πρόσφατες Προβολές Σας"
