"* Required Fields","* Απαιτούμενα Πεδία"
"OAuth Consumers","Oauth Καταναλωτές"
"Password","Κωδικός"
"Permissions","Δικαιώματα"
"Please login to proceed authorization.","Παρακαλούμε συνδεθείτε για να προχωρήσετε στην εξουσιοδότηση."
"Please select needed row(s).","Παρακαλώ επιλέξτε τις απαιτούμενες γραμμές."
"Please select revoke status.","Παρακαλώ επιλέξτε ανάκληση κατάστασης."
"Protocol","Protocol"
"Reject","Απόρριψη"
"Rejected Callback URL","Url Επιστροφής Κλήσης Που Απορρίφθηκε"
"Rejection Of Authorization","Απόρριψη Εξουσιοδότησης"
"Reject token authorization for admin","Απόρριψη εξουσιοδότησης διακριτικού για διαχειριστή"
"Reject token authorization Pop Up for admin","Απόρριψη εξουσιοδότησης διακριτικού Pop Up για διαχειριστή"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Όνομα Ρόλου"
"Save","Αποθήκευση"
"Save and Continue Edit","Αποθήκευση και συνέχεια επεξεργασίας"
"Secret","Μυστικό"
"Selected entries enabled.","Οι επιλεγμένες καταχωρήσεις ενεργοποιήθηκαν."
"Selected entries has been deleted.","Οι επιλεγμένες καταχωρήσεις διαγράφηκαν."
"Selected entries revoked.","Οι επιλεγμένες καταχωρήσεις ανακλήθηκαν."
"Select stores this consumer can access. Leave empty for all stores.","Επιλέξτε καταστήματα που μπορεί να έχει πρόσβαση αυτός ο καταναλωτής. Αφήστε κενό για όλα τα καταστήματα."
"Status","Κατάσταση"
"Store Access","Πρόσβαση Καταστήματος"
"System","Σύστημα"
"The application access request is rejected.","Η αίτηση πρόσβασης στην αίτηση απορρίπτεται."
"The consumer has been deleted.","Ο καταναλωτής έχει διαγραφεί."
"The consumer has been saved.","Ο καταναλωτής έχει σωθεί."
"Token Status Change","Αλλαγή Κατάστασης Token"
"Token Status Change Email Template","Πρότυπο Email Αλλαγή Κατάστασης Token"
"Unable to find a consumer.","Δεν είναι δυνατή η εύρεση καταναλωτή."
"User ID","Id Χρήστη"
"User Name","Όνομα Χρήστη"
"User Type","Τύπος Χρήστη"
"Verifier code: %s","Κωδικός επαλήθευσης: %s"
