"%d product(s) were updated","%d προϊόν(τα) ενημερώθηκαν"
"%s (Default Template from Locale)","%s (Προκαθορισμένο πρότυπο από την τοπική γλώσσα)"
"%s cache type(s) disabled.","Τύπος(οι) προσωρινής μνήμης %s απενεργοποιήθηκε."
"%s cache type(s) enabled.","Ο (οι) τύπος(οι) %s προσωρινής αποθήκευσης ενεργοποιήθηκε."
"%s cache type(s) refreshed.","Ο (οι) τύπος(οι) %s προσωρινής αποθήκευσης ανανεώθηκε."
"Account Information","Πληροφορίες Λογαριασμού"
"Account Status","Κατάσταση Λογαριασμού"
"Account status","Κατάσταση λογαριασμού"
"Action","Ενέργεια"
"Actions","Ενέργειες"
"Actions XML","XML Ενεργειών"
"Active","Ενεργό"
"Add","Προσθήκη"
"Add after","Προσθήκη μετά"
"Add Exception","Προσθήκη Εξαίρεσης"
"Add Field Mapping","Προσθήκη Χαρτογράφησης Πεδίων"
"Add Field with URL:","Προσθήκη πεδίου με URL:"
"Additional Cache Management","Επιπλέον Διαχείριση Προσωρινής Αποθήκευσης"
"Add New","Προσθήκη Νέου"
"Add New Block","Προσθήκη Νέου Μπλοκ"
"Add New Image","Προσθήκη Νέας Εικόνας"
"Add New Profile","Προσθήκη Νέου Προφίλ"
"Add New Role","Προσθήκη Νέου Ρόλου"
"Add New Template","Προσθήκη Νέου Προτύπου"
"Add New URL Rewrite","Προσθέστε Νέα Διεύθυνση Url Επανεγγραφή"
"Add New User","Προσθήκη Νέου Χρήστη"
"Add New Variable","Προσθήκη Νέας Μεταβλητής"
"Add new variable","Προσθήκη νέας μεταβλητής"
"Add Products","Προσθήκη Προϊόντων"
"Address Type:","Τύπος Διεύθυνσης:"
"Add URL Rewrite","Προσθέστε Διεύθυνση Url Επανεγγραφή"
"Add URL Rewrite for a Category","Προσθέστε διεύθυνση URL επανεγγραφή για μια κατηγορία"
"Add URL Rewrite for a Product","Προσθέστε διεύθυνση URL επανεγγραφή για ένα προϊόν"
"Admin","Διαχειριστής"
"Advanced Profiles","Προηγμένα Προφίλ"
"After authorization application will have access to you account.","Μετά την εφαρμογή εξουσιοδότησης θα έχει πρόσβαση στο λογαριασμό σας."
"Alert","Ειδοποίηση"
"All","Όλα"
"All Allowed Countries","Όλες Οι Επιτρεπόμενες Χώρες"
"All Cache","Όλες Οι Προσωρινές Μνήμες"
"All countries","Όλες οι χώρες"
"All fields","Όλα τα πεδία"
"Allowed","Επιτρέπεται"
"All possible rates were fetched, please click on ""Save"" to apply","Ανακτήθηκαν όλες οι πιθανές τιμές, παρακαλώ κάντε κλικ στο ""Αποθήκευση"" για να εφαρμόσετε"
"All rates were fetched, please click on ""Save"" to apply","Όλες οι τιμές ανακτήθηκαν, παρακαλώ κάντε κλικ στο ""Αποθήκευση"" για να εφαρμόσετε"
"All Reviews","Όλες Οι Αξιολογήσεις"
"All Store Views","Όλες Οι Προβολές Καταστήματος"
"All Tags","Όλες Οι Ετικέτες"
"All valid rates have been saved.","Όλες οι έγκυρες τιμές έχουν αποθηκευτεί."
"All Websites","Όλες Οι Ιστοσελίδες"
"Alt text:","Εναλλακτικό κείμενο:"
"Always (during development)","Πάντα (κατά την ανάπτυξη)"
"Amounts","Ποσά"
" and "," και "
"An error occurred: %s","Παρουσιάστηκε σφάλμα: %s"
"An error occurred while adding condition.","Παρουσιάστηκε σφάλμα κατά την προσθήκη συνθηκών."
"An error occurred while clearing the configurable swatches image cache.","Παρουσιάστηκε σφάλμα κατά την εκκαθάριση του διαμορφώσιμου swatches image cache."
"An error occurred while clearing the image cache.","Παρουσιάστηκε σφάλμα κατά την εκκαθάριση της μνήμης cache της εικόνας."
"An error occurred while clearing the minified CSS/JS cache.","Παρουσιάστηκε σφάλμα κατά την εκκαθάριση της απομνημόνευσης cache CSS/JS."
"An error occurred while deleting email log entries.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή καταχωρήσεων καταγραφής email."
"An error occurred while deleting email template data. Please review log and try again.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή δεδομένων προτύπου email. Παρακαλούμε ελέγξτε το αρχείο καταγραφής και προσπαθήστε ξανά."
"An error occurred while deleting record(s).","Παρουσιάστηκε σφάλμα κατά τη διαγραφή εγγραφών."
"An error occurred while deleting this role.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή αυτού του ρόλου."
"An error occurred while deleting this set.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή αυτού του συνόλου."
"An error occurred while deleting this template.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή αυτού του προτύπου."
"An error occurred while deleting URL Rewrite.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή URL επανεγγραφής."
"An error occurred while finishing process. Please refresh the cache","Παρουσιάστηκε σφάλμα κατά την ολοκλήρωση της διαδικασίας. Παρακαλώ ανανεώστε τη μνήμη cache"
"An error occurred while logging in.","Παρουσιάστηκε σφάλμα κατά τη σύνδεση."
"An error occurred while rebuilding the catalog index.","Παρουσιάστηκε σφάλμα κατά την ανοικοδόμηση του ευρετηρίου καταλόγου."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Παρουσιάστηκε σφάλμα κατά την αναδημιουργία της κατάστασης αποθεμάτων καταλόγου."
"An error occurred while rebuilding the flat catalog category.","Παρουσιάστηκε σφάλμα κατά την ανακατασκευή της επίπεδης κατηγορίας καταλόγου."
"An error occurred while rebuilding the flat product catalog.","Παρουσιάστηκε σφάλμα κατά την αναδημιουργία του επίπεδου καταλόγου προϊόντων."
"An error occurred while rebuilding the search index.","Παρουσιάστηκε σφάλμα κατά την αναδημιουργία του ευρετηρίου αναζήτησης."
"An error occurred while refreshing roles.","Παρουσιάστηκε σφάλμα κατά την ανανέωση ρόλων."
"An error occurred while refreshing the Catalog Rewrites.","Παρουσιάστηκε σφάλμα κατά την ανανέωση των Επανεγγραφών Καταλόγου."
"An error occurred while refreshing the catalog rewrites.","Παρουσιάστηκε σφάλμα κατά την ανανέωση των επανεγγραφών καταλόγου."
"An error occurred while refreshing the Layered Navigation indices.","Παρουσιάστηκε σφάλμα κατά την ανανέωση των δεικτών πλοήγησης πολυεπίπεδη."
"An error occurred while refreshing the layered navigation indices.","Παρουσιάστηκε σφάλμα κατά την ανανέωση των δεικτών πλοήγησης με στρώσεις."
"An error occurred while saving account.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση του λογαριασμού."
"An error occurred while saving review.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση της αξιολόγησης."
"An error occurred while saving the customer.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση του πελάτη."
"An error occurred while saving this configuration:","Παρουσιάστηκε σφάλμα κατά την αποθήκευση αυτής της ρύθμισης:"
"An error occurred while saving this role.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση αυτού του ρόλου."
"An error occurred while saving this template.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση αυτού του προτύπου."
"An error occurred while saving URL Rewrite.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση URL επανεγγραφής."
"An error occurred while sending the test email.","Παρουσιάστηκε σφάλμα κατά την αποστολή του δοκιμαστικού email."
"An error occurred while updating the email address.","Παρουσιάστηκε σφάλμα κατά την ενημέρωση της διεύθυνσης email."
"An error occurred while updating the selected review(s).","Παρουσιάστηκε σφάλμα κατά την ενημέρωση του(των) επιλεγμένου(ων) αξιολόγησης."
"Any","Οποιαδήποτε"
"Any Attribute Set","Οποιοδήποτε Σύνολο Χαρακτηριστικών"
"Any Group","Οποιαδήποτε Ομάδα"
"Any Status","Οποιαδήποτε Κατάσταση"
"Any Type","Οποιοσδήποτε Τύπος"
"Any Visibility","Οποιαδήποτε Ορατότητα"
"API Key","Κλειδί API"
"API Key Confirmation","Επιβεβαίωση Κλειδιού Api"
"Archive file name:","Όνομα αρχείου αρχειοθήκης:"
"Area","Ζώνη"
"Are you sure you want to delete the selected URL rewrites?","Are you sure you want to delete the selected URL rewrites?"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό?"
"ASCII","ASCII"
"Assigned","Ανατεθειμένο"
"Associated Tags","Σχετικές Ετικέτες"
"At least one currency has to be allowed.","Τουλάχιστον ένα νόμισμα πρέπει να επιτρέπεται."
"Attributes","Χαρακτηριστικά"
"Attribute Set Name:","Όνομα Συνόλου Χαρακτηριστικών:"
"A user with the same user name or email already exists.","Ένας χρήστης με το ίδιο όνομα χρήστη ή email υπάρχει ήδη."
"Authorization confirmed","Η εξουσιοδότηση επιβεβαιώθηκε"
"Authorize","Εξουσιοδότηση"
"Authorize application","Εξουσιοδότηση εφαρμογής"
"Authorized OAuth Tokens","Εξουσιοδοτημένα Oauth Tokens"
"Automatic (equalize price ranges)","Αυτόματο (εξισώστε τα εύρη τιμών)"
"Automatic (equalize product counts)","Αυτόματο (εξισώνει προϊόν μετράει)"
"Average","Μέσος"
"Average Order Amount","Μέσο Ποσό Παραγγελίας"
"Back","Πίσω"
"Backend Locale","Τοπικό Σύστημα Διαχείρισης"
"Base currency","Βασικό νόμισμα"
"Bcc","Bcc"
"Bestsellers","Bestsellers"
"Billing Address","Διεύθυνση Χρέωσης"
"Billing Address: ","Διεύθυνση Χρέωσης: "
"Billing Agreement","Συμφωνία Χρέωσης"
"Billing Agreements","Συμφωνίες Χρέωσης"
"BINARY","ΑΡΧΙΚΗ"
"Block Details","Λεπτομέρειες Μπλοκ"
"Block has been deleted.","Το μπλοκ έχει διαγραφεί."
"Block Information","Πληροφορίες Μπλοκ"
"Block Name","Όνομα Μπλοκ"
"Block Name is disallowed.","Όνομα μπλοκ δεν επιτρέπεται."
"Block Name is incorrect.","Το όνομα του μπλοκ είναι εσφαλμένο."
"Block Name is required field.","Όνομα μπλοκ είναι υποχρεωτικό πεδίο."
"Blocks","Μπλοκ"
"Both (without and with tax)","Και τα δύο (χωρίς και με φόρους)"
"Browse Files...","Αναζήτηση Αρχείων..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Πακέτο με δυναμική τιμολόγηση δεν μπορεί να περιλαμβάνει προσαρμοσμένες καθορισμένες επιλογές. Οι επιλογές δεν θα αποθηκευτούν."
"By Email","Μέσω Email"
"By IP","Από Ip"
"By IP and Email","Μέσω IP και ηλεκτρονικού ταχυδρομείου"
"Cache Control","Έλεγχος Προσωρινής Αποθήκευσης"
"Cache Control (beta)","Έλεγχος Προσωρινής Αποθήκευσης (beta)"
"Cache Management","Διαχείριση Προσωρινής Αποθήκευσης"
"Cache Type","Cache Type"
"Cancel","Ακύρωση"
"Cannot add new comment.","Αδυναμία προσθήκης νέου σχολίου."
"Cannot add tracking number.","Αδυναμία προσθήκης αριθμού εντοπισμού."
"Cannot create an invoice without products.","Αδυναμία δημιουργίας τιμολογίου χωρίς προϊόντα."
"Cannot create credit memo for the order.","Δεν μπορείτε να δημιουργήσετε πιστωτικό υπόμνημα για την παραγγελία."
"Cannot delete the design change.","Δεν είναι δυνατή η διαγραφή της αλλαγής σχεδιασμού."
"Cannot delete tracking number.","Αδυναμία διαγραφής αριθμού παρακολούθησης."
"Cannot do shipment for the order.","Δεν είναι δυνατή η αποστολή για την παραγγελία."
"Cannot do shipment for the order separately from invoice.","Δεν είναι δυνατή η αποστολή για την παραγγελία ξεχωριστά από το τιμολόγιο."
"Cannot initialize shipment for adding tracking number.","Αδυναμία αρχικοποίησης αποστολής για προσθήκη αριθμού εντοπισμού."
"Cannot initialize shipment for delete tracking number.","Αδυναμία αρχικοποίησης αποστολής για διαγραφή αριθμού εντοπισμού."
"Cannot load track with retrieving identifier.","Αδυναμία φόρτωσης ίχνους με το αναγνωριστικό ανάκτησης."
"Cannot retrieve tracking number detail.","Δεν είναι δυνατή η ανάκτηση λεπτομερειών αριθμού εντοπισμού."
"Cannot save shipment.","Αδυναμία αποθήκευσης αποστολής."
"Cannot save the credit memo.","Δεν είναι δυνατή η αποθήκευση του πιστωτικού υπομνήματος."
"Cannot send shipment information.","Δεν μπορείτε να στείλετε πληροφορίες αποστολής."
"Cannot update item quantity.","Δεν είναι δυνατή η ενημέρωση ποσότητας στοιχείου."
"Cannot update the item's quantity.","Δεν μπορεί να ενημερωθεί η ποσότητα του στοιχείου."
"Card Verification Number","Αριθμός Επαλήθευσης Κάρτας"
"Catalog","Κατάλογος"
"Catalog Price Rules","Κανόνες Τιμών Καταλόγου"
"Catalog Rewrites","Επανεγγραφή Καταλόγου"
"Categories","Κατηγορίες"
"Category","Κατηγορία"
"Category:","Κατηγορία:"
"Change Password","Αλλαγή Κωδικού Πρόσβασης"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>."
"Checkbox","Πλαίσιο"
"Child Transactions","Συναλλαγές Παιδιού"
"Choose an attribute","Επιλέξτε ένα χαρακτηριστικό"
"Choose Store View:","Επιλογή Προβολής Καταστήματος:"
"Chosen category does not associated with any website, so url rewrite is not possible.","Επιλεγμένη κατηγορία δεν σχετίζεται με οποιαδήποτε ιστοσελίδα, έτσι url επανεγγραφή δεν είναι δυνατή."
"Chosen product does not associated with any website, so url rewrite is not possible.","Επιλεγμένο προϊόν δεν σχετίζεται με οποιαδήποτε ιστοσελίδα, έτσι url επανεγγραφή δεν είναι δυνατό."
"Clear","Εκκαθάριση"
"Close","Κλείσιμο"
"close","Κλείσιμο"
"CMS","CMS"
"Code","Κωδικός"
"Color scheme","Συνδυασμός χρωμάτων"
"Color scheme: dark","Θέμα χρωμάτων: σκούρο"
"Color scheme: follow system","Θέμα χρωμάτων: ακολουθήστε το σύστημα"
"Color scheme: light","Θέμα χρωμάτων: φως"
"Comment text field cannot be empty.","Σχόλιο πεδίο κειμένου δεν μπορεί να είναι κενό."
"Compiled observers, cron jobs, routes, and API permissions.","Συγκεντρώθηκαν παρατηρητές, cron δουλειές, διαδρομές και δικαιώματα API."
"Config form fieldset clone model required to be able to clone fields","Config μορφή fieldset κλώνος μοντέλο απαιτείται για να είναι σε θέση να κλωνοποιήσουν τα πεδία"
"Configuration","Διαμόρφωση"
"Confirmation Of Authorization","Επιβεβαίωση Εξουσιοδότησης"
"Confirmed email:","Επιβεβαιωμένο email:"
"Confirm New Password","Επιβεβαίωση Νέου Κωδικού Πρόσβασης"
"Confirm token authorization for admin","Επιβεβαίωση εξουσιοδότησης διακριτικού για διαχειριστή"
"Confirm token authorization Pop Up for admin","Επιβεβαίωση εξουσιοδότησης διακριτικού Αναδυόμενο για διαχειριστή"
"Continue","Συνέχεια"
"Convert to Plain Text","Μετατροπή σε απλό κείμενο"
"Country","Χώρα"
"Country:","Χώρα:"
"Coupon Discount (Formatted Text)","Έκπτωση Κουπονιού (Μορφοποιημένο Κείμενο)"
"Coupon Discount Amount (Raw Number)","Ποσό Έκπτωσης Κουπονιού (Πρώτος Αριθμός)"
"Coupons","Κουπόνια"
"Create","Δημιουργία"
"Created At","Δημιουργήθηκε Στις"
"Create DB Backup","Δημιουργία Αντιγράφου Ασφαλείας Βάσης Δεδομένων"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Πιστωτική Κάρτα %s"
"Credit Card Number","Αριθμός Πιστωτικής Κάρτας"
"Credit Card Type","Τύπος Πιστωτικής Κάρτας"
"Credit memo #%s comment added","Σχόλιο πιστωτικού υπομνήματος #%s προστέθηκε"
"Credit memo #%s created","Πιστωτικό υπόμνημα #%s δημιουργήθηκε"
"Credit memo's total must be positive.","Το σύνολο πιστωτικού υπομνήματος πρέπει να είναι θετικό."
"Credit Memo History","Ιστορικό Πιστωτικών Υπομνημάτων"
"Credit Memos","Πιστωτικά Υπομνήματα"
"Credit Memo Totals","Σύνολα Πιστωτικών Υπομνημάτων"
"CRITICAL","ΚΡΙΤΙΚΟ"
"Critical","Κρίσιμο"
"critical","κρίσιμο"
"CSV","CSV"
"CSV / Tab separated","Διαχωρισμένο με CSV / Καρτέλα"
"Currency","Νόμισμα"
"Currency ""%s"" is used as %s in %s.","Νόμισμα ""%s"" χρησιμοποιείται ως %s στο %s."
"Currency doesn't exist.","Το νόμισμα δεν υπάρχει."
"Currency Information","Πληροφορίες Νομίσματος"
"Current Admin Password","Τρέχων Κωδικός Διαχειριστή"
"Current Configuration Scope:","Τρέχουσα Εμβέλεια Ρυθμίσεων:"
"Current Month","Τρέχων Μήνας"
"Current password field cannot be empty.","Το τρέχον πεδίο κωδικού πρόσβασης δεν μπορεί να είναι κενό."
"Custom","Προσαρμοσμένο"
"Customer","Πελάτης"
"Customer email address changed from %s to %s by %s.","Η διεύθυνση ηλεκτρονικού ταχυδρομείου πελάτη άλλαξε από %s σε %s από %s."
"Customer Group:","Ομάδα Πελατών:"
"Customer Groups","Ομάδες Πελατών"
"Customer Name","Όνομα Πελάτη"
"Customer Reviews","Αξιολογήσεις Πελατών"
"Customers","Πελάτες"
"Customers by Number of Orders","Πελάτες ανά αριθμό παραγγελιών"
"Customers by Orders Total","Πελάτες ανά Σύνολο Παραγγελιών"
"Customer Shopping Carts","Πελάτης Καλάθια Αγορών"
"Customer Since:","Πελάτης Από:"
"Customer Tax Classes","Φορολογικές Κλάσεις Πελάτη"
"Customer with the same email already exists.","Ο πελάτης με το ίδιο email υπάρχει ήδη."
"Custom Symbol","Προσαρμοσμένο Σύμβολο"
"Custom Variable ""%s""","Προσαρμοσμένη Μεταβλητή ""%s"""
"Custom Variables","Προσαρμοσμένες Μεταβλητές"
"Dashboard","Ταμπλό"
"Database","Βάση Δεδομένων"
"Dataflow - Advanced Profiles","Dataflow - Προηγμένα Προφίλ"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Μορφή Δεδομένων"
"Data transfer:","Μεταφορά δεδομένων:"
"Date","Ημερομηνία"
"Date & Time","Ημερομηνία & Ώρα"
"Date Added","Ημερομηνία Προσθήκης"
"Date Updated","Ημερομηνία Ενημέρωσης"
"Day","Ημέρα"
"Debug","Debug"
"Decimal separator:","Διαχωριστικό δεκαδικών:"
"Default (Admin) Values","Προεπιλεγμένες (Διαχειριστής) Τιμές"
"Default Billing Address","Προεπιλεγμένη Διεύθυνση Χρέωσης"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","Προεπιλεγμένο νόμισμα εμφάνισης ""%s"" δεν είναι διαθέσιμο σε επιτρεπόμενα νομίσματα."
"Default scope","Προεπιλεγμένο εύρος"
"Default Symbol","Προεπιλεγμένο Σύμβολο"
"Default Template from Locale","Προεπιλεγμένο πρότυπο από την γλώσσα"
"Default Values","Προεπιλεγμένες Τιμές"
"Delete","Διαγραφή"
"Delete %s","Διαγραφή %s"
"Delete %s '%s'","Διαγραφή %s '%s'"
"Delete Block","Διαγραφή Μπλοκ"
"Delete File","Διαγραφή Αρχείου"
"Delete Image","Διαγραφή Εικόνας"
"Delete Profile","Διαγραφή Προφίλ"
"Delete Role","Διαγραφή Ρόλου"
"Delete Store","Διαγραφή Καταστήματος"
"Delete Store View","Διαγραφή Προβολής Καταστήματος"
"Delete Template","Διαγραφή Προτύπου"
"Delete User","Διαγραφή Χρήστη"
"Delete Variable","Διαγραφή Μεταβλητής"
"Delete Website","Διαγραφή Ιστοσελίδας"
"Description","Περιγραφή"
"Design","Σχεδιασμός"
"Details","Λεπτομέρειες"
"Direction:","Κατεύθυνση:"
"Disable","Απενεργοποίηση"
"Disable All Email Communications","Απενεργοποίηση Όλων Των Επικοινωνιών Email"
"Disabled","Απενεργοποιημένο"
"Disallowed block name for frontend.","Μη επιτρεπόμενο όνομα μπλοκ για frontend."
"Display default currency","Εμφάνιση προεπιλεγμένου νομίσματος"
"Do nothing","Καμία ενέργεια"
"Download","Λήψη"
"Downloads","Λήψεις"
"Do you really want to KILL parallel process and start new indexing process?","Θέλετε πραγματικά να KILL παράλληλη διαδικασία και να ξεκινήσει νέα διαδικασία ευρετηρίασης?"
"Drop-down","Αναπτυσσόμενο"
"Edit","Επεξεργασία"
"Edit Block","Επεξεργασία Μπλοκ"
"Edit Block '%s'","Επεξεργασία Μπλοκ '%s'"
"Edit Design Change","Επεξεργασία Αλλαγής Σχεδίασης"
"Edit Email Template","Επεξεργασία Προτύπου Email"
"Edit Order","Επεξεργασία Παραγγελίας"
"Edit Queue","Επεξεργασία Ουράς"
"Edit Review","Επεξεργασία Κριτικής"
"Edit Role","Επεξεργασία Ρόλου"
"Edit Store View","Επεξεργασία Προβολής Καταστήματος"
"Edit System Template","Επεξεργασία Προτύπου Συστήματος"
"Edit Template","Επεξεργασία Προτύπου"
"Edit URL Rewrite","Επεξεργαστείτε Τη Επανεγγραφή Url"
"Edit User","Επεξεργασία Χρήστη"
"Edit User '%s'","Επεξεργασία Χρήστη '%s'"
"Edit Variable","Επεξεργασία Μεταβλητής"
"Edit Variable '%s'","Επεξεργασία Μεταβλητής '%s'"
"Edit Website","Επεξεργασία Ιστοσελίδας"
"Email","E-mail"
"Email:","Email:"
"Email Address:","Διεύθυνση Email:"
"Email can only be changed for guest orders.","Το email μπορεί να αλλάξει μόνο για παραγγελίες επισκεπτών."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","Η μεταφορά ηλεκτρονικού ταχυδρομείου είναι απενεργοποιημένη. Παρακαλώ ρυθμίστε μια μεταφορά ηλεκτρονικού ταχυδρομείου στις ρυθμίσεις Αποστολής αλληλογραφίας."
"Emergency","Έκτακτη ανάγκη"
"Enable","Ενεργοποίηση"
"Enable 2FA","Ενεργοποίηση 2FA"
"Enabled","Ενεργοποιημένο"
"Enable Password Authentication","Ενεργοποίηση Πιστοποίησης Κωδικού Πρόσβασης"
"Enclose Values In:","Κλείσιμο Τιμών Σε:"
"Engagement","Δέσμευση"
"Enter current password and press ""Save Account"" to confirm passkey change.","Εισάγετε τον τρέχοντα κωδικό πρόσβασης και πατήστε ""Αποθήκευση λογαριασμού"" για να επιβεβαιώσετε την αλλαγή κωδικού πρόσβασης."
"Enter new email address:","Εισάγετε νέα διεύθυνση email:"
"Enter the 6-digit code from your authenticator app","Εισάγετε τον 6-ψήφιο κωδικό από την εφαρμογή ελέγχου ταυτότητας"
"Entity Attributes","Χαρακτηριστικά Οντότητας"
"Entity Type","Τύπος Οντότητας"
"Entity type:","Τύπος οντότητας:"
"Entry & Exit Pages","Εισαγωγή & Έξοδος Σελίδων"
"Error","Σφάλμα"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","παράδειγμα: ""Χάρτης ιστότοπου/"" ή ""/"" για βασική διαδρομή (η διαδρομή πρέπει να είναι εγγράψιμη)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","Χωρίς Φπα"
"Excl. Tax:","Χωρίς ΦΠΑ:"
"Expiration Date","Ημερομηνία Λήξης"
"Export","Εξαγωγή"
"Export:","Εξαγωγή:"
"Export CSV","Εξαγωγή CSV"
"Export Filters","Εξαγωγή Φίλτρων"
"Export to:","Εξαγωγή σε:"
"Failed","Απέτυχε"
"failed","απέτυχε"
"Failed to add a product to cart by id ""%s"".","Αποτυχία προσθήκης προϊόντος στο καλάθι με id ""%s""."
"Failed to cancel the billing agreement.","Αποτυχία ακύρωσης της συμφωνίας χρέωσης."
"Failed to delete the billing agreement.","Αποτυχία διαγραφής της συμφωνίας χρέωσης."
"Failed to send test email. Please check your email configuration and error logs.","Αποτυχία αποστολής δοκιμαστικού email. Παρακαλώ ελέγξτε τη διαμόρφωση email και τα αρχεία καταγραφής σφαλμάτων."
"Failed to update the profile.","Αποτυχία ενημέρωσης του προφίλ."
"Field","Πεδίο"
"Field Mapping","Χαρτογράφηση Πεδίων"
"File","Αρχείο"
"File Information","Πληροφορίες Αρχείου"
"File mode","Λειτουργία αρχείου"
"File name:","Όνομα αρχείου:"
"File System","Σύστημα Αρχείων"
"Finished profile execution.","Ολοκλήρωση εκτέλεσης προφίλ."
"First Invoice Created Date","Ημερομηνία Δημιουργίας Πρώτου Τιμολογίου"
"First Name","Όνομα"
"First Name:","Όνομα:"
"First Name is required field.","Το Όνομα είναι υποχρεωτικό πεδίο."
"Fixed","Σταθερό"
"Flush Catalog Images Cache","Εκκαθάριση Προσωρινής Μνήμης Καταλόγων Εικόνων"
