"# of Use","Antal användningar"
"%1$s incl tax.","%1$s inkl moms."
"%s-%s of %s","%s-%s av %s"
"%s and above","%s och högre"
"%s Item(s)","%s objekt"
"Cancel","Avbryt"
"Cannot create image.","Kan inte skapa bild."
"Cannot create writeable directory '%s'.","Kan inte skapa skrivbar katalog '%s'."
"Cart Item Attribute","Attribut för varukorg"
"Catalog","Katalog"
"Catalog, Search","Katalog, Sök"
"Catalog Category (Anchor)","Katalog Kategori (Anchor)"
"Catalog Category (Non-Anchor)","Katalog Kategori (Icke-Anchor)"
"Catalog Category (Without Subcategories)","Katalog kategori (utan underkategorier)"
"Catalog Category Link","Katalog kategorilänk"
"Catalog New Products List","Katalog Nya Produkter Lista"
"Catalog Price Scope","Katalogens prisomfattning"
"Catalog Product Compare List","Katalog Produktjämförelse lista"
"Catalog product custom options API","Katalog produktanpassade alternativ API"
"Catalog product custom option values API","Katalog produktanpassade värden API"
"Catalog Product Email to a Friend","Katalog Produkt E-post till en vän"
"Catalog Product Image Gallery Popup","Katalog Produktbild Galleri Popup"
"Catalog Product Link","Katalog produktlänk"
"Catalog Product View (Any)","Katalog produktvy (något)"
"Catalog Product View (Configurable)","Katalog Produktvy (konfigurerbar)"
"Catalog Product View (Grouped)","Katalog Produktvy (grupperad)"
"Catalog Product View (Simple)","Katalog produktvy (Simple)"
"Catalog Product View (Virtual)","Katalog Produktvy (Virtuell)"
"Catalog Seo Sitemap (Category List)","Katalog Seo Sitemap (Lista över kataloger)"
"Catalog Seo Sitemap (Category Tree)","Katalog Seo Sajtkarta (Träd)"
"Catalog Seo Sitemap (Common)","Katalog Seo Sitemap (vanligt)"
"Catalog Seo Sitemap (Product List)","Katalog Seo Sitemap (Produktlista)"
"Catalog URL Rewrites","Katalog URL-omskrivningar"
"Categories","Kategorier"
"categories","kategorier"
"Categories Sitemap","Kategorier Sajtkarta"
"Category","Kategori"
"Category API","Kategori API"
"Category attributes API","Kategori attribut API"
"Category Data","Kategori Data"
"Category delete error: %s","Fel vid borttagning av kategori: %s"
"Category Flat Data","Kategori Flat Data"
"Category ID","Kategori ID"
"Category is not dynamic.","Kategorin är inte dynamisk."
"Category Link Block Template","Kategori Länk Block mall"
"Category Link Inline Template","Kategori Länk Inline-mall"
"Category move error: %s","Fel vid flytt av kategorier: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorin måste vara en instans av Mage_Catalog_Model_Category."
"Category not found.","Kategorin hittades inte."
"Category Products","Kategori Produkter"
"Category save error: %s","Kategori sparade fel: %s"
"Category Top Navigation","Kategori topp navigering"
"Category URL Suffix","Kategori URL-suffix"
"Category was not found.","Kategorin hittades inte."
"Center","Centrera"
"Change","Ändra"
"Change or Retrieve attribute store view","Ändra eller hämta attributets butiksvy"
"Change status","Ändra status"
"Check items to add to the cart or","Markera objekt att lägga till i varukorgen eller"
"Choose an Option...","Välj ett alternativ..."
"Clear All","Rensa alla"
"Clear Price","Rensa pris"
"Click for price","Klicka för pris"
"Close Window","Stäng fönster"
"Collapse All","Komprimera alla"
"Comma-separated.","Kommaseparerad."
"Comparable","Jämförbar"
"Comparable on Front-end","Jämförbar på Front-end"
"Comparable on the Frontend","Jämförbar på frontlinjen"
"Compare","Jämför"
"Compare Products","Jämför produkter"
"Conditions","Villkor"
"Conditions Combination","Villkor Kombination"
"Configurable Product","Konfigurerbar produkt"
"Configurable Product Settings","Konfigurerbara produktinställningar"
"Continue","Fortsätt"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Kontrollerar visning av knapparna Lägg i kundvagnen och visa detaljer i kategorisidor och produktlistor. När den är inaktiverad kommer endast produktnamn och bilder att vara klickbara."
"Copy From Configurable","Kopiera från konfigurerbar"
"Country/State","Land/Stat"
"Create","Skapa"
"Create (Upload)","Skapa (Upload)"
"Create attribute set based on another set","Skapa attributset baserat på ett annat set"
"Create Empty","Skapa tom"
"Create new attribute","Skapa nytt attribut"
"Create new category","Skapa ny kategori"
"Create new product","Skapa ny produkt"
"Create Permanent Redirect for old URL","Skapa permanent omdirigering för gammal URL"
"Create Permanent Redirect for URLs if URL Key Changed","Skapa Permanent omdirigering för webbadresser om URL-nyckel ändras"
"Create Product Settings","Skapa produktinställningar"
"Create Simple Associated Product","Skapa enkel associerad produkt"
"Cross-sells","Korsförsäljning"
"Custom Design","Anpassad design"
"Customer Group","Kundgrupp"
"Customers Reviews","Kunder Recensioner"
"Customers Tagged Product","Kunder taggade produkt"
"Custom Options","Anpassade alternativ"
"Custom options","Anpassade alternativ"
"Data Type for Saving in Database","Datatyp för att spara i databasen"
"Date & Time Custom Options","Anpassade inställningar för datum och tid"
"Date Subscribed","Prenumererade datum"
"Datetime","Datumtid"
"Decimal","Decimal"
"Declare attribute value saving scope","Förklara attribut värde sparande scope"
"Default ""What's This"" Text Message","Standard ""Vad är detta"" textmeddelande"
"Default Popup Text Message","Standard popup-textmeddelande"
"Default Price","Förvalt pris"
"Default Price Navigation Step","Standardsteg för prisnavigering"
"Default Qty","Default Qty"
"Default Values","Förvalda värden"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definierar basvalutans omfattning (""Valutainstallation"" > ""Valutainstallationer"" > ""Basvaluta"")."
"Delete","Radera"
"Delete Attribute","Ta bort attribut"
"Delete attribute","Ta bort attribut"
"Delete Attribute Set","Ta bort attributset"
"Delete Category","Ta bort kategori"
"Delete category","Ta bort kategori"
"Delete File","Ta bort fil"
"Delete Group Price","Ta bort grupppris"
"Delete product","Ta bort produkt"
"Delete Row","Ta bort rad"
"Delete Search","Ta bort sökning"
"Delete Tier","Ta bort skikt"
"Depends on design theme","Beroende på designtema"
"Description","Beskrivning"
"Design","Design"
"Details","Detaljer"
"Disabled","Inaktiverad"
"Disallowed file format.","Otillåtet filformat."
"Disallowed file type.","Otillåten filtyp."
"Display Actual Price","Visa faktiska priset"
"Display in Suggested Terms","Visa i föreslagna villkor"
"Display Page Control","Visa sidkontroll"
"Display Price Interval as One Price","Visa prisintervall som ett pris"
"Display Product Count","Visa antal produkter"
"Display Type","Visa typ"
"Downloadable Information","Nedladdningsbar information"
"Do you want to duplicate the product images as well?","Vill du duplicera produktbilder också?"
"Do you want to duplicate the product images as well?","Vill du duplicera produktbilder också?"
"Duplicate","Duplicate"
"Duplicate Product","Duplicera produkt"
"Duplicate website, country and state tax found.","Duplicera webbplats, land och stat skatt hittad."
"Duplicate website group price customer group.","Duplicera hemsida grupp pris kundgrupp."
"Duplicate website tier price customer group and quantity.","Duplicera hemsida nivå pris kundgrupp och kvantitet."
"Dynamic category processed successfully.","Dynamisk kategori bearbetades framgångsrikt."
"Dynamic Category Rules","Dynamiska kategoriregler"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","T.ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamiska direktiv tolkar effekter katalogens prestanda."
"each","varje"
"Edit","Redigera"
"Edit Attribute Set '%s'","Redigera attributset '%s'"
"Edit Product Attribute","Redigera produktattribut"
"Edit Product Attribute ""%s""","Redigera produktattribut ""%s"""
"Edit Search","Redigera sökning"
"Edit Search '%s'","Redigera sökning '%s'"
"Edit Set Name","Redigera uppsättningens namn"
"Email","E-post"
"Empty","Tom"
"Enable Add to cart Button in product listings","Aktivera Lägg i varukorgen Knapp i produktlistor"
"Enabled","Aktiverad"
"Enable MAP","Aktivera KARTA"
"Enable Qty Increments","Aktivera antal ökningar"
"Enable WYSIWYG","Aktivera WYSIWYG"
"Error during retrieval of option value: %s","Fel vid hämtning av optionsvärde: %s"
"Error loading children: %s","Fel vid laddning av barn: %s"
"ex. http://domain.com","ex. http://domain.com"
"Exclude","Exkludera"
"Expand All","Expandera alla"
"Failed","Misslyckades"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Det gick inte att kopiera filen %s. Ta bort media med icke-existerande bilder och försök igen."
"Failed to move file: %s","Det gick inte att flytta filen: %s"
"Field is not complete","Fältet är inte komplett"
"File","Fil"
"File options format is not valid.","Filalternativen är inte giltiga."
"File upload failed","Filuppladdning misslyckades"
"File upload failed. Please contact the store administrator.","Filuppladdning misslyckades. Kontakta butikens administratör."
"File upload failed with error code: %s","Filuppladdning misslyckades med felkod: %s"
"Filter","Filtrera"
"Filterable (no results)","Filtrerbara (inga resultat)"
"Filterable (with results)","Filtrerbar (med resultat)"
"Filter model name must be declared.","Filtermodellens namn måste deklareras."
"Filter must be an object. Please set correct filter.","Filtret måste vara ett objekt. Ange rätt filter."
"Filters","Filter"
"First Name","Förnamn"
"Fixed","Fast"
"For internal use.","För internt bruk."
"For the last time placed.","För sista gången placerad."
"From","Från"
"Frontend","Frontend"
"Frontend Properties","Egenskaper för frontend"
"Gallery","Galleri"
"General Information","Allmän information"
"Get full information about attribute with list of options","Få fullständig information om attribut med lista över alternativ"
"Get full information about custom option in product","Få fullständig information om anpassat alternativ i produkten"
"Get list of available custom option types","Hämta lista över tillgängliga anpassade alternativ typer"
"Get list of non-default attributes by product type and attributes set","Hämta lista över icke-standardattribut efter produkttyp och attribut set"
"Get list of possible attribute types","Hämta lista över möjliga attributtyper"
"Get special price","Få specialpris"
"Global","Globalt"
"Globally Editable","Globalt redigerbar"
"Go to Home Page","Gå till startsidan"
"Grid","Rutnät"
"Group add","Grupp lägga till"
"Grouped Product","Grupperad produkt"
"Group remove","Grupp ta bort"
"Groups","Grupper"
"Home","Hem"
"HTML tags are not allowed in SKU attribute.","HTML-taggar är inte tillåtna i SKU-attribut."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Om tomt, kommer kategorinamnet att användas"
"If empty, the Product Name will be used","Om tomt kommer produktnamnet att användas"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Om du inte anger ett alternativvärde för en specifik butiksvy, kommer standardvärdet (Admin) att användas."
"Image","Bild"
"Image content is not valid base64 data.","Bildinnehållet är inte giltigt base64-data."
"Image does not exist.","Bilden finns inte."
"Image type and information need to be specified for each store view.","Bildtyp och information måste anges för varje butiksvy."
"In Cart","I varukorgen"
"Incl. Tax","Inkl. Moms"
"Indexed category/products association","Indexerad kategori/produktförening"
"Index product and categories URL rewrites","Indexera produkt och kategorier URL omskrivningar"
"Index product attributes for layered navigation building","Indexera produktattribut för navigationsbyggande på lager"
"Index product prices","Indexera produktpriser"
"Info","Information"
"Info Column Options Wrapper","Information Kolumn Alternativ Wrapper"
"Input Type","Input Type"
"In Stock","I lager"
"In stock","I lager"
"Integer","Heltal"
"Internal Error","Internt fel"
"Interval Division Limit","Intervall division gräns"
"Invalid attribute %s","Ogiltigt attribut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Ogiltigt attributset angivet, hoppar över posten."
"Invalid block: %s.","Ogiltigt block: %s."
"Invalid category.","Ogiltig kategori."
"Invalid category IDs.","Ogiltiga kategori-ID"
"Invalid custom option(s).","Ogiltiga anpassade alternativ(er)."
"Invalid image file type.","Ogiltig bildfiltyp."
"Invalid image type.","Ogiltig bildtyp."
"Invalid option ID specified for %s (%s), skipping the record.","Ogiltigt alternativ ID anges för %s (%s), hoppar över posten."
"Invalid product collection resource.","Ogiltig produktsamlingsresurs."
"Invalid product type specified, skipping the record.","Ogiltig produkttyp angiven, hoppar över posten."
"Invalid store specified","Ogiltig butik specificerad"
"Invalid store specified, skipping the record.","Ogiltig butik angiven, hoppar över posten."
"Invalid Tier Prices","Ogiltiga skiktpriser"
"Invalid tier prices. The product is not associated to the requested website.","Ogiltiga nivåpriser. Produkten är inte kopplad till den begärda webbplatsen."
"Inventory","Lager"
"Is Default","Är standard"
"Is Required","Krävs"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artiklar som du inte vill visa i katalogen eller sökresultaten bör ha status 'Inaktiverad' i önskad butik."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artiklar som du inte vill visa i katalogen eller sökresultaten ska ha status 'Inaktiverad' i önskad butik."
"Keep Frame","Behåll ram"
"Label","Etikett"
"Last Name","Efternamn"
"Last Notification","Senaste avisering"
"Layered Navigation","Navigering på lager"
"Learn More","Läs mer"
"leave blank if its not an image","lämna tomt om det inte är en bild"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Rad %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Länk (Related, Up säljer, Cross sell)"
"Link product does not exist.","Länkprodukten finns inte."
"Link to a Specified Category","Länk till en angiven kategori"
"Link to a Specified Product","Länk till en angiven produkt"
"List","Lista"
"List Mode","Listläge"
"List of Products that are set as New","Lista över produkter som är inställda som nya"
"List of types","Lista över typer"
"Manage Attributes","Hantera attribut"
"Manage Attribute Sets","Hantera attributuppsättningar"
"Manage Catalog Categories","Hantera katalogkategorier"
"Manage Categories","Hantera kategorier"
"Manage Label / Options","Hantera etikett/alternativ"
"Manage Options (values of your attribute)","Hantera alternativ (värden för ditt attribut)"
"Manage Product Attributes","Hantera produktattribut"
"Manage Products","Hantera produkter"
"Manage Product Sets","Hantera produktuppsättningar"
"Manage Stock","Hantera lager"
"Manage Titles (Size, Color, etc.)","Hantera titlar (storlek, färg etc.)"
"Max Characters","Max antal tecken"
"Maximal Depth","Maximalt djup"
"Maximum allowed image size for '%s' is %sx%s px.","Maximal tillåten bildstorlek för '%s' är %sx%s px."
"Maximum file size","Maximal filstorlek"
"Maximum image height","Maximal bildhöjd"
"Maximum Image Size","Maximal bildstorlek"
"Maximum image width","Maximal bildbredd"
"Maximum number of characters:","Maximalt antal tecken:"
"Maximum Number of Price Intervals","Maximalt antal prisintervall"
"Maximum number of price intervals is 100","Maximalt antal prisintervall är 100"
"Maximum Qty Allowed in Shopping Cart","Maximalt antal tillåtna i kundvagn"
"Maximum resolution for upload image","Maximal upplösning för uppladdningsbild"
"Maximum width and height dimension for upload image is %s.","Maximal bredd och höjd för uppladdningsbilden är %s."
"Maximum width and height resolutions for upload image","Maximal bredd och höjd för uppladdningsbild"
"Maximum width base product image will be scaled down to in pixels","Maximal bredd basproduktbild kommer att skalas ned till i pixlar"
"Maximum width small product image will be scaled down to in pixels","Maximal bredd liten produktbild kommer att skalas ned till i pixlar"
"Media Image","Media bild"
"Middle Name","Mitten namn"
"Minimum Advertised Price","Lägsta annonserade pris"
"Minimum Lines per Page","Minsta antal rader per sida"
"Minimum Qty Allowed in Shopping Cart","Minsta antal tillåtna i kundvagnen"
"Minimum Qty for Item's Status to be Out of Stock","Minsta antal för varors status som ska vara slut i lager"
"Missing SKU, skipping the record.","Saknad SKU, hoppar över posten."
"Move","Flytta"
"Move category in tree","Flytta kategori i träd"
"Multi update product","Flera uppdatera produkt"
"Must be in the allowed values list.","Måste vara i listan tillåtna värden."
"My Account","Mitt konto"
"N/A","N/A"
"Name","Namn"
"Name in %s","Namn i %s"
"New Product","Ny produkt"
"New Product Attribute","Nytt produktattribut"
"New Products","Nya produkter"
"New products","Nya produkter"
"New Products Grid Template","Nya produkter rutnätsmall"
"New Products Images and Names Template","Nya produkter bilder och namn mall"
"New Products Images Only Template","Enbart nya produkter bilder"
"New Products List Template","Nya produkter listmall"
"New Products Names Only Template","Enbart nya produktnamn"
"New Root Category","Ny rotkategori"
"New Search","Ny sökning"
"New Subcategory","Ny underkategori"
"Next","Nästa"
"No","Nej"
"No, without images","Nej, utan bilder"
"No image","Ingen bild"
"No layout updates","Inga layoutuppdateringar"
"None","Ingen"
"No options of this product are available.","Det finns inga alternativ för denna produkt."
"No product collections found.","Inga produktsamlingar hittades."
"Notify for Quantity Below","Meddela för antal under"
"Notify Low Stock RSS","Notifiera RSS för lågt lagersaldo"
"Not Visible Individually","Inte synlig individuellt"
"Number of Products per Page","Antal produkter per sida"
"Number of Products to Display","Antal produkter att visa"
"Number of results","Antal resultat"
"Number of results (For the last time placed)","Antal resultat (För sista gången placerad)"
"Number of Uses","Antal användningsområden"
"On Gesture","På gest"
"Option:","Alternativ:"
"Options","Alternativ"
"Options Control","Alternativ Kontroll"
"Options is required","Alternativ krävs"
"Option validation failed to add product to cart.","Alternativ validering misslyckades att lägga till produkten i kundvagnen."
"Option values","Alternativ värden"
"Out of Stock","Ej i lager"
"Out of stock","Slut i lager"
"Pad resized images to exact dimensions with background color","Pad skalade bilder till exakta mått med bakgrundsfärg"
"Page Title Separator","Separator för sidrubrik"
"Parent category is equal to child category.","Föräldrakategorin är lika med barnkategorin."
"Parent category was not found.","Överordnad kategori hittades inte."
"Parent Products","Överordnade produkter"
"Pending","Väntande"
"Pending Reviews RSS","Väntande recensioner RSS"
"Percentage","Procent"
"per page","per sida"
"Please add rows to option.","Lägg till rader till alternativet."
"Please click on the Close Window button if it is not closed automatically.","Klicka på knappen Stäng fönster om den inte stängs automatiskt."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Vänligen uppdatera ""Katalog URL-omskrivningar"" och ""Produktattribut"" i System -&gt; <a href=""%s"">Index Management</a>"
"Please select a file for the required option ""%s"".","Välj en fil för det obligatoriska alternativet ""%s""."
"Please select a parent category before adding a new one.","Välj en överordnad kategori innan du lägger till en ny."
"Please select a static block ...","Välj ett statiskt block ..."
"Please select items.","Välj objekt."
"Please select one or more attributes.","Välj ett eller flera attribut."
"Please select product(s).","Välj produkt(er)."
"Please select products for attributes update","Välj produkter för uppdatering av attribut"
"Please specify date required option <em>%s</em>.","Ange datum som krävs alternativet <em>%s</em>."
"Please specify the number of products, that will not be divided into subintervals.","Vänligen ange antalet produkter, som inte kommer att delas upp i underintervall."
"Please specify the product's option(s).","Vänligen ange produktens alternativ."
"Please specify the product's required option(s).","Vänligen ange de nödvändiga alternativen för produkten."
"Please specify the product required option(s)","Vänligen ange obligatoriska produktalternativ"
"Please specify the product required option <em>%s</em>.","Ange det nödvändiga produktalternativet <em>%s</em>."
"Please specify the quantity of product(s).","Vänligen ange antal produkter(er)."
"Please specify time required option <em>%s</em>.","Vänligen ange alternativet <em>%s</em>."
"Please wait...","Vänligen vänta..."
"Position","Befattning"
"Position in Layered Navigation","Position i filternavigering"
"Position of attribute in layered navigation block","Position för attribut i navigationsblock på lager"
"Prev","Föregående"
"Previous","Föregående"
"Price","Pris"
"Price:","Pris:"
"Price: %s","Pris: %s"
"Price Navigation Step Calculation","Momsberäkning för prisnavigering"
"Price Type","Pris typ"
"Price values for options should be specified in system base currency.","Prisvärden för alternativ bör anges i systemets basvaluta."
"Product","Produkt"
"Product Alerts","Varningar för produkt"
"Product API","Produkt API"
"Product Attribute","Produktattribut"
"Product Attributes","Produktattribut"
"Product attributes API","API för produktattribut"
"Product attribute sets API","Produktattributuppsättningar API"
"Product Categories","Produktkategorier"
"Product collection expected.","Produktsamling förväntas."
"Product Extra Info","Produktens extra information"
"Product Flat Data","Produkt Flat Data"
"Product ID","Produkt-ID"
"Product Image","Produktbild"
"Product Image Placeholders","Platshållare för produktbild"
"Product Images","Produktbilder"
"Product Images API","API för produktbilder"
"Product Image Watermarks","Produkt Bild Vattenmärken"
"Product Info Column","Kolumn för produktinformation"
"Product Information","Produkt Information"
"Product In Websites","Produkt på webbplatser"
"Product is not loaded","Produkten är inte laddad"
"Product Link Block Template","Blockmall för produktlänk"
"Product Link Inline Template","Produktlänk Inline-mall"
"Product links API (related, cross sells, up sells)","Produktlänkar API (relaterade, korsförsäljning, up sells)"
"Product Listing Sort by","Produktlista Sortera efter"
"Product Name","Produktens namn"
"Product Prices","Produkt Priser"
"Product Reviews","Produktrecensioner"
"Products","Produkter"
"products","produkter"
"Products Comparison List","Jämförelselista produkter"
"Products count","Antal produkter"
"Products Information","Information om produkter"
"Products only","Endast produkter"
"Products per Page on Grid Allowed Values","Produkter per sida i rutnät Tillåtna värden"
"Products per Page on Grid Default Value","Produkter per sida på rutnätets standardvärde"
"Products per Page on List Allowed Values","Produkter per sida på listan tillåtna värden"
"Products per Page on List Default Value","Produkter per sida på listans standardvärde"
"Products Reviews","Produkter Recensioner"
"Products Sitemap","Produkter Sajtkarta"
"Product Tags","Produkt Taggar"
"Product Tier Price API","API för produktnivåpris"
"Product Type","Typ av produkt"
"Product types API","API för produkttyper"
"Product URL Suffix","Produkt URL-suffix"
"Product View Extra Hint","Produktvy Extra ledtråd"
"Product with this combination of attributes already associated to configurable.","Produkten med denna kombination av attribut som redan är associerade med konfigurerbara."
"Properties","Egenskaper"
"px.","px."
