"3D Secure","3D säker"
"No saved payment methods available.","Inga sparade betalningsmetoder tillgängliga."
"No saved payment methods available for this customer.","Inga sparade betalningsmetoder tillgängliga för denna kund."
"Payer Email","Betalare E-post"
"Payer ID","Payer ID"
"Pay Later","Betala senare"
"Pay Later Messaging","Betala senare Meddelanden"
"Payment Action","Betalning åtgärd"
"Payment Method","Betalningsmetod"
"Payment method has been deleted.","Betalningsmetod har tagits bort."
"PayPal","PayPal"
"PayPal - Advanced Checkout (Card Fields)","PayPal - Avancerade kassan (Card Fields)"
"PayPal - General Settings","PayPal - Allmänna inställningar"
"PayPal - Standard Checkout (PayPal Buttons)","PayPal - Standard Checkout (PayPal knappar)"
"PayPal - Vault (Saved Payment Methods)","PayPal - valv (Savade betalningsmetoder)"
"PayPal capture failed: no capture ID returned.","PayPal fånga misslyckades: inget ID för fånga returneras."
"PayPal Client ID and Client Secret are required when a PayPal payment method is enabled.","PayPal Client ID och Client Secret krävs när en PayPal betalningsmetod är aktiverad."
"PayPal Credit","PayPal kredit"
"PayPal did not return a payer email address.","PayPal returnerade inte en betalares e-postadress."
"PayPal order amount does not match this cart.","PayPal orderbelopp matchar inte denna kundvagn."
"PayPal order could not be approved. Status: %s","PayPal-order kunde inte godkännas. Status: %s"
"PayPal order currency does not match this cart.","PayPal ordervaluta matchar inte denna kundvagn."
"PayPal order does not belong to this cart.","PayPal-order tillhör inte denna kundvagn."
"PayPal Order ID","PayPal order-ID"
"PayPal order ID not found.","PayPal order-ID hittades inte."
"Please complete the PayPal payment before placing the order.","Vänligen slutföra PayPal betalning innan du gör beställningen."
"Processor Response","Processor Svar"
"Przelewy24","Przelewy24"
"Quote is no longer active and no matching order was found.","Offerten är inte längre aktiv och ingen matchande order hittades."
"Registers a webhook with PayPal to receive real-time notifications for payments, refunds, and disputes. Requires a publicly accessible HTTPS URL.","Registrera en webhook med PayPal för att få aviseringar i realtid för betalningar, återbetalningar och tvister. Kräver en offentligt tillgänglig HTTPS-URL."
"Register Webhook","Registrera Webhook"
"Review your order on the next step to confirm your payment with PayPal.","Granska din beställning på nästa steg för att bekräfta din betalning med PayPal."
"Sandbox Mode","Sandlåda läge"
"Saved Payment","Sparad betalning"
"Saved Payment Method","Sparad betalningsmetod"
"Saved Payment Methods","Sparade betalningsmetoder"
"Save this payment method for future purchases","Spara denna betalningsmetod för framtida köp"
"Send cart line items to PayPal for display during checkout.","Skicka kundvagnsraden till PayPal för visning i kassan."
"SEPA","SEPA"
"Sofort","Sofort"
"Sort Order","Sortera efter"
"Test Connection","Testa anslutning"
"This order has already been placed.","Denna beställning har redan gjorts."
"This PayPal order has already been used.","Denna PayPal-beställning har redan använts."
"Title","Titel"
"Transfer Line Items","Överför radobjekt"
"Type","Typ"
"Unable to delete payment method.","Kan inte ta bort betalningsmetod."
"Use PayPal sandbox environment for testing.","Använd PayPal sandlåda miljö för testning."
"Venmo","Venmo"
"Webhook ID","Webhook ID"
"Webhook registered successfully. ID: %s","Webhook registrerad. ID: %s"
"Webhook registration failed: %s","Webhook registreringen misslyckades: %s"
"You have no saved payment methods.","Du har inga sparade betalningsmetoder."
