"""Remember Me"" Default Value","""Kom ihåg mig"" standardvärde"
"Default Addresses","Förvalda adresser"
"Default Billing Address","Standard faktureringsadress"
"Default Email Domain","Förvald e-postdomän"
"Default Group","Förvald grupp"
"Default Shipping Address","Förvald leveransadress"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardvärde för att inaktivera automatiska gruppändringar baserat på moms-ID"
"Default Welcome Email","Standard välkomstmail"
"Delete","Radera"
"Delete Address","Ta bort adress"
"Delete Customer","Ta bort kund"
"Delete customer","Ta bort kund"
"Delete customer address","Ta bort kundadress"
"Delete Customer Group","Ta bort kundgrupp"
"Deleted Stores","Raderade butiker"
"Details","Detaljer"
"Disable 2FA","Inaktivera 2FA"
"Disabled","Inaktiverad"
"Edit","Redigera"
"Edit Account Info","Redigera kontoinformation"
"Edit Account Information","Redigera kontoinformation"
"Edit Address","Redigera adress"
"Edit Customer's Address","Redigera kundens adress"
"Edit Customer Group ""%s""","Redigera kundgrupp ""%s"""
"Edit Customer Groups","Redigera kundgrupper"
"Edit Group","Redigera grupp"
"Email","E-post"
"Email:","Email:"
"Email Address","E-postadress"
"Email Link to Set Password","E-postlänk för att ange lösenord"
"Email Link to Set Password on New Account","E-posta länk för att ange lösenord på nytt konto"
"Email Link to Set Password Options","E-postlänk för att ställa in lösenordsalternativ"
"Email Sender","E-post avsändare"
"Email Template","E-post mall"
"Enable ""Remember Me""","Aktivera ""Kom ihåg mig"""
"Enable 2FA","Aktivera 2FA"
"Enable Automatic Assignment to Customer Group","Aktivera automatisk inlämning till kundgrupp"
"Enable Customer Accounts in Frontend","Aktivera kundkonton i frontend"
"Enable Magic Link Login","Aktivera Magic Link-inloggning"
"Enable Real-time VAT Validation","Aktivera momsvalidering i realtid"
"Enable Two-Factor Authentication","Aktivera tvåfaktorsautentisering"
"Enter the 6-digit code from your authenticator app to finish signing in.","Ange den 6-siffriga koden från din autentiseringsapp för att avsluta inloggningen."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Det gick inte att bekräfta kundkonto."
"First Name","Förnamn"
"Force all customers to set up two-factor authentication before they can use their account.","Tvinga alla kunder att konfigurera tvåfaktorsautentisering innan de kan använda sitt konto."
"Forgot and Remind Email Sender","Glömt och Påminn e-postavsändare"
"Forgot Email Template","Glömt e-postmall"
"Forgot Password","Glömt lösenord"
"Forgot password","Glömt lösenord"
"Forgot password flow secure","Glömt lösenordsflödet säkert"
"Forgot password requests to times per 24 hours from 1 e-mail","Glömt lösenordsförfrågan till tider per 24 timmar från 1 e-post"
"Forgot password requests to times per hour from 1 IP","Glömt lösenordsförfrågan till gånger per timme från 1 IP"
"Forgot Your Password","Glömt ditt lösenord"
"Forgot Your Password?","Glömt ditt lösenord?"
"Form Fields Before","Formulärfält före"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Från ditt Mitt Konto Översikt har du möjlighet att se en ögonblicksbild av din senaste kontoaktivitet och uppdatera din kontoinformation. Välj en länk nedan för att visa eller redigera information."
"Gender","Kön"
"Gender is required.","Kön krävs."
"Generate Human-Friendly Customer ID","Generera mänskligt kund-ID"
"Global","Globalt"
"Group","Grupp"
"Group for Invalid VAT ID","Grupp för ogiltigt momsregistreringsnummer"
"Group for Valid VAT ID - Domestic","Grupp för giltig momsregistreringsnummer - Inhemsk"
"Group for Valid VAT ID - Intra-Union","Grupp för giltigt momsregistreringsnummer - Intra-Union"
"Group Information","Gruppinformation"
"Group Name","Gruppens namn"
"Guest","Gäst"
"Hello, %s!","Hej, %s!"
"How long the magic link remains valid. Default: 10 minutes.","Hur länge magiska länken förblir giltig. Standard: 10 minuter."
"How long to cache VIES validation results. Set to 0 to disable caching.","Hur länge validering av VIES ska göras. Sätt till 0 för att inaktivera cachelagring."
"HTML","HTML"
"ID","ID"
"If there is an account associated with %s you will receive an email with a login link.","Om det finns ett konto kopplat till %s får du ett e-postmeddelande med en inloggningslänk."
"If VIES service is down, accept VAT numbers that pass format validation.","Om tjänsten VIES är nere, acceptera momsnummer som passerar format validering."
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation","Om du är en momsregistrerad kund, vänligen <a href=""%s"">klicka här</a> för att ange faktureringsadress för korrekt momsberäkning"
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation","Om du är en momsregistrerad kund, vänligen <a href=""%s"">klicka här</a> för att ange leveransadress för korrekt momsberäkning"
"If you believe this is an error, please contact us at %s","Om du tror att detta är ett fel, vänligen kontakta oss på %s"
"Invalid 2FA verification code","Ogiltig 2FA verifieringskod"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Ogiltigt attributset angivet, hoppar över posten."
"Invalid billing address for (%s)","Ogiltig fakturaadress för (%s)"
"Invalid current password","Ogiltigt nuvarande lösenord"
"Invalid customer data","Ogiltig kunddata"
"Invalid email address ""%s"".","Ogiltig e-postadress ""%s""."
"Invalid email address.","Ogiltig e-postadress."
"Invalid form key. Please refresh the page.","Ogiltig formulärnyckel. Vänligen uppdatera sidan."
"Invalid login link.","Ogiltig inloggningslänk."
"Invalid login or password.","Ogiltig inloggning eller lösenord."
"Invalid or expired login link.","Ogiltig eller förfallen inloggningslänk."
"Invalid password reset customer Id.","Ogiltigt lösenordsåterställning kund-Id."
"Invalid password reset token.","Ogiltigt lösenordsåterställnings-token."
"Invalid request method.","Ogiltig begärningsmetod."
"Invalid shipping address for (%s)","Ogiltig leveransadress för (%s)"
"Invalid store specified, skipping the record.","Ogiltig butik angiven, hoppar över posten."
"Invalid VAT number format for %s.","Ogiltigt momsregistreringsnummer format för %s."
"Invalid website, skipping the record, line: %s","Ogiltig webbplats, hoppar över posten, rad: %s"
"IP Address","IP-adress"
"Last Activity","Senaste aktivitet"
"Last Date Subscribed","Senaste datum prenumererar"
"Last Date Unsubscribed","Senaste datum avprenumerera"
"Last Name","Efternamn"
"Last URL","Senaste URL"
"Leave empty for default (2). Valid range: 1-4","Lämna tomt för standard (2). Giltigt område: 1-4"
"Leave empty for default (15 minutes).","Lämna tomt för standard (15 minuter)."
"Let customers enable TOTP-based two-factor authentication on their account.","Låt kunderna aktivera TOTP-baserad tvåfaktorsautentisering på sitt konto."
"Lifetime Sales","Livstids försäljning"
"Log In","Logga in"
"Login","Inloggning"
"Login and password are required.","Inloggning och lösenord krävs."
"Login Form","Formulär för inloggning"
"Login Information","Information om inloggning"
"Login Options","Inloggningsalternativ"
"Login with Magic Link","Logga in med Magic Link"
"Logout","Utloggning"
"Log Out","Logga ut"
"Magic Link Email Sender","Magisk länk e-postavsändare"
"Magic Link Email Template","Magisk länk e-postmall"
"Magic Link Login","Magisk länkinloggning"
"Magic Link Rate Limit - Email (requests per hour)","Magisk länkfrekvens - E-post (förfrågningar per timme)"
"Magic Link Rate Limit - IP (requests per hour)","Magisk länkfrekvens - IP (förfrågningar per timme)"
"Magic Link Registration Password Requirement","Lösenordskrav för Magic Link Registration"
"Magic Link Token Expiration (minutes)","Magic Link Token Utgång (minuter)"
"Manage Addresses","Hantera adresser"
"Manage Customers","Hantera kunder"
"Maximum length must be less then %s symbols","Maximal längd måste vara mindre än %s symboler"
"Maximum magic link requests per email address per hour. Default: 3.","Maximalt antal magiska länkförfrågningar per e-postadress per timme. Standard: 3."
"Maximum magic link requests per IP address per hour. Default: 10.","Maximalt antal magiska länkförfrågningar per IP-adress per timme. Standard: 10."
"Middle Name","Mitten namn"
"Minimum admin password length","Minsta längd på administratörslösenordet"
"Minimum password length","Minsta längd på lösenord"
"Missing email, skipping the record, line: %s","Saknad e-post, hoppar över posten, rad: %s"
"Missing email, skipping the record.","Saknad e-post, hoppar över posten."
"Missing first name, skipping the record, line: %s","Förnamn saknas, hoppar över posten, rad: %s"
"Missing firstname, skipping the record.","Saknar förnamn, hoppar över posten."
"Missing last name, skipping the record, line: %s","Efternamn saknas hoppar över posten, rad: %s"
"Missing lastname, skipping the record.","Saknar efternamn, hoppar över posten."
"Missing website, skipping the record, line: %s","Saknad webbplats, hoppar över posten, rad: %s"
"MM","MM"
"Month","Månad"
"My Account","Mitt konto"
"My Account Wrapper","Mitt konto rappare"
"My Dashboard","Min instrumentpanel"
"My Orders","Mina beställningar"
"n/a","n/a"
"Name","Namn"
"Name and Address Options","Alternativ för namn och adress"
"Never","Aldrig"
"New account","Nytt konto"
"New account confirmation key","Ny kontonyckel för bekräftelse"
"New account confirmed","Nytt konto bekräftat"
"New Account Email Template","Ny e-postmall för konto"
"New Address","Ny adress"
"New Customer","Ny kund"
"New Customer Address","Ny kundadress"
"New Customer Group","Ny kundgrupp"
"New Customer Groups","Nya kundgrupper"
"New Customers","Nya kunder"
"New Group","Ny grupp"
"New Password","Nytt lösenord"
"New password field cannot be empty.","Nytt lösenordsfält får inte vara tomt."
"Newsletter","Nyhetsbrev"
"Newsletter Finish","Nyhetsbrev Avsluta"
"Newsletter Information","Nyhetsbrev Information"
"Newsletter Received","Nyhetsbrev mottaget"
"Newsletter Start","Starta nyhetsbrev"
"Newsletter Subscription","Prenumeration av nyhetsbrev"
"No customer collections found","Inga kundsamlingar hittades"
"No Items Found","Inga objekt hittades"
"No item specified.","Inget objekt angivet."
"No Newsletter Found","Inget nyhetsbrev hittades"
"No Password (Full Passwordless)","Inget lösenord (Fullt Lösenordslöst)"
"Not confirmed, can login","Ej bekräftad, kan logga in"
"Not confirmed, cannot login","Inte bekräftad, kan inte logga in"
"Not Sent","Inte skickad"
"Number of Lines in a Street Address ","Antal rader i en gatuadress "
"Offline","Offline"
"Online","Online"
"Online Customers","Kunder online"
"Online Customers Options","Inställningar för onlinekunder"
"Online Minutes Interval","Intervall för online-protokoll"
"or","eller"
"Order #","Beställning #"
"Orders","Beställningar"
"Order Total","Ordersumma"
"Password","Lösenord"
"Password:","Lösenord:"
"Password forgotten","Glömt lösenord"
"Password Management","Hantering av lösenord"
"Password Options","Lösenordsalternativ"
"Paused","Pausad"
"PDF","PDF"
"Pending","Väntande"
"Per email address. Default 3 per hour. 0 to disable.","Per e-postadress. Standard 3 per timme. 0 för att inaktivera."
"Per IP address (token brute-force guard). Default 10 per hour. 0 to disable.","Per IP-adress (token brute-force guard). Standard 10 per timme. 0 för att inaktivera."
"Per IP address. Default 10 per hour. 0 to disable.","Per IP-adress. Standard 10 per timme. 0 för att inaktivera."
"Personal Information","Personlig information"
"Per Website","Per webbplats"
"Please, check your email for confirmation key.","Vänligen kontrollera din e-post efter en bekräftelseknapp."
"Please enter a number 1 or greater in this field.","Ange ett tal 1 eller större i detta fält."
"Please enter a number 7 or greater in this field.","Ange ett tal 7 eller större i detta fält."
"Please enter a password with at most %s characters.","Ange ett lösenord med högst %s tecken."
"Please enter a valid date between %s and %s at %s.","Ange ett giltigt datum mellan %s och %s på %s."
"Please enter a valid date equal to or greater than %s at %s.","Ange ett giltigt datum som är lika med eller större än %s på %s."
"Please enter a valid date less than or equal to %s at %s.","Ange ett giltigt datum mindre än eller lika med %s på %s."
"Please enter the city.","Vänligen ange staden."
"Please enter the country.","Vänligen ange landet."
"Please enter the first name.","Ange förnamnet."
"Please enter the last name.","Ange efternamnet."
"Please enter the state/province.","Ange delstaten/provinsen."
"Please enter the street.","Ange gatan."
"Please enter the telephone number.","Ange telefonnummer."
"Please enter the zip/postal code.","Ange postnummer."
"Please enter your email.","Ange din e-postadress."
"Please enter your email below and we'll send you confirmation link for it.","Ange din e-postadress nedan så skickar vi en bekräftelselänk till dig."
"Please make sure your passwords match.","Se till att dina lösenord matchar."
"Please select","Välj"
"Please select a website which contains store view","Välj en webbplats som innehåller butiksvy"
"Please select region, state or province","Välj region, stat eller provins"
"Prefix Dropdown Options","Prefix rullgardinsalternativ"
"Price","Pris"
"Product","Produkt"
"Product ID","Produkt-ID"
"Product Name","Produktens namn"
"Product Reviews","Produktrecensioner"
"Product Tags","Produkt Taggar"
"Provided address does not belong to the logged in customer.","Tillhandahållen adress tillhör inte den inloggade kunden."
"Purchased On","Köpt den"
"Purchase On","Köp på"
"Qty","Antal"
"Recent Orders","Senaste beställningar"
"Records for %s store found.","Poster för %s butik hittad."
"Recovery Link Expiration Period (hours)","Återställningslänk utgångsperiod (timmar)"
"Redirect Customer to Account Dashboard after Logging in","Omdirigera kund till kontoöversikt efter inloggning"
"Refunded","Återbetald"
"Register","Registrera"
"Registration Form","Formulär för registrering"
"Registration successful, but we could not send the login link. Please use the login page.","Registreringen lyckades, men vi kunde inte skicka inloggningslänken. Använd inloggningssidan."
"Remember Me","Kom ihåg mig"
"Remind Email Template","Påminn e-postmall"
"Remind Password","Påminn lösenord"
"Remove","Radera"
"Remove address","Ta bort adress"
"Require admin user to change user password","Kräv administratörsanvändare att byta användarlösenord"
"Require Emails Confirmation","Bekräfta e-postmeddelanden"
"Require Password (Default)","Kräv lösenord (standard)"
"Require Two-Factor Authentication","Kräv tvåfaktorsautentisering"
"Reset a Password","Återställ ett lösenord"
"Reset password","Återställ lösenord"
"Retrieve address data","Hämta adressdata"
"Retrieve address info","Hämta adressinformation"
"Retrieve customer addresses","Hämta kundadresser"
"Retrieve customer data","Hämta kunddata"
"Retrieve customer groups","Hämta kundgrupper"
"Retrieve customer info","Hämta kundinformation"
"Retrieve customers","Hämta kunder"
"Retrieve your confirmation link here","Hämta din bekräftelselänk här"
"Retrieve your password","Hämta ditt lösenord"
"Sales Statistics","Försäljning statistik"
"Save","Spara"
"Save Address","Spara adress"
"Save and Continue Edit","Spara och fortsätt redigera"
"Save Customer","Spara kund"
"Save Customer Group","Spara kundgrupp"
"Saved %d record(s)","Sparade %d post(er)"
"Save in address book","Spara i adressboken"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.), then enter the 6-digit code below to enable two-factor authentication.","Skanna den här QR-koden med din autentiseringsapp (Google Authenticator, Authy, etc.), ange sedan den 6-siffriga koden nedan för att aktivera tvåfaktorsautentisering."
"Semicolon (;) separated values.<br>Put semicolon in the beginning for empty first option.<br>Leave empty for open text field.","Semikolon (;) separerade värden.<br>Sätt semikolon i början för tomt första alternativ.<br>Lämna tomt för öppet textfält."
"Send confirmation link","Skicka bekräftelselänk"
"Send From","Skicka från"
"Sending","Skickar"
"Send Welcome Email","Skicka välkomstmail"
"Send Welcome Email after Confirmation","Skicka välkomstmeddelande efter bekräftelse"
"Sent","Skickat"
"Session Start Time","Starttid för sessionen"
"Set as Default Billing Address","Ange som standard faktureringsadress"
"Set as Default Shipping Address","Ange som standard leveransadress"
"Share Customer Accounts","Dela kundkonton"
"Shipped to Name","Skickat till namn"
"Shopping Cart","Kundvagn"
"Shopping Cart - %d item(s)","Kundvagn - %d objekt"
"Shopping Cart of %1$s - %2$d item(s)","Kundvagn med %1$s - %2$d objekt"
"Show Date of Birth","Visa födelsedatum"
"Show Gender","Visa kön"
"Show Middle Name (initial)","Visa mellannamn (initial)"
"Show Prefix","Visa prefix"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Visa moms/momsnummer"
"Show VAT Number on Frontend","Visa momsregistreringsnummer på Frontend"
"Sign In","Logga in"
"Sign Up for Newsletter","Registrera dig för nyhetsbrev"
"Skipping import row, required field ""%s"" is not defined.","Hoppar över importraden, obligatoriskt fält ""%s"" är inte definierat."
"Skipping import row, website ""%s"" field does not exist.","Hoppar över importraden, webbplats ""%s"" fältet finns inte."
"SKU","Artikelnr"
"State/Province","Län/Provins"
"Status","Status"
"Store","Butik"
"Store View","Butiksvy"
"Street Address","Gatuadress"
"Street Address %s","Gatuadress %s"
"Subject","Ämne"
"Submit","Skicka"
"Subscribed to Newsletter?","Prenumererar du på nyhetsbrev?"
"Subscribe to Newsletter","Prenumerera på nyhetsbrev"
"Suffix Dropdown Options","Suffix rullgardinsalternativ"
"Tag Name","Taggens namn"
"Tax/VAT number","Moms/VAT-nummer"
"Tax Calculation Based On","Beräkning av skatt baserad på"
"Tax Class","Momsklass"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Text en rad"
"Thank you for registering! We have sent you an email with a login link to %s.","Tack för din registrering! Vi har skickat ett mail med en inloggningslänk till %s."
"Thank you for registering with %s.","Tack för att du registrerar dig hos %s."
"The account information has been saved.","Kontoinformationen har sparats."
"The address does not belong to this customer.","Adressen tillhör inte denna kund."
"The address has been deleted.","Adressen har tagits bort."
"The address has been saved.","Adressen har sparats."
"The customer does not have default billing address.","Kunden har inte standard faktureringsadress."
"The customer email (%s) already exists, skipping the record, line: %s","Kunden e-post (%s) finns redan, hoppar över posten, rad: %s"
"The customer group has been deleted.","Kundgruppen har tagits bort."
"The customer group has been saved.","Kundgruppen har sparats."
"The customer ID and email did not match, skipping the record, line: %s","Kund ID och e-post matchade inte, hoppar över posten, rad: %s"
"The customer is currently assigned to Customer Group %s.","Kunden är för närvarande tilldelad till kundgrupp %s."
"The Date of Birth is required.","Födelsedatum krävs."
"The first name cannot be empty.","Förnamnet får inte vara tomt."
"The group ""%s"" cannot be deleted","Gruppen ""%s"" kan inte tas bort"
"The last name cannot be empty.","Efternamnet kan inte vara tomt."
"The minimum password length is %s","Den minsta längden på lösenordet är %s"
"The password cannot be empty.","Lösenordet kan inte vara tomt."
"The password must have at least %d characters. Leading or trailing spaces will be ignored.","Lösenordet måste ha minst %d tecken. Ledande eller efterföljande mellanslag kommer att ignoreras."
"There are no items in customer's shopping cart at the moment","Det finns inga artiklar i kundens kundvagn just nu"
"There are no items in customer's wishlist at the moment","Det finns inga objekt i kundens önskelista just nu"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Det finns redan ett konto med denna e-postadress. Om du är säker på att det är din e-postadress, <a href=""%s"">klicka här</a> för att få ditt lösenord och tillgång till ditt konto."
"There was an error validating the VAT ID.","Det gick inte att validera momsregistreringsnumret."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Det gick inte att validera momsregistreringsnumret. Kunden skulle tillhöra kundgrupp %s."
"The suffix that goes after name (Jr., Sr., etc.)","Det suffix som går efter namn (Jr., Sr., etc.)"
"The TAX/VAT number is required.","TAX/VAT-nummer krävs."
"The title that goes before name (Mr., Mrs., etc.)","Titeln som går före namn (Mr., Mrs, etc.)"
"The VAT ID entered (%s) is not a valid VAT ID.","Momsregistreringsnumret (%s) är inte ett giltigt momsregistreringsnummer."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Momsregistreringsnummer som angetts (%s) är inte ett giltigt momsregistreringsnummer. Kunden skulle tillhöra kundgrupp %s."
"The VAT ID is valid. The current Customer Group will be used.","Momsregistreringsnumret är giltigt. Nuvarande kundgrupp kommer att användas."
"This account is not active.","Detta konto är inte aktivt."
"This account is not confirmed.","Detta konto är inte bekräftat."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Detta konto har inte bekräftats. <a href=""%s"">Klicka här</a> för att skicka bekräftelsemailet igen."
"This customer email already exists","Denna kund-e-post finns redan"
"This customer has no saved addresses.","Denna kund har inga sparade adresser."
"This email does not require confirmation.","Denna e-post kräver inte bekräftelse."
"This email is sent on checkbox <em>Email Link to Set Password</em> is checked on the customer page in backend.","Detta e-postmeddelande skickas på kryssrutan <em>Email Link to Set Password</em> är markerad på kundsidan i backend."
"This email will be sent instead of default welcome email, after account confirmation.","Detta e-postmeddelande kommer att skickas istället för standard välkomste-post, efter kontobekräftelse."
"This email with a link to set password is sent on new account creation in backend.","Detta e-postmeddelande med en länk för att ange lösenord skickas när ett nytt konto skapas i backend."
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","För att visa momsregistreringsnummer på framsidan, ange Visa momsregistreringsnummer på frontend alternativ till Ja."
"Total","Totalt"
"Two-Factor Authentication","Tvåfaktorsautentisering"
"Two-factor authentication has been disabled.","Tvåfaktorsautentisering har inaktiverats."
"Two-factor authentication has been enabled.","Tvåfaktorsautentisering har aktiverats."
"Two-factor authentication is currently <strong>enabled</strong> on your account.","Tvåfaktorsautentisering är för närvarande <strong>aktiverat</strong> på ditt konto."
"Two-factor authentication is required. Please set it up to continue.","Tvåfaktorsautentisering krävs. Ställ in den för att fortsätta."
"Two-factor authentication is required and cannot be disabled.","Tvåfaktorsautentisering krävs och kan inte inaktiveras."
"Two-factor authentication is required by the store. Please set it up to continue using your account.","Tvåfaktorsautentisering krävs av butiken. Ställ in den för att fortsätta använda ditt konto."
"Two-factor authentication is required by the store and cannot be disabled.","Tvåfaktorsautentisering krävs av butiken och kan inte inaktiveras."
"Type","Typ"
"Unable to validate VAT number. Please try again later.","Det gick inte att validera momsregistreringsnummer. Försök igen senare."
"Unknown","Okänd"
"Unsubscribe from Newsletter","Avregistrera dig från nyhetsbrev"
"Update","Uppdatera"
"Update customer address data","Uppdatera kundadressdata"
"Update customer data","Uppdatera kunddata"
"Use as My Default Billing Address","Använd som Min standard faktureringsadress"
"Use as my default billing address","Använd som standard faktureringsadress"
"Use as My Default Shipping Address","Använd som Min förvalda leveransadress"
"Use as my default shipping address","Använd som standard leveransadress"
"Validate on Each Transaction","Validera vid varje transaktion"
"Validate VAT Number","Validera momsregistreringsnummer"
"Validate VAT numbers against the EU VIES service in real time on address forms.","Validera momsregistreringsnummer mot EU-tjänsten VIES i realtid på adressformulär."
"Validation Error Group","Validering felgrupp"
"VAT Number","Momsnummer"
"VAT number format is valid.","Formatet för VAT-nummer är giltigt."
"VAT number format is valid. VIES validation is not available for this country.","Momsregistreringsnummer är giltigt. VIES validering är inte tillgänglig för detta land."
"VAT number is not valid.","Momsregistreringsnummer är inte giltigt."
