"%s %s cycle.","%s %s cykel."
"Shipping Method","Leveranssätt"
"Shipping Postcode","Postnummer för frakt"
"Shipping Region","Frakt Region"
"Shipping State/Province","Frakt delstat/provins"
"Short description of the recurring payment. By default equals to the product name.","Kort beskrivning av den återkommande betalningen. Som standard motsvarar produktnamnet."
"Sort Order","Sortera efter"
"Start Date","Startdatum"
"Start date has invalid format.","Startdatum har ogiltigt format."
"Start date is undefined.","Startdatum är odefinierat."
"Status","Status"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","Status ""%s"" kan inte tas bort. Den används i %d betalningsmetodskonfiguration(er): %s"
"Stores","Butiker"
"Subscriber Name","Abonnent Namn"
"Subtotal","Delsumma"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Issue Number"
"Switch/Solo/Maestro Only","Växla/Solo/Maestro endast"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro startdatum"
"Tax Amount","Skatt belopp"
"Test Mode","Testläge"
"The date when billing for the profile begins.","Datum när fakturering för profilen börjar."
"The number of billing cycles for payment period.","Antal faktureringscykler för betalningstid."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Antalet schemalagda betalningar som kan misslyckas innan profilen stängs av automatiskt."
"The payment restriction has been deleted.","Betalningsbegränsningen har tagits bort."
"The payment restriction has been saved.","Betalningsbegränsningen har sparats."
"The payment review action is unavailable.","Åtgärden för betalningsgranskning är inte tillgänglig."
"The requested Payment Method is not available.","Den begärda betalningsmetoden är inte tillgänglig."
"This restriction no longer exists.","Denna begränsning finns inte längre."
"Title","Titel"
"total amount","totalt belopp"
"Total Items Quantity","Totalt antal artiklar"
"Total of %d record(s) were deleted.","Totalt antal %d poster har tagits bort."
"Total of %d record(s) were updated.","Totalt antal %d poster uppdaterades."
"total quantity","totalt antal"
"Total Weight","Total vikt"
"Trial Billing Amount","Testa fakturabelopp"
"Trial billing amount is wrong.","Prov faktureringsbeloppet är fel."
"Trial Billing Frequency","Testa faktureringsfrekvens"
"Trial Billing Period Unit","Testa faktureringsperiodens enhet"
"Trial billing period unit is wrong.","Provperiod enhet är fel."
"Trial Period","Provperiod"
"Trial period frequency is wrong.","Provperiod frekvens är fel."
"Trial period max cycles is wrong.","Provperiod max cykler är fel."
"Two Weeks","Två veckor"
"Type","Typ"
"Unable to find a restriction to delete.","Det gick inte att hitta en begränsning att ta bort."
"Unable to save Billing Agreement:","Det går inte att spara faktureringsavtalet:"
"Unit for billing during the subscription period.","Enhet för fakturering under abonnemangsperioden."
"Void action is not available.","Ogiltig åtgärd är inte tillgänglig."
"Week","Vecka"
"What is this?","Vad är detta?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Om du vill stänga av betalningsprofilen om den ursprungliga avgiften misslyckas eller lägga till den i det utestående saldo."
"Wrong %s specified.","Fel %s angiven."
"Wrong or empty billing amount specified.","Fel eller tom faktureringsbelopp angivet."
"Year","År"
"Zero Subtotal Checkout","Noll Delsumma Kassan"
