"-- Please Select --","-- Välj --"
"Not redeemable for cash","Kan inte lösas in mot kontanter"
"Optional","Valfri"
"Order #","Beställning #"
"Order History","Orderhistorik"
"Other Amount","Annat belopp"
"Personal Message","Personligt meddelande"
"Please enter a gift card code.","Ange en presentkort kod."
"Please select a valid gift card amount","Välj ett giltigt presentkortsbelopp"
"Please select gift card(s).","Välj presentkort (er)."
"Price varies","Priset varierar"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","Mottagarens e-post"
"Recipient Name","Mottagarens namn"
"Refund Expiration Extension (days)","Återbetalning Utgångstillägg (dagar)"
"Refund to Gift Card","Återbetala till presentkort"
"Remove","Radera"
"Save And Continue Edit","Spara och fortsätt redigera"
"Save Gift Card","Spara presentkort"
"Schedule Delivery","Schemalägg leverans"
"Select Amount","Välj belopp"
"Send Email","Skicka e-post"
"Send gift card email to %s?","Skicka presentkort e-post till %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","Status"
"The gift card has been deleted.","Presentkortet har tagits bort."
"The gift card has been saved.","Presentkortet har sparats."
"This gift card no longer exists.","Detta presentkort finns inte längre."
"This is a required field.","Detta är ett obligatoriskt fält."
"To","Till"
"Too many attempts. Please wait a moment and try again.","För många försök. Var god vänta en stund och försök igen."
"Total: %s","Totalt: %s"
"Unable to check balance.","Kan inte kontrollera saldo."
"Unable to find a gift card to delete.","Det går inte att hitta ett presentkort att ta bort."
"Unknown","Okänd"
"Updated At","Uppdaterad vid"
"Used","Använt"
"Use Default (%s)","Använd standard (%s)"
"View","Visa"
"Website","Webbplats"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","Vid återbetalning till ett presentkort som gått ut, förläng förfallodagen med så här många dagar. 0 = inget tillägg (kortet förblir förfallet, men saldot återställs)."
"Your Email","Din e-postadress"
"Your Name","Ditt namn"
