"-- Please Select --","-- Välj --"
"Account Created In Store","Konto skapat i butik"
"Delay minutes cannot be negative.","Fördröjningsminuter kan inte vara negativa."
"Delete","Radera"
"Delete Email Sequences","Ta bort e-postsekvenser"
"Delete Segment","Ta bort segment"
"Delete Segments","Ta bort segment"
"Delete Step","Ta bort steg"
"Disabled","Inaktiverad"
"Downloadable Product","Nedladdningsbar produkt"
"E-mails on Enter","E-post vid Enter"
"E-mails on Exit","E-post vid avslutning"
"Edit","Redigera"
"Edit Email Sequence Step %d for ""%s""","Redigera E-post Sekvens Steg %d för ""%s"""
"Edit Segment","Redigera segment"
"Edit Segment '%s'","Redigera segment '%s'"
"Edit Sequence","Redigera sekvens"
"Email Automation","Email Automation"
"Email Automation Settings","Inställningar för e-postautomatisering"
"Email Sequences","E-post sekvenser"
"Email Template","E-post mall"
"Enable/disable this sequence step","Aktivera/inaktivera denna sekvens steg"
"Enable Email Automation","Aktivera e-postautomatisering"
"Enter Segment","Ange segment"
"Error","Fel"
"Exit Segment","Avsluta Segment"
"Expires After (Days)","Förfaller efter (dagar)"
"Failed","Misslyckades"
"General Properties","Allmänna egenskaper"
"Generate a unique coupon code for each customer","Generera en unik kupongkod för varje kund"
"Generate Coupon","Generera rabattkod"
"Generate unique coupon","Generera unik kupong"
"Grouped Product","Grupperad produkt"
"hours","timmar"
"If %s %s %s","Om %s %s %s"
"Immediate","Omedelbar"
"Invalid newsletter template selected.","Ogiltig nyhetsbrevsmall vald."
"Invalid request.","Ogiltig begäran."
"Invalid sales rule selected for coupon generation.","Ogiltig försäljningsregel vald för kuponggenerering."
"Invalid segment.","Ogiltigt segment."
"Invalid status.","Ogiltig status."
"Invalid trigger type.","Ogiltig utlösartyp."
"Is Active","Är aktiv"
"Items Count","Antal objekt"
"Items Quantity","Antal objekt"
"Last Refreshed","Senast uppdaterad"
"Last Updated Date","Senast uppdaterad datum"
"Last Viewed Date","Senast visade datum"
"Last Viewed Date","Senast visade datum"
"Leave empty to apply to all customer groups","Lämna tomt för att gälla för alla kundgrupper"
"Lifetime Profit (Sales - Refunds)","Livstids Vinst (Försäljning - Återbetalning)"
"Lifetime Refunds Amount","Livstids återbetalning Belopp"
"Lifetime Sales Amount","Livstids försäljningsbelopp"
"Manage Email Sequences","Hantera e-postsekvenser"
"Manage Segments","Hantera segment"
"Manual","Manuell"
"Master switch to enable/disable all email automation for this segment","Huvudbrytare för att aktivera/inaktivera all e-postautomatisering för detta segment"
"minutes","minuter"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minuter att vänta innan du skickar (0 = omedelbar, 60 = 1 timme, 1440 = 1 dag)"
"Mode","Läge"
"New Email Sequence Step for ""%s""","Nytt e-postsekvenssteg för ""%s"""
"New Segment","Nytt segment"
"New Sequence","Ny sekvens"
"Newsletter","Nyhetsbrev"
"Newsletter Subscription","Prenumeration av nyhetsbrev"
"Newsletter Template","Mall för nyhetsbrev"
"Newsletter template to use for this step","Nyhetsbrev mall att använda för detta steg"
"None","Ingen"
"Not Active","Inte aktiv"
"Number of days until coupon expires (default: 30)","Antal dagar tills kupongen löper ut (standard: 30)"
"Number of Orders","Antal beställningar"
"Order","Beställning"
"Order History","Orderhistorik"
"Order in the email sequence (1, 2, 3...)","Ordning i e-postsekvensen (1, 2, 3...)"
"Pending","Väntande"
"Personal Information","Personlig information"
"Please save the segment first.","Spara segmentet först."
"Please select...","Vänligen välj..."
"Please select at least one website.","Välj minst en webbplats."
"Please select segment(s).","Välj segment(er)."
"Prefix for coupon codes","Prefix för kupongkoder"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Prefix för genererade kupongkoder (t.ex., CART, WELCOME)"
"Processing","Bearbetar"
"Product: %s","Produkt: %s"
"Product Type","Typ av produkt"
"Progress record already exists for this customer and sequence.","Det finns redan framstegsposter för denna kund och sekvens."
"Purchase Date","Inköpsdatum"
"Quantity in Cart","Antal i kundvagnen"
"Quantity Ordered","Antal beställda"
"Refresh Mode","Uppdatera läge"
"Refresh Segments","Uppdatera segment"
"Row Total","Rad totalt"
"Row Total (Inc. Tax)","Rad totalt (Inc. Moms)"
"Sales rule does not exist.","Försäljningsregeln finns inte."
"Sales rule is not active.","Försäljningsregeln är inte aktiv."
"Sales rule is required when coupon generation is enabled.","Försäljningsregeln krävs när kuponggenerering är aktiverad."
"Sales rule must be configured for specific coupon codes.","Försäljningsregeln måste konfigureras för specifika kupongkoder."
"Sales rule must have auto-generation enabled.","Försäljningsregeln måste ha auto-generering aktiverad."
"Sales rule to base coupon on","Försäljningsregel till bas-kupong på"
"Sales rule to use as template for generated coupons","Försäljningsregel att använda som mall för genererade kuponger"
"Save and Continue Edit","Spara och fortsätt redigera"
"Save Email Sequences","Spara e-postsekvenser"
"Save Segment","Spara Segment"
"Save Segments","Spara segment"
"Scheduled","Schemalagda"
"Segment ID is required.","Segment-ID krävs."
"Segment Information","Information om Segment"
"Segment Name","Segmentets namn"
"Segment name is required.","Segmentnamn måste fyllas i."
"Segment Refresh Cron Schedule","Schema för segmentet Uppdatera Cron"
"Selected sales rule is not active.","Vald försäljningsregel är inte aktiv."
"Selected sales rule must be configured for ""Specific Coupon"" type.","Vald försäljningsregel måste konfigureras för ""Specifik kupong"" typ."
"Selected sales rule must have ""Use Auto Generation"" enabled.","Vald försäljningsregel måste ha ""Använd Auto Generation"" aktiverat."
"Sent","Skickat"
"Sequence ID is required.","Sekvens-ID krävs."
"Sequence not found.","Sekvens hittades inte."
"Sequence step %d: %s","Sekvens steg %d: %s"
"Sequence Step Settings","Sekvens steginställningar"
"Shopping Cart","Kundvagn"
"Shopping Cart Information","Kundvagn Information"
"Simple Product","Enkel produkt"
"Skipped","Överhoppad"
"Statistics","Statistik"
"Status Change Date","Datum för statusändring"
"Step","Steg"
"Step Number","Steg nummer"
"Step number %d already exists for this segment %s trigger.","Stegnummer %d finns redan för detta segment %s trigger."
"Step number must be greater than 0.","Steg nummer måste vara större än 0."
"Subject","Ämne"
"Subscription Status","Prenumeration Status"
"Template ID is required.","Mall ID krävs."
"The email sequence has been deleted.","E-postsekvensen har tagits bort."
"The email sequence has been saved.","E-postsekvensen har sparats."
"The segment has been deleted.","Segmentet har tagits bort."
"The segment has been refreshed.","Segmentet har uppdaterats."
"The segment has been saved.","Segmentet har sparats."
"This segment no longer exists.","Detta segment finns inte längre."
"This sequence no longer exists.","Denna sekvens finns inte längre."
"Total of %d record(s) were deleted.","Totalt antal %d poster har tagits bort."
"Total of %d record(s) were updated.","Totalt antal %d poster uppdaterades."
"Total Ordered Amount","Totalt beställt belopp"
"Trigger event must be either ""enter"" or ""exit"".","Trigger händelse måste vara antingen ""enter"" eller ""avsluta""."
"Unable to find a segment to refresh.","Kunde inte hitta ett segment att uppdatera."
"Unknown Segment","Okänt segment"
"View","Visa"
"View Count","Visa antal"
"View Customers in Segment","Visa kunder i Segment"
"Viewed","Visad"
"Viewed Products","Visade produkter"
"Virtual Product","Virtuell produkt"
"When customer enters segment","När kunden går in i segmentet"
"When customer exits segment","När kunden avslutar segmentet"
"Wishlist","Önskelista"
"Wishlist Items Count","Antal objekt i önskelistan"
"Wishlist Shared","Delad önskelista"
