"%d country(s) were skipped because they no longer exist.","%d land hoppades över eftersom de inte längre existerar."
"%d region(s) were skipped because they have existing region names.","%d region(er) hoppades över eftersom de har befintliga regionnamn."
"-- Please select --","-- Välj --"
"New Country","Nytt land"
"New Region","Ny region"
"No API Key was specified or an invalid API Key was specified.","Ingen API-nyckel angavs eller en ogiltig API-nyckel anges."
"One or more invalid symbols have been specified.","En eller flera ogiltiga symboler har angetts."
"Please select at least one country.","Välj minst ett land."
"Please select at least one locale.","Välj minst en locale."
"Please select country(s).","Välj land(ar)."
"Please select region(s).","Välj region(er)."
"Please select region name(s).","Välj regionnamn (er)."
"Popular","Populär"
"Postal Code is Optional for the following countries","Postnummer är frivilligt för följande länder"
"Preview changes without importing (Dry Run)","Förhandsgranska ändringar utan att importera (Dry Run)"
"Region","Region"
"Region API","Region API"
"Region Code","Region kod"
"Region code cannot be longer than 32 characters.","Landskoden får inte vara längre än 32 tecken."
"Region ID","Region ID"
"Region Information","Information om region"
"Region name cannot be longer than 255 characters.","Region namn får inte vara längre än 255 tecken."
"Region name is required.","Region namn måste fyllas i."
"Regions","Regioner"
"Running...","Kör..."
"Running import...","Kör import..."
"Save Country","Spara land"
"Save Region","Spara region"
"Scheduled Import Settings","Schemalagd importinställningar"
"Selected country does not exist.","Valda länder finns inte."
"Service","Tjänst"
"Short code for this region (e.g. CA, NY, TX)","Kort kod för denna region (t.ex. CA, NY, TX)"
"Shows what would be imported without making actual changes","Visar vad som skulle importeras utan att göra faktiska ändringar"
"Start Time","Starttid"
"State/Province","Län/Provins"
"State is required for","Tillstånd krävs för"
"States Options","Tillstånd Alternativ"
"System","System"
"The ""%s"" is not allowed as base currency for your subscription plan.","""%s"" är inte tillåtet som basvaluta för din prenumerationsplan."
"The account this API request is coming from is inactive.","Det konto som denna API-förfrågan kommer från är inaktivt."
"The country has been deleted.","Landet har tagits bort."
"The country has been saved.","Landet har sparats."
"The current request did not return any results.","Den aktuella begäran returnerade inga resultat."
"The maximum allowed API amount of monthly API requests has been reached.","Maximalt tillåtna API-belopp för månatliga API-förfrågningar har uppnåtts."
"The region has been deleted.","Regionen har tagits bort."
"The region has been saved.","Regionen har sparats."
"This country no longer exists.","Detta land finns inte längre."
"This region no longer exists.","Denna region existerar inte längre."
"Three character ISO code (e.g. USA, GBR, DEU)","ISO-kod med tre tecken (t.ex. USA, GBR, DEU)"
"Top Countries","Topp länder"
"Two character country code (e.g. US, GB, DE)","Två tecken landskod (t.ex. US, GB, DE)"
"Two character ISO code (usually same as Country ID)","Två tecken ISO-kod (vanligtvis samma som Land ID)"
"Unable to calculate rate for %s to %s.","Det går inte att beräkna hastigheten för %s till %s."
"Unable to initialize the import model.","Kunde inte initiera importmodellen."
"Unable to retrieve rate for USD to %s.","Det gick inte att hämta priset för USD till %s."
"Undefined rate from ""%s-%s"".","Odefinierad kurs från ""%s-%s""."
"Update existing regions and localized names","Uppdatera befintliga regioner och lokala namn"
"WARNING:","VARNING:"
"Your Currency","Din valuta"
"Your Currency:","Din valuta:"
"Your current currency is: %s","Din nuvarande valuta är: %s"
