"%d product(s) were updated","%d produkt(er) uppdaterades"
"%s (Default Template from Locale)","%s (standardmall från lokalt)"
"%s cache type(s) disabled.","%s cachetyper inaktiverade."
"%s cache type(s) enabled.","%s cachetyper aktiverade."
"%s cache type(s) refreshed.","%s cache typ(er) uppdaterade."
"Add Products","Lägg till produkter"
"Address Type:","Typ av adress:"
"Add URL Rewrite","Lägg till URL-omskrivning"
"Add URL Rewrite for a Category","Lägg till URL-omskrivning för en kategori"
"Add URL Rewrite for a Product","Lägg till URL-omskrivning för en produkt"
"Admin","Administratör"
"Advanced Profiles","Avancerade profiler"
"After authorization application will have access to you account.","Efter auktorisering ansökan kommer att ha tillgång till ditt konto."
"Alert","Varning"
"All","Alla"
"All Allowed Countries","Alla tillåtna länder"
"All Cache","Alla cacher"
"All countries","Alla länder"
"All fields","Alla fält"
"Allowed","Tillåten"
"All possible rates were fetched, please click on ""Save"" to apply","Alla möjliga priser har hämtats, klicka på ""Spara"" för att tillämpa"
"All rates were fetched, please click on ""Save"" to apply","Alla priser har hämtats, klicka på ""Spara"" för att tillämpa"
"All Reviews","Alla recensioner"
"All Store Views","Alla butiksvyer"
"All Tags","Alla taggar"
"All valid rates have been saved.","Alla giltiga priser har sparats."
"All Websites","Alla webbplatser"
"Alt text:","Alt text:"
"Always (during development)","Alltid (under utveckling)"
"Amounts","Belopp"
" and "," och "
"An error occurred: %s","Ett fel uppstod: %s"
"An error occurred while adding condition.","Ett fel uppstod när du lägger till villkor."
"An error occurred while clearing the configurable swatches image cache.","Ett fel inträffade vid rensning av konfigurerbara swatches bildcache."
"An error occurred while clearing the image cache.","Ett fel inträffade när bildcachen skulle rensas."
"An error occurred while clearing the minified CSS/JS cache.","Ett fel inträffade vid rensning av minifierad CSS/JS-cache."
"An error occurred while deleting email log entries.","Ett fel inträffade vid borttagning av e-postloggar."
"An error occurred while deleting email template data. Please review log and try again.","Ett fel inträffade vid borttagning av e-postmalldata. Granska loggen och försök igen."
"An error occurred while deleting record(s).","Ett fel inträffade vid borttagning post(er)."
"An error occurred while deleting this role.","Ett fel inträffade när rollen skulle tas bort."
"An error occurred while deleting this set.","Ett fel inträffade när denna set skulle tas bort."
"An error occurred while deleting this template.","Ett fel inträffade när mallen skulle tas bort."
"An error occurred while deleting URL Rewrite.","Ett fel inträffade vid borttagning av URL-omskrivning."
"An error occurred while finishing process. Please refresh the cache","Ett fel inträffade när cachen skulle slutföras. Vänligen uppdatera cachen"
"An error occurred while logging in.","Ett fel inträffade när du loggar in."
"An error occurred while rebuilding the catalog index.","Ett fel inträffade vid ombyggnad av katalogindex."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Ett fel inträffade vid ombyggnad av lagerstatus för kataloginventarier."
"An error occurred while rebuilding the flat catalog category.","Ett fel inträffade vid ombyggnad av den platta katalogkategorin."
"An error occurred while rebuilding the flat product catalog.","Ett fel inträffade vid ombyggnad av platt produktkatalog."
"An error occurred while rebuilding the search index.","Ett fel inträffade när sökindexet skulle byggas om."
"An error occurred while refreshing roles.","Ett fel inträffade vid uppdatering av roller."
"An error occurred while refreshing the Catalog Rewrites.","Ett fel inträffade vid uppdatering av katalogen omskrivningar."
"An error occurred while refreshing the catalog rewrites.","Ett fel inträffade vid uppdatering av katalogen omskrivningar."
"An error occurred while refreshing the Layered Navigation indices.","Ett fel inträffade vid uppdatering av indexen för filternavigering."
"An error occurred while refreshing the layered navigation indices.","Ett fel inträffade när navigeringsindexen för lager uppdaterades."
"An error occurred while saving account.","Ett fel inträffade när kontot skulle sparas."
"An error occurred while saving review.","Ett fel inträffade när granskningen skulle sparas."
"An error occurred while saving the customer.","Ett fel inträffade när kunden skulle sparas."
"An error occurred while saving this configuration:","Ett fel inträffade när denna konfiguration skulle sparas:"
"An error occurred while saving this role.","Ett fel inträffade när denna roll skulle sparas."
"An error occurred while saving this template.","Ett fel inträffade när mallen skulle sparas."
"An error occurred while saving URL Rewrite.","Ett fel inträffade när URL-omskrivning skulle sparas."
"An error occurred while sending the test email.","Ett fel inträffade när testmeddelandet skickades."
"An error occurred while updating the email address.","Ett fel inträffade när e-postadressen skulle uppdateras."
"An error occurred while updating the selected review(s).","Ett fel inträffade när de valda recensionerna uppdaterades."
"Any","Valfri"
"Any Attribute Set","Alla attribut set"
"Any Group","Valfri grupp"
"Any Status","Valfri status"
"Any Type","Valfri typ"
"Any Visibility","Eventuell synlighet"
"API Key","API nyckel"
"API Key Confirmation","Bekräfta API-nyckel"
"Archive file name:","Arkivera filnamn:"
"Area","Område"
"Are you sure you want to delete the selected URL rewrites?","Är du säker på att du vill ta bort de valda URL-omskrivningarna?"
"Are you sure you want to do this?","Är du säker du vill göra detta?"
"ASCII","ASCII"
"Assigned","Tilldelad"
"Associated Tags","Kopplade taggar"
"At least one currency has to be allowed.","Minst en valuta måste tillåtas."
"Attributes","Attribut"
"Attribute Set Name:","Attributuppsättningens namn:"
"A user with the same user name or email already exists.","En användare med samma användarnamn eller e-post finns redan."
"Authorization confirmed","Auktorisering bekräftad"
"Authorize","Auktorisera"
"Authorize application","Auktorisera ansökan"
"Authorized OAuth Tokens","Auktoriserade OAuth Tokens"
"Automatic (equalize price ranges)","Automatisk (utjämna prisnivåer)"
"Automatic (equalize product counts)","Automatiskt (utjämna produkträkningar)"
"Average","Genomsnittlig"
"Average Order Amount","Genomsnittligt orderbelopp"
"Back","Tillbaka"
"Backend Locale","Språk för backend"
"Base currency","Bas valuta"
"Bcc","Bcc"
"Bestsellers","Bestsellers"
"Billing Address","Faktureringsadress"
"Billing Address: ","Faktureringsadress: "
"Billing Agreement","Faktureringsavtal"
"Billing Agreements","Faktureringsavtal"
"BINARY","BINARIEN"
"Block Details","Blockera detaljer"
"Block has been deleted.","Blocket har tagits bort."
"Block Information","Blockera information"
"Block Name","Blockets namn"
"Block Name is disallowed.","Blocknamn är inte tillåtet."
"Block Name is incorrect.","Blockets namn är felaktigt."
"Block Name is required field.","Blocknamn är obligatoriskt fält."
"Blocks","Block"
"Both (without and with tax)","Både (utan och med skatt)"
"Browse Files...","Bläddra bland filer..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Paket med dynamisk prissättning kan inte innehålla anpassade definierade alternativ. Alternativ kommer inte att sparas."
"By Email","Via e-post"
"By IP","Efter IP"
"By IP and Email","Via IP och E-post"
"Cache Control","Cache kontroll"
"Cache Control (beta)","Cache Control (beta)"
"Cache Management","Cache-hantering"
"Cache Type","Cache Type"
"Cancel","Avbryt"
"Cannot add new comment.","Kan inte lägga till ny kommentar."
"Cannot add tracking number.","Kan inte lägga till spårningsnummer."
"Cannot create an invoice without products.","Kan inte skapa en faktura utan produkter."
"Cannot create credit memo for the order.","Kan inte skapa kreditnota för ordern."
"Cannot delete the design change.","Kan inte ta bort designändringen."
"Cannot delete tracking number.","Kan inte ta bort spårningsnummer."
"Cannot do shipment for the order.","Kan inte göra försändelsen för beställningen."
"Cannot do shipment for the order separately from invoice.","Kan inte göra leverans för beställningen separat från faktura."
"Cannot initialize shipment for adding tracking number.","Kan inte initiera leverans för att lägga till spårningsnummer."
"Cannot initialize shipment for delete tracking number.","Kan inte initiera leverans för att ta bort spårningsnummer."
"Cannot load track with retrieving identifier.","Kan inte ladda spår med att hämta identifierare."
"Cannot retrieve tracking number detail.","Kan inte hämta detaljer om spårningsnummer."
"Cannot save shipment.","Kan inte spara leverans."
"Cannot save the credit memo.","Kan inte spara kreditnotan."
"Cannot send shipment information.","Kan inte skicka leveransinformation."
"Cannot update item quantity.","Kan inte uppdatera artikelantal."
"Cannot update the item's quantity.","Kan inte uppdatera artikelns antal."
"Card Verification Number","Kortets verifieringsnummer"
"Catalog","Katalog"
"Catalog Price Rules","Prisregler för katalog"
"Catalog Rewrites","Katalog omskrivningar"
"Categories","Kategorier"
"Category","Kategori"
"Category:","Kategori:"
"Change Password","Ändra lösenord"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Diagram är inaktiverat. Om du vill aktivera diagram, klicka på <a href=""%s"">här</a>."
"Checkbox","Kryssruta"
"Child Transactions","Underordnade transaktioner"
"Choose an attribute","Välj ett attribut"
"Choose Store View:","Välj butiksvy:"
"Chosen category does not associated with any website, so url rewrite is not possible.","Vald kategori associeras inte med någon hemsida, så url-omskrivning är inte möjligt."
"Chosen product does not associated with any website, so url rewrite is not possible.","Vald produkt associeras inte med någon hemsida, så URL-omskrivning är inte möjligt."
"Clear","Rensa"
"Close","Stäng"
"close","stäng"
"CMS","CMS"
"Code","Kod"
"Color scheme","Färg schema"
"Color scheme: dark","Färgschema: mörk"
"Color scheme: follow system","Färgschema: följ systemet"
"Color scheme: light","Färgschema: ljus"
"Comment text field cannot be empty.","Kommentarstextfältet får inte vara tomt."
"Compiled observers, cron jobs, routes, and API permissions.","Sammanställda observatörer, cron-jobb, rutter och API-behörigheter."
"Config form fieldset clone model required to be able to clone fields","Config form fieldset clone modell krävs för att kunna klona fält"
"Configuration","Konfiguration"
"Confirmation Of Authorization","Bekräftelse av tillstånd"
"Confirmed email:","Bekräftad e-post:"
"Confirm New Password","Bekräfta nytt lösenord"
"Confirm token authorization for admin","Bekräfta auktorisering för administratör"
"Confirm token authorization Pop Up for admin","Bekräfta auktorisering av token Pop Up för admin"
"Continue","Fortsätt"
"Convert to Plain Text","Konvertera till oformaterad text"
"Country","Land"
"Country:","Land:"
"Coupon Discount (Formatted Text)","Rabattkupong (formaterad text)"
"Coupon Discount Amount (Raw Number)","Rabattsumma (Raw-nummer)"
"Coupons","Rabattkoder"
"Create","Skapa"
"Created At","Skapad den"
"Create DB Backup","Skapa DB Backup"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Kreditkort %s"
"Credit Card Number","Kreditkortsnummer"
"Credit Card Type","Typ av kreditkort"
"Credit memo #%s comment added","Kreditnota #%s kommentar tillagd"
"Credit memo #%s created","Kreditnota #%s skapad"
"Credit memo's total must be positive.","Kreditnotans sammanlagda summa måste vara positiv."
"Credit Memo History","Kredit Memo Historik"
"Credit Memos","Kredit Memos"
"Credit Memo Totals","Kredit Memo Totalt"
"CRITICAL","KRITISK"
"Critical","Kritisk"
"critical","kritisk"
"CSV","CSV"
"CSV / Tab separated","CSV / flik separerad"
"Currency","Valuta"
"Currency ""%s"" is used as %s in %s.","Valuta ""%s"" används som %s i %s."
"Currency doesn't exist.","Valuta finns inte."
"Currency Information","Information om valuta"
"Current Admin Password","Nuvarande administratörslösenord"
"Current Configuration Scope:","Nuvarande konfigurationsomfattning:"
"Current Month","Nuvarande månad"
"Current password field cannot be empty.","Nuvarande lösenordsfält får inte vara tomt."
"Custom","Anpassad"
"Customer","Kund"
"Customer email address changed from %s to %s by %s.","Kundens e-postadress ändrades från %s till %s av %s."
"Customer Group:","Kundgrupp:"
"Customer Groups","Kund grupper"
"Customer Name","Kundens namn"
"Customer Reviews","Kundrecensioner"
"Customers","Kunder"
"Customers by Number of Orders","Kunder efter Antal Beställningar"
"Customers by Orders Total","Kunder efter Beställningar Totalt"
"Customer Shopping Carts","Kundvagn för shopping"
"Customer Since:","Kund sedan:"
"Customer Tax Classes","Kundens momsklasser"
"Customer with the same email already exists.","Kund med samma e-post finns redan."
"Custom Symbol","Anpassad symbol"
"Custom Variable ""%s""","Anpassad variabel ""%s"""
"Custom Variables","Anpassade variabler"
"Dashboard","Instrumentpanel"
"Database","Databas"
"Dataflow - Advanced Profiles","Dataflöde - Avancerade profiler"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Dataformat"
"Data transfer:","Dataöverföring:"
"Date","Datum"
"Date & Time","Datum & tid"
"Date Added","Tillagd datum"
"Date Updated","Datum Uppdaterad"
"Day","Dag"
"Debug","Debug"
"Decimal separator:","Decimalseparator:"
"Default (Admin) Values","Standard (Admin) Värden"
"Default Billing Address","Standard faktureringsadress"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","Standard visningsvaluta ""%s"" är inte tillgänglig i tillåtna valutor."
"Default scope","Standard omfång"
"Default Symbol","Förvald symbol"
"Default Template from Locale","Standardmall från Locale"
"Default Values","Förvalda värden"
"Delete","Radera"
"Delete %s","Ta bort %s"
"Delete %s '%s'","Ta bort %s '%s'"
"Delete Block","Ta bort block"
"Delete File","Ta bort fil"
"Delete Image","Ta bort bild"
"Delete Profile","Ta bort profil"
"Delete Role","Ta bort roll"
"Delete Store","Ta bort butik"
"Delete Store View","Ta bort butiksvy"
"Delete Template","Ta bort mall"
"Delete User","Ta bort användare"
"Delete Variable","Ta bort variabel"
"Delete Website","Ta bort webbplats"
"Description","Beskrivning"
"Design","Design"
"Details","Detaljer"
"Direction:","Riktning:"
"Disable","Inaktivera"
"Disable All Email Communications","Inaktivera all e-postkommunikation"
"Disabled","Inaktiverad"
"Disallowed block name for frontend.","Otillåtet blocknamn för frontend."
"Display default currency","Visa standardvaluta"
"Do nothing","Gör ingenting"
"Download","Hämta"
"Downloads","Nedladdningar"
"Do you really want to KILL parallel process and start new indexing process?","Vill du verkligen KILL parallell process och starta en ny indexeringsprocess?"
"Drop-down","Drop-down"
"Edit","Redigera"
"Edit Block","Redigera block"
"Edit Block '%s'","Redigera block '%s'"
"Edit Design Change","Redigera designändring"
"Edit Email Template","Redigera e-postmall"
"Edit Order","Redigera beställning"
"Edit Queue","Redigera kö"
"Edit Review","Redigera recension"
"Edit Role","Redigera roll"
"Edit Store View","Redigera butiksvy"
"Edit System Template","Redigera systemmall"
"Edit Template","Redigera mall"
"Edit URL Rewrite","Redigera URL-omskrivning"
"Edit User","Redigera användare"
"Edit User '%s'","Redigera användare '%s'"
"Edit Variable","Redigera variabel"
"Edit Variable '%s'","Redigera variabel '%s'"
"Edit Website","Redigera webbplats"
"Email","E-post"
"Email:","Email:"
"Email Address:","E-postadress:"
"Email can only be changed for guest orders.","E-post kan endast ändras för gästbeställningar."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","E-posttransport är inaktiverad. Konfigurera en e-posttransport i e-postsändningsinställningar."
"Emergency","Nödläge"
"Enable","Aktivera"
"Enable 2FA","Aktivera 2FA"
"Enabled","Aktiverad"
"Enable Password Authentication","Aktivera lösenordsautentisering"
"Enclose Values In:","Bifoga värden om:"
"Engagement","Engagemang"
"Enter current password and press ""Save Account"" to confirm passkey change.","Ange nuvarande lösenord och tryck på ""Spara konto"" för att bekräfta att lösenordet ändras."
"Enter new email address:","Ange ny e-postadress:"
"Enter the 6-digit code from your authenticator app","Ange den 6-siffriga koden från din autentiseringsapp"
"Entity Attributes","Attribut för enhet"
"Entity Type","Typ av enhet"
"Entity type:","Typ av enhet:"
"Entry & Exit Pages","Inlägg & utgångssidor"
"Error","Fel"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","exempel: ""sitemap/"" eller ""/"" för bassökvägen (sökvägen måste vara skrivbar)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","Exkl. Moms"
"Excl. Tax:","Exkl. moms:"
"Expiration Date","Utgångsdatum"
"Export","Exportera"
"Export:","Exportera"
"Export CSV","Exportera CSV"
"Export Filters","Exportera filter"
"Export to:","Exportera till:"
"Failed","Misslyckades"
"failed","misslyckades"
"Failed to add a product to cart by id ""%s"".","Det gick inte att lägga till en produkt i varukorgen med id ""%s""."
"Failed to cancel the billing agreement.","Det gick inte att avbryta faktureringsavtalet."
"Failed to delete the billing agreement.","Det gick inte att ta bort faktureringsavtalet."
"Failed to send test email. Please check your email configuration and error logs.","Det gick inte att skicka test-e-post. Kontrollera din e-postkonfiguration och felloggar."
"Failed to update the profile.","Det gick inte att uppdatera profilen."
"Field","Fält"
"Field Mapping","Mappning av fält"
"File","Fil"
"File Information","Information om fil"
"File mode","Fil läge"
"File name:","Filens namn:"
"File System","Fil System"
"Finished profile execution.","Utförande av färdig profil."
"First Invoice Created Date","Första Faktura skapad datum"
"First Name","Förnamn"
"First Name:","Förnamn:"
"First Name is required field.","Förnamn är obligatoriskt fält."
"Fixed","Fast"
"Flush Catalog Images Cache","Flush Catalog Bilder Cache"
"Flush Minified CSS/JS Cache","Spola Minified CSS/JS cache"
"Flush Swatch Images Cache","Flush Swatch Bilder Cache"
"For category","För kategori"
"Forgot Admin Password","Glömt administratörslösenord"
"Forgot your password?","Glömt ditt lösenord?"
"Forgot your user name or password?","Glömt ditt användarnamn eller lösenord?"
"For product","För produkt"
"From","Från"
"from","från"
"FTP Host[:Port]","FTP-värd[:Port]"
"General Information","Allmän information"
"Give the verifier code to application administrator","Ge verifierarkoden till applikationsadministratören"
"GLOBAL","GLOBAL"
"Global Search","Global sökning"
"Google Sitemaps","Google Sitemaps"
"Go to messages inbox","Gå till inkorg för meddelanden"
"Go to notifications","Gå till aviseringar"
"Grand Total","Totalsumma"
"Grid (default) / List","Rutnät (standard) / Lista"
"Grid Only","Enbart rutnät"
"Group:","Grupp:"
"Guest","Gäst"
"Health Check","Kontroll av hälsa"
"Helper attributes should not be used in custom layout updates.","Hjälparattribut bör inte användas i anpassade layoutuppdateringar."
"Helper for options rendering doesn't implement required interface.","Hjälpmedel för alternativ rendering implementerar inte obligatoriskt gränssnitt."
"Home","Hem"
"HTTP (unsecure)","HTTP (osäkra)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Id","Id"
"ID Path","Sökväg för ID"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Om det finns ett konto kopplat till %s kommer du att få ett e-postmeddelande med en länk för att återställa ditt lösenord."
"If this message persists, please contact the store owner.","Om detta meddelande kvarstår, kontakta butiksägaren."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Om du inte anger ett alternativvärde för en specifik butiksvy, kommer standardvärdet (Admin) att användas."
"Images Cache","Images Cache"
"Import","Importera"
"Import/Export","Importera/Export"
"Import/Export Advanced","Importera/Exportera avancerad"
"Import/Export Profile","Importera/Exportera profil"
"Import and Export","Importera och exportera"
"Import and Export Tax Rates","Importera och exportera skattesatser"
"Imported <strong>%s</strong> records","Importerade <strong>%s</strong> poster"
"Import Service","Importera tjänst"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. Moms"
"Incl. Tax:","Inklusive moms:"
"Incoming Message","Inkommande meddelande"
"In Database:","I databasen:"
"In File:","I fil:"
"Informational","Informativ"
"Input fields (from - to)","Inmatningsfält (från - till)"
"Insert Variable...","Infoga variabel..."
"Interactive","Interaktiv"
"Interface Locale: %s","Gränssnitt lokalt: %s"
"Internal Error","Internt fel"
"Invalid 2FA verification code","Ogiltig 2FA verifieringskod"
"Invalidated","Ovaliderad"
"Invalid current password.","Ogiltigt nuvarande lösenord."
"Invalid data","Ogiltig data"
"Invalid email address ""%s"".","Ogiltig e-postadress ""%s""."
"Invalid email address.","Ogiltig e-postadress."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Ogiltigt fältnamn '%s', får inte vara ett av NOT, AND, OR, XOR"
"Invalid Form Key. Please refresh the page.","Ogiltig formulärnyckel. Vänligen uppdatera sidan."
"Invalid Import Service Specified","Ogiltig importtjänst angiven"
"Invalid input data for %s => %s rate","Ogiltig indata för %s => %s hastighet"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Ogiltig operator '%s', måste vara en av NOT, AND, OR, XOR"
"Invalid parent block for this block","Ogiltigt överordnat block för detta block"
"Invalid parent block for this block.","Ogiltigt överordnade block för detta block."
"Invalid password reset token.","Ogiltigt lösenordsåterställnings-token."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Ogiltig POST data (vänligen kontrollera post_max_size och upload_max_filesize inställningar i din php.ini fil)."
"Invalid request method","Ogiltig begärningsmetod"
"Invalid response","Ogiltigt svar"
"Invalid Secret Key. Please refresh the page.","Ogiltig hemlig nyckel. Vänligen uppdatera sidan."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Ogiltigt avsändarnamn ""%s"". Använd endast synliga tecken och mellanslag."
"Invalid template data.","Ogiltig malldata."
"Invalid template path used in layout update.","Ogiltig mallsökväg används i layoutuppdatering."
"Invalid timezone","Ogiltig tidszon"
"Invalid User Name or Password.","Ogiltigt användarnamn eller lösenord."
"Inventory Stock Status","Lager Lagerstatus"
"Invoice #%s comment added","Faktura #%s kommentar tillagd"
"Invoice #%s created","Faktura #%s skapad"
"Invoice canceling error.","Faktura avbryter fel."
"Invoice capturing error.","Fel vid fakturainsamling."
"Invoice History","Faktura historik"
"Invoices","Fakturor"
"Invoice Totals","Faktura Totalt"
"Invoice voiding error.","Invoice voiding error."
"IP Address","IP-adress"
"Is Allowed","Tillåten"
"Is Allowed is required field.","Är tillåtet är obligatoriskt fält."
"Is Closed","Är stängd"
"Is Default","Är standard"
"Issue Number","Ärende nummer"
"Items","Objekt"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS cache"
"Languages","Språk"
"Last 5 Orders","Senaste 5 Beställningarna"
"Last 5 Search Terms","Senaste 5 söktermer"
"Last 7 Days","Senaste 7 dagarna"
"Last 24 Hours","Senaste 24 timmarna"
"Last Credit Memo Created Date","Datum för senaste kredit skapad"
"Last Invoice Created Date","Senast skapade fakturadatum"
"Last Logged In (%s):","Senast inloggad (%s):"
"Last Logged In:","Senast inloggad:"
"Last Name","Efternamn"
"Last Name:","Efternamn:"
"Last Name is required field.","Efternamn är obligatoriskt fält."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Senast uppdaterad: %s. För att uppdatera senaste dagens <a href=""%s"">statistik</a>, klicka på <a href=""%s"">här</a>."
"Latest Message:","Senaste meddelande:"
"Layered Navigation Indices","Index för filternavigering"
"Layered Navigation Indices were refreshed.","Navigeringsindexen för lager har uppdaterats."
"Leave empty to use tax identifier","Lämna tomt för att använda momsidentifierare"
"Lifetime","Livstid"
"Lifetime Sales","Livstids försäljning"
"Lifetime statistics have been updated.","Livstids statistik har uppdaterats."
"Links","Länkar"
"Links with associated products will retain only after saving current product.","Länkar med associerade produkter kommer att behållas först efter att ha sparat aktuell produkt."
"List (default) / Grid","Lista (standard) / Rutnät"
"List Only","Endast lista"
"Load default template","Ladda standardmall"
"Loading...","Laddar..."
"Load Template","Ladda mall"
"Local/Remote Server","Lokal/fjärrserver"
"Locale","Lokalt"
"Local Server","Lokal server"
"Log In","Logga in"
"Login","Inloggning"
"Log in to Admin Panel","Logga in på Admin Panel"
"Log into Maho Admin Page","Logga in på Maho Adminsida"
"Log in to use <strong>%s</strong>","Logga in för att använda <strong>%s</strong>"
"Login with Passkey","Logga in med Passkey"
"Log Out","Logga ut"
"Low Stock","Lågt lager"
"Maho Admin","Maho Admin"
"Maho Test Email","Maho Test E-post"
"MAJOR","MARJOR"
"major","större"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Se till att datakodningen i filen är konsekvent och sparas i en av de kodningar som stöds (UTF-8 eller ANSI)."
"Manage Attributes","Hantera attribut"
"Manage Attribute Sets","Hantera attributuppsättningar"
"Manage Categories","Hantera kategorier"
"Manage Content","Hantera innehåll"
"Manage Currency Rates","Hantera valutakurser"
"Manage Customers","Hantera kunder"
"Manage Options (values of your attribute)","Hantera alternativ (värden för ditt attribut)"
"Manage Ratings","Hantera betyg"
"Manage Stores","Hantera butiker"
"Manage Tax Rules","Hantera momsregler"
"Manage Tax Zones and Rates","Hantera skattezoner och skattesatser"
"Manage Titles (Size, Color, etc.)","Hantera titlar (storlek, färg etc.)"
"Manual","Manuell"
"Matched Expression","Matchat uttryck"
"Maximum sender name length is 255. Please correct your settings.","Maximal avsändarnamnslängd är 255. Vänligen korrigera dina inställningar."
"Messages Inbox","Inkorg för meddelanden"
"Minified CSS and JavaScript files.","Minifierade CSS och JavaScript-filer."
"MINOR","MINOR"
"minor","mindre"
"Missing required fields","Obligatoriska fält saknas"
"Month","Månad"
"Most Viewed","Mest visade"
"Most Viewed Products","Mest visade produkter"
"MS Excel XML","MS Excel XML"
"Multiple Select","Flera val"
"My Account","Mitt konto"
"My Applications","Mina applikationer"
"N/A","N/A"
"Name","Namn"
"Name:","Namn:"
"Name on Card","Namn på kort"
"Network Error. Please refresh the page.","Nätverksfel. Uppdatera sidan."
"Never (production)","Aldrig (produktion)"
"New ","Ny "
"New Accounts","Nya konton"
"New API Key","Ny API-nyckel"
"New Attribute","Nytt attribut"
"New Block","Nytt block"
"New block","Nytt block"
"New Category","Ny kategori"
