"Action","Åtgärd"
"Google Sitemap","Google Sitemap"
"Hourly","Timvis"
"How much of the content an AI system may keep once it has read it.","Hur mycket av innehållet ett AI-system kan hålla när det har läst det."
"ID","ID"
"Immediate: answer the question, keep nothing","Omedelbart: svara på frågan, behåll ingenting"
"Include Images","Inkludera bilder"
"Last Time Generated","Senast genererad"
"Link for Google","Länk för Google"
"List every sitemap configured for this store view at the end of the file. llms.txt lists the same sitemaps and does not read this setting.","Lista alla webbplatskartor konfigurerade för den här butiksvyn i slutet av filen. llms.txt listar samma webbplatskartor och läser inte den här inställningen."
"llms.txt","llms.txt"
"llms.txt gives AI agents a markdown index of the store: name, description, CMS pages, top level categories, the search URL, and the sitemaps. llms-full.txt adds the full text of the CMS pages. No AI vendor promises to read these files today, so treat them as a low cost bet on an emerging convention, not as a traffic channel. Both files are served per domain, not per store view. When several store views share one domain, the store view that the bare domain resolves to is the one that answers, and it links to the other store views. When store codes are in URLs, each store view also answers at its own path, for example /de/llms.txt.","llms.txt ger AI agenter en markdown index för butiken: namn, beskrivning, CMS sidor, toppnivå kategorier, sök-URL, och webbplatskartor. llms-full. xt lägger till fulltext på CMS-sidorna. Ingen AI-leverantör lovar att läsa dessa filer idag, så behandla dem som en låg kostnad satsning på en framväxande konvention, inte som en trafikkanal. Båda filerna serveras per domän, inte per butiksvy. När flera butiksvyer delar en domän, butiksvyn att bare-domänen löser sig är den som svarar, och det länkar till de andra butiksvyerna. När butikskoderna är i URL:er svarar varje butiksvy också på sin egen väg, till exempel /de/llms.txt."
"Markdown appended verbatim to the end of llms.txt.","Markdown bifogade ordagrant till slutet av llms.txt."
"Maximum URLs per Sitemap File","Maximalt antal webbadresser per Sitemap fil"
"Monthly","Månadsvis"
"Never","Aldrig"
"New Sitemap","Ny Sitemap"
"No, reserved","Nej, reserverad"
"Not stated","Ej angivet"
"Path","Sökväg"
"Please create the specified folder ""%s"" inside your public directory before saving the sitemap.","Skapa den angivna mappen ""%s"" i din offentliga katalog innan du sparar webbplatskartan."
"Please define correct path","Ange rätt sökväg"
"Please enter a sitemap name with at most %s characters.","Ange ett namn på webbplatskartan med högst %s tecken."
"Please make sure that ""%s"" inside your public directory is writable by web-server.","Se till att ""%s"" i din offentliga katalog är skrivbar av webbserver."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Använd endast bokstäver (a-z eller A-Z), siffror (0-9) eller understreck (_) i filnamnet. Inga mellanslag eller andra tecken är tillåtna."
"Priority","Prioritet"
"Products Options","Produkter Alternativ"
"Reference: index, excerpt and link back","Referensindex, utdrag och länk tillbaka"
"Restore recommended rules","Återställ rekommenderade regler"
"robots.txt","robots.txt"
"robots.txt is served per domain, not per store view. When several store views share one domain, the store view that the bare domain resolves to is the one that answers.","robots.txt serveras per domän, inte per butiksvy. När flera butiksvyer delar en domän, butiksvyn att bare-domänen löser sig är den som svarar."
"Rules only, one per line, without User-agent lines. They are written into the wildcard group and repeated inside every named group, because RFC 9309 gives a named group no access to the wildcard rules. Rules that name the admin path are dropped, so the path stays private.","Endast regler, en per rad, utan linjer med användaragent. De skrivs in i wildcard gruppen och upprepas inuti varje namngiven grupp, eftersom RFC 9309 ger en namngiven grupp ingen tillgång till wildcard-reglerna. Regler som namnger admin sökvägen släpps, så sökvägen förblir privat."
"Show lastmod","Show lastmod"
"Shown to AI agents as the store summary. Leave empty to use the default meta description.","Visas för AI-agenter som butikens sammanfattning. Lämna tomt för att använda standard-meta-beskrivningen."
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sajtkarta generera varningar"
"Split sitemap files when they exceed this number of URLs","Dela webbplatskarta filer när de överskrider detta antal webbadresser"
"Start Time","Starttid"
"Store Description","Butikens beskrivning"
"Store View","Butiksvy"
"The file %s exists and is served by the web server, so these settings have no effect on it. Delete it to use the settings below.","Filen %s finns och serveras av webbservern, så dessa inställningar har ingen effekt på den. Ta bort den för att använda inställningarna nedan."
"The priority must be between 0 and 1.","Prioriteringen måste vara mellan 0 och 1."
"The sitemap ""%s"" has been generated.","Webbplatskartan ""%s"" har genererats."
"The sitemap has been deleted.","Webbplatskartan har tagits bort."
"The sitemap has been saved.","Webbplatskartan har sparats."
"This sitemap no longer exists.","Denna webbplatskartan finns inte längre."
"Training crawlers","Tränar krypskyttar"
"Training opt-out tokens (not crawlers)","Träning opt-out tokens (inte crawlers)"
"Training or fine-tuning AI models on the pages. Reserved by default: it is the one use that gives the store nothing back.","Träning eller finjustering av AI-modeller på sidorna. Reserverat som standard: det är en användning som ger butiken ingenting tillbaka."
"Unable to find a sitemap to delete.","Det gick inte att hitta en webbplatskarta att ta bort."
"Unable to find a sitemap to generate.","Det gick inte att hitta en webbplatskarta att generera."
"Unable to generate the sitemap.","Det går inte att generera webbplatskartan."
"User-triggered fetchers","Användarutlösta hämtare"
"Valid values range: from 0.0 to 1.0.","Giltiga värden intervall: från 0,0 till 1,0."
"Weekly","Veckovis"
"When off, /llms.txt answers 404.","När av, svarar /llms.txt 404."
"When off, /robots.txt answers 404, which tells crawlers that no policy applies.","När du är avstängd, svarar /robots.txt 404, som talar om för krälare att ingen politik gäller."
"Yearly","Årligen"
"Yes, allowed","Ja, tillåtet"
