"%s items queued for embedding.","%s objekt köade för inbäddning."
"Action","Åtgärd"
"Must be installed locally via `ollama pull`.","Måste installeras lokalt via `ollama pull`."
"No items were queued. Make sure products/categories have text content.","Inga objekt har köats. Se till att produkter/kategorier har textinnehåll."
"Ollama Embed Model","Ollama Bädda in modell"
"One regex per line. Matching inputs will be rejected.","En regex per rad. Matchande ingångar kommer att avvisas."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","OpenAI-kompatibel slutpunkt, t.ex. https://api.example.com/v1"
"OpenAI Embed Model","OpenAI Bädda in modell"
"OpenAI Image Model","OpenAI bildmodell"
"Output Tokens","Utmatnings-Tokens"
"Out Tokens","Ut Tokens"
"Pending","Väntande"
"Pending Embed Tasks","Väntande inbäddade uppgifter"
"PII Detection","PII detektion"
"Placeholder URL Pattern","Platshållare URL-mönster"
"Platform","Plattform"
"Platform / Model","Plattform / Modell"
"Priority","Prioritet"
"Processing","Bearbetar"
"Products (%s enabled)","Produkter (%s aktiverad)"
"Prompt Injection Detection","Prompt Injektionsdetektion"
"Queue","Kö"
"Queue an embedding task whenever a category is saved.","Köa en inbäddningsuppgift när en kategori sparas."
"Queue an embedding task whenever a product is saved.","Köa en inbäddningsuppgift när en produkt sparas."
"Queue Cron Schedule","Kö Cron Schema"
"Queued","Köad"
"Queue for Embedding","Kö för inbäddning"
"Queue Status","Kö Status"
"Refresh Models","Uppdatera modeller"
"Response","Svar"
"Retries","Försök"
"Return a placeholder image URL when image generation is disabled or fails.","Returnera en platshållare bild URL när bildgenerering är inaktiverad eller misslyckas."
"Safety & Guardrails","Säkerhet & Skyddsräcken"
"Sanitize HTML Output","Sanitisera HTML-utdata"
"Scan user inputs for prompt injection attempts before sending to AI.","Skanna användaringångar för snabba injektionsförsök innan du skickar till AI."
"Status","Status"
"Store ID","Butiks-ID"
"Strip dangerous tags/attributes from AI responses used as HTML.","Ta bort farliga taggar/attribut från AI-svar som används som HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Uppgift #%s"
"Task Details","Uppgiftsuppgifter"
"Task History","Uppgiftshistorik"
"Task not found.","Uppgiften hittades inte."
"Task Timeout (seconds)","Timeout för uppgift (sekunder)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","Den asynkrona är inaktiverad. Aktivera det under System &gt; AI &gt; Köinställningar eller uppgifter kommer aldrig att behandlas."
"This queues %s products and %s categories (%s tasks total) for background processing.","Detta köar %s produkter och %s kategorier (%s uppgifter totalt) för bakgrundshantering."
"This will queue all selected items for embedding. Continue?","Detta kommer att köa alla markerade objekt för inbäddning. Vill du fortsätta?"
"Type","Typ"
"Usage","Användning"
"Use Placeholder Fallback","Använd platshållare Fallback"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Använd {w} och {h} tokens för bredd/höjd. t.ex. https://placehold.co/{w}x{h} eller https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Vektorstorlek. 0 = modellstandard. OpenAI och Google stöder infödda trunkeringar; andra trunkeras efter hämtning."
"Vector with %d dimensions","Vektor med %d dimensioner"
"View","Visa"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Varning: %d inbäddade uppgifter pågår redan. Körs detta igen kommer att lägga till dubbla uppgifter."
"— save the API key to load available models —","— spara API-nyckel för att ladda tillgängliga modeller —"
