"(not processed yet)","(neprocesat încă)"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Link către formularul de revocare a contractului (Directiva UE 2023/2673). Plasați-l în subsol sau oriunde trebuie să rămână vizibil în timpul perioadei de retragere."
"Locale","Localizare"
"Mark as Accepted","Marchează ca Acceptat"
"Mark as Rejected","Marchează ca Respins"
"Mark the selected requests as accepted? The matched orders are not modified.","Marcați cererile selectate ca fiind acceptate? Comenzile corespunzătoare nu sunt modificate."
"Mark the selected requests as rejected? The matched orders are not modified.","Marcați cererile selectate ca fiind respinse? Comenzile corespunzătoare nu sunt modificate."
"Matched Order","Comanda corespunzatoare"
"Merchant Notification Email","E-mail de notificare comerciant"
"Merchant Notifications per Store per Hour","Notificări comerciale per magazin pe oră"
"Merchant Notification Template","Șablon notificare comerciant"
"Minimum Submit Time (Seconds)","Timp minim de depunere (secunde)"
"Must only acknowledge receipt of the declaration, never acceptance.","Trebuie doar să confirme primirea declarației, să nu accepte niciodată."
"Name","Nume"
"No","Nr"
"No (self-asserted via the public form)","Nu (autoafirmat prin intermediul formularului public)"
"No order could be matched to this request. The customer typed ""%s"".","Nici o comandă nu a putut fi asociată cu această cerere. Clientul a introdus ""%s""."
"No order found for increment ID ""%s"".","Nici o comandă găsită pentru increment ID ""%s""."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Se folosesc doar măsurători invizibile de fundal (poza de miere, sincronizare depunere, captcha invizibilă, limite de rată).<br>Manualul CAPTCHA și linkurile de verificare e-mail sunt inadmisibile din punct de vedere legal pentru formularul de revocare. Nu reglaţi aceste limite atât de strict încât clienţii legitimi să fie blocaţi."
"Order","Comanda"
"Order Number","Numărul comenzii"
"Order Reference","Referință comandă"
"Please enter a valid email address.","Te rog introdu o adresa de email valida."
"Please fill in your name, your order reference and your email address.","Te rugăm să completezi numele, referința comenzii tale și adresa ta de e-mail."
"Please select request(s).","Vă rugăm să selectaţi cererea(e)."
"Processed At","Procesat la"
"Processed Status","Starea Procesată"
"Processing","Prelucrare"
"Process Requests","Cereri de proces"
"Reason","Motiv"
"Reason (optional)","Motiv (opţional)"
"Receipt Emails per Recipient per Day","E-mailuri de primire per destinatar pe zi"
"Received","Primit"
"Received at","Primit la"
"Received at (UTC)","Primit la (UTC)"
"Reference number","Număr de referință"
"Rejected","Respins"
"Reject Revocation","Respingeți revocarea"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","Respingeți această revocare? Aceasta înregistrează decizia și adaugă o notă la comanda potrivită. Nu se modifică automat starea comenzii."
"Request #%s","Solicitare #%s"
"Resend Receipt Email","Retrimite e-mail de confirmare"
"Resend the receipt email to %s?","Retrimiteți e-mailul de confirmare la %s?"
"Revocation Button","Buton de Anulare"
"Revocation Form","Formular de anulare"
"Revocation Merchant Notification","Notificare Anulare Comerciant"
"Revocation Receipt Confirmation","Confirmare chitanță anulare"
"Revocation received","Revocare primită"
"Revocation Request","Cerere de revocare"
"Revocation Request #%s","Solicitare de revocare #%s"
"Revocation request #%s accepted.","Solicitare de revocare #%s acceptată."
"Revocation request #%s rejected.","Solicitarea de revocare #%s a fost respinsă."
"Revocation Requests","Cereri de revocare"
"Revocation Success","Revocare reușită"
"Revoke contract","Revocați contractul"
"Revoke this contract","Revocați acest contract"
"Sales","Vânzări"
"Save Note","Salvează Nota"
"Store View","Vedere magazin"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Trimiterile mai repede decât acest lucru după redarea paginii sunt reduse silențios ca trafic bot. 0 dezactivează cecul."
"Submissions per IP per Hour","Trimiteri per IP pe oră"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","E-mailul de confirmare a clientului a fost suprimat (%s) la %s și nu a fost livrat. Folosiți ""Retrimite e-mailul de primire"" pentru a-l livra după triaj."
"The receipt email could not be sent. Please check the email configuration.","E-mailul de chitanță nu a putut fi trimis. Vă rugăm să verificați configurația de e-mail."
"The receipt email has been resent to %s.","E-mailul de confirmare a fost retrimis la %s."
"The request has been linked to order %s.","Solicitarea a fost legată de comanda %s."
"The revocation has been marked as accepted.","Anularea a fost marcată ca fiind acceptată."
"The revocation has been marked as rejected.","Revocarea a fost marcată ca fiind respinsă."
"The revocation request has been saved.","Solicitarea de revocare a fost salvată."
"This revocation request no longer exists.","Această cerere de revocare nu mai există."
"This revocation was accepted. To refund the customer, %s for order %s.","Această revocare a fost acceptată. Pentru a rambursa clientul, %s pentru comanda %s."
"Total of %d request(s) were updated.","Totalul cererii %d a fost actualizat."
"Used to gate the my-account entry point. The statutory period is 14 days.","Folosit pentru a porni punctul de intrare pentru contul meu. Perioada legală este de 14 zile."
"User Agent","Agent utilizator"
"Verified","Verificat"
"View Request","Vizualizați cererea"
"View Requests","Vezi Cereri"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Am primit declarația dvs. de revocare. Vă rugăm să reţineţi că acest lucru confirmă doar primirea; valabilitatea revocării va fi evaluată şi vă vom contacta separat."
"Yes","Da"
"Yes (submitted from an authenticated customer session)","Da (trimis de la o sesiune de clienți autentificați)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","Puteți revoca contractul în cadrul perioadei legale de retragere folosind acest formular.<br>După trimitere, veți primi o confirmare că declarația dvs. a fost primită."
"Your request could not be processed right now. Please try again later or contact us directly.","Cererea ta nu a putut fi procesată acum. Te rugăm să încerci din nou mai târziu sau să ne contactezi direct."
"Your revocation has been received","Revocarea ta a fost primită"
