"%s %s cycle.","Ciclu %s %s."
"less than","mai puțin de"
"Make Check Payable to","Cecul este plătibil la"
"Make Check payable to:","Faceți o verificare plătibilă la:"
"Make Check payable to: %s","Faceți o verificare plătibilă la: %s"
"Maximum Billing Cycles","Cicluri maxime de facturare"
"Maximum Order Total","Comanda Maximă Total"
"Maximum Payment Failures","Eșecuri maxime de plată"
"Maximum Trial Billing Cycles","Numărul maxim de cicluri de facturare"
"Minimum Order Total","Totalul minim al comenzii"
"Month","Lună"
"N/A","N/A"
"Name","Nume"
"Name on Card","Numele de pe card"
"New Order Status","Stare comandă nouă"
"New Restriction","Restricție nouă"
"NOT FOUND","NU ESTE PLĂTIT"
"Number of billing periods that make up one billing cycle.","Numărul de perioade de facturare care formează un ciclu de facturare."
"Number of Complete Orders","Număr de Comenzi Complete"
"Order action is not available.","Actiunea comenzii nu este disponibila."
"Password","Parolă"
"Payment from Applicable Countries","Plata din partea țărilor aplicabile"
"Payment from Specific Countries","Plata din partea anumitor țări"
"Payment Method","Metoda de plată"
"Payment method code is not set.","Codul metodei de plată nu este setat."
"Payment method code is undefined.","Codul metodei de plată este nedefinit."
"Payment Methods","Metode de plată"
"Payment profile is invalid:\n%s","Profilul de plată este invalid:\n%s"
"Payment Reference ID","ID Referință plată"
"Payment Restrictions","Restricții de plată"
"Payment Services","Servicii de plată"
"Period frequency is wrong.","Frecvența perioadei este greșită."
"Please choose a condition to add.","Vă rugăm să alegeţi o condiţie de adăugat."
"Please enter a valid credit card verification number.","Te rugăm să introduci un număr valid de verificare a cardului de credit."
"Please select restriction(s).","Vă rugăm selectați restricțiile."
"Product Attribute","Atribut produs"
"Product attribute combination","Combinatie atribut produs"
"Product Categories","Categorii de produse"
"Products subselection","Subselectie produse"
"Purchase Order","Comandă de cumpărare"
"Purchase Order Number","Numărul comenzii de cumpărare"
"Purchase Order Number:","Numărul comenzii de cumpărare:"
"Purchase Order Number: %s","Numărul comenzii de cumpărare: %s"
"Recurring Profile Start Date","Data de început a profilului recurent"
"Recurring profile start date has invalid format.","Data de începere a profilului recurent are un format invalid."
"Reference ID is not set.","ID-ul de referință nu este setat."
"Refund action is not available.","Acțiunea de rambursare nu este disponibilă."
"Repeats %s time(s).","Repeats %s time(s)."
"Repeats until suspended or canceled.","Se repetă până la suspendare sau anulare."
"Save Restriction","Salvează Restricție"
"Schedule Description","Descriere program"
"Schedule description must be not empty.","Descrierea programului nu trebuie să fie goală."
"Selected payment type is not allowed for billing country.","Tipul de plată selectat nu este permis pentru țara de facturare."
"Send Check to","Trimite Cecul la"
"Send Check to:","Trimite Verificare către:"
"Severe 3D Secure Card Validation","Validare severă 3D Secure Card"
"Shipping Amount","Sumă Livrare"
"Shipping Country","Tara de livrare"
"Shipping Method","Metoda de Livrare"
"Shipping Postcode","Cod poștal de livrare"
"Shipping Region","Regiunea de livrare"
"Shipping State/Province","Statul de livrare/provincia"
"Short description of the recurring payment. By default equals to the product name.","Scurtă descriere a plății recurente. Implicit este egală cu numele produsului."
"Sort Order","Ordinea de sortare"
"Start Date","Data de început"
"Start date has invalid format.","Data de început are un format nevalid."
"Start date is undefined.","Data de început este nedefinită."
"Status","Status"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","Starea ""%s"" nu poate fi dezalocată. Este folosită în configurația (configurațiile) metodei de plată %d : %s"
"Stores","Magazine"
"Subscriber Name","Nume abonat"
"Subtotal","Subtotal"
"Switch/Solo/Maestro Issue Number","Numarul problemei Comutator Solo/Maestro"
"Switch/Solo/Maestro Only","Comutați/Solo/Maestro numai"
"Switch/Solo/Maestro Start Date","Schimbare/Solo/Maestro Data de începere"
"Tax Amount","Valoare impozit"
"Test Mode","Modul de testare"
"The date when billing for the profile begins.","Data la care începe facturarea pentru profil."
"The number of billing cycles for payment period.","Numărul de cicluri de facturare pentru perioada de plată."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Numărul de plăți programate care pot eșua înainte ca profilul să fie suspendat automat."
"The payment restriction has been deleted.","Restricția de plată a fost ștearsă."
"The payment restriction has been saved.","Restricția de plată a fost salvată."
"The payment review action is unavailable.","Acțiunea de verificare a plății nu este disponibilă."
"The requested Payment Method is not available.","Metoda de plată solicitată nu este disponibilă."
"This restriction no longer exists.","Această restricție nu mai există."
"Title","Titlu"
"total amount","sumă totală"
"Total Items Quantity","Cantitatea totală de articole"
"Total of %d record(s) were deleted.","Totalul de %d înregistrări au fost șterse."
"Total of %d record(s) were updated.","Totalul înregistrărilor %d au fost actualizate."
"total quantity","cantitate totală"
"Total Weight","Greutate totală"
"Trial Billing Amount","Suma facturării de încercare"
"Trial billing amount is wrong.","Suma facturării test este greşită."
"Trial Billing Frequency","Frecvența de facturare a procesului"
"Trial Billing Period Unit","Unitate Facturare Perioadă de Încercare"
"Trial billing period unit is wrong.","Unitatea perioadei de facturare test este greşită."
"Trial Period","Perioada de probă"
"Trial period frequency is wrong.","Frecvența perioadei de probă este greșită."
"Trial period max cycles is wrong.","Perioada de încercare max. cicluri este greşită."
"Two Weeks","Două săptămâni"
"Type","Tip"
"Unable to find a restriction to delete.","Imposibil de găsit o restricție de șters."
"Unable to save Billing Agreement:","Nu se poate salva acordul de facturare:"
"Unit for billing during the subscription period.","Unitate de facturare în timpul perioadei de abonament."
"Void action is not available.","Acțiunea de anulare nu este disponibilă."
"Week","Saptamana"
"What is this?","Ce este asta?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Fie să suspende profilul de plată în cazul în care comisionul inițial eșuează sau îl adaugă în soldul restant."
"Wrong %s specified.","%s specificat greșit."
"Wrong or empty billing amount specified.","Suma de facturare specificată este greșită sau goală."
"Year","An"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
