"%d country(s) were skipped because they no longer exist.","%d țări(țări) au fost ignorate deoarece nu mai există."
"%d region(s) were skipped because they have existing region names.","%d regiuni au fost ignorate deoarece au nume de regiuni existente."
"-- Please select --","-- Vă rugăm selectaţi --"
"Store %s has no currency it can sell in: none of its allowed currencies has an exchange rate from %s.","Magazinul %s nu are nicio valută în care poate vinde în: niciuna dintre monedele permise nu are o rată de schimb de la %s."
"System","Sistem"
"The ""%s"" is not allowed as base currency for your subscription plan.","""%s"" nu este permis ca monedă de bază pentru planul de abonament."
"The account this API request is coming from is inactive.","Contul din care provine cererea API este inactiv."
"The country has been deleted.","Țara a fost ștearsă."
"The country has been saved.","Ţara a fost salvată."
"The current request did not return any results.","Cererea curentă nu a returnat niciun rezultat."
"The maximum allowed API amount of monthly API requests has been reached.","Valoarea maximă permisă de API a cererilor lunare API a fost atinsă."
"The region has been deleted.","Regiunea a fost ștearsă."
"The region has been saved.","Regiunea a fost salvată."
"There is no exchange rate from %s to %s.","Nu există nici o rată de schimb de la %s la %s."
"This country no longer exists.","Această țară nu mai există."
"This region no longer exists.","Această regiune nu mai există."
"Three character ISO code (e.g. USA, GBR, DEU)","Cod ISO de trei caractere (de ex. SUA, GBR, DEU)"
"Top Countries","Top Țări"
"Two character country code (e.g. US, GB, DE)","Cod de țară cu două caractere (de exemplu, SUA, GB, DE)"
"Two character ISO code (usually same as Country ID)","Cod ISO cu două caractere (de obicei la fel ca ID-ul țării)"
"Unable to calculate rate for %s to %s.","Imposibil de calculat rata pentru %s la %s."
"Unable to initialize the import model.","Imposibil de inițializat modelul de import."
"Undefined rate from ""%s-%s"".","Rata nedefinită de la ""%s-%s""."
"Update existing regions and localized names","Actualizați regiunile existente și numele localizate"
"Your Currency","Moneda ta"
"Your Currency:","Moneda ta:"
