"%s file does not exists or is not readable","Fișierul %s nu există sau nu poate fi citit"
"-- Please Select --","-- Vă rugăm selectaţi --"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Obiectul adaptorului de entitate trebuie să fie o instanță de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entitatea este necunoscută"
"Entity Type","Tip entitate"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Modelul de entitate trebuie să fie o instanță de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Modelul de entitate trebuie să fie o instanță de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Eroare în structura datelor: comportamentul este amestecat"
"Error in data structure: entity codes are mixed","Eroare în structura datelor: codurile entității sunt mixte"
"Errors limit (%d) reached. Please fix errors and re-upload file","Limita erorilor (%d) a fost atinsă. Vă rugăm să remediați erorile și să reîncărcați fișierul"
"Escape CSV fields","Ieșire câmpuri CSV"
"Export","Exportă"
"Exported %s rows.","Exporta rânduri %s."
"Export File Format","Format fișier export"
"Export has been done.","Exportul a fost făcut."
"Export Settings","Exportă setările"
"File does not contain data.","Fișierul nu conține date."
"File does not contain data. Please upload another one","Fișierul nu conține date. Vă rugăm să încărcați altul"
"File format is unknown","Formatul fișierului este necunoscut"
"File is partially valid, but import is not possible","Fișierul este parțial valabil, dar importul nu este posibil"
"File is totally invalid. Please fix errors and re-upload file","Fisierul este complet invalid. Te rugam sa repari erorile si sa re-incarci fisierul"
"File is valid! To start import process press ""Import"" button","Fişierul este valid! Pentru a începe importarea procesului, apăsaţi butonul ""Import"""
"File is valid, but import is not possible","Fișierul este valid, dar importul nu este posibil"
"File was not uploaded","Fișierul nu a fost încărcat"
"Filter","Filtrare"
"From","De la"
"Header column names already set","Numele de coloană antet deja setat"
"Import","Importă"
"Import/Export","Importă/Exportă"
"Import Behavior","Importă comportamentul"
"Import CSV","Importă CSV"
"Import has been done successfuly.","Importul a fost efectuat cu succes."
"Import Settings","Importă setări"
"Import successfully done.","Importare terminată cu succes."
"Incorrect entity type","Tip de entitate incorect"
"Input entity code is not equal to entity adapter code","Codul de intrare al entității nu este egal cu codul entității adaptorului"
"in rows","în rânduri"
"in rows:","în rânduri:"
"Invalid entity","Entitate nevalidă"
"Invalid entity model","Model de entitate nevalid"
"Invalid file format","Format fișier nevalid"
"Invalid parameters","Parametri invalizi"
"Invalid seek position","Poziție căutare nevalidă"
"Invalid seek position: %d","Poziție căutare invalidă: %d"
"Invalid value for '%s'","Valoare nevalidă pentru '%s'"
"Invalid value for '%s' column","Valoare nevalidă pentru coloana '%s"
"No data provided for import","Nu există date pentru import"
"No data rows found after header processing","Nu s-au găsit rânduri de date după procesarea antetului"
"Node does not has model token tag","Modulul nu are eticheta token model"
"No filter data provided","Nu există date de filtrare"
"No source specified","Nici o sursă specificată"
"Not implemented yet","Neimplementat încă"
"No valid data sent","Nu au fost trimise date valide"
"No writer specified","Nici un autor specificat"
"Please fix errors and re-upload file","Vă rugăm să remediați erorile și să reîncărcați fișierul"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Vă rugăm să reparați erorile și să reîncărcați fișierul sau doar apăsați butonul ""Import"" pentru a sări peste rânduri cu erori"
"Products","Produse"
"Replace Existing Complex Data","Înlocuiește datele complexe existente"
"Row %d is not an array","Rând %d nu este un array"
"Row %d missing columns: %s","Rând %d coloane lipsă: %s"
"Select File to Import","Selectaţi fişierul de importat"
"Skip","Omitere"
"Source data array cannot be empty","Array-ul datelor sursă nu poate fi gol"
"Source data must be an array","Datele sursă trebuie să fie o array"
"Source file moving failed","Mutarea fișierului sursă a eșuat"
"Source is not set","Sursa nu este setată"
"Source must be a string file path or array","Sursa trebuie să fie o cale sau un array de șir de caractere"
"Status","Status"
"There are no product types available for export","Nu există tipuri de produse disponibile pentru export"
"There is no data for export","Nu există date pentru export"
"To","La"
"Total size of uploadable files must not exceed %s","Dimensiunea totală a fişierelor încărcabile nu trebuie să depăşească %s"
"Unknown attribute filter type","Tip de filtru de atribut necunoscut"
"Uploaded file has no extension","Fișierul încărcat nu are extensie"
"Validation finished successfully","Validare terminată cu succes"
