"-- Please Select --","-- Vă rugăm selectaţi --"
"Account Created In Store","Cont creat în magazin"
"Delete Email Sequences","Șterge secvențele de e-mail"
"Delete Segment","Ștergere Segment"
"Delete Segments","Ștergere segmente"
"Delete Step","Ştergeţi pasul"
"Disabled","Dezactivat"
"Downloadable Product","Produs descarcabil"
"E-mails on Enter","E-mailuri de intrare"
"E-mails on Exit","E-mailuri la ieșire"
"Edit","Editare"
"Edit Email Sequence Step %d for ""%s""","Editare Secvenţă de e-mail %d pentru ""%s"""
"Edit Segment","Editare Segment"
"Edit Segment '%s'","Editare Segment '%s'"
"Edit Sequence","Editare Secvenţă"
"Email Automation","Email Automation"
"Email Automation Settings","Setări automatizare e-mail"
"Email Sequences","Secvențe de e-mail"
"Email Template","Şablon e-mail"
"Enable/disable this sequence step","Activează/dezactivează această etapă de secvență"
"Enable Email Automation","Activare automatizare e-mail"
"Enter Segment","Introduceți Segmentul"
"Error","Eroare"
"Exit Segment","Ieșiți din Segment"
"Expires After (Days)","Expiră după (zile)"
"Failed","Eșuat"
"General Properties","Proprietăți generale"
"Generate a unique coupon code for each customer","Generează un cod unic de cupon pentru fiecare client"
"Generate Coupon","Generează Cupon"
"Generate unique coupon","Generează cupon unic"
"Grouped Product","Produse grupate"
"hours","ore"
"If %s %s %s","Dacă %s %s %s"
"Immediate","Imediat"
"Invalid newsletter template selected.","Sablon invalid pentru newsletter selectat."
"Invalid request.","Cerere invalidă."
"Invalid sales rule selected for coupon generation.","Regulă de vânzări nevalidă selectată pentru generarea cuponului."
"Invalid segment.","Segment invalid."
"Invalid status.","Stare invalidă."
"Invalid trigger type.","Tip de declanșare nevalid."
"Is Active","Este activ"
"Items Count","Numărul de articole"
"Items Quantity","Cantitate articole"
"Last Refreshed","Ultima actualizare"
"Last Updated Date","Data ultimei actualizări"
"Last Viewed Date","Data ultimei vizualizări"
"Last Viewed Date","Data ultimei vizualizări"
"Leave empty to apply to all customer groups","Lăsați gol pentru a aplica la toate grupurile de clienți"
"Lifetime Profit (Sales - Refunds)","Profit pe viață (vânzări - restituiri)"
"Lifetime Refunds Amount","Suma Rambursărilor pe viață"
"Lifetime Sales Amount","Valoarea Vânzărilor pe viață"
"Manage Email Sequences","Gestionare secvente e-mail"
"Manage Segments","Gestionare segmente"
"Manual","Manual"
"Master switch to enable/disable all email automation for this segment","Comutatorul principal pentru a activa/dezactiva toate e-mailurile automate pentru acest segment"
"minutes","minute"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minute de aşteptat înainte de a trimite (0 = imediat, 60 = 1 oră, 1440 = 1 zi)"
"Mode","Mod"
"New Email Sequence Step for ""%s""","Pasul Secvenţei de E-mail nou pentru ""%s"""
"New Segment","Segment nou"
"New Sequence","Secvenţă nouă"
"Newsletter","Newsletter"
"Newsletter Subscription","Abonare la newsletter"
"Newsletter Template","Șablon newsletter"
"Newsletter template to use for this step","Șablon newsletter de utilizat pentru acest pas"
"None","Niciunul"
"Not Active","Nu este activ"
"Number of days until coupon expires (default: 30)","Numărul de zile până la expirarea cuponului (implicit: 30)"
"Number of Orders","Număr de Comenzi"
"Order","Comanda"
"Order History","Istoric comenzi"
"Order in the email sequence (1, 2, 3...)","Comandă în secvența de e-mail (1, 2, 3...)"
"Pending","In asteptare"
"Personal Information","Informaţii personale"
"Please save the segment first.","Vă rugăm să salvați mai întâi segmentul."
"Please select...","Te rog selectează..."
"Please select at least one website.","Vă rugăm să selectaţi cel puţin un website."
"Please select segment(s).","Vă rugăm să selectaţi segment(e)."
"Prefix for coupon codes","Prefix pentru codurile cuponului"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Prefix pentru coduri de cupon generate (de exemplu, CART, WELCOME)"
"Processing","Prelucrare"
"Product: %s","Produs: %s"
"Product Type","Tip Produs"
"Progress record already exists for this customer and sequence.","Înregistrarea de progres există deja pentru acest client și secvență."
"Purchase Date","Data achizitiei"
"Quantity in Cart","Cantitate in cos"
"Quantity Ordered","Cantitate comandată"
"Refresh Mode","Reîmprospătare mod"
"Refresh Segments","Reîmprospătare segmente"
"Row Total","Total Rând"
"Row Total (Inc. Tax)","Total Rând (TVA)"
"Sales rule does not exist.","Regula de vânzare nu există."
"Sales rule is not active.","Regula de vânzare nu este activă."
"Sales rule is required when coupon generation is enabled.","Regula de vânzare este necesară atunci când generarea cuponului este activată."
"Sales rule must be configured for specific coupon codes.","Regula de vânzare trebuie să fie configurată pentru anumite coduri de cupon."
"Sales rule must have auto-generation enabled.","Regula de vânzare trebuie să aibă activată generarea automată."
"Sales rule to base coupon on","Regula de vânzare pe baza cuponului"
"Sales rule to use as template for generated coupons","Regula de vânzare pentru a utiliza ca șablon pentru cupoanele generate"
"Save and Continue Edit","Salvează și continuă editarea"
"Save Email Sequences","Salvează secvenţele de e-mail"
"Save Segment","Salvează Segmentul"
"Save Segments","Salvează segmentele"
"Scheduled","Programat"
"Segment ID is required.","Este necesar ID-ul segmentului."
"Segment Information","Informaţii Segment"
"Segment Name","Nume Segment"
"Segment name is required.","Numele segmentului este necesar."
"Segment Refresh Cron Schedule","Programul Cron de reîmprospătare a segmentului"
"Selected sales rule is not active.","Regula de vânzări selectată nu este activă."
"Selected sales rule must be configured for ""Specific Coupon"" type.","Regula de vânzări selectate trebuie să fie configurată pentru tipul ""Cupon specific""."
"Selected sales rule must have ""Use Auto Generation"" enabled.","Regula de vânzări selectată trebuie să aibă activată ""Utilizare Generare automată""."
"Sent","Trimis"
"Sequence ID is required.","ID-ul secvenţei este necesar."
"Sequence not found.","Secvența nu a fost găsită."
"Sequence step %d: %s","Etapa sectiunii %d: %s"
"Sequence Step Settings","Setări Pas Secvență"
"Shopping Cart","Coș de cumpărături"
"Shopping Cart Information","Informatii cos cumparaturi"
"Simple Product","Produs simplu"
"Skipped","Sărit"
"Statistics","Statistici"
"Status Change Date","Data Schimbării Stării"
"Step","Pas"
"Step Number","Număr pas"
"Step number %d already exists for this segment %s trigger.","Numărul pas %d există deja pentru acest declanșator al segmentului %s."
"Step number must be greater than 0.","Numărul de pași trebuie să fie mai mare decât 0."
"Subject","Subiect"
"Subscription Status","Stare abonament"
"Template ID is required.","ID-ul șablonului este necesar."
"The email sequence has been deleted.","Secvența de e-mail a fost ștearsă."
"The email sequence has been saved.","Secvența de e-mail a fost salvată."
"The segment has been deleted.","Segmentul a fost șters."
"The segment has been refreshed.","Segmentul a fost reîmprospătat."
"The segment has been saved.","segmentul a fost salvat."
"This segment no longer exists.","Acest segment nu mai există."
"This sequence no longer exists.","Această secvență nu mai există."
"Total of %d record(s) were deleted.","Totalul de %d înregistrări au fost șterse."
"Total of %d record(s) were updated.","Totalul înregistrărilor %d au fost actualizate."
"Total Ordered Amount","Total sumă comandată"
"Trigger event must be either ""enter"" or ""exit"".","Evenimentul de declanșare trebuie să fie ""enter"" sau ""ieșire""."
"Unable to find a segment to refresh.","Imposibil de găsit un segment pentru reîmprospătare."
"Unknown Segment","Segment necunoscut"
"View","Vizualizare"
"View Count","Numărul de vizualizări"
"View Customers in Segment","Vezi Clienții în Segment"
"Viewed","Văzut"
"Viewed Products","Produse vizualizate"
"Virtual Product","Produs virtual"
"When customer enters segment","Când clientul intră în segment"
"When customer exits segment","Când clientul iese din segment"
"Wishlist","Listă dorințe"
"Wishlist Items Count","Numărul de articole dorite"
"Wishlist Shared","Favorite Partajate"
