"Action","Acţiune"
"Recipients","Destinatari"
"Reset","Resetați"
"Resume","Continuă"
"Return HTML Version","Inapoi la versiunea HTML"
"Save and Resume","Salvează și continuă"
"Save As","Salvare ca"
"Save Newsletter","Salvare buletin informativ"
"Save Template","Salvare șablon"
"Segment Name","Segment Name"
"Selected problems have been deleted.","Selected problems have been deleted."
"Selected problem subscribers have been unsubscribed.","Selected problem subscribers have been unsubscribed."
"Sender","Expeditor"
"Sender Email","Email expeditor"
"Sender Name","Nume expeditor"
"Sender name is required","Sender name is required"
"Sending","Se trimite"
"Sent","Trimis"
"Sequence Step Number","Sequence Step Number"
"Sign up for our newsletter","Sign up for our newsletter"
"Sign Up for Our Newsletter:","Inscrieți-vă la Buletinele noastre informative"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","începeți"
"Status","Statut"
"Store","Magazin"
"Store View","Vitrina magazin"
"Subject","Subiect"
"Submit","Trimiteți"
"Subscribe","Abonare"
"Subscribed","Abonat"
"Subscriber","abonat"
"Subscriber Email","Subscriber Email"
"Subscribers","Abonați"
"Subscribers From","Abonați de la"
"Subscription Options","Opțiuni abonare"
"Success Email Sender","Email de succes expeditor"
"Success Email Template","Email de succes șablon"
"Template code is required","Template code is required"
"Template Content","Conținut șablon"
"Template Information","Informații șablon"
"Template Name","Nume șablon"
"Template Styles","Stiluri șablon"
"Template Subject","Subiect șablon"
"Template Type","Tip șablon"
"Template type must be numeric","Template type must be numeric"
"Thank you for your subscription.","V-ați abonat cu succes! Vă mulțumim."
"The newsletter template has been deleted.","șablonul buletinului informativ a fost șters."
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"There was a problem with the un-subscription.","There was a problem with the un-subscription."
"The subscription has been removed.","The subscription has been removed."
"The subscription has been saved.","The subscription has been saved."
"This email address is already assigned to another user.","Această adresă de e-mail aparține unui alt utilizator."
"This email address is already confirmed.","This email address is already confirmed."
"This email address is already registered.","This email address is already registered."
"Type","Tip"
"Unconfirmed","Neconfirmat"
"Unsubscribe","Dezabonare"
"Unsubscribed","Dezabonat"
"Unsubscribe Link","Unsubscribe Link"
"Unsubscribe Selected","Dezabonare selectate"
"Unsubscription Email Sender","Email dezabonare expeditor"
"Unsubscription Email Template","șablon Email de dezabonare"
"View Newsletter","Vizualizare Buletin informativ"
"Website","Website"
"You are currently subscribed to our newsletter.","You are currently subscribed to our newsletter."
"You have been unsubscribed.","You have been unsubscribed."
"Your subscription has been confirmed.","Abonarea dumneavoastră a fost confirmată."
