"-- Please Select --","-- Vă rugăm selectaţi --"
"Order History","Istoricul comenzilor"
"Other Amount","Other Amount"
"Personal Message","Personal Message"
"Please enter a gift card code.","Please enter a gift card code."
"Please select a valid gift card amount","Please select a valid gift card amount"
"Please select gift card(s).","Please select gift card(s)."
"Price varies","Price varies"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","Recipient Email"
"Recipient Name","Recipient Name"
"Refund Expiration Extension (days)","Refund Expiration Extension (days)"
"Refund to Gift Card","Refund to Gift Card"
"Remove","Ștergeți"
"Save And Continue Edit","Save And Continue Edit"
"Save Gift Card","Save Gift Card"
"Schedule Delivery","Schedule Delivery"
"Select Amount","Select Amount"
"Send Email","Trimite email"
"Send gift card email to %s?","Send gift card email to %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","Statut"
"The gift card has been deleted.","The gift card has been deleted."
"The gift card has been saved.","The gift card has been saved."
"This gift card no longer exists.","This gift card no longer exists."
"This is a required field.","Acesta este un câmp obligatoriu."
"To","Până la"
"Too many attempts. Please wait a moment and try again.","Too many attempts. Please wait a moment and try again."
"Total: %s","Total: %s"
"Unable to check balance.","Unable to check balance."
"Unable to find a gift card to delete.","Unable to find a gift card to delete."
"Unknown","Necunoscut"
"Updated At","Actualizat la"
"Used","Used"
"Use Default (%s)","Use Default (%s)"
"View","Vizualizare"
"Website","Website"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored)."
"Your Email","Your Email"
"Your Name","Your Name"
