"""Remember Me"" Default Value","Valoarea implicită ""Ține-mă minte"""
"Cancel","Anulează"
"Cannot save address.","Nu se poate salva adresa."
"Cannot save a new password.","Nu se poate salva o parolă nouă."
"Cannot save the customer.","Clientul nu poate fi salvat."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Nu se pot partaja conturi de client la nivel global deoarece unele conturi de client cu aceleași e-mailuri există pe mai multe site-uri web și nu pot fi fuzionate."
"Change Account Data","Schimbă datele contului"
"Change Billing Address","Schimbă adresa de facturare"
"Changed Email or Password Email Template","Șablon e-mail sau parolă schimbate"
"Changed Password or Email","Parolă modificată sau e-mail"
"Change Password","Schimbare parolă"
"Change Shipping Address","Schimbă Adresa de Livrare"
"City","Oraș"
"Close","Inchide"
"Company","Companie"
"Configure","Configurare"
"Confirmation Link Email","E-mail link de confirmare"
"Confirmed","Confirmare"
"Confirm New Password","Confirmare parolă nouă"
"Confirm Password","Confirmare parolă"
"Contact Information","Informaţii de contact"
"Continue","Continuă"
"Continue Shopping","Continuă cumpărăturile"
"Controls whether password is required during registration when Magic Link is enabled.","Controlează dacă parola este necesară în timpul înregistrării atunci când Link-ul Magic este activat."
"Country","Țară"
"Country is required.","Țara este obligatorie."
"Create","Crează"
"Create an account","Creează un cont"
"Create customer","Creare client"
"Create customer address","Creare adresă client"
"Create New Account Options","Crează opțiuni de cont nou"
"Create New Customer Account","Creează un Cont Client Nou"
"Create Order","Creare comandă"
"CSV","CSV"
"Current Admin Password","Parola curentă de administrare"
"Current Password","Parola curentă"
"Customer","Client"
"Customer Account Edit Form","Formular editare Cont Client"
"Customer Account Login Form","Formular de autentificare cont client"
"Customer Account Logout Success","Deconectare cont client cu succes"
"Customer Account Registration Form","Formular de înregistrare cont client"
"Customer accounts cannot be disabled because guest checkout is not allowed. Please enable guest checkout first.","Conturile clientilor nu pot fi dezactivate deoarece comanda pentru oaspete nu este permisa. Te rugam sa activezi comanda oaspetilor intai."
"Customer Account Two-Factor Authentication","Autentificare cu doi factori de cont client"
"Customer Account Two-Factor Authentication Challenge","Provocarea de autentificare în doi pași a contului clientului"
"Customer API","API Client"
"Customer collection expected.","Se așteaptă colectarea clienților."
"Customer Configuration","Configurare client"
"Customer email is required","E-mailul clientului este necesar"
"Customer Forgot Password Form","Formular parolă uitată de client"
"Customer Group","Grup Clienți"
"Customer Groups","Grupuri de clienți"
"Customer Information","Informații client"
"Customer Login","Autentificare client"
"Customer My Account (All Pages)","Contul meu client (toate paginile)"
"Customer My Account Address Book","Agenda contului meu client"
"Customer My Account Address Edit Form","Formular editare adresa contului meu client"
"Customer My Account Dashboard","Panou de bord al contului meu client"
"Customer registration","Înregistrare client"
"Customers","Clienți"
"Customer Since","Client din"
"Customers Only","Doar pentru clienți"
"Customer View","Vizualizare client"
"Customer website ID must be specified when using the website scope","ID-ul website-ului clientului trebuie specificat când se utilizează site-ul web"
"Customer will stay on the current page if ""No"" is selected.","Clientul va rămâne pe pagina curentă dacă este selectat ""Nu""."
"Date","Data"
"Date Added","Data Adăugării"
"Date of Birth","Data nașterii"
"Day","Zi"
"Days in Wishlist","Zile în Favorite"
"DD","DD"
"Default Addresses","Adrese implicite"
"Default Billing Address","Adresa implicită de facturare"
"Default Email Domain","Domeniu Email implicit"
"Default Group","Grup implicit"
"Default Shipping Address","Adresa de livrare implicită"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valoare implicită pentru dezactivarea modificărilor grupului automat bazate pe ID TVA"
"Default Welcome Email","Email implicit de Bun Venit"
"Delete","Ștergere"
"Delete Address","Șterge adresa"
"Delete Customer","Ștergere client"
"Delete customer","Sterge client"
"Delete customer address","Ștergeți adresa clientului"
"Delete Customer Group","Șterge Grupul de Clienți"
"Deleted Stores","Magazine șterse"
"Details","Detalii"
"Disable 2FA","Dezactivează 2FA"
"Disabled","Dezactivat"
"Edit","Editare"
"Edit Account Info","Editați informațiile contului"
"Edit Account Information","Editează informațiile contului"
"Edit Address","Editează adresa"
"Edit Customer's Address","Editează adresa clientului"
"Edit Customer Group ""%s""","Editează Grupul de Clienți ""%s"""
"Edit Customer Groups","Editează Grupuri de Clienți"
"Edit Group","Editează grup"
"Email","E-mail"
"Email:","Email:"
"Email Address","Adresa Email"
"Email Link to Set Password","Link către Setarea Parolei"
"Email Link to Set Password on New Account","Link către Setarea Parolei pe Contul Nou"
"Email Link to Set Password Options","Link către Setarea Parolei"
"Email Sender","Expeditor e-mail"
"Email Template","Şablon e-mail"
"Enable ""Remember Me""","Activează ""Ține-mă minte"""
"Enable 2FA","Activează 2FA"
"Enable Automatic Assignment to Customer Group","Activați Asignarea automată la Grupul de Clienți"
"Enable Customer Accounts in Frontend","Activează Conturile Clienților în Frontend"
"Enable Magic Link Login","Activează Autentificarea cu Linkuri Magice"
"Enable Real-time VAT Validation","Activează validarea TVA în timp real"
"Enable Two-Factor Authentication","Activează autentificarea în doi pași"
"Enter the 6-digit code from your authenticator app to finish signing in.","Introduceți codul de 6 cifre din aplicația de autentificare pentru a finaliza conectarea."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Nu s-a putut confirma contul de client."
"First Name","Prenume"
"Force all customers to set up two-factor authentication before they can use their account.","Forțează toți clienții să configureze autentificarea cu doi factori înainte de a-și putea utiliza contul."
"Forgot and Remind Email Sender","Uitat şi Reamintire Expeditor Email"
"Forgot Email Template","Şablon e-mail uitat"
"Forgot Password","Am uitat parola"
"Forgot password","Am uitat parola"
"Forgot password flow secure","Am uitat fluxul parolei securizat"
"Forgot password requests to times per 24 hours from 1 e-mail","Aţi uitat solicitările de parolă la 24 de ore de la 1 e-mail"
"Forgot password requests to times per hour from 1 IP","Aţi uitat cererile de parolă de la 1 IP la ora"
"Forgot Your Password","Ați uitat parola"
"Forgot Your Password?","Ți-ai uitat parola?"
"Form Fields Before","Câmpuri formular înainte de"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Din tabloul de bord al contului meu aveți posibilitatea de a vedea un instantaneu al activității dvs. recente și de a actualiza informațiile contului dvs. Selectaţi un link de mai jos pentru a vizualiza sau edita informaţii."
"Gender","Sex"
"Gender is required.","Sexul este necesar."
"Generate Human-Friendly Customer ID","Generează ID Client Uman"
"Global","Global"
"Group","Grup"
"Group for Invalid VAT ID","Grup pentru ID TVA nevalid"
"Group for Valid VAT ID - Domestic","Grup pentru ID TVA Valid - național"
"Group for Valid VAT ID - Intra-Union","Grup pentru ID TVA valid - Intra-Union"
"Group Information","Informații grup"
"Group Name","Nume grup"
"Guest","Vizitator"
"Hello, %s!","Salut, %s!"
"How long the magic link remains valid. Default: 10 minutes.","Cât timp rămâne valabil link-ul magic. Implicit: 10 minute."
"How long to cache VIES validation results. Set to 0 to disable caching.","Cât timp se păstrează rezultatele validării VIES. Setează la 0 pentru a dezactiva caching."
"HTML","HTML"
"ID","ID"
"If there is an account associated with %s you will receive an email with a login link.","Dacă există un cont asociat cu %s veți primi un e-mail cu un link de autentificare."
"If VIES service is down, accept VAT numbers that pass format validation.","Dacă serviciul VIES este în jos, acceptă numere de TVA care trec prin formatul de validare."
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation"
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation","Dacă ești un client înregistrat cu TVA, te rugăm să apeși <a href=""%s"">aici</a> pentru a introduce adresa de livrare pentru calculul corect al TVA"
"If you believe this is an error, please contact us at %s","Dacă crezi că aceasta este o eroare, te rugăm să ne contactezi la %s"
"Invalid 2FA verification code","Cod de verificare 2FA nevalid"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opțiune de atribut nevalidă specificată pentru atributul %s (%s), sărind peste înregistrare."
"Invalid attribute set specified, skipping the record.","Set de atribut nevalid specificat, sărind peste înregistrare."
"Invalid billing address for (%s)","Adresa de facturare invalidă pentru (%s)"
"Invalid current password","Parolă curentă nevalidă"
"Invalid customer data","Date client nevalide"
"Invalid email address ""%s"".","Adresă de e-mail nevalidă ""%s""."
"Invalid email address.","Adresă de e-mail invalidă."
"Invalid form key. Please refresh the page.","Cheie formular invalidă. Vă rugăm să reîncărcaţi pagina."
"Invalid login link.","Link de conectare invalid."
"Invalid login or password.","Nume de utilizator sau parolă incorecte."
"Invalid or expired login link.","Link de autentificare invalid sau expirat."
"Invalid password reset customer Id.","ID client resetare parolă nevalid."
"Invalid password reset token.","Token de resetare parolă nevalid."
"Invalid request method.","Metodă de solicitare nevalidă."
"Invalid shipping address for (%s)","Adresă de livrare nevalidă pentru (%s)"
"Invalid store specified, skipping the record.","Magazin specificat nevalid, se omite înregistrarea."
"Invalid VAT number format for %s.","Format nevalid de TVA pentru %s."
"Invalid website, skipping the record, line: %s","Site web nevalid, care omite înregistrarea, linia: %s"
"IP Address","Adresă IP"
"Last Activity","Ultima activitate"
"Last Date Subscribed","Ultima dată abonată"
"Last Date Unsubscribed","Ultima dată dezabonat"
"Last Name","Nume de familie"
"Last URL","Ultimul URL"
"Leave empty for default (2). Valid range: 1-4","Lăsați gol pentru valorile implicite (2). Interval valide: 1-4"
"Leave empty for default (15 minutes).","Lăsați gol pentru implicit (15 minute)."
"Let customers enable TOTP-based two-factor authentication on their account.","Permiteți clienților să activeze autentificarea cu doi factori bazată pe TOTP în contul lor."
"Lifetime Sales","Vânzări pe viață"
"Log In","Autentificare"
"Login","Autentificare"
"Login and password are required.","Sunt necesare autentificarea și parola."
"Login Form","Formular de autentificare"
"Login Information","Informații autentificare"
"Login Options","Opțiuni de conectare"
"Login with Magic Link","Autentificare cu link Magic"
"Logout","Deconectare"
"Log Out","Ieșire din cont"
"Magic Link Email Sender","Expeditor Email Link-ul Magic"
"Magic Link Email Template","Șablon e-mail link magic"
"Magic Link Login","Autentificare cu Link Magic"
"Magic Link Rate Limit - Email (requests per hour)","Limita Rată de Link Magic - E-mail (cereri pe oră)"
"Magic Link Rate Limit - IP (requests per hour)","Limita ratei link-urilor magice - IP (cereri pe oră)"
"Magic Link Registration Password Requirement","Cerințe pentru înregistrarea linkurilor magice parolă"
"Magic Link Token Expiration (minutes)","Expirarea Tokenului pentru Link-ul Magic (minute)"
"Manage Addresses","Gestionare adrese"
"Manage Customers","Gestionează Clienții"
"Maximum length must be less then %s symbols","Lungimea maximă trebuie să fie mai mică decât simbolurile %s"
"Maximum magic link requests per email address per hour. Default: 3.","Numărul maxim de adrese magice per adresă de e-mail pe oră. Implicit: 3."
"Maximum magic link requests per IP address per hour. Default: 10.","Numărul maxim de solicitări de link-uri magice per adresă IP pe oră. Implicit: 10."
"Middle Name","Al doilea prenume"
"Minimum admin password length","Lungimea minimă a parolei administratorului"
"Minimum password length","Lungime minimă parolă"
"Missing email, skipping the record, line: %s","Lipsește adresa de e-mail, omite înregistrarea, linia: %s"
"Missing email, skipping the record.","Lipsește adresa de e-mail, se omite înregistrarea."
"Missing first name, skipping the record, line: %s","Lipsește prenumele, omite înregistrarea, linia: %s"
"Missing firstname, skipping the record.","Lipseste prenumele, sarind peste inregistrare."
"Missing last name, skipping the record, line: %s","Lipsește numele de familie, omite înregistrarea, linia: %s"
"Missing lastname, skipping the record.","Lipseste numele, se omite inregistrarea."
"Missing website, skipping the record, line: %s","Lipsește site-ul web, sărind peste înregistrare, linie: %s"
"MM","ML"
"Month","Lună"
"My Account","Contul Meu"
"My Account Wrapper","Wrapper-ul contului meu"
"My Dashboard","Tabloul meu"
"My Orders","Comenzile mele"
"n/a","n/a"
"Name","Nume"
"Name and Address Options","Opțiuni nume și adresă"
"Never","Niciodată"
"New account","Cont nou"
"New account confirmation key","Cheie de confirmare cont nou"
"New account confirmed","Cont nou confirmat"
"New Account Email Template","Șablon e-mail cont nou"
"New Address","Adresă nouă"
"New Customer","Client nou"
"New Customer Address","Adresă client nouă"
"New Customer Group","Grup de Clienți Nou"
"New Customer Groups","Grupuri noi de clienți"
"New Customers","Clienți noi"
"New Group","Grup nou"
"New Password","Parolă nouă"
"New password field cannot be empty.","Câmpul pentru parola nouă nu poate fi gol."
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Terminat"
"Newsletter Information","Informatii Newsletter"
"Newsletter Received","Buletin informativ primit"
"Newsletter Start","Pornire buletin informativ"
"Newsletter Subscription","Abonare la newsletter"
"No customer collections found","Nu s-au găsit colecții de clienți"
"No Items Found","Niciun element găsit"
"No item specified.","Niciun element specificat."
"No Newsletter Found","Nici un newsletter gasit"
"No Password (Full Passwordless)","Nici o parolă (complet parolă)"
"Not confirmed, can login","Nu s-a confirmat, vă puteți autentifica"
"Not confirmed, cannot login","Nu este confirmat, nu se poate conecta"
"Not Sent","Nu a fost trimis"
"Number of Lines in a Street Address ","Numărul de linii într-o adresă de stradă "
"Offline","Offline"
"Online","Online"
"Online Customers","Clienți online"
"Online Customers Options","Opțiuni Clienți Online"
"Online Minutes Interval","Interval de minute online"
"or","sau"
"Order #","Comanda #"
"Orders","Comenzi"
"Order Total","Total Comandă"
"Password","Parolă"
"Password:","Parola:"
"Password forgotten","Parolă uitată"
"Password Management","Gestionare parole"
"Password Options","Opțiuni parolă"
"Paused","Pauză"
"PDF","PDF"
"Pending","In asteptare"
"Per email address. Default 3 per hour. 0 to disable.","Pentru fiecare adresă de e-mail. Implicit 3 pe oră. 0 pentru dezactivare."
"Per IP address (token brute-force guard). Default 10 per hour. 0 to disable.","Pe adresă IP (pază token brut). Implicit 10 pe oră. 0 pentru dezactivare."
"Per IP address. Default 10 per hour. 0 to disable.","Per adresă IP. Implicit 10 pe oră. 0 pentru dezactivare."
"Personal Information","Informaţii personale"
"Per Website","Pe site"
"Please, check your email for confirmation key.","Vă rugăm să verificați adresa de e-mail pentru cheia de confirmare."
"Please enter a number 1 or greater in this field.","Vă rugăm să introduceţi un număr 1 sau mai mare în acest câmp. (Automatic Translation)"
"Please enter a number 7 or greater in this field.","Vă rugăm să introduceţi un număr 7 sau mai mare în acest câmp. (Automatic Translation)"
"Please enter a password with at most %s characters.","Introduceți o parolă cu cel mult %s caractere."
"Please enter a valid date between %s and %s at %s.","Te rog introdu o data valida intre %s si %s la %s."
"Please enter a valid date equal to or greater than %s at %s.","Te rugăm să introduci o dată validă egală sau mai mare decât %s la %s."
"Please enter a valid date less than or equal to %s at %s.","Introduceți o dată validă mai mică sau egală cu %s la %s."
"Please enter the city.","Te rog introdu orasul."
"Please enter the country.","Vă rugăm să introduceţi ţara."
"Please enter the first name.","Vă rugăm să introduceţi prenumele."
"Please enter the last name.","Vă rugăm să introduceţi numele de familie."
"Please enter the state/province.","Te rugăm să introduci statul/provincia."
"Please enter the street.","Te rog introdu strada."
"Please enter the telephone number.","Vă rugăm să introduceţi numărul de telefon."
"Please enter the zip/postal code.","Vă rugăm să introduceți codul poștal."
"Please enter your email.","Te rugăm să introduci adresa de e-mail."
"Please enter your email below and we'll send you confirmation link for it.","Te rugăm să introduci e-mailul tău mai jos și îți vom trimite link-ul de confirmare pentru acesta."
"Please make sure your passwords match.","Asigură-te că parolele tale se potrivesc."
"Please select","Vă rugăm selectaţi"
"Please select a website which contains store view","Vă rugăm să selectaţi un site web care conţine vizualizare magazin"
"Please select region, state or province","Vă rugăm să selectaţi regiune, stat sau provincie"
"Prefix Dropdown Options","Opțiuni de prefix dropdown"
"Price","Preț"
"Product","Produs"
"Product ID","ID produs"
"Product Name","Nume produs"
"Product Reviews","Recenzii produs"
"Product Tags","Etichete produs"
"Provided address does not belong to the logged in customer.","Adresa furnizată nu aparține clientului logat."
"Purchased On","Achiziționat pe"
"Purchase On","Achiziție pe"
"Qty","Cantitate"
"Recent Orders","Comenzi recente"
"Records for %s store found.","Înregistrări găsite pentru magazinul %s."
"Recovery Link Expiration Period (hours)","Perioada de expirare a legăturii de recuperare (ore)"
"Redirect Customer to Account Dashboard after Logging in","Redirectioneaza clientul catre tabloul de bord al contului dupa autentificare"
"Refunded","Rambursat"
"Register","Inregistrare"
"Registration Form","Formular de înregistrare"
"Registration successful, but we could not send the login link. Please use the login page.","Înregistrarea a reușit, dar nu am putut trimite link-ul de autentificare. Vă rugăm să folosiți pagina de autentificare."
"Remember Me","Ține-mă minte"
"Remind Email Template","Reamintire șablon e-mail"
"Remind Password","Reamintire parolă"
"Remove","Elimină"
"Remove address","Elimină adresa"
"Require admin user to change user password","Solicitați utilizatorului de administrare să schimbe parola utilizatorului"
"Require Emails Confirmation","Solicită confirmarea e-mailurilor"
"Require Password (Default)","Solicită parolă (implicit)"
"Require Two-Factor Authentication","Necesită autentificarea în doi pași"
"Reset a Password","Resetează o parolă"
"Reset password","Resetare parolă"
"Retrieve address data","Preluare date adresă"
"Retrieve address info","Preluare informații adresă"
"Retrieve customer addresses","Preia adresele clientului"
"Retrieve customer data","Preluare date client"
"Retrieve customer groups","Recuperează grupuri de clienți"
"Retrieve customer info","Preluare informații client"
"Retrieve customers","Recuperează clienți"
"Retrieve your confirmation link here","Recuperează link-ul de confirmare aici"
"Retrieve your password","Recuperează parola"
"Sales Statistics","Statistici Vânzări"
"Save","Salvează"
"Save Address","Salvează adresa"
"Save and Continue Edit","Salvează și continuă editarea"
"Save Customer","Salvare client"
"Save Customer Group","Salvează Grupul de Clienți"
"Saved %d record(s)","Înregistrări salvate %d"
"Save in address book","Salvare în agendă"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.), then enter the 6-digit code below to enable two-factor authentication.","Scanați acest cod QR cu aplicația de autentificare (Google Authenticator, Authy, etc.), apoi introduceți codul de 6 cifre de mai jos pentru a activa autentificarea cu doi factori."
"Semicolon (;) separated values.<br>Put semicolon in the beginning for empty first option.<br>Leave empty for open text field.","Punct și virgulă (;) separă valorile.<br>Pune punct și punct semicolon la început pentru prima opțiune golă.<br>Lăsați gol pentru câmpul de text deschis."
"Send confirmation link","Trimite link-ul de confirmare"
"Send From","Trimite de la"
"Sending","Trimitere"
"Send Welcome Email","Trimite Email de Bun Venit"
"Send Welcome Email after Confirmation","Trimite Email de Bine ai venit după confirmare"
"Sent","Trimis"
"Session Start Time","Ora începerii sesiunii"
"Set as Default Billing Address","Setează ca adresă implicită de facturare"
"Set as Default Shipping Address","Setează ca Adresa de Livrare Implicită"
"Share Customer Accounts","Partajare conturi client"
"Shipped to Name","Expediat la Nume"
"Shopping Cart","Coș de cumpărături"
"Shopping Cart - %d item(s)","Coș de cumpărături - %d element(e)"
"Shopping Cart of %1$s - %2$d item(s)","Coșul de cumpărături de %1$s - %2$d articol(e)"
"Show Date of Birth","Arată data nașterii"
"Show Gender","Arată sexul"
"Show Middle Name (initial)","Arată numele mijlociu (inițial)"
"Show Prefix","Arată prefixul"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Afișare TVA/număr TVA"
"Show VAT Number on Frontend","Arată numărul TVA pe frontend"
"Sign In","Conectare în cont"
"Sign Up for Newsletter","Înscrie-te pentru newsletter"
"Skipping import row, required field ""%s"" is not defined.","Omiterea rândului de import, câmpul obligatoriu ""%s"" nu este definit."
"Skipping import row, website ""%s"" field does not exist.","Sărind peste rândul de import, site-ul "" câmpul%s"" nu există."
"SKU","SKU"
"State/Province","Stat/provincie"
"Status","Status"
"Store","Magazin"
"Store View","Vedere magazin"
"Street Address","Adresa stradala"
"Street Address %s","Adresa %s"
"Subject","Subiect"
"Submit","Trimiteți"
"Subscribed to Newsletter?","Abonat la Newsletter?"
"Subscribe to Newsletter","Aboneaza-te la Newsletter"
"Suffix Dropdown Options","Optiuni dropdown sufixul"
"Tag Name","Nume etichetă"
"Tax/VAT number","Număr TVA/TVA"
"Tax Calculation Based On","Calculul taxei bazat pe"
"Tax Class","Clasa de taxe"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Text O linie"
"Thank you for registering! We have sent you an email with a login link to %s.","Vă mulțumim pentru înregistrare! V-am trimis un e-mail cu un link de conectare la %s."
"Thank you for registering with %s.","Vă mulțumim pentru înregistrarea la %s."
"The account information has been saved.","Informațiile contului au fost salvate."
"The address does not belong to this customer.","Adresa nu aparține acestui client."
"The address has been deleted.","Adresa a fost ștearsă."
"The address has been saved.","Adresa a fost salvată."
"The customer does not have default billing address.","Clientul nu are adresa de facturare implicită."
"The customer email (%s) already exists, skipping the record, line: %s","E-mailul clientului (%s) există deja, sărind peste înregistrare, linie: %s"
"The customer group has been deleted.","Grupul de clienti a fost sters."
"The customer group has been saved.","Grupul de clienti a fost salvat."
"The customer ID and email did not match, skipping the record, line: %s","ID-ul clientului si adresa de e-mail nu se potrivesc, sarind peste inregistrare, linie: %s"
"The customer is currently assigned to Customer Group %s.","Clientul este asociat la Grupul de Clienți %s."
"The Date of Birth is required.","Data nașterii este necesară."
"The first name cannot be empty.","Prenumele nu poate fi gol."
"The group ""%s"" cannot be deleted","Grupul ""%s"" nu poate fi șters"
"The last name cannot be empty.","Numele nu poate fi gol."
"The minimum password length is %s","Lungimea minimă a parolei este %s"
"The password cannot be empty.","Parola nu poate fi goală."
"The password must have at least %d characters. Leading or trailing spaces will be ignored.","Parola trebuie să conțină cel puțin %d caractere. Spațiile de plumb sau de navigare vor fi ignorate."
"There are no items in customer's shopping cart at the moment","Nu sunt produse in cosul de cumparaturi al clientului in acest moment"
"There are no items in customer's wishlist at the moment","Nu există articole în lista de dorințe a clientului în acest moment"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Există deja un cont cu această adresă de e-mail. Dacă ești sigur că este adresa ta de e-mail, <a href=""%s"">apasă aici</a> pentru a-ți obține parola și a accesa contul."
"There was an error validating the VAT ID.","A apărut o eroare la validarea ID-ului TVA."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","A apărut o eroare la validarea ID-ului de TVA. Clientul aparține Grupului de Clienți %s."
"The suffix that goes after name (Jr., Sr., etc.)","Sufixul care apare după nume (Jr., Sr., etc.)"
"The TAX/VAT number is required.","Este necesar numărul de TAX/TVA."
"The title that goes before name (Mr., Mrs., etc.)","Titlul care merge înainte de nume (Mr., domnule, etc.)"
"The VAT ID entered (%s) is not a valid VAT ID.","ID-ul TVA introdus (%s) nu este un ID de TVA valid."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","ID-ul de TVA introdus (%s) nu este un ID de TVA valid. Clientul va aparține Grupului de Clienți %s."
"The VAT ID is valid. The current Customer Group will be used.","ID-ul TVA este valid. Grupul curent de Clienți va fi folosit."
"This account is not active.","Acest cont nu este activ."
"This account is not confirmed.","Acest cont nu este confirmat."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Acest cont nu este confirmat. <a href=""%s"">Click aici</a> pentru a retrimite e-mailul de confirmare."
"This customer email already exists","Acest e-mail de client există deja"
"This customer has no saved addresses.","Acest client nu are adrese salvate."
"This email does not require confirmation.","Acest e-mail nu necesită confirmare."
"This email is sent on checkbox <em>Email Link to Set Password</em> is checked on the customer page in backend.","Acest e-mail este trimis în caseta de selectare <em>Link către Setarea Parolei</em> este verificat în pagina de client în backend."
"This email will be sent instead of default welcome email, after account confirmation.","Acest e-mail va fi trimis în locul e-mailului de bun venit implicit, după confirmarea contului."
"This email with a link to set password is sent on new account creation in backend.","Acest e-mail cu un link pentru a seta parola este trimis la crearea contului nou in backend."
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Pentru a afișa numărul de TVA pe frontend, setați Arată numărul de TVA pe opțiunea de tip frontend Da."
"Total","Total"
"Two-Factor Authentication","Autentificare în doi pași"
"Two-factor authentication has been disabled.","Autentificarea cu doi factori a fost dezactivată."
"Two-factor authentication has been enabled.","Autentificarea în doi factori a fost activată."
"Two-factor authentication is currently <strong>enabled</strong> on your account.","Autentificarea cu doi factori este momentan <strong>activată</strong> în contul dvs."
"Two-factor authentication is required. Please set it up to continue.","Este necesară autentificarea cu doi factori. Vă rugăm configurați-o pentru a continua."
"Two-factor authentication is required and cannot be disabled.","Autentificarea doi factori este necesară și nu poate fi dezactivată."
"Two-factor authentication is required by the store. Please set it up to continue using your account.","Autentificarea în doi pași este necesară pentru magazin. Te rugăm să o setezi pentru a continua să folosești contul tău."
"Two-factor authentication is required by the store and cannot be disabled.","Autentificarea în doi pași este necesară în magazin și nu poate fi dezactivată."
"Type","Tip"
"Unable to validate VAT number. Please try again later.","Imposibil de validat numărul de TVA. Te rugăm să încerci din nou mai târziu."
"Unknown","Necunoscut"
"Unsubscribe from Newsletter","Dezabonare de la Newsletter"
"Update","Actualizare"
"Update customer address data","Actualizare date adresă client"
"Update customer data","Actualizare date client"
"Use as My Default Billing Address","Foloseste ca adresa mea de facturare implicita"
"Use as my default billing address","Utilizați ca adresă de facturare implicită"
