"Action","Acțiune"
"Please create the specified folder ""%s"" inside your public directory before saving the sitemap.","Vă rugăm să creați folderul specificat ""%s"" în folderul public înainte de a salva harta site-ului."
"Please define correct path","Definiți calea corectă"
"Please enter a sitemap name with at most %s characters.","Te rugam sa introduci un nume pentru sitemap cu cel mult %s caractere."
"Please make sure that ""%s"" inside your public directory is writable by web-server.","Te rugăm să te asiguri că ""%s"" în interiorul directorului public poate fi scris de serverul web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Te rugăm să folosești doar litere (a-z sau A-Z), numere (0-9) sau underscore (_) în numele fișierului. Nu sunt permise spații sau alte caractere."
"Priority","Prioritate"
"Products Options","Opţiuni Produse"
"Reference: index, excerpt and link back","Referinţă: indice, extras şi link înapoi"
"Restore recommended rules","Restabilește regulile recomandate"
"robots.txt","robots.txt"
"robots.txt is served per domain, not per store view. When several store views share one domain, the store view that the bare domain resolves to is the one that answers.","robots.txt este servit per domeniu, nu per vizualizare magazin. Când mai multe vizualizări ale magazinelor partajează un domeniu, magazinul vizualizează că domeniul bare rezolvă este cel care răspunde."
"Rules only, one per line, without User-agent lines. They are written into the wildcard group and repeated inside every named group, because RFC 9309 gives a named group no access to the wildcard rules. Rules that name the admin path are dropped, so the path stays private.","Numai reguli, câte unul pe linie, fără linii de agent utilizator. Sunt scrise în grupul cu metacaractere și repetate în interiorul fiecărui grup numit, pentru că RFC 9309 oferă unui grup numit acces la regulile metacaracterului. Regulile care numesc calea de administrare sunt eliminate, astfel încât calea rămâne privată."
"Show lastmod","Show lastmod"
"Shown to AI agents as the store summary. Leave empty to use the default meta description.","Afișat la agenții AI ca sumarul magazinului. Lăsați gol pentru a utiliza meta implicită."
"Sitemap","Sitemap"
"Sitemap generate Warnings","Harta site-ului generează avertismente"
"Split sitemap files when they exceed this number of URLs","Împarte fişierele sitemap atunci când depăşesc acest număr de URL-uri"
"Start Time","Ora de începere"
"Store Description","Descrierea Magazinului"
"Store View","Vedere magazin"
"The file %s exists and is served by the web server, so these settings have no effect on it. Delete it to use the settings below.","Fișierul %s există și este servit de serverul web, astfel încât aceste setări nu au niciun efect asupra lui. Ștergeți pentru a utiliza setările de mai jos."
"The priority must be between 0 and 1.","Prioritatea trebuie să fie între 0 şi 1."
"The sitemap ""%s"" has been generated.","Harta sitemap ""%sa fost generata."
"The sitemap has been deleted.","Harta sitemap a fost ștearsă."
"The sitemap has been saved.","Harta sitemap a fost salvată."
"This sitemap no longer exists.","Acest sitemap nu mai există."
"Training crawlers","Crapere de antrenament"
"Training opt-out tokens (not crawlers)","Antrenament tokeni opt-out (neleganți)"
"Training or fine-tuning AI models on the pages. Reserved by default: it is the one use that gives the store nothing back.","Antrenament sau modele AI ajustate pe pagini. Rezervat în mod implicit: este singura utilizare care oferă magazinului nimic înapoi."
"Unable to find a sitemap to delete.","Nu s-a putut gasi harta sitemap-ului pentru stergere."
"Unable to find a sitemap to generate.","Nu s-a putut gasi harta sitemap-ului pentru a genera."
"Unable to generate the sitemap.","Imposibil de generat harta site-ului."
"User-triggered fetchers","Factor declanșat de utilizator"
"Valid values range: from 0.0 to 1.0.","Valorile valide variază: de la 0.0 la 1.0."
"Weekly","Săptămânal"
"When off, /llms.txt answers 404.","Atunci când este oprit, /lms.txt răspunde la 404."
"When off, /robots.txt answers 404, which tells crawlers that no policy applies.","Când e oprit, /robots.txt răspunde la 404, ceea ce spune tâmplarilor că nicio politică nu se aplică."
"Yearly","Anual"
"Yes, allowed","Da, permis"
