"%d product(s) were updated","%d produs(e) au fost actualizate"
"%s (Default Template from Locale)","%s (Șablon defect de la Local)"
"%s cache type(s) disabled.","Tip(uri) de cache %s dezactivate."
"%s cache type(s) enabled.","Tip(uri) de cache %s activate."
"%s cache type(s) refreshed.","Tip(uri) de cache %s reîmprospătate."
"An error occurred while deleting this set.","A aparut o eroare la stergerea acestui set."
"An error occurred while deleting this template.","A apărut o eroare la ștergerea acestui șablon."
"An error occurred while deleting URL Rewrite.","A aparut o eroare la stergerea rescrierii URL-ului."
"An error occurred while finishing process. Please refresh the cache","A apărut o eroare la finalizarea procesului. Vă rugăm să reîmprospătați cache-ul"
"An error occurred while logging in.","A aparut o eroare la autentificare."
"An error occurred while rebuilding the catalog index.","A aparut o eroare la reconstruirea indexului catalogului."
"An error occurred while rebuilding the CatalogInventory Stock Status.","A aparut o eroare la reconstruirea Statului de inventar al Catalogului."
"An error occurred while rebuilding the flat catalog category.","A aparut o eroare la reconstruirea categoriei de catalog."
"An error occurred while rebuilding the flat product catalog.","A aparut o eroare la reconstruirea catalogului de produse plane."
"An error occurred while rebuilding the search index.","A aparut o eroare la reconstruirea indexului cautarii."
"An error occurred while refreshing roles.","A aparut o eroare la actualizarea rolurilor."
"An error occurred while refreshing the Catalog Rewrites.","A aparut o eroare la reimprospatarea catalogului Rescrie."
"An error occurred while refreshing the catalog rewrites.","A aparut o eroare la actualizarea catalogului rescrie."
"An error occurred while refreshing the Layered Navigation indices.","A aparut o eroare la actualizarea indicilor de navigare in straturi."
"An error occurred while refreshing the layered navigation indices.","A aparut o eroare la actualizarea indicilor de navigare in straturi."
"An error occurred while saving account.","A aparut o eroare la salvarea contului."
"An error occurred while saving review.","A apărut o eroare la salvarea recenziei."
"An error occurred while saving the customer.","A aparut o eroare la salvarea clientului."
"An error occurred while saving this configuration:","A aparut o eroare la salvarea acestei configuratii:"
"An error occurred while saving this role.","A aparut o eroare la salvarea acestui rol."
"An error occurred while saving this template.","A apărut o eroare la salvarea acestui șablon."
"An error occurred while saving URL Rewrite.","A aparut o eroare la salvarea rescrierii URL-ului."
"An error occurred while sending the test email.","A aparut o eroare la trimiterea email-ului de testare."
"An error occurred while updating the email address.","A aparut o eroare la actualizarea adresei de email."
"An error occurred while updating the selected review(s).","A aparut o eroare la actualizarea recenziei(lor) selectate."
"Any","Oricare"
"Any Attribute Set","Orice set de atribute"
"Any Group","Orice grup"
"Any Status","Orice stare"
"Any Type","Orice tip"
"Any Visibility","Orice vizibilitate"
"API Key","Cheie API"
"API Key Confirmation","Confirmare cheie API"
"Archive file name:","Nume fișier arhivă:"
"Area","Suprafață"
"Are you sure you want to delete the selected URL rewrites?","Sunteţi sigur că doriţi să ştergeţi rescrierile de URL-uri selectate?"
"Are you sure you want to do this?","Ești sigur că vrei să faci asta?"
"ASCII","ASCII"
"Assigned","Atribuit"
"Associated Tags","Etichete asociate"
"At least one currency has to be allowed.","Cel puțin o monedă trebuie să fie permisă."
"Attributes","Atribute"
"Attribute Set Name:","Numele Setului de Atribute:"
"A user with the same user name or email already exists.","Există deja un utilizator cu același nume de utilizator sau e-mail."
"Authorization confirmed","Autorizație confirmată"
"Authorize","Autorizează"
"Authorize application","Autorizați cererea"
"Authorized OAuth Tokens","Tokeni autorizați OAuth"
"Automatic (equalize price ranges)","Automat (egalizează intervalele de prețuri)"
"Automatic (equalize product counts)","Automat (egalizează numărul de produse)"
"Average","Medie"
"Average Order Amount","Valoarea medie a comenzii"
"Back","Înapoi"
"Backend Locale","Localizare Backend"
"Base currency","Valuta de bază"
"Bcc","Bcc"
"Bestsellers","Bestsellers"
"Billing Address","Adresa de facturare"
"Billing Address: ","Adresa de facturare: "
"Billing Agreement","Acord de facturare"
"Billing Agreements","Acorduri de facturare"
"BINARY","BINAR"
"Block Details","Detalii Bloc"
"Block has been deleted.","Blocul a fost șters."
"Block Information","Informatii Bloc"
"Block Name","Nume Bloc"
"Block Name is disallowed.","Numele blocului este interzis."
"Block Name is incorrect.","Numele blocului este incorect."
"Block Name is required field.","Numele blocului este campul obligatoriu."
"Blocks","Blocuri"
"Both (without and with tax)","Atât (fără impozit, cât și cu taxe)"
"Browse Files...","Răsfoiește fișiere..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pachetul cu tarifare dinamică nu poate include opțiuni personalizate definite. Opțiunile nu vor fi salvate."
"By Email","Prin e-mail"
"By IP","După IP"
"By IP and Email","După IP și e-mail"
"Cache Control","Control Cache"
"Cache Control (beta)","Control Cache (beta)"
"Cache Management","Gestionare cache"
"Cache Type","Cache Type"
"Cancel","Anulează"
"Cannot add new comment.","Nu se poate adăuga un comentariu nou."
"Cannot add tracking number.","Nu se poate adăuga număr de urmărire."
"Cannot create an invoice without products.","Nu se poate crea o factură fără produse."
"Cannot create credit memo for the order.","Nu se poate crea nota de credit pentru comandă."
"Cannot delete the design change.","Nu se poate șterge modificarea de design."
"Cannot delete tracking number.","Nu se poate șterge numărul de urmărire."
"Cannot do shipment for the order.","Nu se poate efectua livrarea pentru comandă."
"Cannot do shipment for the order separately from invoice.","Nu se poate efectua livrarea comenzii separat de factură."
"Cannot initialize shipment for adding tracking number.","Nu se poate inițializa transportul pentru adăugarea numărului de urmărire."
"Cannot initialize shipment for delete tracking number.","Nu se poate inițializa transportul pentru numărul de urmărire șters."
"Cannot load track with retrieving identifier.","Nu se poate încărca traseul cu identificatorul de recuperare."
"Cannot retrieve tracking number detail.","Nu se poate prelua detaliile numărului de urmărire."
"Cannot save shipment.","Nu se poate salva livrarea."
"Cannot save the credit memo.","Nu se poate salva nota de credit."
"Cannot send shipment information.","Nu se pot trimite informaţii de expediere."
"Cannot update item quantity.","Nu se poate actualiza cantitatea elementelor."
"Cannot update the item's quantity.","Nu se poate actualiza cantitatea elementului."
"Card Verification Number","Număr verificare card"
"Catalog","Catalog"
"Catalog Price Rules","Reguli Preț Catalog"
"Catalog Rewrites","Rescriere Catalog"
"Categories","Categorii"
"Category","Categorie"
"Category:","Categorie:"
"Change Password","Schimbare parolă"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Graficul este dezactivat. Dacă doriți să activați graficul, apăsați <a href=""%s"">aici</a>."
"Checkbox","Casuta"
"Child Transactions","Tranzacții copil"
"Choose an attribute","Alege un atribut"
"Choose Store View:","Alege vizualizarea magazinului:"
"Chosen category does not associated with any website, so url rewrite is not possible.","Categoria aleasă nu este asociată cu niciun site web, astfel încât rescrierea adreselor URL nu este posibilă."
"Chosen product does not associated with any website, so url rewrite is not possible.","Produsul ales nu este asociat cu niciun site web, deci rescrierea adreselor URL nu este posibilă."
"Clear","Curăță"
"Close","Inchide"
"close","închide"
"CMS","CMS"
"Code","Cod"
"Comment text field cannot be empty.","Câmpul pentru text comentariu nu poate fi gol."
"Compiled observers, cron jobs, routes, and API permissions.","Compilați observatori, sarcini de cron, rute și permisiuni API."
"Config form fieldset clone model required to be able to clone fields","Configurare formular câmp model clonare pentru a putea clona câmpurile"
"Configuration","Configurare"
"Confirmation Of Authorization","Confirmarea autorizării"
"Confirmed email:","E-mail confirmat:"
"Confirm New Password","Confirmare parolă nouă"
"Confirm token authorization for admin","Confirmare autorizare token pentru administrator"
"Confirm token authorization Pop Up for admin","Confirmare autorizare pop Up pentru administrator"
"Continue","Continuă"
"Convert to Plain Text","Convertește în text simplu"
"Country","Țară"
"Country:","Țară:"
"Coupon Discount (Formatted Text)","Reducere Cupon (text formatat)"
"Coupon Discount Amount (Raw Number)","Suma reducerii de Cupon (număr de referință)"
"Coupons","Cupoane"
"Create","Crează"
"Created At","Creat la"
"Create DB Backup","Creare copie de rezervă"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Card de Credit %s"
"Credit Card Number","Număr card de credit"
"Credit Card Type","Tipul Cardului de Credit"
"Credit memo #%s comment added","Notă de credit # Comentariu%s adăugat"
"Credit memo #%s created","Notă de credit #%s creată"
"Credit memo's total must be positive.","Totalul notei de credit trebuie să fie pozitiv."
"Credit Memo History","Istoric notă de credit"
"Credit Memos","Memos de credit"
"Credit Memo Totals","Total notă de credit"
"CRITICAL","CRITICE"
"Critical","Critice"
"critical","critică"
"CSV","CSV"
"CSV / Tab separated","Separat CSV / Tab"
"Currency","Monedă"
"Currency ""%s"" is used as %s in %s.","Moneda ""%s"" este folosită ca %s în %s."
"Currency doesn't exist.","Moneda nu există."
"Currency Information","Informații despre valută"
"Current Admin Password","Parola curentă de administrare"
"Current Configuration Scope:","Domeniul curent de configurare:"
"Current Month","Luna curentă"
"Current password field cannot be empty.","Câmpul parolei curente nu poate fi gol."
"Custom","Personalizat"
"Customer","Client"
"Customer email address changed from %s to %s by %s.","Adresa de e-mail a clientului a fost schimbată de la %s la %s de %s."
"Customer Group:","Grup de Clienți:"
"Customer Groups","Grupuri de clienți"
"Customer Name","Nume client"
"Customer Reviews","Recenzii Client"
"Customers","Clienți"
"Customers by Number of Orders","Clienti dupa numarul de comenzi"
"Customers by Orders Total","Clienti dupa Comenzi"
"Customer Shopping Carts","Coșuri de cumpărături client"
"Customer Since:","Client din:"
"Customer Tax Classes","Clase de impozitare client"
"Customer with the same email already exists.","Clientul cu același e-mail există deja."
"Custom Symbol","Simbol personalizat"
"Custom Variable ""%s""","Variabilă personalizată ""%s"""
"Custom Variables","Variabile personalizate"
"Dashboard","Panou"
"Database","Baza de date"
"Dataflow - Advanced Profiles","Date - profiluri avansate"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Formatul datelor"
"Data transfer:","Transfer de date:"
"Date","Data"
"Date & Time","Data și ora"
"Date Added","Data Adăugării"
"Date Updated","Data actualizarii"
"Day","Zi"
"Debug","Debug"
"Decimal separator:","Separator zecimal:"
"Default (Admin) Values","Valori implicite (Admin)"
"Default Billing Address","Adresa implicită de facturare"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","Moneda implicită de afişare ""%s"" nu este disponibilă în valutele permise."
"Default scope","Domeniul implicit"
"Default Symbol","Simbol implicit"
"Default Template from Locale","Șablon implicit din Locale"
"Default Values","Valori implicite"
"Delete","Ștergere"
"Delete %s","Șterge %s"
"Delete %s '%s'","Șterge %s '%s'"
"Delete Block","Șterge bloc"
"Delete File","Ștergere fișier"
"Delete Image","Șterge imaginea"
"Delete Profile","Ștergere profil"
"Delete Role","Șterge rolul"
"Delete Store","Șterge Magazin"
"Delete Store View","Șterge vizualizarea magazinului"
"Delete Template","Ștergere șablon"
"Delete User","Ștergere utilizator"
"Delete Variable","Șterge variabila"
"Delete Website","Ștergere website"
"Description","Descriere"
"Design","Proiectare"
"Details","Detalii"
"Direction:","Direcție:"
"Disable","Dezactivează"
"Disable All Email Communications","Dezactivează toate comunicaţiile prin e-mail"
"Disabled","Dezactivat"
"Disallowed block name for frontend.","Nu este permis numele blocului pentru frontend."
"Display default currency","Afișează moneda implicită"
"Do nothing","Nu faceți nimic"
"Download","Descărcare"
"Downloads","Descărcări"
"Do you really want to KILL parallel process and start new indexing process?","Sigur doriți să KILL proces paralel și să începeți un nou proces de indexare?"
"Drop-down","Luminozitate"
"Edit","Editare"
"Edit Block","Modifică bloc"
"Edit Block '%s'","Editează blocul '%s'"
"Edit Design Change","Modifică Schimbarea Proiectului"
"Edit Email Template","Editare șablon de e-mail"
"Edit Order","Editare comandă"
"Edit Queue","Editare coadă"
"Edit Review","Editează Recenzia"
"Edit Role","Editează Rol"
"Edit Store View","Editează Vedere Magazin"
"Edit System Template","Editare șablon de sistem"
"Edit Template","Editare şablon"
"Edit URL Rewrite","Editare Rescriere URL"
"Edit User","Editare utilizator"
"Edit User '%s'","Editare utilizator '%s'"
"Edit Variable","Editare variabilă"
"Edit Variable '%s'","Editare Variabilă '%s'"
"Edit Website","Editare website"
"Email","E-mail"
"Email:","Email:"
"Email Address:","Adresa de e-mail:"
"Email can only be changed for guest orders.","E-mailul poate fi schimbat doar pentru comenzile de oaspete."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","Transportul prin e-mail este dezactivat. Vă rugăm să configurați un transport prin e-mail în Setările de Trimitere Mail."
"Emergency","Urgență"
"Enable","Activare"
"Enable 2FA","Activează 2FA"
"Enabled","Activat"
"Enable Password Authentication","Activați autentificarea parolei"
"Enclose Values In:","Întoarce valori în:"
"Engagement","Angajament"
"Enter current password and press ""Save Account"" to confirm passkey change.","Introduceți parola curentă și apăsați ""Salvare cont"" pentru a confirma schimbarea parolei."
"Enter new email address:","Introduceți o nouă adresă de e-mail:"
"Entity Attributes","Atribute de entitate"
"Entity Type","Tip entitate"
"Entity type:","Tipul entității:"
"Entry & Exit Pages","Pagini de Intrare & Ieșire"
"Error","Eroare"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","exemplu: ""sitemap/"" sau ""/"" pentru calea de bază (calea trebuie scrisă)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","Fără TVA"
"Excl. Tax:","Taxa excl:"
"Expiration Date","Data expirării"
"Export","Exportă"
"Export:","Export:"
"Export CSV","Exportă CSV"
"Export Filters","Exportă filtre"
"Export to:","Exportă către:"
"Failed","Eșuat"
"failed","eșuat"
"Failed to add a product to cart by id ""%s"".","Nu s-a putut adăuga un produs în coș prin ID-ul ""%s""."
"Failed to cancel the billing agreement.","Nu s-a putut anula acordul de facturare."
"Failed to delete the billing agreement.","Ștergerea acordului de facturare a eșuat."
"Failed to send test email. Please check your email configuration and error logs.","Esuare trimitere e-mail de testare. Verificati configuratia e-mailului si jurnalele de erori."
"Failed to update the profile.","Actualizarea profilului a eșuat."
"Field","Câmp"
"Field Mapping","Mapping câmp"
"File","Fişier"
"File Information","Informatii fisier"
"File mode","Mod fișier"
"File name:","Nume fișier:"
"File System","Sistem de fişiere"
"Finished profile execution.","Executare de profil terminată."
"First Invoice Created Date","Prima factură creată data"
"First Name","Prenume"
"First Name:","Primul Nume:"
"First Name is required field.","Prenumele este câmp obligatoriu."
"Fixed","Fixat"
"Flush Catalog Images Cache","Golește cache-ul de imagini al catalogului"
"Flush Minified CSS/JS Cache","Golește Cache minuțios CSS/JS"
"Flush Swatch Images Cache","Golește cache-ul de imagini"
"For category","Pentru categoria"
"Forgot Admin Password","Am uitat parola de administrare"
"Forgot your password?","Ți-ai uitat parola?"
"Forgot your user name or password?","Aţi uitat numele de utilizator sau parola?"
"For product","Pentru produs"
"From","De la"
"from","din"
"FTP Host[:Port]","Gazdă FTP[:Port]"
"General Information","Informaţii generale"
"Give the verifier code to application administrator","Dă codul verificatorului administratorului aplicației"
"GLOBAL","GLOBAL"
"Global Record Search","Căutare Record Global"
"Global Search","Căutare globală"
"Google Sitemaps","Sitemap-uri Google"
"Go to messages inbox","Mergeți la mesaje primite"
"Go to notifications","Mergi la notificări"
"Grand Total","Total general"
"Grid (default) / List","Grilă (implicită) / Listă"
"Grid Only","Doar grilă"
"Group:","Grup:"
"Guest","Vizitator"
"Health Check","Verificarea stării de sănătate"
"Helper attributes should not be used in custom layout updates.","Atributele de ajutor nu trebuie folosite în actualizările de aspect personalizate."
"Helper for options rendering doesn't implement required interface.","Ajutor pentru opțiunile de redare nu implementează interfața necesară."
"Home","Acasă"
"HTTP (unsecure)","HTTP (nesigur)"
"HTTPS (SSL)","HTTPS (SL)"
"ID","ID"
"Id","Id"
"ID Path","Cale ID"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Dacă există un cont asociat cu %s veți primi un e-mail cu un link pentru resetarea parolei."
"If this message persists, please contact the store owner.","Dacă acest mesaj persistă, vă rugăm să contactaţi proprietarul magazinului."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Dacă nu specificați o valoare de opțiune pentru o vizualizare a unui anumit magazin, atunci valoarea implicită (Admin) va fi utilizată."
"Images Cache","Images Cache"
"Import","Importă"
"Import/Export","Importă/Exportă"
"Import/Export Advanced","Importă/Exportă Avansat"
"Import/Export Profile","Importă/Exportă Profil"
"Import and Export","Importă și Exportă"
"Import and Export Tax Rates","Tarifele de Impozitare Importă și Exportă"
"Imported <strong>%s</strong> records","Înregistrări importate <strong>%s</strong>"
"Import Service","Servicii de import"
"In","În"
"Inactive","Inactiv"
"Incl. Tax","Taxe incluse"
"Incl. Tax:","Taxă inclusă:"
"Incoming Message","Mesaj primit"
"In Database:","În baza de date:"
"In File:","În fișier:"
"Informational","Informatii"
"Input fields (from - to)","Introducere câmpuri (de la 1 la )"
"Insert Variable...","Inserare variabilă..."
"Interactive","Interactiv"
"Interface Locale: %s","Interfață locală: %s"
"Internal Error","Eroare internă"
"Invalid 2FA verification code","Cod de verificare 2FA nevalid"
"Invalidated","Invalidat"
"Invalid current password.","Parolă curentă nevalidă."
"Invalid data","Date incorecte"
"Invalid email address ""%s"".","Adresă de e-mail nevalidă ""%s""."
"Invalid email address.","Adresă de e-mail invalidă."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Nume câmp nevalid '%s', nu trebuie să fie unul de NOT, AND, SAU, XOR"
"Invalid Form Key. Please refresh the page.","Formular Cheie invalid. Vă rugăm să reîncărcaţi pagina."
"Invalid Import Service Specified","Serviciu de import specificat nevalid"
"Invalid input data for %s => %s rate","Date de intrare nevalide pentru rata %s => %s"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Operatorul nevalid '%s', trebuie să fie unul de NOT, AND, SAU, XOR"
"Invalid parent block for this block","Bloc părinte nevalid pentru acest bloc"
"Invalid parent block for this block.","Bloc părinte invalid pentru acest bloc."
"Invalid password reset token.","Token de resetare parolă nevalid."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Date POST invalide (verificati setarile post_max_size si upload_max_filesize in fisierul php.ini)."
"Invalid request method","Metodă de solicitare nevalidă"
"Invalid response","Răspuns nevalid"
"Invalid Secret Key. Please refresh the page.","Cheie Secretă invalidă. Reîmprospătați pagina."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Nume expeditor nevalid ""%s"". Vă rugăm să folosiţi doar caractere vizibile şi spaţii."
"Invalid template data.","Date sablon incorecte."
"Invalid template path used in layout update.","Calea de șablon nevalidă folosită pentru actualizarea layout-ului."
"Invalid timezone","Fus orar nevalid"
"Invalid User Name or Password.","Nume de utilizator sau parolă invalide."
"Inventory Stock Status","Starea inventarului stocurilor"
"Invoice #%s comment added","Factura # Comentariu%s adăugat"
"Invoice #%s created","Factura #%s a fost creată"
"Invoice canceling error.","Eroare de anulare factură."
"Invoice capturing error.","Eroare la capturarea facturii."
"Invoice History","Istoric facturi"
"Invoices","Facturi"
"Invoice Totals","Totalul facturilor"
"Invoice voiding error.","Invoice voiding error."
"IP Address","Adresă IP"
"Is Allowed","Este permis"
"Is Allowed is required field.","Este permis este câmp obligatoriu."
"Is Closed","Este închis"
"Is Default","Este implicit"
"Issue Number","Număr problemă"
"Items","Articole"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Languages","Limbi"
"Last 5 Orders","Ultimele 5 Comenzi"
"Last 5 Search Terms","Ultimii 5 termeni de căutare"
"Last 7 Days","Ultimele 7 zile"
"Last 24 Hours","Ultimele 24 de ore"
"Last Credit Memo Created Date","Data creării ultimei note de credit"
"Last Invoice Created Date","Data ultimei facturi create"
"Last Logged In (%s):","Ultima autentificare (%s):"
"Last Logged In:","Ultima autentificare în:"
"Last Name","Nume de familie"
"Last Name:","Nume de Familie:"
"Last Name is required field.","Numele de familie este câmp obligatoriu."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Ultima actualizare: %s. Pentru a reîmprospăta statisticile <a href=""%s"">ziua trecută</a>, apăsați <a href=""%s"">aici</a>."
"Latest Message:","Ultimul mesaj:"
"Layered Navigation Indices","Indici de navigare în straturi"
"Layered Navigation Indices were refreshed.","Indicii de navigare în straturi au fost reîmprospătați."
"Leave empty to use tax identifier","Lăsați gol pentru a utiliza identificatorul fiscal"
"Lifetime","Viață"
"Lifetime Sales","Vânzări pe viață"
"Lifetime statistics have been updated.","Statisticile pe viață au fost actualizate."
"Links","Link-uri"
"Links with associated products will retain only after saving current product.","Legăturile cu produsele asociate vor fi păstrate doar după salvarea produsului curent."
"List (default) / Grid","Listă (implicit) / Grilă"
"List Only","Doar lista"
"Load default template","Încarcă șablonul implicit"
"Loading...","Încărcare..."
"Load Template","Încarcă șablon"
"Local/Remote Server","Server Local/Remote"
"Locale","Localizare"
"Local Server","Server local"
"Log In","Autentificare"
"Login","Autentificare"
"Log in to Admin Panel","Autentificare în Panoul de Administrare"
"Log into Maho Admin Page","Autentificare în pagina de administrare Maho"
"Log in to use <strong>%s</strong>","Autentifică-te pentru a folosi <strong>%s</strong>"
"Login with Passkey","Autentificare cu parolă"
"Log Out","Ieșire din cont"
"Low Stock","Stoc mic"
"Maho Admin","Administrator Maho"
"Maho Test Email","E-mail test Maho"
"MAJOR","MAJOR"
"major","majoră"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Asigurați-vă că codificarea datelor în fișier este consecventă și salvată într-una dintre codificările acceptate (UTF-8 sau ANSI)."
"Manage Attributes","Gestionare atribute"
"Manage Attribute Sets","Gestionează seturile de atribute"
"Manage Categories","Gestionare categorii"
"Manage Content","Gestionare conținut"
"Manage Currency Rates","Gestionează ratele valutare"
"Manage Customers","Gestionează Clienții"
"Manage Options (values of your attribute)","Gestionează opțiunile (valorile atributului tău)"
"Manage Ratings","Gestionare evaluări"
"Manage Stores","Gestionare magazine"
"Manage Tax Rules","Gestionează regulile de taxare"
"Manage Tax Zones and Rates","Administreaza Zonele de Taxe si Ratele"
"Manage Titles (Size, Color, etc.)","Gestionează titluri (dimensiune, culoare, etc.)"
"Manual","Manual"
"Matched Expression","Expresie potrivită"
"Maximum sender name length is 255. Please correct your settings.","Lungimea maximă a numelui expeditorului este 255. Vă rugăm să corectaţi setările."
"Messages Inbox","Mesaje primite"
"Minified CSS and JavaScript files.","Fișiere CSS minuscule și JavaScript."
"MINOR","MINOR"
"minor","minore"
"Missing required fields","Lipsește câmpurile obligatorii"
"Month","Lună"
"Most Viewed","Cele mai vizualizate"
"Most Viewed Products","Cele mai vizualizate produse"
"MS Excel XML","MS Excel XML"
"Multiple Select","Selectare multiplă"
"My Account","Contul Meu"
