"%s role is a special one and can't be changed.","Rola %s jest specjalna i nie może zostać zmieniona."
"%s role is a special one and can't be deleted.","Rola %s jest specjalna i nie może zostać usunięta."
"%s role is protected.","Rola %s jest chroniona."
"ACL Attribute Rules","Reguły atrybutów ACL"
"Has Custom Options","Ma niestandardowe opcje"
"ID","ID"
"Inventory Data","Dane inwentarza"
"Invoiced Qty","Ilość zafakturowana"
"Is Confirmed","Jest potwierdzony"
"Is Default Billing Address","Jest domyślnym adresem rozliczeniowym"
"Is Default Shipping Address","Jest domyślnym adresem dostawy"
"Item ID","Item ID"
"Item Subtotal","Suma częściowa"
"Item Subtotal Including Tax","Suma częściowa produktu z podatkiem"
"Label","Etykieta"
"Last Logged In","Ostatnio zalogowany"
"Last Name","Nazwisko"
"Low Stock Date","Data niskiego stanu magazynowego"
"Manage Stock","Zarządzaj magazynem"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość dozwolona w koszyku"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość dozwolona w koszyku"
"New Role","Nowa rola"
"Notify for Quantity Below","Powiadom o ilości poniżej"
"OAuth","OAuth"
"Order","Zamówienie"
"Order Addresses","Adresy zamówienia"
"Order Comments","Komentarze zamówienia"
"Order Currency","Waluta zamówienia"
"Order Date","Data zamówienia"
"Ordered Qty","Ilość zamówionych"
"Order ID","Identyfikator zamówienia"
"Order ID (internal)","ID zamówienia (wewnętrzne)"
"Order Item ID","ID elementu zamówienia"
"Order Items","Elementy zamówienia"
"Orders","Zamówienia"
"Order Status","Status zamówienia"
"Original Price","Oryginalna cena"
"Parent Order Item ID","ID elementu nadrzędnego zamówienia"
"Payment Method","Metoda płatności"
"Phone Number","Numer telefonu"
"Placed from IP","Umieszczone z IP"
"Please enter a valid number in ""max_sale_qty"" field","Wprowadź poprawną liczbę w polu ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Wprowadź poprawną liczbę w polu ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Wprowadź poprawną liczbę w polu ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Wprowadź poprawny numer w polu ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Proszę używać liczb tylko w polu ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Proszę używać liczb tylko w polu ""qty_increments"". Proszę unikać spacji lub innych znaków, takich jak kropki lub przecinki."
"Position","Położenie"
"Price","Cena"
"Price Including Tax","Cena z podatkiem"
"Product","Produkt"
"Product and Custom Options Name","Nazwa produktu i opcji niestandardowych"
"Product Category","Kategoria produktu"
"Product ID","Identyfikator produktu"
"Product Image","Obraz produktu"
"Product Type","Typ produktu"
"Product URL","Adres URL produktu"
"Product Website","Strona produktu"
"Qty","Ilość"
"Qty for Item's Status to Become Out of Stock","Ilość aby produkt stał się niedostępny"
"Qty Increments","Przyrost ilości"
"Qty Uses Decimals","Ilość użyta po przecinku"
"Read","Czytaj"
"Refunded Qty","Ilość zwróconych"
"Regular Price Without Tax","Cena standardowa bez podatku"
"Regular Price With Tax","Cena standardowa z podatkiem"
"REST - Attributes","REST - atrybuty"
"REST - Roles","REST - Role"
"REST ACL Attributes","Atrybuty ACL REST"
"REST Attributes","Atrybuty REST"
"REST Role","Rola REST"
"REST Roles","Role REST"
"Rest Roles","Role odpoczynku"
"REST Roles Information","Informacje o rolach REST"
"Retrieve","Pobierz"
"Role ""%s"" no longer exists","Rola ""%s"" już nie istnieje"
"Role ""%s"" not found.","Rola ""%s"" nie została znaleziona."
"Role API Resources","Zasoby API roli"
"Role has been deleted.","Rola została usunięta."
"Role Info","Informacje o roli"
"Role Information","Informacje o roli"
"Role Name","Nazwa roli"
"Roles","Role"
"Role Users","Użytkownicy Roli"
"Salability Status","Stan sprzedaży"
"Sales","Sprzedaż"
"Save","Zapisz"
"Shipped Qty","Ilość wysłana"
"Shipping Amount","Kwota wysyłki"
"Shipping Discount","Rabat Wysyłkowy"
"Shipping Including Tax","Dostawa wraz z podatkiem"
"Shipping Method","Metoda wysyłki"
"Shipping Tax","Podatek od dostawy"
"SKU","SKU"
"State","Stan"
"Stock Availability","Dostępność zapasów"
"Stock ID","ID magazynu"
"Stock Item","Element magazynowy"
"Stock Status","Stan zapasów"
"Store Currency to Order Currency Rate","Kurs waluty sklepu do zamówienia"
"Store Name","Nazwa sklepu"
"Street","Ulica"
"Subtotal","Suma częściowa"
"Subtotal Including Tax","Suma częściowa z podatkiem"
"System","System"
"Tax Amount","Kwota podatku"
"Tax Name","Nazwa Podatku"
"Tax Percent","Procent podatku"
"Tax Rate","Stawka podatku"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Pole ""enable_qty_increments"" musi być ustawione na 0 lub 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Pole ""is_decimal_divided"" musi być ustawione na 0 lub 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Pole ""is_in_stock"" musi być ustawione na 0 lub 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Pole ""is_qty_decimal"" musi być ustawione na 0 lub 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Pole ""is_qty_decimal"" musi być ustawione na 0, 1 lub 2."
"The ""manage_stock"" field must be set to 0 or 1.","Pole ""manage_stock"" musi być ustawione na 0 lub 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Pole ""stock_status_changed_auto"" musi być ustawione na 0 lub 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Pole ""use_config_backorders"" musi być ustawione na 0 lub 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Pole ""use_config_enable_qty_inc"" musi być ustawione na 0 lub 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Pole ""use_config_manage_stock"" musi być ustawione na 0 lub 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Pole ""use_config_max_sale_qty"" musi być ustawione na 0 lub 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Pole ""use_config_min_qty"" musi być ustawione na 0 lub 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Pole ""use_config_min_sale_qty"" musi być ustawione na 0 lub 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Pole ""use_config_notify_stock_qty"" musi być ustawione na 0 lub 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Pole ""use_config_qty_increments"" musi być ustawione na 0 lub 1."
"The attribute rules were saved.","Reguły atrybutów zostały zapisane."
"The role has been saved.","Rola została zapisana."
"The role is a special one and not for assigning it to admin users.","Rola jest specjalna, a nie przypisywanie jej do użytkowników administratora."
"Total Due","Suma wymagalności"
"Total Paid","Zapłacone łącznie"
"Total Refunded","Zwrócono łącznie"
"Total Reviews Count","Całkowita liczba opinii"
"Type","Typ"
"Update","Aktualizuj"
"URL","Adres URL"
"Use Config Settings for Allow Gift Message","Użyj ustawień konfiguracyjnych, aby zezwolić na wiadomość podarunkową"
"Use Config Settings for Allow Gift Wrapping","Użyj ustawień konfiguracyjnych, aby zezwolić na pakowanie prezentów"
"Use Config Settings for Backorders","Użyj ustawień konfiguracyjnych dla zaległych zamówień"
"Use Config Settings for Enable Qty Increments","Użyj ustawień konfiguracyjnych, aby włączyć przyrost ilości"
"Use Config Settings for Manage Stock","Użyj ustawień konfiguracyjnych dla zarządzania magazynem"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Użyj ustawień konfiguracyjnych dla maksymalnej ilości dozwolonej w koszyku"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Użyj ustawień konfiguracyjnych dla minimalnej ilości dozwolonej w koszyku"
"Use Config Settings for Notify for Quantity Below","Użyj ustawień konfiguracyjnych dla powiadomienia o ilości poniżej"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Użyj ustawień konfiguracyjnych dla ilości towaru, aby stać się niedostępnym"
"Use Config Settings for Qty Increments","Użyj ustawień konfiguracyjnych dla przyrostu ilości"
"User Type","Typ użytkownika"
"User type ""%s"" no longer exists","Typ użytkownika ""%s"" już nie istnieje"
"User type ""%s"" not found.","Nie znaleziono typu użytkownika ""%s."
"Web Services","Usługi sieciowe"
"Web services","Usługi sieciowe"
"Write","Napisz"
"ZIP/Postal Code","Kod pocztowy"
