"%s Screenshot","%s zrzut ekranu"
"%s violation(s)","%s naruszenia"
"Accessibility Scan","Skanowanie dostępności"
"npm Binary Path","Ścieżka binarna npm"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","Nie znaleziono npm (szukaj ""%s""). Zainstaluj go razem z Node. , lub ustaw pełną ścieżkę w systemie > Konfiguracja > Skanowanie ułatwień."
"One URL per line. Every URL must belong to one of the configured store base URLs.","Jeden adres URL na wiersz. Każdy adres URL musi należeć do jednego ze skonfigurowanych podstawowych adresów URL sklepu."
"Page Title","Tytuł strony"
"Path to the node executable. Default: node","Ścieżka do pliku wykonywalnego węzła. Domyślnie: węzeł"
"Path to the npm executable. Default: npm","Ścieżka do pliku wykonywalnego npm. Domyślnie: npm"
"Pending","Oczekujące"
"Periodically scan the URLs below via cron, using the default WCAG level.","Okresowo skanuj adresy URL poniżej za pomocą cron, używając domyślnego poziomu WCAG."
"Please provide a valid URL to scan","Podaj poprawny adres URL do skanowania"
"Run a New Scan","Uruchom nowe skanowanie"
"Running","Uruchamianie"
"Scan #%s","Skanuj #%s"
"Scan failed","Skanowanie nie powiodło się"
"Scan failed: %s","Skanowanie nie powiodło się: %s"
"Scan History","Historia skanowania"
"Scan ID","Skanowanie ID"
"Scanning... this can take a couple of minutes.","Skanowanie... to może potrwać kilka minut."
"Scan not found","Nie znaleziono skanowania"
"Scan Results","Wyniki skanowania"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Skany starsze niż ta liczba dni są usuwane automatycznie. 0 zachowuje wszystko."
"Scan Timeout","Limit czasu skanowania"
"Scheduled","Zaplanowane"
"Scheduled Scans","Zaplanowane skany"
"Selector","Wybór"
"Serious","Poważne"
"Show on desktop screenshot","Pokaż na pulpicie ekranu"
"Show on mobile screenshot","Pokaż na ekranie mobilnym"
"Source","Źródło"
"Started","Rozpoczęto"
"Start Scan","Rozpocznij skanowanie"
"Status","Status"
"Summary","Summary"
"System","System"
"Template","Szablon"
"Template Source","Źródło szablonu"
"The scan has been deleted.","Skanowanie zostało usunięte."
"The scanner cannot run on this server yet:","Skaner nie może jeszcze uruchomić tego serwera:"
"The scanner returned an unexpected result","Skaner zwrócił nieoczekiwany wynik"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","Czas uruchomienia skanera nie jest jeszcze zainstalowany. Uruchom ""./maho Accessibility:install"" z wiersza poleceń aby go zainstalować."
"The URL to scan must belong to one of the configured store base URLs","Adres URL skanowania musi należeć do jednego ze skonfigurowanych podstawowych adresów URL sklepu"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Ten raport został wygenerowany za pomocą zautomatyzowanych kontroli (osie-rdzeń), które wykrywają tylko podzbiór kryteriów powodzenia WCAG. Raport bez naruszenia przepisów nie gwarantuje zgodności; wymagane są testy ręczne przy użyciu klawiatury i czytnika ekranu."
"Total","Łącznie"
"Total Scans","Całkowita liczba skanów"
"Total Violations","Wszystkie naruszenia"
"Unable to acquire the scanner install lock","Nie można uzyskać blokady instalacji skanera"
"Unable to copy the scanner script to %s","Nie można skopiować skryptu skanera do %s"
"Unable to create directory %s","Nie można utworzyć katalogu %s"
"Unable to start process: %s","Nie można uruchomić procesu: %s"
"URL","Adres URL"
"URLs to Scan","Adresy URL do skanowania"
"URL to scan","Adres URL do skanowania"
"URL to scan, e.g. https://store.example.com/","Adres URL do skanowania, np. https://store.example.com/"
"Violation #%s: %s","Naruszenie #%s: %s"
"Violations","Naruszenia"
"Violations (Latest Scan)","Naruszenia (najczęstsze skanowanie)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 poziom A"
"WCAG 2.2 Level AA","WCAG 2.2 poziom AA"
"WCAG 2.2 Level AAA","WCAG 2.2 Poziom AAA"
"WCAG Level","Poziom WCAG"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Szerokość x wysokość w pikselach CSS, zeskanowana emulsją mobilną. Domyślnie: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Szerokość x wysokość w pikselach CSS. Każde skanowanie uruchamia jeden przejazd na widok. Domyślnie: 1280x1024"
