"%d country(s) were skipped because they no longer exist.","%d kraj(y) zostały pominięte, ponieważ już nie istnieją."
"%d region(s) were skipped because they have existing region names.","%d region(y) zostały pominięte, ponieważ posiadają istniejące nazwy regionów."
"-- Please select --","-- Wybierz --"
"The ""%s"" is not allowed as base currency for your subscription plan.","""%s"" jest niedozwolony jako waluta bazowa dla planu subskrypcji."
"The account this API request is coming from is inactive.","Konto z którego pochodzi żądanie API jest nieaktywne."
"The country has been deleted.","Kraj został usunięty."
"The country has been saved.","Kraj został zapisany."
"The current request did not return any results.","Bieżące żądanie nie zwróciło żadnych wyników."
"The maximum allowed API amount of monthly API requests has been reached.","Osiągnięto maksymalną dozwoloną ilość API miesięcznych żądań."
"The region has been deleted.","Region został usunięty."
"The region has been saved.","Region został zapisany."
"There is no exchange rate from %s to %s.","Nie ma kursu wymiany od %s do %s."
"This country no longer exists.","Ten kraj już nie istnieje."
"This region no longer exists.","Ten region już nie istnieje."
"Three character ISO code (e.g. USA, GBR, DEU)","Trzyznakowy kod ISO (np. USA, GBR, DEU)"
"Top Countries","Najlepsze kraje"
"Two character country code (e.g. US, GB, DE)","Dwuznakowy kod kraju (np. USA, GB, DE)"
"Two character ISO code (usually same as Country ID)","Dwuznakowy kod ISO (zazwyczaj taki sam jak identyfikator kraju)"
"Unable to calculate rate for %s to %s.","Nie można obliczyć wskaźnika dla %s do %s."
"Unable to initialize the import model.","Nie można zainicjować modelu importu."
"Undefined rate from ""%s-%s"".","Niezdefiniowana stawka z ""%s-%s""."
"Update existing regions and localized names","Aktualizuj istniejące regiony i zlokalizowane nazwy"
"Your Currency","Twoja waluta"
"Your Currency:","Twoja waluta:"
