"%s items queued for embedding.","%s elementów w kolejce do osadzania."
"Action","Akcja"
"Mistral Embed Model","Model osadzania Mistral"
"Model","Wzór"
"Must be installed locally via `ollama pull`.","Musi być zainstalowany lokalnie przez `ollama pull`."
"No items were queued. Make sure products/categories have text content.","Żadne elementy nie zostały umieszczone w kolejce. Upewnij się, że produkty/kategorie mają treść tekstową."
"Ollama Embed Model","Model osadzenia Ollama"
"One regex per line. Matching inputs will be rejected.","Jeden regex na wiersz. Dopasowanie danych wejściowych zostanie odrzucone."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","Punkt końcowy kompatybilny z OpenAI, np. https://api.example.com/v1"
"OpenAI Embed Model","Model osadzania OpenAI"
"OpenAI Image Model","Model obrazu OpenAI"
"Output Tokens","Tokeny wyjściowe"
"Out Tokens","Tokeny wychodzących"
"Pending","Oczekujące"
"Pending Embed Tasks","Oczekujące zadania"
"PII Detection","PII Wykrywanie"
"Placeholder URL Pattern","Wzór URL zastępcy"
"Platform","Platforma"
"Platform / Model","Platforma / Model"
"Priority","Priorytet"
"Processing","Przetwarzanie"
"Products (%s enabled)","Produkty (%s włączone)"
"Prompt Injection Detection","Wykrywanie szybkiego wstrzyknięcia"
"Queue","Kolejka"
"Queue an embedding task whenever a category is saved.","Dodaj do kolejki zadanie osadzone za każdym razem, gdy kategoria jest zapisana."
"Queue an embedding task whenever a product is saved.","Dodaj do kolejki zadanie osadzone za każdym razem, gdy produkt jest zapisany."
"Queue Cron Schedule","Harmonogram kolejki Cron"
"Queued","Kolejka"
"Queue for Embedding","Kolejka do osadzenia"
"Queue Status","Status kolejki"
"Refresh Models","Odśwież Modele"
"Response","Odpowiedź"
"Retries","Ponowne próby"
"Return a placeholder image URL when image generation is disabled or fails.","Zwraca adres URL obrazu zastępczego, gdy generowanie obrazu jest wyłączone lub nie powiodło się."
"Safety & Guardrails","Bezpieczeństwo i strażniki"
"Sanitize HTML Output","Sanizuj wyjście HTML"
"Scan user inputs for prompt injection attempts before sending to AI.","Skanuj dane wejściowe użytkownika w celu wykonania szybkich prób wstrzyknięcia przed wysłaniem do AI."
"Status","Status"
"Store ID","ID sklepu"
"Strip dangerous tags/attributes from AI responses used as HTML.","Usuń niebezpieczne tagi/atrybuty z odpowiedzi AI używanych jako HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Zadanie #%s"
"Task Details","Szczegóły zadania"
"Task History","Historia zadań"
"Task not found.","Nie znaleziono zadania."
"Task Timeout (seconds)","Limit czasu zadania (sekundy)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","Kolejka asynchroniczna jest wyłączona. Włącz ją w systemie &gt; AI &gt; Ustawienia kolejki lub zadania nigdy nie będą przetwarzane."
"This queues %s products and %s categories (%s tasks total) for background processing.","Ta kolejka produktów %s i %s kategorii ( suma zadań%s ) do przetwarzania w tle."
"This will queue all selected items for embedding. Continue?","Spowoduje to kolejkowanie wszystkich zaznaczonych elementów do osadzania. Kontynuować?"
"Type","Typ"
"Usage","Użycie"
"Use Placeholder Fallback","Użyj Fallback zastępczego"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Użyj tokenów {w} i {h} dla szerokości/wysokości. np. https://placehold.co/{w}x{h} lub https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Rozmiar wektorowy. 0 = domyślny model. OpenAI i Google obsługują natywne obcięcie; inne są obcięte po pobraniu."
"Vector with %d dimensions","Wektor o wymiarach %d"
"View","Widok"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Ostrzeżenie: %d osadzonych zadań jest już w toku. Uruchamianie tego ponownie spowoduje dodanie zduplikowanych zadań."
"— save the API key to load available models —","— zapisz klucz API aby załadować dostępne modele —"
