"Action","Akcja"
"Pause","Wstrzymaj"
"Paused","Zatrzymano"
"Please enter a valid email address.","Wprowadź poprawny adres e-mail."
"Please refer to exeption.log","Proszę zapoznać się z egeption.log"
"Please select subscriber(s)","Proszę wybrać subskrybenta"
"Preview","Podgląd"
"Preview Template","Podgląd szablonu"
"Processed","Przetworzony"
"Queue Date Start","Data rozpoczęcia kolejki"
"Queue Finish","Zakończ kolejkę"
"Queue Information","Informacje o kolejce"
"Queue Newsletter...","Kolejka newslettera..."
"Queue Start","Początek kolejki"
"Queue Subject","Temat kolejki"
"Recipients","Odbiorcy"
"Reset","Reset"
"Resume","Wznów"
"Return HTML Version","Zwróć wersję HTML"
"Save and Resume","Zapisz i wznów"
"Save As","Zapisz jako"
"Save Newsletter","Zapisz newsletter"
"Save Template","Zapisz szablon"
"Segment Name","Nazwa segmentu"
"Selected problems have been deleted.","Wybrane problemy zostały usunięte."
"Selected problem subscribers have been unsubscribed.","Wybrane problemy subskrybentów zostały anulowane."
"Sender","Nadawca"
"Sender Email","E-mail nadawcy"
"Sender Name","Nazwa nadawcy"
"Sender name is required","Nazwa nadawcy jest wymagana"
"Sending","Wysyłanie"
"Sent","Wysłano"
"Sequence Step Number","Numer sekwencji"
"Sign up for our newsletter","Zapisz się do naszego newslettera"
"Sign Up for Our Newsletter:","Zarejestruj się na nasz newsletter:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","Rozpocznij"
"Status","Status"
"Store","Sklep"
"Store View","Widok sklepu"
"Subject","Temat"
"Submit","Prześlij"
"Subscribe","Subskrybuj"
"Subscribed","Subskrybowane"
"Subscriber","Subskrybent"
"Subscriber Email","E-mail subskrybenta"
"Subscribers","Subskrybenci"
"Subscribers From","Subskrybenci od"
"Subscription Options","Opcje subskrypcji"
"Success Email Sender","Nadawca wiadomości o powodzeniu"
"Success Email Template","Szablon wiadomości o powodzeniu"
"Template code is required","Kod szablonu jest wymagany"
"Template Content","Zawartość szablonu"
"Template Information","Informacje o szablonie"
"Template Name","Nazwa szablonu"
"Template Styles","Template Styles"
"Template Subject","Temat szablonu"
"Template Type","Typ szablonu"
"Template type must be numeric","Typ szablonu musi być numeryczny"
"Thank you for your subscription.","Dziękujemy za subskrypcję."
"The newsletter template has been deleted.","Szablon newslettera został usunięty."
"There was a problem with the subscription.","Wystąpił problem z subskrypcją."
"There was a problem with the subscription: %s","Wystąpił problem z subskrypcją: %s"
"There was a problem with the un-subscription.","Wystąpił problem z wypisaniem subskrypcji."
"The subscription has been removed.","Subskrypcja została usunięta."
"The subscription has been saved.","Subskrypcja została zapisana."
"This email address is already assigned to another user.","Ten adres e-mail jest już przypisany do innego użytkownika."
"This email address is already confirmed.","Ten adres e-mail jest już potwierdzony."
"This email address is already registered.","Ten adres e-mail jest już zarejestrowany."
"Type","Typ"
"Unconfirmed","Niepotwierdzone"
"Unsubscribe","Anuluj subskrypcję"
"Unsubscribed","Anulowano subskrypcję"
"Unsubscribe Link","Link rezygnacji"
"Unsubscribe Selected","Anuluj wybraną subskrypcję"
"Unsubscription Email Sender","Nadawca wiadomości o anulowaniu subskrypcji"
"Unsubscription Email Template","Szablon e-mail rezygnacji z subskrypcji"
"View Newsletter","Zobacz biuletyn"
"Website","Strona internetowa"
"You are currently subscribed to our newsletter.","Jesteś obecnie zapisany do naszego newslettera."
"You have been unsubscribed.","Zostałeś wypisany."
"Your subscription has been confirmed.","Twoja subskrypcja została potwierdzona."
