"-- Please Select --","-- Wybierz --"
"Account Created In Store","Konto utworzone w sklepie"
"Invalid segment.","Nieprawidłowy segment."
"Invalid status.","Nieprawidłowy status."
"Invalid trigger type.","Nieprawidłowy typ wyzwalaczy."
"Is Active","Jest aktywny"
"Items Count","Liczba elementów"
"Items Quantity","Ilość produktów"
"Last Refreshed","Ostatnio odświeżone"
"Last Updated Date","Data ostatniej aktualizacji"
"Last Viewed Date","Data ostatniego oglądania"
"Last Viewed Date","Data ostatniego oglądania"
"Leave empty to apply to all customer groups","Pozostaw puste, aby zastosować do wszystkich grup klientów"
"Lifetime Profit (Sales - Refunds)","Dożywotni Zysk (Zwrot - Zwroty)"
"Lifetime Refunds Amount","Dożywotnia kwota zwrotów"
"Lifetime Sales Amount","Dożywotnia kwota sprzedaży"
"Manage Email Sequences","Zarządzaj sekwencjami e-mail"
"Manage Segments","Zarządzaj segmentami"
"Manual","Ręcznie"
"Master switch to enable/disable all email automation for this segment","Główny przełącznik, aby włączyć/wyłączyć całą automatyzację e-mail dla tego segmentu"
"minutes","minuty"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Czas oczekiwania przed wysłaniem (0 = natychmiast, 60 = 1 godzina, 1440 = 1 dzień)"
"Mode","Tryb"
"New Email Sequence Step for ""%s""","Nowy krok sekwencji e-mail dla ""%s"""
"New Segment","Nowy segment"
"New Sequence","Nowa sekwencja"
"Newsletter","Newsletter"
"Newsletter Subscription","Subskrypcja newslettera"
"Newsletter Template","Szablon newslettera"
"Newsletter template to use for this step","Szablon newslettera do użycia w tym kroku"
"None","Brak"
"Not Active","Nieaktywny"
"Number of days until coupon expires (default: 30)","Liczba dni do wygaśnięcia kuponu (domyślnie: 30)"
"Number of Orders","Liczba zamówień"
"Order","Zamówienie"
"Order History","Historia zamówień"
"Order in the email sequence (1, 2, 3...)","Kolejność w kolejności e-mail (1, 2, 3...)"
"Pending","Oczekujące"
"Personal Information","Informacje osobiste"
"Please save the segment first.","Proszę najpierw zapisać segment."
"Please select...","Proszę wybrać..."
"Please select at least one website.","Wybierz co najmniej jedną witrynę."
"Please select segment(s).","Proszę wybrać segmenty."
"Prefix for coupon codes","Prefiks dla kodów rabatowych"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Prefiks wygenerowanych kodów kuponowych (np. CART, WELCOME)"
"Processing","Przetwarzanie"
"Product: %s","Produkt: %s"
"Product Type","Typ produktu"
"Progress record already exists for this customer and sequence.","Rekord postępu już istnieje dla tego klienta i sekwencji."
"Purchase Date","Data zakupu"
"Quantity in Cart","Ilość w koszyku"
"Quantity Ordered","Zamówiona ilość"
"Refresh Mode","Tryb odświeżania"
"Refresh Segments","Odśwież segmenty"
"Row Total","Suma wiersza"
"Row Total (Inc. Tax)","Suma wiersza (podatek Inc)"
"Sales rule does not exist.","Reguła sprzedaży nie istnieje."
"Sales rule is not active.","Reguła sprzedaży nie jest aktywna."
"Sales rule is required when coupon generation is enabled.","Reguła sprzedaży jest wymagana, gdy generowanie kuponów jest włączone."
"Sales rule must be configured for specific coupon codes.","Reguła sprzedaży musi być skonfigurowana dla określonych kodów kuponu."
"Sales rule must have auto-generation enabled.","Reguła sprzedaży musi mieć włączoną autogenerację."
"Sales rule to base coupon on","Reguła sprzedaży do bazowego kuponu na"
"Sales rule to use as template for generated coupons","Reguła sprzedaży do użycia jako szablon dla wygenerowanych kuponów"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save Email Sequences","Zapisz sekwencje e-mail"
"Save Segment","Zapisz segment"
"Save Segments","Zapisz segmenty"
"Scheduled","Zaplanowane"
"Segment ID is required.","Identyfikator segmentu jest wymagany."
"Segment Information","Informacje o segmencie"
"Segment Name","Nazwa segmentu"
"Segment name is required.","Nazwa segmentu jest wymagana."
"Segment Refresh Cron Schedule","Odśwież harmonogram crona segmentu"
"Selected sales rule is not active.","Wybrana reguła sprzedaży nie jest aktywna."
"Selected sales rule must be configured for ""Specific Coupon"" type.","Wybrana reguła sprzedaży musi być skonfigurowana dla typu ""Konkretny kupon""."
"Selected sales rule must have ""Use Auto Generation"" enabled.","Wybrana reguła sprzedaży musi mieć włączoną opcję ""Użyj automatycznej generacji""."
"Sent","Wysłano"
"Sequence ID is required.","Wymagany jest identyfikator sekwencji."
"Sequence not found.","Nie znaleziono sekwencji."
"Sequence step %d: %s","Sequence step %d: %s"
"Sequence Step Settings","Ustawienia sekwencji kroku"
"Shopping Cart","Koszyk"
"Shopping Cart Information","Informacje o koszyku"
"Simple Product","Prosty produkt"
"Skipped","Pominięto"
"Statistics","Statystyki"
"Status Change Date","Data zmiany statusu"
"Step","Krok"
"Step Number","Numer kroku"
"Step number %d already exists for this segment %s trigger.","Numer kroku %d już istnieje dla tego wyzwalacza segmentu %s."
"Step number must be greater than 0.","Numer kroku musi być większy niż 0."
"Subject","Temat"
"Subscription Status","Status subskrypcji"
"Template ID is required.","Wymagane jest ID szablonu."
"The email sequence has been deleted.","Sekwencja e-mail została usunięta."
"The email sequence has been saved.","Sekwencja e-mail została zapisana."
"The segment has been deleted.","Segment został usunięty."
"The segment has been refreshed.","Segment został odświeżony."
"The segment has been saved.","Segment został zapisany."
"This segment no longer exists.","Ten segment już nie istnieje."
"This sequence no longer exists.","Ta sekwencja już nie istnieje."
"Total of %d record(s) were deleted.","Łącznie %d rekord(y) zostały usunięte."
"Total of %d record(s) were updated.","Całkowita liczba rekordów %d została zaktualizowana."
"Total Ordered Amount","Całkowita zamówiona kwota"
"Trigger event must be either ""enter"" or ""exit"".","Wyzwalacz musi być ""enter"" lub ""wyjście""."
"Unable to find a segment to refresh.","Nie można znaleźć segmentu do odświeżenia."
"Unknown Segment","Nieznany segment"
"View","Widok"
"View Count","Liczba wyświetleń"
"View Customers in Segment","Zobacz klientów w segmencie"
"Viewed","Przeglądane"
"Viewed Products","Przeglądane produkty"
"Virtual Product","Produkt wirtualny"
"When customer enters segment","Kiedy klient wejdzie do segmentu"
"When customer exits segment","Kiedy klient opuszcza segment"
"Wishlist","Schowek"
"Wishlist Items Count","Liczba elementów schowka"
"Wishlist Shared","Lista życzeń udostępniona"
