"* Select shipping method","* wybierz metodę dostawy"
"Google Order Number: %s","Numer zamówienia Google: %s"
"Google Order Status Change:","Zmiana statusu zamówienia Google:"
"Google Refund:","Zwrot Google:"
"Google Risk Information:","Informacja o ryzyku (Google):"
"GoogleCheckout is not configured","GoogleCheckout nie jest skonfigurowany"
"Ground","Naziemny"
"Hide Cart Contents","Ukryj zawartość koszyka"
"Home Delivery","Dostawa do domu"
"IP Address: %s","Adres IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Jeśli włączone, zawartość koszyka będzie ukryta po kliknięciu na przycisk Google Checkout w koszyku i przywrócona po kliknięciu w edycję koszyka."
"Inches","Cale"
"Invoice Auto-Created: %s","Faktura automatycznie utworzona: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Czy kupujący zgadza się na otrzymywanie e-maili marketingowych: %s"
"Key/URL delivery","Klucz/Dostawa adresu URL"
"Large - %s","Duży - %s"
"Latest Charge: %s","Ostatnio pobrano: %s"
"Latest Chargeback: %s","Najnowszy Zwrot Środków: %s"
"Latest Refund: %s","Ostatnio zrefundowano: %s"
"Location","Lokalizacja"
"Media Mail","TRANSLATE_THIS"
"Medium - %s","Średni - %s"
"Merchant ID","ID sprzedawcy"
"Merchant Key","Klucz sprzedawcy"
"Method","Metoda"
"New Order Status","Status nowego zamówienia"
"Next Day Air","Następny Dzień Lotniczy"
"Next Day Air Early AM","Następny Dzień, Wczesne Godziny Rannych"
"Next Day Air Saver","Oszczędność dostawy następnego dnia"
"No","Nie"
"No Comment","Brak komentarza"
"No Reason","Brak powodu"
"Optimistic","Optymistyczny"
"Optional, leave empty for home page.","Opcjonalne, pozostaw puste dla strony głównej."
"Order creation error","Błąd tworzenia zamówienia"
"Parcel Post","Paczka pocztowa"
"Pessimistic","Pesymistyczny"
"Priority Mail","Poczta priorytetowa"
"Priority Overnight","Priorytet na drugi dzień"
"Rate 1 Amount","Stawka 1 kwota"
"Rate 1 Ship To Applicable Countries","Stawka 1 wyślij do dopuszczonych krajów"
"Rate 1 Ship to Specific Countries","Stawka 1 wyślij do określonych krajów"
"Rate 1 Title","Stawka 1 tytuł"
"Rate 2 Amount","Stawka 2 kwota"
"Rate 2 Ship To Applicable Countries","Stawka 2 wyślij do dopuszczonych krajów"
"Rate 2 Ship to Specific Countries","Stawka 2 wyślij do określonych krajów"
"Rate 2 Title","Stawka 2 tytuł"
"Rate 3 Amount","Stawka 3 kwota"
"Rate 3 Ship To Applicable Countries","Stawka 3 wyślij do dopuszczonych krajów"
"Rate 3 Ship to Specific Countries","Stawka 3 wyślij do określonych krajów"
"Rate 3 Title","Stawka 3 tytuł"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Wymagane dla transakcji Google Checkout na żywo. Upewnij się, że ta opcja odpowiada Użyj Bezpiecznych Adresów URL w Frontendzie (""Web"" > ""Bezpieczny"")."
"Residential","Rezydencyjny"
"Sandbox","Środowisko testowe"
"Secure Callback URL","Zabezpieczony URL zwrotny"
"Small - %s","Mały - %s"
"Standard Overnight","Standard na drugi dzień"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Kwota podatku została zastosowana na podstawie informacji otrzymanych z Google Checkout, ponieważ kwota podatku otrzymana z Google Checkout różni się od obliczonej kwoty podatku"
"Title","Tytuł"
"Total Chargeback: %s","Łączny Zwrot Kosztów: %s"
"Total Charged: %s","Razem: %s"
"Total Refunded: %s","Suma do zwrotu: %s"
"Transparent","Przeźroczysty"
"UPS","TRANSLATE_THIS"
"USPS","TRANSLATE_THIS"
"United Kingdom","Wielka Brytania"
"United States","Stany Zjednoczone"
"Unknown Reason","Nieznany Powód"
"White Background","Białe tło"
"Yes","Tak"
"You will be redirected to GoogleCheckout in a few seconds.","W ciągu kilku sekund zostaniesz przeniesiony na strony Google Checkout."
