"%s file does not exists or is not readable","Plik %s nie istnieje lub nie można go odczytać"
"-- Please Select --","-- Wybierz --"
"Source file moving failed","Przenoszenie pliku źródłowego nie powiodło się"
"Source is not set","Źródło nie jest ustawione"
"Source must be a string file path or array","Źródło musi być ścieżką pliku lub tablicą"
"Status","Status"
"There are no product types available for export","Brak typów produktów dostępnych do eksportu"
"There is no data for export","Brak danych do eksportu"
"To","Do"
"Total size of uploadable files must not exceed %s","Całkowity rozmiar przesyłanych plików nie może przekraczać %s"
"Unknown attribute filter type","Nieznany typ filtru atrybutów"
"Uploaded file has no extension","Przesłany plik nie ma rozszerzenia"
"Validation finished successfully","Weryfikacja zakończona pomyślnie"
