"%s wants to connect to your store","%s chce połączyć się z Twoim sklepem"
"-- No Role --","-- Brak roli --"
"Access Token Lifetime","Żywotny Żeton Dostępu"
"How long API responses are cached. Default: 300 (5 minutes). Set to 0 to disable caching.","Jak długo odpowiedzi API są buforowane. Domyślnie: 300 (5 minut). Ustaw 0 aby wyłączyć buforowanie."
"ID","ID"
"If you approve, this application can:","Jeśli zatwierdzisz, ta aplikacja może:"
"Inactive","Nieaktywny"
"In seconds (default: 60). A code is used once, seconds after it is issued.","W sekundach (domyślnie: 60). Kod jest używany raz, sekundy po jego wydaniu."
"In seconds (default: 3600 = 1 hour)","W sekundach (domyślnie: 3600 = 1 godzina)"
"In seconds (default: 86400 = 24 hours)","W sekundach (domyślnie: 86400 = 24 godziny)"
"JWT signing secret. Auto-generated (random) and stored encrypted on first use if left empty.","JWT podpisuje sekret. Automatycznie wygenerowane (losowe) i przechowywane przy pierwszym użyciu, jeśli pozostanie puste."
"Last Name","Nazwisko"
"Last Used","Ostatnio używane"
"Leave blank to keep the current key.","Pozostaw puste, aby zachować bieżący klucz."
"Leave empty to allow access to all stores.","Pozostaw puste, aby zezwolić na dostęp do wszystkich sklepów."
"Legacy JSON-RPC","Dotychczasowy JSON-RPC"
"Legacy REST (Magento 1)","starszy REST (Magento 1)"
"Legacy SOAP v1","Starszy SOAP v1"
"Legacy SOAP v2","Starszy SOAP v2"
"Legacy XML-RPC","Legacy XML-RPC"
"Lets an application connect with a browser login and your approval, instead of a token pasted by hand. Required by MCP clients such as Claude and ChatGPT. Off by default, like every other protocol.","Pozwala aplikacji połączyć się z logowaniem do przeglądarki i zatwierdzeniem, zamiast z tokenem wklejonym ręcznie. Wymagane przez klientów MCP, takich jak Claude i ChatGPT. Wyłącz domyślnie, jak każdy inny protokół."
"MCP (Model Context Protocol)","MCP (model Context Protocol)"
"MCP Requires Authentication","MCP wymaga uwierzytelnienia"
"Modern REST API at /api/rest/v2/*","Nowoczesne API REST na /api/rest/v2/*"
"New API Key","Nowy klucz API"
"New API User","Nowy użytkownik API"
"New Role","Nowa rola"
"No grantable permissions could be loaded. Run ""composer dump-autoload"" in the Maho root, then reload this page.","Nie można załadować żadnych uprawnień przyznawanych. Uruchom ""composer dump-autoload"" w katalogu głównym Maho, a następnie odśwież tę stronę."
"No permissions needed, these are read-only public endpoints.","Nie ma wymaganych uprawnień, to są publiczne punkty końcowe tylko do odczytu."
"OAuth2 Client Credentials","Poświadczenia klienta OAuth2"
"OAuth2 client_id and client_secret will be generated when you save this user.","OAuth2 client_id i client_secret zostaną wygenerowane po zapisaniu tego użytkownika."
"OAuth2 Settings","Ustawienia OAuth2"
"Off: an agent browses the public catalog tools without a token, and a client is challenged only when it reaches for a tool it may not use. On: /api/mcp challenges every unauthenticated caller. Turn it on if a client will not start the browser login on its own.","Off: agent przegląda narzędzia katalogu publicznego bez tokenu, i klient jest kwestionowany tylko wtedy, gdy dociera do narzędzia, którego może nie używać. Włącz: /api/mcp wyzwania, każdy nieuwierzytelniony dzwoniący. Włącz, jeśli klient nie uruchomi samodzielnego logowania do przeglądarki."
"Original Magento 1 JSON-RPC at /api/jsonrpc","Oryginalny Magento 1 JSON-RPC na /api/jsonrpc"
"Original Magento 1 REST API at /api/rest/*","Oryginalne API REST Magento 1 na /api/rest/*"
"Original Magento 1 SOAP at /api/soap","Oryginalny Magento 1 SOAP na /api/mydło"
"Original Magento 1 SOAP v2 at /api/v2_soap","Oryginalny Magento 1 SOAP v2 na /api/v2_myap"
"Original Magento 1 XML-RPC at /api/xmlrpc","Oryginalny Magento 1 XML-RPC na /api/xmlrpc"
"Permissions","Uprawnienia"
"Please select an application.","Proszę wybrać aplikację."
"Public Storefront Access","Publiczny dostęp do sklepu"
"Read and change store data through the API, using your own admin permissions.","Przeczytaj i zmień dane sklepu za pomocą API, korzystając z własnych uprawnień administratora."
"Refresh Token Lifetime","Odśwież żywotność tokenu"
"Regenerate Credentials","Wygeneruj dane logowania"
"Registered","Zarejestrowane"
"Registration alone grants nothing: an admin must still log in and approve. Turning this off blocks most connector interfaces, which have no way to enter a client id by hand.","Sama rejestracja nic nie obejmuje: administrator musi nadal zalogować się i zatwierdzić. Wyłączenie to blokuje większość interfejsów łączników, które nie mają możliwości ręcznego wprowadzenia identyfikatora klienta."
"Resource Access","Dostęp do zasobów"
"REST/GraphQL - Roles","REST/GraphQL - Role"
"REST/GraphQL - Users","REST/GraphQL - Użytkownicy"
"Restrict to Stores","Ogranicz do sklepów"
"REST v2 (new)","REST v2 (nowy)"
"Revoke Access","Unieważnij dostęp"
"Revoke access for the selected applications?","Unieważnić dostęp dla wybranych aplikacji?"
"Revoked %d grant(s). Access tokens already issued stop working when they expire.","%d grant(y). Tokeny dostępu już wygasły po wygaśnięciu."
"Role","Rola"
"Role has been deleted.","Rola została usunięta."
"Role has been saved.","Rola została zapisana."
"Role Info","Informacje o roli"
"Role Information","Informacje o roli"
"Role Name","Nazwa roli"
"Role name is required.","Nazwa roli jest wymagana."
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save API User","Zapisz użytkownika API"
"Save Role","Zapisz rolę"
"Save these credentials now. The secret cannot be retrieved later.","Zapisz te poświadczenia teraz. Nie można pobrać tego hasła później."
"Sends you back to","Wysyła cię do"
"Service Account Permissions","Uprawnienia konta usług"
"Status","Status"
"Symfony App Secret","Sekret aplikacji Symfony"
"System","System"
"The authorization could not be completed.","Autoryzacja nie mogła zostać zakończona."
"These operations use customer JWT tokens obtained when a customer logs in. They are scoped to the logged-in customer's own data and cannot be granted to service accounts.","Te operacje wykorzystują tokeny klienta JWT otrzymane, gdy klient się zaloguje. Są one objęte zarejestrowanymi danymi klienta i nie mogą być przyznawane na rachunki usług."
"These permissions control what API users (service accounts) can do. Grant only the operations each integration needs.","Te uprawnienia kontrolują, co użytkownicy API (konta usług) mogą zrobić. Przyznaj tylko operacje dla każdej integracji."
"These resources are publicly readable without authentication. Any visitor or app can access this data via GET requests.","Te zasoby są publicznie czytelne bez uwierzytelniania. Każdy odwiedzający lub aplikacja może uzyskać dostęp do tych danych za pośrednictwem żądań GET."
"This API user no longer exists.","Ten użytkownik API już nie istnieje."
"This application registered itself and has not been verified. Approve it only if you started this connection yourself.","Ta aplikacja zarejestrowała się i nie została zweryfikowana. Zatwierdź ją tylko wtedy, gdy nawiązałeś to połączenie."
"This authorization request expired or is no longer valid. Start again from the application.","Ta prośba o autoryzację wygasła lub jest już nieważna. Uruchom ponownie z aplikacji."
"This role no longer exists.","Ta rola już nie istnieje."
"Unnamed client","Klient bez nazwy"
"User Info","Informacje o użytkowniku"
"Username","Nazwa użytkownika"
"User Role","Rola użytkownika"
"Verified","Zweryfikowano"
"You denied the connection.","Odmówiłeś połączenia."
"Your admin role may not approve API connections.","Twoja rola administratora może nie zatwierdzać połączeń API."
