"(not processed yet)","(jeszcze nieprzetworzone)"
"Merchant Notifications per Store per Hour","Powiadomienia kupca na sklep na godzinę"
"Merchant Notification Template","Szablon powiadomienia sprzedawcy"
"Minimum Submit Time (Seconds)","Minimalny czas przesyłania (sekundy)"
"Must only acknowledge receipt of the declaration, never acceptance.","Należy jedynie potwierdzić odbiór deklaracji, nigdy nie akceptują."
"Name","Nazwisko"
"No","Nie"
"No (self-asserted via the public form)","Nie (zadawane samodzielnie w formie publicznej)"
"No order could be matched to this request. The customer typed ""%s"".","Żadne zamówienie nie może być dopasowane do tego żądania. Klient wpisany ""%s""."
"No order found for increment ID ""%s"".","Nie znaleziono zamówienia dla przyrostowego ID ""%s""."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Stosuje się tylko niewidzialne miary tła (miod, czas wysyłania, niewidzialny kaptcha, limity szybkości).<br>Ręczne linki weryfikacyjne CAPTCHA i e-mail są prawnie niedopuszczalne dla formularza odwołania. Proszę nie dostosowywać tych limitów tak rygorystycznie, że legalni klienci są zablokowani."
"Order","Zamówienie"
"Order Number","Numer zamówienia"
"Order Reference","Numer zamówienia"
"Please enter a valid email address.","Wprowadź poprawny adres e-mail."
"Please fill in your name, your order reference and your email address.","Podaj swoje imię i nazwisko, numer zamówienia i adres e-mail."
"Please select request(s).","Proszę wybrać żądanie(-a)."
"Processed At","Przetworzony w"
"Processed Status","Status przetworzony"
"Processing","Przetwarzanie"
"Process Requests","Przetwarzaj żądania"
"Reason","Powód"
"Reason (optional)","Powód (opcjonalnie)"
"Receipt Emails per Recipient per Day","E-maile odbioru na odbiorcę dziennie"
"Received","Otrzymano"
"Received at","Otrzymano"
"Received at (UTC)","Otrzymano w (UTC)"
"Reference number","Numer referencyjny"
"Rejected","Odrzucono"
"Reject Revocation","Odrzuć odwołanie"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","Odrzucić to odwołanie? To zapisuje decyzję i dodaje notatkę do dopasowanego zamówienia. Status zamówienia nie zmienia się automatycznie."
"Request #%s","Żądanie #%s"
"Resend Receipt Email","Wyślij ponownie pokwitowanie e-mail"
"Resend the receipt email to %s?","Wysłać ponownie e-mail potwierdzenia do %s?"
"Revocation Button","Przycisk Odwołania"
"Revocation Form","Formularz odstąpienia"
"Revocation Merchant Notification","Powiadomienie o odwołaniu sprzedawcy"
"Revocation Receipt Confirmation","Potwierdzenie odbioru odstąpienia"
"Revocation received","Otrzymano odwołanie"
"Revocation Request","Żądanie odwołania"
"Revocation Request #%s","Żądanie cofnięcia nr%s"
"Revocation request #%s accepted.","Żądanie cofnięcia #%s zaakceptowane."
"Revocation request #%s rejected.","Revocation request #%s rejected."
"Revocation Requests","Żądania odwołania"
"Revocation Success","Odwołanie powiodło się"
"Revoke contract","Unieważnij umowę"
"Revoke this contract","Unieważnij tę umowę"
"Sales","Sprzedaż"
"Save Note","Zapisz notatkę"
"Store View","Widok sklepu"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Zgłoszenia szybciej niż to po renderowaniu stron są cicho upuszczane jako ruch bota. 0 wyłącza sprawdzanie."
"Submissions per IP per Hour","Zgłoszenia na IP na godzinę"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","E-mail pokwitowania klienta został zablokowany (%s) w %s i nie został dostarczony. Użyj ""Wyślij ponownie pokwitowanie e-mail"" aby dostarczyć go po triage'u."
"The receipt email could not be sent. Please check the email configuration.","Nie można wysłać e-maila z potwierdzeniem. Sprawdź konfigurację e-mail."
"The receipt email has been resent to %s.","E-mail pokwitowania został ponownie wysłany do %s."
"The request has been linked to order %s.","Żądanie zostało połączone z zamówieniem %s."
"The revocation has been marked as accepted.","Odwołanie zostało oznaczone jako zaakceptowane."
"The revocation has been marked as rejected.","Odwołanie zostało oznaczone jako odrzucone."
"The revocation request has been saved.","Żądanie odwołania zostało zapisane."
"This revocation request no longer exists.","To żądanie odwołania już nie istnieje."
"This revocation was accepted. To refund the customer, %s for order %s.","To odwołanie zostało zaakceptowane. Aby zwrócić klientowi, %s za zamówienie %s."
"Total of %d request(s) were updated.","Zaktualizowano łącznie %d żądania."
"Used to gate the my-account entry point. The statutory period is 14 days.","Używane do bramki mojego punktu wejścia. Czas ustawowy wynosi 14 dni."
"User Agent","Agent użytkownika"
"Verified","Zweryfikowano"
"View Request","Zobacz żądanie"
"View Requests","Zobacz żądania"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Otrzymaliśmy Twoją deklarację cofnięcia. Należy pamiętać, że potwierdzenie to potwierdza wyłącznie pokwitowanie; ważność cofnięcia zostanie oceniona i skontaktujemy się z Tobą oddzielnie."
"Yes","Tak"
"Yes (submitted from an authenticated customer session)","Tak (przesłane z uwierzytelnionej sesji klienta)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","Możesz odstąpić od umowy w ustawowym okresie odstąpienia od umowy za pomocą tego formularza.<br>Po przesłaniu, otrzymasz potwierdzenie, że Twoja deklaracja została otrzymana."
"Your request could not be processed right now. Please try again later or contact us directly.","Twoje żądanie nie może być teraz przetworzone. Spróbuj ponownie później lub skontaktuj się z nami bezpośrednio."
"Your revocation has been received","Twoje odwołanie zostało odebrane"
