"# of Use","# użycia"
"%1$s incl tax.","%1$s podatek."
"%s-%s of %s","%s-%s z %s"
"%s and above","%s i więcej"
"%s Item(s)","%s Item(s)"
"Apply MAP (Default Value)","Zastosuj MAP (wartość domyślna)"
"Apply price filter","Zastosuj filtr cen"
"Apply To","Zastosuj do"
"Approved","Zatwierdzone"
"A product type is not defined for the indexer.","Typ produktu nie jest zdefiniowany dla indeksatora."
"Are you sure?","Jesteś pewien?"
"Are you sure you want to delete this category?","Czy na pewno chcesz usunąć tę kategorię?"
"Are you sure you would like to remove all products from your comparison?","Czy na pewno chcesz usunąć wszystkie produkty z porównania?"
"Are you sure you would like to remove this item from the compare products?","Czy na pewno chcesz usunąć ten element z porównania produktów?"
"Assign","Przypisz"
"Assigned Products","Przypisane produkty"
"Assign product link","Przypisz link produktu"
"Assign product to category","Przypisz produkt do kategorii"
"Associated Products","Powiązane produkty"
"Attrib. Set Name","Nazwa zestawu atrybutów."
"Attribute ""%s"" is invalid.","Atrybut ""%s"" jest nieprawidłowy."
"Attribute ""%s"" is required.","Atrybut ""%s"" jest wymagany."
"Attribute add","Dodanie atrybutu"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Kod atrybutu jest nieprawidłowy. Proszę używać tylko liter (a-z), cyfr (0-9) lub podkreślenia (_) w tym polu, pierwszy znak powinien być literą. Nie używaj ""event"" dla kodu atrybutu."
"Attribute Information","Informacje o atrybucie"
"Attribute Name:","Nazwa atrybutu:"
"Attribute remove","Usunięcie atrybutu"
"Attributes","Atrybut"
"Attribute Set","Zestaw cech"
"Attribute Sets","Zestawy atrybutów"
"Attribute with the same code already exists","Atrybut o tym samym kodzie już istnieje"
"Attrribute names can be specified per store.","Można określić nazwy atrybutów dla każdego sklepu."
"Autogenerate","Automatyczne generowanie"
"Availability:","Dostępność:"
"Back","Powrót"
"Background Color","Kolor tła"
"Backorders","Zaległe zamówienia"
"Based On","Na podstawie"
"Base Image Width","Szerokość podstawowego obrazu"
"Before Order Confirmation","Przed potwierdzeniem zamówienia"
"Best Value","Najlepsza wartość"
"Block after Info Column","Blok za kolumną informacyjną"
"Bottom/Left","Dolny/Lewy"
"Bottom/Right","Dół/Prawo"
"Bottom Block Options Wrapper","Opakowanie opcji dolnego bloku"
"Bundle Items","Przedmioty pakietu"
"Buy %1$s","Kup %1$s"
"Buy %1$s for","Kup %1$s za"
"Buy %1$s for %2$s","Kup %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kup %1$s za %2$s (%3$s wraz z podatkiem) każdy"
"Buy %1$s for %2$s each","Kup %1$s za %2$s każdy"
"Cache Lifetime (Seconds)","Żywotność pamięci podręcznej (w sekundach)"
"Cache refresh needed.","Wymagane odświeżenie pamięci podręcznej."
"Can't create image.","Nie można utworzyć obrazu."
"Can be Divided into Multiple Boxes for Shipping","Można podzielić na wiele skrzyń dla wysyłki"
"Can be used only with catalog input type Dropdown","Może być użyty tylko z rozwijanym typem katalogu"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Może być użyty tylko z rozwijanym typem katalogu, wielokrotnym wyborem i ceną"
"Cancel","Anuluj"
"Cannot create image.","Nie można utworzyć obrazu."
"Cannot create writeable directory '%s'.","Nie można utworzyć zapisywalnego katalogu '%s'."
"Cart Item Attribute","Atrybut produktu w koszyku"
"Catalog","Katalog"
"Catalog + Search","Katalog + Wyszukiwanie"
"Catalog Category (Anchor)","Kategoria katalogu (kotwica)"
"Catalog Category (Non-Anchor)","Kategoria katalogu (bez kotwicy)"
"Catalog Category (Without Subcategories)","Kategoria katalogu (podkategorie Without)"
"Catalog Category Link","Link kategorii katalogu"
"Catalog New Products List","Lista nowych produktów katalogu"
"Catalog Price Scope","Zakres cen katalogu"
"Catalog Product Compare List","Lista porównań produktów katalogu"
"Catalog product custom options API","API niestandardowych opcji produktu katalogu"
"Catalog product custom option values API","API niestandardowych wartości opcji produktu katalogu"
"Catalog Product Email to a Friend","E-mail produktu katalogu do znajomego"
"Catalog Product Image Gallery Popup","Wyskakująca galeria zdjęć katalogu produktów"
"Catalog Product Link","Link do produktu katalogu"
"Catalog Product View (Any)","Widok katalogu produktów (dowolny)"
"Catalog Product View (Configurable)","Widok produktu katalogu (konfigurowalny)"
"Catalog Product View (Grouped)","Widok produktu katalogu (Grouped)"
"Catalog Product View (Simple)","Widok katalogu produktów (prosty)"
"Catalog Product View (Virtual)","Widok Katalogu Produktu (Virtual)"
"Catalog Seo Sitemap (Category List)","Mapa Seo Strony katalogu (lista kategorii)"
"Catalog Seo Sitemap (Category Tree)","Mapa Seo Strony katalogu (drzewo kategorii)"
"Catalog Seo Sitemap (Common)","Mapa Seo Strony Katalogu (Common)"
"Catalog Seo Sitemap (Product List)","Mapa Seo Strony katalogu (lista produktów)"
"Catalog URL Rewrites","Przekierowanie URL katalogu"
"Categories","Kategorie"
"categories","kategorie"
"Categories Sitemap","Mapa strony kategorii"
"Category","Kategoria"
"Category API","API kategorii"
"Category attributes API","API atrybutów kategorii"
"Category Data","Dane kategorii"
"Category delete error: %s","Błąd usuwania kategorii: %s"
"Category Flat Data","Płaskie dane kategorii"
"Category ID","ID kategorii"
"Category is not dynamic.","Kategoria nie jest dynamiczna."
"Category Link Block Template","Szablon bloku łącza kategorii"
"Category Link Inline Template","Szablon linku kategorii"
"Category move error: %s","Błąd przenoszenia kategorii: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","Kategoria musi być instancją Mage_Catalog_Model_Category."
"Category not found.","Nie znaleziono kategorii."
"Category Products","Produkty kategorii"
"Category save error: %s","Błąd zapisu kategorii: %s"
"Category Top Navigation","Najlepsza nawigacja kategorii"
"Category URL Suffix","Sufiks URL kategorii"
"Category was not found.","Kategoria nie została znaleziona."
"Center","Środkowy"
"Change","Zmiana"
"Change Attribute Set","Zmień zestaw cech"
"Change or Retrieve attribute store view","Zmień lub pobierz widok sklepu atrybutów"
"Change status","Zmień status"
"Changing the attribute set may result in data loss for attributes that do not exist in the new set. Are you sure?","Zmiana zestawu atrybutów może spowodować utratę danych dla atrybutów, które nie istnieją w nowym zestawie. Czy jesteś pewien?"
"Check items to add to the cart or","Zaznacz produkty, aby dodać do koszyka lub"
"Choose an Option...","Wybierz opcję..."
"Clear All","Wyczyść wszystko"
"Clear Price","Wyczyść cenę"
"Click for price","Kliknij po cenę"
"Close Window","Zamknij okno"
"Collapse All","Zwiń wszystko"
"Comma-separated.","Oddzielone przecinkami."
"Comparable","Porównywalne"
"Comparable on Front-end","Porównywalne na froncie"
"Comparable on the Frontend","Porównywalne w witrynie"
"Compare","Porównaj"
"Compare Products","Porównaj produkty"
"Conditions","Warunki"
"Conditions Combination","Kombinacja warunków"
"Configurable","Konfigurowalne"
"Configurable Product Settings","Konfigurowalne ustawienia produktu"
"Continue","Kontynuuj"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Kontrole wyświetlania przycisków Dodaj do Koszyka i Zobacz szczegóły na stronach kategorii i listach produktów. Po wyłączeniu, tylko nazwy produktów i obrazy będą klikalne."
"Copy From Configurable","Kopiuj z konfigurowalnego"
"Country/State","Kraj/Państwo"
"Create","Utwórz"
"Create (Upload)","Utwórz (Przeplotowany)"
"Create attribute set based on another set","Utwórz zestaw atrybutów na podstawie innego zestawu"
"Create Empty","Utwórz pusty"
"Create new attribute","Utwórz nowy atrybut"
"Create new category","Utwórz nową kategorię"
"Create new product","Utwórz nowy produkt"
"Create Permanent Redirect for old URL","Utwórz stałe przekierowanie dla starego adresu URL"
"Create Permanent Redirect for URLs if URL Key Changed","Utwórz stałe przekierowanie dla adresów URL jeśli klucz URL został zmieniony"
"Create Product Settings","Utwórz ustawienia produktu"
"Create Simple Associated Product","Utwórz Prosty Powiązany Produkt"
"Cross-sells","Sprzedaż krzyżowa"
"Custom Design","Własny wygląd"
"Customer Group","Grupa klientów"
"Customers Reviews","Opinie klientów"
"Customers Tagged Product","Otagowany produkt klientów"
"Custom Options","Opcje niestandardowe"
"Custom options","Opcje niestandardowe"
"Data Type for Saving in Database","Typ danych do zapisywania w bazie danych"
"Date & Time Custom Options","Niestandardowe opcje daty i czasu"
"Date Subscribed","Data subskrypcji"
"Datetime","Data i godzina"
"Decimal","Dziesiętne"
"Declare attribute value saving scope","Zadeklaruj zakres zapisywania wartości atrybutu"
"Default ""What's This"" Text Message","Domyślny tekst wiadomości ""Co to jest"""
"Default Popup Text Message","Domyślna wiadomość wyskakująca"
"Default Price","Domyślna cena"
"Default Price Navigation Step","Domyślny Krok Nawigacji Ceny"
"Default Qty","Default Qty"
"Default Values","Domyślne wartości"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Określa zakres waluty bazowej (""Ustawienia walut"" > ""Opcje waluty"" > ""Waluta bazowa"")."
"Delete","Usuń"
"Delete Attribute","Usuń atrybut"
"Delete attribute","Usuń atrybut"
"Delete Attribute Set","Usuń zestaw cech"
"Delete Category","Usuń kategorię"
"Delete category","Usuń kategorię"
"Delete File","Usuń plik"
"Delete Group Price","Usuń cenę grupową"
"Delete product","Usuń produkt"
"Delete Row","Usuń wiersz"
"Delete Search","Usuń wyszukiwanie"
"Delete Tier","Usuń poziom"
"Depends on design theme","Zależy od motywu projektu"
"Description","Opis"
"Design","Projekt"
"Details","Szczegóły"
"Disabled","Wyłączone"
"Disallowed file format.","Niedozwolony format pliku."
"Disallowed file type.","Niedozwolony typ pliku."
"Display Actual Price","Wyświetl aktualną cenę"
"Display in Suggested Terms","Wyświetlaj w Sugerowanych Warunkach"
"Display Page Control","Wyświetl sterowanie stroną"
"Display Price Interval as One Price","Wyświetl przedział cenowy jako jedną cenę"
"Display Product Count","Wyświetl liczbę produktów"
"Display Type","Typ wyświetlania"
"Downloadable Information","Informacje do pobrania"
"Do you want to duplicate the product images as well?","Czy chcesz również zduplikować zdjęcia produktu?"
"Do you want to duplicate the product images as well?","Czy chcesz również zduplikować zdjęcia produktu?"
"Duplicate","Duplicate"
"Duplicate Product","Duplikuj produkt"
"Duplicate website, country and state tax found.","Znaleziono zduplikowaną stronę, kraj i państwo."
"Duplicate website group price customer group.","Duplikuj grupę cenową grupy stron internetowych."
"Duplicate website tier price customer group and quantity.","Duplikuj grupę klientów poziomu cen strony internetowej i ilość."
"Dynamic category processed successfully.","Pomyślnie przetworzono kategorię dynamiczną."
"Dynamic Category Rules","Reguły dynamicznej kategorii"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Np. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamiczne dyrektywy analizujące ma wpływ na wydajność katalogu."
"each","każdy"
"Edit","Edytuj"
"Edit Attribute Set '%s'","Edytuj zestaw cech '%s'"
"Edit Product Attribute","Edytuj atrybut produktu"
"Edit Product Attribute ""%s""","Edytuj atrybut produktu ""%s"""
"Edit Search","Edytuj wyszukiwanie"
"Edit Search '%s'","Edytuj wyszukiwanie '%s'"
"Edit Set Name","Edytuj nazwę zestawu"
"Email","E-mail"
"Empty","Pusty"
"Enable Add to cart Button in product listings","Włącz przycisk Dodaj do koszyka na aukcjach produktów"
"Enabled","Włączone"
"Enable MAP","Włącz MAP"
"Enable Qty Increments","Włącz przyrost ilości"
"Enable WYSIWYG","Włącz WYSIWYG"
"Error during retrieval of option value: %s","Błąd podczas pobierania wartości opcji: %s"
"Error loading children: %s","Błąd ładowania dzieci: %s"
"ex. http://domain.com","np. http://domena.pl"
"Exclude","Wyklucz"
"Expand All","Rozwiń wszystko"
"Failed","Niepowodzenie"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Nie udało się skopiować pliku %s. Usuń media z nieistniejącymi obrazami i spróbuj ponownie."
"Failed to move file: %s","Nie udało się przenieść pliku: %s"
"Failed to save uploaded file.","Nie udało się zapisać przesłanego pliku."
"Failed to write temporary file.","Nie udało się zapisać pliku tymczasowego."
"Field is not complete","Pole nie jest kompletne"
"File","Plik"
"File name and base64 data are required.","Nazwa pliku i dane base64 są wymagane."
"File options format is not valid.","Format opcji pliku jest nieprawidłowy."
"Files without extensions are not allowed.","Pliki bez rozszerzeń nie są dozwolone."
"File upload failed","Przesyłanie pliku nie powiodło się"
"File upload failed. Please contact the store administrator.","Przesyłanie pliku nie powiodło się. Skontaktuj się z administratorem sklepu."
"File upload failed with error code: %s","Przesyłanie pliku nie powiodło się z kodem błędu: %s"
"File upload is only allowed for file-type options.","Przesyłanie plików jest dozwolone tylko dla opcji typu pliku."
"Filter","Filtr"
"Filterable (no results)","Filtrowanie (bez wyników)"
"Filterable (with results)","Filtrowanie (z wynikami)"
"Filter model name must be declared.","Należy podać nazwę modelu filtra."
"Filter must be an object. Please set correct filter.","Filtr musi być obiektem. Proszę ustawić poprawny filtr."
"Filters","Filtry"
"First Name","Imię"
"Fixed","Naprawione"
"For internal use.","Do użytku wewnętrznego."
"For the last time placed.","Dla ostatniego miejsca położenia."
"From","Od"
"Frontend","Witryna"
"Frontend Properties","Właściwości Frontend"
"Gallery","Galeria"
"General Information","Informacje ogólne"
"Get full information about attribute with list of options","Uzyskaj pełne informacje o atrybucie z listą opcji"
"Get full information about custom option in product","Uzyskaj pełne informacje o niestandardowej opcji produktu"
"Get list of available custom option types","Pobierz listę dostępnych typów opcji niestandardowych"
"Get list of non-default attributes by product type and attributes set","Pobierz listę niedomyślnych atrybutów według typu produktu i zestawu atrybutów"
"Get list of possible attribute types","Pobierz listę możliwych typów atrybutów"
"Get special price","Pobierz specjalną cenę"
"Global","Globalny"
"Globally Editable","Edytowalne globalnie"
"Go to Home Page","Przejdź do strony głównej"
"Grid","Siatka"
"Group add","Dodaj grupę"
"Grouped","Grupowane"
"Group remove","Usunięcie grupy"
"Groups","Grupy"
"Home","Strona główna"
"HTML tags are not allowed in SKU attribute.","Znaczniki HTML nie są dozwolone w atrybucie SKU."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Jeśli puste, nazwa kategorii zostanie użyta"
"If empty, the Product Name will be used","Jeśli puste, nazwa produktu zostanie użyta"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jeśli nie określisz wartości opcji dla określonego widoku sklepu, zostanie użyta domyślna wartość (Admin)."
"Image","Obraz"
"Image content is not valid base64 data.","Zawartość obrazu nie jest poprawnymi danymi base64."
"Image does not exist.","Obraz nie istnieje."
"Image type and information need to be specified for each store view.","Należy określić typ obrazu i informacje dla każdego widoku sklepu."
"In Cart","W koszyku"
"Incl. Tax","Z podatkiem"
"Indexed category/products association","Indeksowane powiązanie kategorii/produktów"
"Index product and categories URL rewrites","Indeks przekierowań URL produktu i kategorii"
"Index product attributes for layered navigation building","Indeks atrybutów produktu dla warstwowego budowania nawigacji"
"Index product prices","Indeks cen produktów"
"Info","Informacje"
"Info Column Options Wrapper","Wrapper opcji kolumny informacji"
"Input Type","Input Type"
"In Stock","Na magazynie"
"In stock","W magazynie"
"Integer","Liczba całkowita"
"Internal Error","Błąd wewnętrzny"
"Interval Division Limit","Granica odstępu"
"Invalid attribute %s","Nieprawidłowy atrybut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Nieprawidłowa opcja atrybutu określona dla atrybutu %s (%s), pominięto wpis."
"Invalid attribute set specified, skipping the record.","Podano nieprawidłowy zestaw atrybutów, pomijam wpis."
"Invalid base64-encoded file data.","Nieprawidłowe dane kodowane przez base64."
"Invalid block: %s.","Nieprawidłowy blok: %s."
"Invalid category.","Nieprawidłowa kategoria."
"Invalid category IDs.","Nieprawidłowe ID kategorii."
"Invalid custom option(s).","Nieprawidłowe opcje niestandardowe."
"Invalid image file type.","Nieprawidłowy typ pliku obrazu."
"Invalid image type.","Nieprawidłowy typ obrazu."
"Invalid option ID specified for %s (%s), skipping the record.","Nieprawidłowy identyfikator opcji dla %s (%s) pomijam wpis."
"Invalid product collection resource.","Nieprawidłowy zasób kolekcji produktów."
"Invalid product type specified, skipping the record.","Podano nieprawidłowy typ produktu, pomijam wpis."
"Invalid store specified","Określono nieprawidłowy sklep"
"Invalid store specified, skipping the record.","Podano nieprawidłowy sklep, pomijam wpis."
"Invalid Tier Prices","Nieprawidłowe ceny poziomu"
"Invalid tier prices. The product is not associated to the requested website.","Nieprawidłowe ceny poziomu. Produkt nie jest powiązany z żądaną stroną."
"Inventory","Ekwipunek"
"Is Default","Jest domyślny"
"Is Required","Jest wymagane"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Elementy, których nie chcesz pokazać w katalogu lub wynikach wyszukiwania, powinny mieć status 'Wyłączone' w wybranym sklepie."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Elementy, których nie chcesz pokazać w katalogu lub wynikach wyszukiwania, powinny mieć status ""Wyłączone"" w wybranym sklepie."
"Keep Frame","Zachowaj ramkę"
"Label","Etykieta"
"Last Name","Nazwisko"
"Last Notification","Ostatnie powiadomienie"
"Layered Navigation","Nawigacja warstwowa"
"Learn More","Poznaj więcej"
"leave blank if its not an image","pozostaw puste, jeśli nie jest zdjęciem"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Linia %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (zaktualizowana, sprzedaż w górę, sprzedaż krzyżowa)"
"Link product does not exist.","Link produktu nie istnieje."
"Link to a Specified Category","Link do określonej kategorii"
"Link to a Specified Product","Link do określonego produktu"
"List","Lista"
"List Mode","Tryb listy"
"List of Products that are set as New","Lista produktów ustawionych jako nowe"
"List of types","Lista typów"
"Manage Attributes","Zarządzaj atrybutami"
"Manage Attribute Sets","Zarządzaj zestawami atrybutów"
"Manage Catalog Categories","Zarządzaj kategoriami katalogu"
"Manage Categories","Zarządzaj kategoriami"
"Manage Label / Options","Zarządzaj etykietą / opcjami"
"Manage Options (values of your attribute)","Zarządzaj opcjami (wartościami atrybutu)"
"Manage Product Attributes","Zarządzaj cechami produktu"
"Manage Products","Zarządzaj produktami"
"Manage Product Sets","Zarządzaj zestawami produktów"
"Manage Stock","Zarządzaj magazynem"
"Manage Titles (Size, Color, etc.)","Zarządzaj tytułami (Rozmiar, Kolor itp.)"
"Max Characters","Maksymalna ilość znaków"
"Maximal Depth","Maksymalna głębokość"
"Maximum allowed image size for '%s' is %sx%s px.","Maksymalny dozwolony rozmiar obrazu dla '%s' to %sx%s px."
"Maximum file size","Maksymalny rozmiar pliku"
"Maximum image height","Maksymalna wysokość obrazu"
"Maximum Image Size","Maksymalny rozmiar obrazu"
"Maximum image width","Maksymalna szerokość obrazu"
"Maximum number of characters:","Maksymalna liczba znaków:"
"Maximum Number of Price Intervals","Maksymalna liczba przedziałów cen"
"Maximum number of price intervals is 100","Maksymalna liczba przedziałów cenowych to 100"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość dozwolona w koszyku"
"Maximum resolution for upload image","Maksymalna rozdzielczość dla przesłania obrazu"
"Maximum width and height dimension for upload image is %s.","Maksymalna szerokość i wysokość dla wgrywanego obrazu to %s."
"Maximum width and height resolutions for upload image","Maksymalna szerokość i rozdzielczość wysokości dla przesyłania obrazu"
"Maximum width base product image will be scaled down to in pixels","Maksymalna szerokość podstawowego obrazu produktu zostanie przeskalowana w dół do pikseli"
"Maximum width small product image will be scaled down to in pixels","Maksymalna szerokość obrazu produktu zostanie przeskalowana w dół do pikseli"
"Media Image","Obraz multimediów"
"Middle Name","Drugie imię"
"Minimum Advertised Price","Minimalna cena reklamowa"
"Minimum Lines per Page","Minimalne linie na stronie"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość dozwolona w koszyku"
"Minimum Qty for Item's Status to be Out of Stock","Minimalna ilość dla stanu przedmiotu niedostępnego"
"Missing SKU, skipping the record.","Brakuje SKU, pomijam wpis."
"Move","Przenieś"
"Move category in tree","Przenieś kategorię w drzewie"
"Multi update product","Multi aktualizacja produktu"
"Must be in the allowed values list.","Musi znajdować się na liście dozwolonych wartości."
"My Account","Moje konto"
"N/A","Nie dotyczy."
"Name","Nazwisko"
"Name in %s","Nazwa w %s"
"New Product","Nowy produkt"
"New Product Attribute","Nowy atrybut produktu"
"New Products","Nowe produkty"
"New products","Nowe produkty"
"New Products Grid Template","Szablon siatki nowych produktów"
"New Products Images and Names Template","Szablon nowych zdjęć i nazw produktów"
"New Products Images Only Template","Szablon tylko nowych obrazów produktów"
"New Products List Template","Szablon listy nowych produktów"
"New Products Names Only Template","Szablon tylko nowych nazw produktów"
"New Root Category","Nowa kategoria główna"
"New Search","Nowe wyszukiwanie"
"New Subcategory","Nowa podkategoria"
"Next","Następny"
"No","Nie"
"No, without images","Nie, bez obrazów"
"No image","Brak obrazu"
"No layout updates","Brak aktualizacji układu"
"None","Brak"
"No options of this product are available.","Brak dostępnych opcji dla tego produktu."
"No product collections found.","Nie znaleziono kolekcji produktów."
"Notify for Quantity Below","Powiadom o ilości poniżej"
"Notify Low Stock RSS","Powiadom RSS Niskich zapasów"
"Not Individually","Nie pojedynczo"
"Number of Products per Page","Liczba produktów na stronę"
"Number of Products to Display","Liczba produktów do wyświetlenia"
"Number of results","Liczba wyników"
"Number of results (For the last time placed)","Liczba wyników (po raz ostatni)"
"Number of Uses","Liczba zastosowań"
"On Gesture","W gestie"
"Option:","Opcja:"
"Options","Opcje"
"Options Control","Kontrola opcji"
"Options is required","Opcje są wymagane"
"Option validation failed to add product to cart.","Weryfikacja opcji nie powiodła się dodając produkt do koszyka."
"Option values","Wartości opcji"
"Out of Stock","Brak magazynu"
"Out of stock","Brak na stanie"
"Pad resized images to exact dimensions with background color","Obrazy zmieniły rozmiar pola na dokładne wymiary z kolorem tła"
"Page Title Separator","Separator tytułu strony"
"Parent category is equal to child category.","Kategoria nadrzędna jest równa kategorii podrzędnej."
"Parent category was not found.","Nie znaleziono kategorii nadrzędnej."
"Parent Products","Produkty nadrzędne"
"Pending","Oczekujące"
"Pending Reviews RSS","RSS oczekujących recenzji"
"Percentage","Procent"
"per page","na stronie"
