"-- Please Select --","-- Wybierz --"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Produkty karty upominkowej nie mogą być dodawane po zastosowaniu kodu karty upominkowej. Proszę najpierw usunąć kod karty upominkowej."
"Gift Cards","Karty podarunkowe"
"Gift cards cannot be used to purchase gift card products.","Karty podarunkowe nie mogą być użyte do zakupu produktów z karty upominkowej."
"Gift Cards Configuration","Konfiguracja kart podarunkowych"
"Gift Card Transaction History","Historia transakcji na karcie podarunkowej"
"Gift card was removed.","Karta podarunkowa została usunięta."
"Gift Certificates","Certyfikaty podarunkowe"
"Inactive","Nieaktywny"
"Initial Balance","Saldo początkowe"
"Invalid form key. Please refresh the page and try again.","Nieprawidłowy klucz formularza. Odśwież stronę i spróbuj ponownie."
"Invalid gift card code.","Nieprawidłowy kod karty upominkowej."
"Invalid request.","Nieprawidłowe żądanie."
"Leave blank for immediate delivery","Pozostaw puste dla natychmiastowej dostawy"
"Leave empty to use system default. 0 = never expires.","Pozostaw puste, aby użyć domyślnego systemu. 0 = nigdy nie wygasa."
"Lifetime (days)","Żywotność (dni)"
"Lost cards not replaced","Nie zastąpiono utraconych kart"
"Manage Gift Cards","Zarządzaj kartami podarunkowymi"
"Maximum Amount","Maksymalna kwota"
"Message:","Wiadomość:"
"Minimum Amount","Minimalna kwota"
"New Gift Card","Nowa karta podarunkowa"
"Not redeemable for cash","Niewypłacalne na gotówkę"
"Optional","Opcjonalnie"
"Order #","Zamówienie nr"
"Order History","Historia zamówień"
"Other Amount","Inne kwoty"
"Personal Message","Wiadomość osobista"
"Please enter a gift card code.","Wprowadź kod karty podarunkowej."
"Please select a valid gift card amount","Wybierz prawidłową kwotę karty podarunkowej"
"Please select gift card(s).","Proszę wybrać karty podarunkowe."
"Price varies","Różnice cen"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","E-mail odbiorcy"
"Recipient Name","Nazwa odbiorcy"
"Refund Expiration Extension (days)","Rozszerzenie ważności zwrotu (dni)"
"Refund to Gift Card","Zwrot na kartę podarunkową"
"Remove","Usuń"
"Save And Continue Edit","Zapisz i kontynuuj edycję"
"Save Gift Card","Zapisz kartę podarunkową"
"Schedule Delivery","Zaplanuj dostawę"
"Select Amount","Wybierz kwotę"
"Send Email","Wyślij e-mail"
"Send gift card email to %s?","Wysłać e-mail z kartą podarunkową do %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","Status"
"The gift card has been deleted.","Karta podarunkowa została usunięta."
"The gift card has been saved.","Karta podarunkowa została zapisana."
"This gift card no longer exists.","Ta karta podarunkowa już nie istnieje."
"This is a required field.","To pole jest wymagane."
"To","Do"
"Too many attempts. Please wait a moment and try again.","Zbyt wiele prób. Proszę poczekać chwilę i spróbować ponownie."
"Total: %s","Razem: %s"
"Unable to check balance.","Nie można sprawdzić salda."
"Unable to find a gift card to delete.","Nie można znaleźć karty podarunkowej do usunięcia."
"Unknown","Nieznane"
"Updated At","Zaktualizowano"
"Used","Używane"
"Use Default (%s)","Użyj domyślnych (%s)"
"View","Widok"
"Website","Strona internetowa"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","Po zwrocie do wygasłej karty podarunkowej, przedłuż okres ważności o tyle dni. 0 = brak rozszerzenia (karta wygasła, ale saldo jest przywrócone)."
"Your Email","Twój e-mail"
"Your Name","Twoje imię"
