"""Remember Me"" Default Value","Domyślna wartość ""Zapamiętaj mnie"""
"Are you sure?","Jesteś pewien?"
"Are you sure that you want to remove this item?","Czy na pewno chcesz usunąć ten element?"
"Are you sure you want to cancel adding of this address?","Czy na pewno chcesz anulować dodawanie tego adresu?"
"Are you sure you want to delete this address?","Czy na pewno chcesz usunąć ten adres?"
"Assign a Customer Group","Przypisz grupę klientów"
"Average Sale","Średnia wyprzedaż"
"Back","Powrót"
"Bad request.","Błędne żądanie."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Na podstawie identyfikatora VAT klient należałby do Grupy Klientów %s."
"Bill to Name","Nazwa rachunku"
"Bought From","Zakupione od"
"By Email","Przez e-mail"
"By IP","Według IP"
"By IP and Email","Przez IP i e-mail"
"Cache Lifetime (hours)","Żywotność pamięci podręcznej (godziny)"
"Cancel","Anuluj"
"Cannot save address.","Nie można zapisać adresu."
"Cannot save a new password.","Nie można zapisać nowego hasła."
"Cannot save the customer.","Nie można zapisać klienta."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Nie można współdzielić kont klientów globalnie, ponieważ niektóre konta klientów z tymi samymi adresami e-mail istnieją na wielu stronach internetowych i nie mogą być połączone."
"Change Account Data","Zmień dane konta"
"Change Billing Address","Zmień adres rozliczeniowy"
"Changed Email or Password Email Template","Szablon wiadomości e-mail o zmianie adresu e-mail lub hasła"
"Changed Password or Email","Zmienione hasło lub e-mail"
"Change Password","Zmień hasło"
"Change Shipping Address","Zmień adres dostawy"
"City","Miasto"
"Close","Zamknij"
"Company","W związku z tym Komisja odrzuciła ten argument."
"Configure","Skonfiguruj"
"Confirmation Link Email","E-mail z linkiem potwierdzającym"
"Confirmed","Potwierdzone"
"Confirm New Password","Potwierdź nowe hasło"
"Confirm Password","Potwierdź hasło"
"Contact Information","Informacje kontaktowe"
"Continue","Kontynuuj"
"Continue Shopping","Kontynuuj zakupy"
"Controls whether password is required during registration when Magic Link is enabled.","Kontroluje czy hasło jest wymagane podczas rejestracji, gdy Magic Link jest włączony."
"Country","W związku z powyższym Komisja stwierdza, że w okresie objętym dochodzeniem przeglądowym przywóz produktu objętego postępowaniem z ChRL nie mógł zostać objęty środkami antydumpingowymi."
"Country is required.","Kraj jest wymagany."
"Create","Utwórz"
"Create an account","Utwórz konto"
"Create customer","Utwórz klienta"
"Create customer address","Utwórz adres klienta"
"Create New Account Options","Utwórz nowe opcje konta"
"Create New Customer Account","Utwórz nowe konto klienta"
"Create Order","Utwórz zamówienie"
"CSV","CSV"
"Current Admin Password","Bieżące hasło administratora"
"Current Password","Bieżące hasło"
"Customer","Klient"
"Customer Account Edit Form","Formularz edycji konta klienta"
"Customer Account Login Form","Formularz logowania konta klienta"
"Customer Account Logout Success","Konto Klienta zostało wylogowane"
"Customer Account Registration Form","Formularz rejestracji konta klienta"
"Customer accounts cannot be disabled because guest checkout is not allowed. Please enable guest checkout first.","Konta klienta nie mogą być wyłączone, ponieważ zamówienie gościa nie jest dozwolone. Proszę najpierw włączyć zamówienie gościa."
"Customer Addresses","Adresy klienta"
"Customer API","API klienta"
"Customer collection expected.","Oczekiwana kolekcja klienta."
"Customer Configuration","Konfiguracja klienta"
"Customer email is required","Adres e-mail klienta jest wymagany"
"Customer Forgot Password Form","Formularz zapomnianego hasła klienta"
"Customer Group","Grupa klientów"
"Customer Groups","Grupy klientów"
"Customer Information","Informacje o kliencie"
"Customer Login","Logowanie klienta"
"Customer My Account (All Pages)","Moje konto klienta (wszystkie strony)"
"Customer My Account Address Book","Książka adresowa klienta"
"Customer My Account Address Edit Form","Formularz edycji adresu klienta"
"Customer My Account Dashboard","Panel Konta Klienta"
"Customers","Klienci"
"Customer Since","Klient od"
"Customers Only","Tylko klienci"
"Customer View","Widok Klienta"
"Customer website ID must be specified when using the website scope","Identyfikator witryny klienta musi być określony podczas korzystania z zakresu witryny"
"Customer will stay on the current page if ""No"" is selected.","Klient pozostanie na bieżącej stronie, jeśli zaznaczono ""Nie""."
"Date","Data"
"Date Added","Data dodania"
"Date of Birth","Data urodzenia"
"Day","Dzień"
"Days in Wishlist","Dni w schowku"
"DD","DD"
"Default Addresses","Domyślne adresy"
"Default Billing Address","Domyślny adres rozliczeniowy"
"Default Email Domain","Domyślna domena e-mail"
"Default Group","Domyślna grupa"
"Default Shipping Address","Domyślny adres dostawy"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Domyślna wartość dla wyłączenia automatycznych zmian grupy w oparciu o VAT ID"
"Default Welcome Email","Domyślny e-mail powitalny"
"Delete","Usuń"
"Delete Address","Usuń adres"
"Delete Customer","Usuń klienta"
"Delete customer","Usuń klienta"
"Delete customer address","Usuń adres klienta"
"Delete Customer Group","Usuń grupę klientów"
"Deleted Stores","Usunięte sklepy"
"Details","Szczegóły"
"Disabled","Wyłączone"
"Edit","Edytuj"
"Edit Account Info","Edytuj informacje o koncie"
"Edit Account Information","Edytuj informacje o koncie"
"Edit Address","Edytuj adres"
"Edit Customer's Address","Edytuj adres klienta"
"Edit Customer Group ""%s""","Edytuj grupę klientów ""%s"""
"Edit Customer Groups","Edytuj grupy klientów"
"Edit Group","Edytuj grupę"
"Email","E-mail"
"Email:","Email:"
"Email Address","Adres e-mail"
"Email Link to Set Password","Adres e-mail do ustawienia hasła"
"Email Link to Set Password on New Account","Wyślij link do ustawienia hasła na nowym koncie"
"Email Link to Set Password Options","Adres e-mail do ustawienia opcji hasła"
"Email Sender","Nadawca wiadomości e-mail"
"Email Template","Szablon e-mail"
"Enable ""Remember Me""","Włącz ""Zapamiętaj mnie"""
"Enable Automatic Assignment to Customer Group","Włącz automatyczne przypisanie do grupy klientów"
"Enable Customer Accounts in Frontend","Włącz konta klientów w sklepie"
"Enable Magic Link Login","Włącz logowanie do Magic Link"
"Enable Real-time VAT Validation","Włącz sprawdzanie VAT w czasie rzeczywistym"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Nie udało się potwierdzić konta klienta."
"Fax","Faks"
"First Name","Imię"
"Forgot and Remind Email Sender","Nie pamiętasz i przypomnienie nadawcy wiadomości"
"Forgot Email Template","Zapomniany szablon e-mail"
"Forgot Password","Zapomniałeś hasła"
"Forgot password flow secure","Bezpieczny przepływ zapomnianego hasła"
"Forgot password requests to times per 24 hours from 1 e-mail","Prośby o zapomniane hasło do godzin w ciągu 24 godzin od 1 e-maila"
"Forgot password requests to times per hour from 1 IP","Zapytania o zapomniane hasło do godzin od 1 IP"
"Forgot Your Password","Zapomniałeś hasła"
"Forgot Your Password?","Zapomniałeś hasła?"
"Form Fields Before","Przed polami formularza"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Z panelu mojego konta masz możliwość oglądania zrzutu z Twojej ostatniej aktywności konta i aktualizacji informacji o koncie. Wybierz link poniżej, aby wyświetlić lub edytować informacje."
"Gender","Płeć"
"Gender is required.","Płeć jest wymagana."
"Generate Human-Friendly Customer ID","Wygeneruj przyjazny dla człowieka identyfikator klienta"
"Global","Globalny"
"Group","Grupa"
"Group for Invalid VAT ID","Grupa dla nieprawidłowego numeru VAT"
"Group for Valid VAT ID - Domestic","Grupa dla poprawnego numeru VAT - Krajowy"
"Group for Valid VAT ID - Intra-Union","Grupa dla ważnego numeru VAT - Wewnątrz Unii"
"Group Information","Informacje o grupie"
"Group Name","Nazwa grupy"
"Guest","Gość"
"Hello, %s!","Witaj, %s!"
"How long the magic link remains valid. Default: 10 minutes.","Jak długo magiczny link pozostaje ważny. Domyślnie: 10 minut."
"How long to cache VIES validation results. Set to 0 to disable caching.","Jak długo buforować wyniki walidacji VIES. Ustaw 0 aby wyłączyć buforowanie."
"HTML","HTML"
"ID","ID"
"If there is an account associated with %s you will receive an email with a login link.","Jeśli istnieje konto powiązane z %s otrzymasz e-mail z linkiem do logowania."
"If VIES service is down, accept VAT numbers that pass format validation.","Jeśli usługa VIES jest wyłączona, akceptuj numery VAT, które potwierdzają poprawność formatu."
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation","Jeśli jesteś zarejestrowanym klientem VAT, proszę <a href=""%s"">kliknij tutaj</a> , aby wprowadzić adres rozliczeniowy w celu prawidłowego obliczenia podatku VAT"
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation","Jeśli jesteś zarejestrowanym klientem VAT, proszę <a href=""%s"">kliknij tutaj</a> , aby wprowadzić adres dostawy w celu prawidłowego obliczenia podatku VAT"
"If you believe this is an error, please contact us at %s","Jeśli uważasz, że to błąd, skontaktuj się z nami pod adresem %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Nieprawidłowa opcja atrybutu określona dla atrybutu %s (%s), pominięto wpis."
"Invalid attribute set specified, skipping the record.","Podano nieprawidłowy zestaw atrybutów, pomijam wpis."
"Invalid billing address for (%s)","Nieprawidłowy adres rozliczeniowy dla (%s)"
"Invalid current password","Nieprawidłowe aktualne hasło"
"Invalid customer data","Nieprawidłowe dane klienta"
"Invalid email address ""%s"".","Nieprawidłowy adres e-mail ""%s""."
"Invalid email address.","Nieprawidłowy adres e-mail."
"Invalid form key. Please refresh the page.","Nieprawidłowy klucz formularza. Odśwież stronę."
"Invalid login link.","Nieprawidłowy link logowania."
"Invalid login or password.","Nieprawidłowy login lub hasło."
"Invalid or expired login link.","Nieprawidłowy lub wygasł link logowania."
"Invalid password reset customer Id.","Nieprawidłowe hasło resetuje ID klienta."
"Invalid password reset token.","Nieprawidłowy token resetowania hasła."
"Invalid request method.","Nieprawidłowa metoda żądania."
"Invalid shipping address for (%s)","Nieprawidłowy adres dostawy (%s)"
"Invalid store specified, skipping the record.","Podano nieprawidłowy sklep, pomijam wpis."
"Invalid VAT number format for %s.","Nieprawidłowy format numeru VAT dla %s."
"Invalid website, skipping the record, line: %s","Nieprawidłowa strona internetowa, pominięto wpis, linia: %s"
"IP Address","Adres IP"
"Last Activity","Ostatnia aktywność"
"Last Date Subscribed","Data ostatniej subskrypcji"
"Last Date Unsubscribed","Data ostatniego anulowania subskrypcji"
"Last Name","Nazwisko"
"Last URL","Ostatni URL"
"Leave empty for default (2). Valid range: 1-4","Pozostaw puste dla domyślnego (2). Prawidłowy zakres: 1-4"
"Leave empty for default (15 minutes).","Pozostaw puste dla wartości domyślnych (15 minut)."
"Lifetime Sales","Dożywotnia sprzedaż"
"Log In","Zaloguj się"
"Login","Logowanie"
"Login and password are required.","Logowanie i hasło są wymagane."
"Login Form","Formularz logowania"
"Login Information","Informacje o logowaniu"
"Login Options","Opcje logowania"
"Login with Magic Link","Zaloguj się za pomocą Magic Link"
"Logout","Wyloguj się"
"Log Out","Wyloguj"
"Magic Link Email Sender","Nadawca e-maila z Magic Link"
"Magic Link Email Template","Szablon wiadomości Magic Link"
"Magic Link Login","Logowanie do Magic Link"
"Magic Link Rate Limit - Email (requests per hour)","Magic Link Rate Limit - E-mail (żądania na godzinę)"
"Magic Link Rate Limit - IP (requests per hour)","Magic Link Rate Limit - IP (żądania na godzinę)"
"Magic Link Registration Password Requirement","Wymagane hasło rejestracji Magic Link"
"Magic Link Token Expiration (minutes)","Ważność tokenu Magic Link (minuty)"
"Manage Addresses","Zarządzaj adresami"
"Manage Customers","Zarządzaj klientami"
"Maximum length must be less then %s symbols","Maksymalna długość musi być mniejsza niż symbole %s"
"Maximum magic link requests per email address per hour. Default: 3.","Maksymalna ilość magicznych żądań linków na adres e-mail na godzinę. Domyślnie: 3."
"Maximum magic link requests per IP address per hour. Default: 10.","Maksymalna magiczna prośba o link na adres IP na godzinę. Domyślnie: 10."
"Middle Name","Drugie imię"
"Minimum admin password length","Minimalna długość hasła administratora"
"Minimum password length","Minimalna długość hasła"
"Missing email, skipping the record, line: %s","Brakujący e-mail, pominięto wpis, linia: %s"
"Missing email, skipping the record.","Brakujący adres e-mail, pomijam wpis."
"Missing first name, skipping the record, line: %s","Brakujące imię, pominięto wpis, linia: %s"
"Missing firstname, skipping the record.","Brakuje imienia, pominięto wpis."
"Missing last name, skipping the record, line: %s","Brakuje nazwiska, pominięto wpis, linia: %s"
"Missing lastname, skipping the record.","Brakuje nazwiska, pomijam wpis."
"Missing website, skipping the record, line: %s","Brakuje strony internetowej, pomijam wpis, linia: %s"
"MM","MM"
"Month","Miesiąc"
"My Account","Moje konto"
"My Account Wrapper","Pakiet mojego konta"
"My Dashboard","Mój panel"
"My Orders","Moje zamówienia"
"n/a","n/a"
"Name","Nazwisko"
"Name and Address Options","Opcje nazwy i adresu"
"Never","Nigdy"
"New account","Nowe konto"
"New account confirmation key","Klucz potwierdzenia nowego konta"
"New account confirmed","Nowe konto zostało potwierdzone"
"New Account Email Template","Szablon e-mail nowego konta"
"New Address","Nowy adres"
"New Customer","Nowy Klient"
"New Customer Address","Nowy adres klienta"
"New Customer Group","Nowa grupa klientów"
"New Customer Groups","Nowe grupy klientów"
"New Customers","Nowi klienci"
"New Group","Nowa grupa"
"New Password","Nowe hasło"
"New password field cannot be empty.","Nowe hasło nie może być puste."
"Newsletter","Newsletter"
"Newsletter Finish","Ukończenie newslettera"
"Newsletter Information","Informacje o biuletynie"
"Newsletter Received","Otrzymano biuletyn"
"Newsletter Start","Początek newslettera"
"Newsletter Subscription","Subskrypcja newslettera"
"No customer collections found","Nie znaleziono kolekcji klientów"
"No Items Found","Nie znaleziono elementów"
"No item specified.","Nie określono elementu."
"No Newsletter Found","Nie znaleziono newslettera"
"No Password (Full Passwordless)","Brak hasła (puste hasła)"
"Not confirmed, can login","Nie potwierdzono, możesz się zalogować"
"Not confirmed, cannot login","Nie potwierdzono, nie można się zalogować"
"Not Sent","Nie wysłano"
"Number of Lines in a Street Address ","Liczba linii w adresie ulicy "
"Offline","Offline"
"Online","Dostępny"
"Online Customers","Klienci online"
"Online Customers Options","Opcje Klientów Online"
"Online Minutes Interval","Interwał minut online"
"or","lub"
"Order #","Zamówienie nr"
"Orders","Zamówienia"
"Order Total","Suma zamówienia"
"Password","Hasło"
"Password:","Hasło:"
"Password forgotten","Zapomniano hasła"
"Password Management","Zarządzanie hasłami"
"Password Options","Opcje hasła"
"Paused","Zatrzymano"
"PDF","PDF"
"Pending","Oczekujące"
"Personal Information","Informacje osobiste"
"Per Website","Na stronę internetową"
"Please, check your email for confirmation key.","Proszę sprawdzić swój adres e-mail, aby uzyskać klucz potwierdzający."
"Please enter a number 1 or greater in this field.","Wprowadź numer 1 lub więcej w tym polu."
"Please enter a number 7 or greater in this field.","Wprowadź liczbę 7 lub większą w tym polu."
"Please enter a password with at most %s characters.","Wprowadź hasło z najwyżej liczbą %s znaków."
"Please enter a valid date between %s and %s at %s.","Wprowadź prawidłową datę pomiędzy %s i %s w %s."
"Please enter a valid date equal to or greater than %s at %s.","Wprowadź prawidłową datę równą lub większą niż %s w %s."
"Please enter a valid date less than or equal to %s at %s.","Wprowadź prawidłową datę mniejszą lub równą %s w %s."
"Please enter the city.","Wprowadź miasto."
"Please enter the country.","Wprowadź kraj."
"Please enter the first name.","Wprowadź imię."
"Please enter the last name.","Wprowadź nazwisko."
"Please enter the state/province.","Wprowadź województwo/województwo."
"Please enter the street.","Wprowadź ulicę."
"Please enter the telephone number.","Wprowadź numer telefonu."
"Please enter the zip/postal code.","Wprowadź kod pocztowy."
"Please enter your email.","Podaj swój e-mail."
"Please enter your email below and we'll send you confirmation link for it.","Wprowadź swój adres e-mail poniżej, a wyślemy Ci link potwierdzający."
"Please make sure your passwords match.","Upewnij się, że hasła są identyczne."
"Please select","Proszę wybrać"
"Please select a website which contains store view","Wybierz stronę internetową zawierającą widok sklepu"
"Please select region, state or province","Proszę wybrać region, województwo"
"Prefix Dropdown Options","Opcje rozwijanej listy prefiksów"
"Price","Cena"
"Product","Produkt"
"Product ID","Identyfikator produktu"
"Product Name","Nazwa produktu"
"Product Reviews","Opinie o produkcie"
"Product Tags","Tagi produktu"
"Provided address does not belong to the logged in customer.","Podany adres nie należy do zalogowanego klienta."
"Purchased On","Zakupione dnia"
"Purchase On","Zakup na"
"Qty","Ilość"
"Recent Orders","Ostatnie zamówienia"
"Records for %s store found.","Znaleziono rekordy dla sklepu %s."
"Recovery Link Expiration Period (hours)","Okres ważności linku odzyskiwania (godziny)"
"Redirect Customer to Account Dashboard after Logging in","Przekieruj klienta do Panelu Klienta po zalogowaniu"
"Refunded","Zwrócono"
"Register","Rejestracja"
"Registration Form","Formularz rejestracji"
"Registration successful, but we could not send the login link. Please use the login page.","Rejestracja zakończona pomyślnie, ale nie mogliśmy wysłać linku do logowania. Użyj strony logowania."
"Remember Me","Zapamiętaj mnie"
"Remind Email Template","Przypomnij szablon wiadomości e-mail"
"Remind Password","Przypomnij hasło"
"Remove","Usuń"
"Remove address","Usuń adres"
"Require admin user to change user password","Wymagaj zmiany hasła użytkownika administratora"
"Require Emails Confirmation","Wymagaj potwierdzenia wiadomości e-mail"
"Require Password (Default)","Wymagaj hasła (domyślnie)"
"Reset a Password","Resetuj hasło"
"Retrieve address data","Pobierz dane adresowe"
"Retrieve address info","Pobierz informacje o adresie"
"Retrieve customer addresses","Pobierz adresy klientów"
"Retrieve customer data","Pobierz dane klienta"
"Retrieve customer groups","Pobierz grupy klientów"
"Retrieve customer info","Pobierz informacje o kliencie"
"Retrieve customers","Odzyskaj klientów"
"Retrieve your confirmation link here","Pobierz link potwierdzający tutaj"
"Retrieve your password","Pobierz swoje hasło"
"Sales Statistics","Statystyki sprzedaży"
"Save","Zapisz"
"Save Address","Zapisz adres"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save Customer","Zapisz klienta"
"Save Customer Group","Zapisz grupę klientów"
"Saved %d record(s)","Zapisano %d rekord(y)"
"Save in address book","Zapisz w książce adresowej"
"Semicolon (;) separated values.<br>Put semicolon in the beginning for empty first option.<br>Leave empty for open text field.","Wartości oddzielone średnikiem (;) .<br>Umieść średnik na początku dla pustej pierwszej opcji.<br>Pozostaw puste dla otwartego pola tekstowego."
"Send confirmation link","Wyślij link potwierdzający"
"Send From","Wyślij z"
"Sending","Wysyłanie"
"Send Welcome Email","Wyślij e-mail powitalny"
"Send Welcome Email after Confirmation","Wyślij e-mail powitalny po potwierdzeniu"
"Sent","Wysłano"
"Session Start Time","Czas rozpoczęcia sesji"
"Set as Default Billing Address","Ustaw jako domyślny adres rozliczeniowy"
"Set as Default Shipping Address","Ustaw jako domyślny adres dostawy"
"Share Customer Accounts","Udostępnij konta klienta"
"Shipped to Name","Dostarczono na nazwę"
"Shopping Cart","Koszyk"
"Shopping Cart - %d item(s)","Koszyk - %d produkt(ów)"
"Shopping Cart of %1$s - %2$d item(s)","Koszyk %1$s - %2$d produkt(ów)"
"Show Date of Birth","Pokaż datę urodzenia"
"Show Gender","Pokaż płeć"
"Show Middle Name (initial)","Pokaż Drugie Imię (inicjał)"
"Show Prefix","Pokaż prefiks"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Pokaż numer podatkowy/VAT"
"Show VAT Number on Frontend","Pokaż numer VAT w witrynie"
"Sign Up for Newsletter","Zapisz się do newslettera"
"Skipping import row, required field ""%s"" is not defined.","Pominięcie wiersza importu, wymagane pole ""%s"" nie jest zdefiniowane."
"Skipping import row, website ""%s"" field does not exist.","Pominięcie wiersza importu, pole witryny ""%s"" nie istnieje."
"SKU","SKU"
"State/Province","Województwo"
"Status","Status"
"Store","Sklep"
"Store View","Widok sklepu"
"Street Address","Ulica"
"Street Address %s","Ulica Adres %s"
"Subject","Temat"
"Submit","Prześlij"
"Subscribed to Newsletter?","Subskrybujesz newsletter?"
"Subscribe to Newsletter","Zapisz się do newslettera"
"Suffix Dropdown Options","Opcje rozwijanej listy sufiksów"
"Tag Name","Nazwa tagu"
"Tax/VAT number","Numer podatku/VAT"
"Tax Calculation Based On","Obliczanie podatku w oparciu o"
"Tax Class","Klasa podatku"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","Tekst jednej linii"
"Thank you for registering! We have sent you an email with a login link to %s.","Dziękujemy za rejestrację! Wysłaliśmy Ci wiadomość e-mail z linkiem logowania do %s."
"Thank you for registering with %s.","Dziękujemy za rejestrację w %s."
"The account information has been saved.","Informacje o koncie zostały zapisane."
"The address does not belong to this customer.","Adres nie należy do tego klienta."
"The address has been deleted.","Adres został usunięty."
"The address has been saved.","Adres został zapisany."
"The customer does not have default billing address.","Klient nie ma domyślnego adresu rozliczeniowego."
"The customer email (%s) already exists, skipping the record, line: %s","E-mail klienta (%s) już istnieje, pomijam wpis, linia: %s"
"The customer group has been deleted.","Grupa klientów została usunięta."
"The customer group has been saved.","Grupa klientów została zapisana."
"The customer ID and email did not match, skipping the record, line: %s","Identyfikator klienta i adres e-mail nie pasują, pomijam wpis, linia: %s"
"The customer is currently assigned to Customer Group %s.","Klient jest obecnie przypisany do grupy klientów %s."
"The Date of Birth is required.","Data urodzenia jest wymagana."
"The first name cannot be empty.","Imię nie może być puste."
"The group ""%s"" cannot be deleted","Grupa ""%s"" nie może zostać usunięta"
"The last name cannot be empty.","Nazwisko nie może być puste."
"The minimum password length is %s","Minimalna długość hasła to %s"
"The password cannot be empty.","Hasło nie może być puste."
"The password must have at least %d characters. Leading or trailing spaces will be ignored.","Hasło musi zawierać co najmniej %d znaków. Spacje wiodące lub końcowe zostaną zignorowane."
"There are no items in customer's shopping cart at the moment","W tym momencie nie ma produktów w koszyku klienta"
"There are no items in customer's wishlist at the moment","W tej chwili nie ma produktów na liście życzeń klienta"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account."
"There was an error validating the VAT ID.","Wystąpił błąd podczas sprawdzania poprawności numeru VAT."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Wystąpił błąd podczas sprawdzania poprawności identyfikatora VAT. Klient należeć będzie do Grupy Klientów %s."
"The suffix that goes after name (Jr., Sr., etc.)","Sufiks, który pojawia się po nazwie (Jr., Sr. itp.)"
"The TAX/VAT number is required.","Numer TAX/VAT jest wymagany."
"The title that goes before name (Mr., Mrs., etc.)","Tytuł przed nazwiskiem (Mr. - Pani itp.)"
"The VAT ID entered (%s) is not a valid VAT ID.","Wprowadzony numer VAT (%s) nie jest prawidłowym identyfikatorem VAT."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Wprowadzony numer VAT (%s) nie jest prawidłowym identyfikatorem VAT. Klient należeć będzie do Grupy Klientów %s."
"The VAT ID is valid. The current Customer Group will be used.","Identyfikator VAT jest prawidłowy. Obecna grupa klientów zostanie użyta."
"This account is not active.","To konto nie jest aktywne."
"This account is not confirmed.","To konto nie zostało potwierdzone."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","To konto nie jest potwierdzone. <a href=""%s"">Kliknij tutaj</a> aby wysłać ponownie e-mail z potwierdzeniem."
"This customer email already exists","Ten adres e-mail klienta już istnieje"
"This customer has no saved addresses.","Ten klient nie ma zapisanych adresów."
"This email does not require confirmation.","Ten e-mail nie wymaga potwierdzenia."
"This email is sent on checkbox <em>Email Link to Set Password</em> is checked on the customer page in backend.","Ten e-mail jest wysłany na pole wyboru <em>Link do ustawienia hasła</em> jest sprawdzany na stronie klienta w backendzie."
"This email will be sent instead of default welcome email, after account confirmation.","Ta wiadomość zostanie wysłana zamiast domyślnego powitalnego e-maila, po potwierdzeniu konta."
"This email with a link to set password is sent on new account creation in backend.","Ta wiadomość e-mail z linkiem do ustawienia hasła jest wysyłana po utworzeniu nowego konta w backendzie."
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Aby pokazać numer VAT na frontendzie, ustaw opcję Pokaż numer VAT na Tak."
"Total","Łącznie"
"Type","Typ"
"Unable to validate VAT number. Please try again later.","Nie można zweryfikować numeru VAT. Spróbuj ponownie później."
"Unknown","Nieznane"
"Unsubscribe from Newsletter","Anuluj subskrypcję newslettera"
"Update","Aktualizuj"
"Update customer address data","Aktualizuj dane adresu klienta"
"Update customer data","Aktualizuj dane klienta"
"Use as My Default Billing Address","Użyj jako mojego domyślnego adresu rozliczeniowego"
"Use as my default billing address","Użyj jako mojego domyślnego adresu rozliczeniowego"
"Use as My Default Shipping Address","Użyj jako domyślny adres dostawy"
"Use as my default shipping address","Użyj jako mojego domyślnego adresu dostawy"
"Validate on Each Transaction","Potwierdź każdą transakcję"
"Validate VAT Number","Potwierdź numer VAT"
"Validate VAT numbers against the EU VIES service in real time on address forms.","Zatwierdzanie numerów VAT w odniesieniu do unijnej usługi VIES w czasie rzeczywistym na formularzach adresowych."
"Validation Error Group","Grupa błędów walidacji"
"VAT Number","Numer VAT"
"VAT number format is valid.","Format numeru VAT jest prawidłowy."
"VAT number format is valid. VIES validation is not available for this country.","Format numeru VAT jest prawidłowy. Weryfikacja VIES nie jest dostępna dla tego kraju."
"VAT number is not valid.","Numer VAT jest nieprawidłowy."
"VAT number is required.","Numer VAT jest wymagany."
"VAT number is valid.","Numer VAT jest prawidłowy."
"VAT Number Validation","Walidacja numeru VAT"
"VAT Request Date","Data wniosku o VAT"
"VAT Request Identifier","Identyfikator żądania VAT"
"VAT validation is not available for this country.","Weryfikacja podatku VAT nie jest dostępna dla tego kraju."
"VIES service is unavailable. VAT format is valid.","Usługa VIES jest niedostępna. Format VAT jest prawidłowy."
"View","Widok"
"View Order","Zobacz zamówienie"
"Visitor","Odwiedzający"
"Visitors Only","Tylko odwiedzający"
"Warning: email containing password in plaintext will be sent.","Ostrzeżenie: e-mail zawierający hasło w plaintext zostanie wysłany."
"Website","Strona internetowa"
"Welcome, %s!","Witaj, %s!"
"Welcome Email","E-mail powitalny"
