"%d product(s) were updated","%d produktów zostało zaktualizowanych"
"%s (Default Template from Locale)","%s (domyślny szablon z języka)"
"%s cache type(s) disabled.","%s cache type(s) disabled."
"%s cache type(s) enabled.","%s cache type(s) enabled."
"%s cache type(s) refreshed.","%s cache type(s) refreshed."
"An error occurred while deleting this role.","Wystąpił błąd podczas usuwania tej roli."
"An error occurred while deleting this set.","Wystąpił błąd podczas usuwania tego zestawu."
"An error occurred while deleting this template.","Wystąpił błąd podczas usuwania tego szablonu."
"An error occurred while deleting URL Rewrite.","Wystąpił błąd podczas usuwania przekierowania URL."
"An error occurred while finishing process. Please refresh the cache","Wystąpił błąd podczas zakończenia procesu. Odśwież pamięć podręczną"
"An error occurred while logging in.","Wystąpił błąd podczas logowania."
"An error occurred while rebuilding the catalog index.","Wystąpił błąd podczas odbudowy indeksu katalogu."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Wystąpił błąd podczas odbudowy stanu zapasów Katalogu Zapasów."
"An error occurred while rebuilding the flat catalog category.","Wystąpił błąd podczas odbudowania kategorii płaskiego katalogu."
"An error occurred while rebuilding the flat product catalog.","Wystąpił błąd podczas odbudowy płaskiego katalogu produktów."
"An error occurred while rebuilding the search index.","Wystąpił błąd podczas odbudowy indeksu wyszukiwania."
"An error occurred while refreshing roles.","Wystąpił błąd podczas odświeżania ról."
"An error occurred while refreshing the Catalog Rewrites.","Wystąpił błąd podczas odświeżania przekierowań Katalogu."
"An error occurred while refreshing the catalog rewrites.","Wystąpił błąd podczas odświeżania przekierowań katalogu."
"An error occurred while refreshing the Layered Navigation indices.","Wystąpił błąd podczas odświeżania indeksów warstwowej nawigacji."
"An error occurred while refreshing the layered navigation indices.","Wystąpił błąd podczas odświeżania wskaźników warstwowej nawigacji."
"An error occurred while saving account.","Wystąpił błąd podczas zapisywania konta."
"An error occurred while saving review.","Wystąpił błąd podczas zapisywania opinii."
"An error occurred while saving the customer.","Wystąpił błąd podczas zapisywania klienta."
"An error occurred while saving this configuration:","Wystąpił błąd podczas zapisywania tej konfiguracji:"
"An error occurred while saving this role.","Wystąpił błąd podczas zapisywania tej roli."
"An error occurred while saving this template.","Wystąpił błąd podczas zapisywania tego szablonu."
"An error occurred while saving URL Rewrite.","Wystąpił błąd podczas zapisywania przekierowania URL."
"An error occurred while sending the test email.","Wystąpił błąd podczas wysyłania wiadomości testowej."
"An error occurred while updating the email address.","Wystąpił błąd podczas aktualizowania adresu e-mail."
"An error occurred while updating the selected review(s).","Wystąpił błąd podczas aktualizowania wybranych recenzji."
"Any","Dowolny"
"Any Attribute Set","Dowolny zestaw cech"
"Any Group","Dowolna grupa"
"Any Status","Dowolny status"
"Any Type","Dowolny typ"
"Any Visibility","Dowolna widoczność"
"API Key","Klucz API"
"API Key Confirmation","Potwierdzenie klucza API"
"Archive file name:","Nazwa pliku archiwum:"
"Area","Obszar"
"Are you sure you want to delete the selected URL rewrites?","Czy na pewno chcesz usunąć wybrane przekierowanie URL?"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"ASCII","ASCII"
"Assigned","Przypisane"
"Associated Tags","Powiązane tagi"
"At least one currency has to be allowed.","Co najmniej jedna waluta musi być dozwolona."
"Attributes","Atrybut"
"Attribute Set Name:","Nazwa zestawu atrybutów:"
"A user with the same user name or email already exists.","Użytkownik o tej samej nazwie użytkownika lub adresie e-mail już istnieje."
"Authorization confirmed","Autoryzacja potwierdzona"
"Authorize","Autoryzuj"
"Authorize application","Autoryzuj aplikację"
"Authorized OAuth Tokens","Autoryzowane tokeny OAuth"
"Automatic (equalize price ranges)","Automatycznie (wyrównaj zakresy cen)"
"Automatic (equalize product counts)","Automatyczne (wyrównanie liczb produktów)"
"Average","Średnia"
"Average Order Amount","Średnia ilość zamówienia"
"Back","Powrót"
"Backend Locale","Język zaplecza"
"Base currency","Waluta bazowa"
"Bcc","Bcc"
"Bestsellers","Bestsellers"
"Billing Address","Adres rozliczeniowy"
"Billing Address: ","Adres rozliczeniowy: "
"Billing Agreement","Umowa rozliczeniowa"
"Billing Agreements","Umowy rozliczeniowe"
"BINARY","BINARNE"
"Block Details","Szczegóły bloku"
"Block has been deleted.","Blok został usunięty."
"Block Information","Informacje o bloku"
"Block Name","Nazwa bloku"
"Block Name is disallowed.","Nazwa bloku jest niedozwolona."
"Block Name is incorrect.","Nazwa bloku jest nieprawidłowa."
"Block Name is required field.","Nazwa bloku jest wymagana."
"Blocks","Bloki"
"Both (without and with tax)","Oboje (bez podatku i z podatkiem)"
"Browse Files...","Przeglądaj pliki..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pakiet z dynamicznymi cenami nie może zawierać niestandardowych opcji. Opcje nie zostaną zapisane."
"By Email","Przez e-mail"
"By IP","Według IP"
"By IP and Email","Przez IP i e-mail"
"Cache Control","Kontrola pamięci podręcznej"
"Cache Control (beta)","Kontrola pamięci podręcznej (beta)"
"Cache Management","Zarządzanie pamięcią podręczną"
"Cache Type","Cache Type"
"Cancel","Anuluj"
"Cannot add new comment.","Nie można dodać nowego komentarza."
"Cannot add tracking number.","Nie można dodać numeru śledzenia."
"Cannot create an invoice without products.","Nie można utworzyć faktury bez produktów."
"Cannot create credit memo for the order.","Nie można utworzyć faktury korygującej dla zamówienia."
"Cannot delete the design change.","Nie można usunąć zmiany wyglądu."
"Cannot delete tracking number.","Nie można usunąć numeru śledzenia."
"Cannot do shipment for the order.","Nie można dokonać dostawy dla zamówienia."
"Cannot do shipment for the order separately from invoice.","Nie można dokonać dostawy dla zamówienia oddzielnie od faktury."
"Cannot initialize shipment for adding tracking number.","Nie można zainicjować dostawy dla dodawania numeru śledzenia."
"Cannot initialize shipment for delete tracking number.","Nie można zainicjować dostawy w celu usunięcia numeru śledzenia."
"Cannot load track with retrieving identifier.","Nie można załadować śladu z pobieraniem identyfikatora."
"Cannot retrieve tracking number detail.","Nie można pobrać szczegółów numeru śledzenia."
"Cannot save shipment.","Nie można zapisać wysyłki."
"Cannot save the credit memo.","Nie można zapisać faktury korygującej."
"Cannot send shipment information.","Nie można wysłać informacji o wysyłce."
"Cannot update item quantity.","Nie można zaktualizować ilości produktu."
"Cannot update the item's quantity.","Nie można zaktualizować ilości produktu."
"Card Verification Number","Numer weryfikacyjny karty"
"Catalog","Katalog"
"Catalog Price Rules","Reguły cenowe katalogu"
"Catalog Rewrites","Przekierowanie katalogu"
"Categories","Kategorie"
"Category","Kategoria"
"Category:","Kategoria:"
"Change Password","Zmień hasło"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Wykres jest wyłączony. Jeśli chcesz włączyć mapę, kliknij <a href=""%s"">tutaj</a>."
"Checkbox","Pole wyboru"
"Child Transactions","Transakcje podrzędne"
"Choose an attribute","Wybierz atrybut"
"Choose Store View:","Wybierz widok sklepu:"
"Chosen category does not associated with any website, so url rewrite is not possible.","Wybrana kategoria nie jest powiązana z żadną witryną, więc przekierowanie adresu url nie jest możliwe."
"Chosen product does not associated with any website, so url rewrite is not possible.","Wybrany produkt nie jest powiązany z żadną stroną, więc przekierowanie adresu url nie jest możliwe."
"Clear","Wyczyść"
"Close","Zamknij"
"close","zamknij"
"CMS","CMS"
"Code","Kod"
"Color scheme","Schemat kolorów"
"Color scheme: dark","Schemat kolorów: ciemny"
"Color scheme: follow system","Schemat kolorów: podążaj za systemem"
"Color scheme: light","Schemat kolorów: jasny"
"Comment text field cannot be empty.","Pole tekstowe komentarza nie może być puste."
"Compiled observers, cron jobs, routes, and API permissions.","Skompilowani obserwatorzy, zadania crona, trasy i uprawnienia API."
"Config form fieldset clone model required to be able to clone fields","Klon zestawu pól formularza konfiguracyjnego wymagany do klonowania pól"
"Configuration","Konfiguracja"
"Confirmation Of Authorization","Potwierdzenie autoryzacji"
"Confirmed email:","Potwierdzony e-mail:"
"Confirm New Password","Potwierdź nowe hasło"
"Confirm token authorization for admin","Potwierdź autoryzację tokenu dla administratora"
"Confirm token authorization Pop Up for admin","Potwierdź wyskakujące okno autoryzacji dla administratora"
"Continue","Kontynuuj"
"Convert to Plain Text","Konwertuj na zwykły tekst"
"Country","W związku z powyższym Komisja stwierdza, że w okresie objętym dochodzeniem przeglądowym przywóz produktu objętego postępowaniem z ChRL nie mógł zostać objęty środkami antydumpingowymi."
"Country:","Kraj:"
"Coupon Discount (Formatted Text)","Rabat kuponowy (Sformatowany tekst)"
"Coupon Discount Amount (Raw Number)","Kwota rabatu rabatowego (Prawy Numer)"
"Coupons","Kupony"
"Create","Utwórz"
"Created At","Utworzono w"
"Create DB Backup","Utwórz kopię zapasową bazy danych"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Karta kredytowa %s"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Type","Typ karty kredytowej"
"Credit memo #%s comment added","Credit memo #%s comment added"
"Credit memo #%s created","Faktura korygująca nr%s została utworzona"
"Credit memo's total must be positive.","Suma faktury korygującej musi być dodatnia."
"Credit Memo History","Historia faktur korygujących"
"Credit Memos","Faktury korygujące"
"Credit Memo Totals","Suma korygująca"
"CRITICAL","KRYTYCZNE"
"Critical","Krytyczne"
"critical","krytyczne"
"CSV","CSV"
"CSV / Tab separated","CSV / Karta oddzielona"
"Currency","Waluta"
"Currency ""%s"" is used as %s in %s.","Waluta ""%s"" jest używana jako %s w %s."
"Currency doesn't exist.","Waluta nie istnieje."
"Currency Information","Informacje o walucie"
"Current Admin Password","Bieżące hasło administratora"
"Current Configuration Scope:","Obecny zakres konfiguracji:"
"Current Month","Bieżący miesiąc"
"Current password field cannot be empty.","Bieżące pole hasła nie może być puste."
"Custom","Własny"
"Customer","Klient"
"Customer email address changed from %s to %s by %s.","Adres e-mail klienta zmieniony z %s na %s przez %s."
"Customer Group:","Grupa klientów:"
"Customer Groups","Grupy klientów"
"Customer Name","Nazwa klienta"
"Customer Reviews","Opinie klientów"
"Customers","Klienci"
"Customers by Number of Orders","Klienci wg liczby zamówień"
"Customers by Orders Total","Klienci wg Zamówień ogółem"
"Customer Shopping Carts","Koszyki Klienta"
"Customer Since:","Klient od:"
"Customer Tax Classes","Klasy Podatku Klienta"
"Customer with the same email already exists.","Klient o podanym adresie e-mail już istnieje."
"Custom Symbol","Niestandardowy symbol"
"Custom Variable ""%s""","Zmienna niestandardowa ""%s"""
"Custom Variables","Zmienne niestandardowe"
"Dashboard","Pulpit"
"Database","Baza danych"
"Dataflow - Advanced Profiles","Dataflow - Zaawansowane profile"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Format danych"
"Data transfer:","Transfer danych:"
"Date","Data"
"Date & Time","Data i czas"
"Date Added","Data dodania"
"Date Updated","Data aktualizacji"
"Day","Dzień"
"Debug","Debug"
"Decimal separator:","Separator dziesiętny:"
"Default (Admin) Values","Domyślne wartości (Admin)"
"Default Billing Address","Domyślny adres rozliczeniowy"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","Domyślnie wyświetlana waluta ""%s"" nie jest dostępna w dozwolonych walutach."
"Default scope","Domyślny zakres"
"Default Symbol","Domyślny symbol"
"Default Template from Locale","Domyślny szablon z ustawień regionalnych"
"Default Values","Domyślne wartości"
"Delete","Usuń"
"Delete %s","Usuń %s"
"Delete %s '%s'","Usuń %s '%s'"
"Delete Block","Usuń blok"
"Delete File","Usuń plik"
"Delete Image","Usuń obraz"
"Delete Profile","Usuń profil"
"Delete Role","Usuń rolę"
"Delete Store","Usuń sklep"
"Delete Store View","Usuń widok sklepu"
"Delete Template","Usuń szablon"
"Delete User","Usuń użytkownika"
"Delete Variable","Usuń zmienną"
"Delete Website","Usuń witrynę"
"Description","Opis"
"Design","Projekt"
"Details","Szczegóły"
"Direction:","Kierunek:"
"Disable","Wyłącz"
"Disable All Email Communications","Wyłącz wszystkie komunikaty e-mail"
"Disabled","Wyłączone"
"Disallowed block name for frontend.","Niedozwolona nazwa bloku dla frontenu."
"Display default currency","Wyświetl domyślną walutę"
"Do nothing","Nic nie rób"
"Download","Pobierz"
"Downloads","Pobrania"
"Do you really want to KILL parallel process and start new indexing process?","Czy na pewno chcesz KILL proces równoległy i rozpocząć nowy proces indeksowania?"
"Drop-down","Rozwijany"
"Edit","Edytuj"
"Edit Block","Edytuj blok"
"Edit Block '%s'","Edytuj blok '%s'"
"Edit Design Change","Edytuj zmianę wyglądu"
"Edit Email Template","Edytuj szablon wiadomości e-mail"
"Edit Order","Edytuj zamówienie"
"Edit Queue","Edytuj kolejkę"
"Edit Review","Edytuj recenzję"
"Edit Role","Edytuj rolę"
"Edit Store View","Edytuj widok sklepu"
"Edit System Template","Edytuj szablon systemowy"
"Edit Template","Edytuj szablon"
"Edit URL Rewrite","Edytuj przekierowanie URL"
"Edit User","Edytuj użytkownika"
"Edit User '%s'","Edytuj użytkownika '%s'"
"Edit Variable","Edytuj zmienną"
"Edit Variable '%s'","Edytuj zmienną '%s'"
"Edit Website","Edytuj witrynę"
"Email","E-mail"
"Email:","Email:"
"Email Address:","Adres e-mail:"
"Email can only be changed for guest orders.","E-mail może być zmieniony tylko dla zamówień gościa."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","Transport e-mail jest wyłączony. Skonfiguruj transport e-mail w ustawieniach wysyłania poczty."
"Emergency","Awaria"
"Enable","Włącz"
"Enable 2FA","Włącz 2FA"
"Enabled","Włączone"
"Enable Password Authentication","Włącz uwierzytelnianie hasła"
"Enclose Values In:","Zamknij wartości w:"
"Engagement","Zaangażowanie"
"Enter current password and press ""Save Account"" to confirm passkey change.","Wprowadź aktualne hasło i naciśnij ""Zapisz konto"", aby potwierdzić zmianę hasła."
"Enter new email address:","Wprowadź nowy adres e-mail:"
"Enter the 6-digit code from your authenticator app","Wprowadź 6-cyfrowy kod z aplikacji uwierzytelniającej"
"Entity Attributes","Atrybuty jednostki"
"Entity Type","Typ jednostki"
"Entity type:","Typ jednostki:"
"Entry & Exit Pages","Strony wejścia i wyjścia"
"Error","Błąd"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","przykład: ""sitemap/"" lub ""/"" dla ścieżki bazowej (ścieżka musi być zapisywalna)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","Bez podatku"
"Excl. Tax:","Bez podatku:"
"Expiration Date","Data wygaśnięcia"
"Export","Eksportuj"
"Export:","Eksport:"
"Export CSV","Eksportuj CSV"
"Export Filters","Eksportuj filtry"
"Export to:","Eksportuj do:"
"Failed","Niepowodzenie"
"failed","nie powiodło się"
"Failed to add a product to cart by id ""%s"".","Nie udało się dodać produktu do koszyka o id ""%s""."
"Failed to cancel the billing agreement.","Nie udało się anulować umowy rozliczeniowej."
"Failed to delete the billing agreement.","Nie udało się usunąć umowy rozliczeniowej."
"Failed to send test email. Please check your email configuration and error logs.","Nie udało się wysłać wiadomości testowej. Sprawdź konfigurację wiadomości e-mail i dzienniki błędów."
"Failed to update the profile.","Nie udało się zaktualizować profilu."
"Field","Pole"
"Field Mapping","Mapowanie pól"
"File","Plik"
"File Information","Informacje o pliku"
"File mode","Tryb pliku"
"File name:","Nazwa pliku:"
"File System","System plików"
"Finished profile execution.","Zakończono wykonywanie profilu."
"First Invoice Created Date","Data utworzenia pierwszej faktury"
"First Name","Imię"
"First Name:","Imię:"
"First Name is required field.","Imię to pole wymagane."
"Fixed","Naprawione"
"Flush Catalog Images Cache","Opróżnij pamięć podręczną obrazów katalogu"
"Flush Minified CSS/JS Cache","Wyczyść zminimalizowane pamięci podręczne CSS/JS"
"Flush Swatch Images Cache","Opróżnij pamięć podręczną obrazów Swatch"
"For category","Dla kategorii"
"Forgot Admin Password","Zapomniałeś hasła administratora"
"Forgot your password?","Zapomniałeś hasła?"
"Forgot your user name or password?","Nie pamiętasz nazwy użytkownika lub hasła?"
"For product","Dla produktu"
"From","Od"
"from","od"
"FTP Host[:Port]","Serwer FTP [:Port]"
"General Information","Informacje ogólne"
"Give the verifier code to application administrator","Podaj kod weryfikatora administratorowi aplikacji"
"GLOBAL","GLOBALNY"
"Global Search","Wyszukiwanie globalne"
"Google Sitemaps","Mapa witryn Google"
"Go to messages inbox","Przejdź do skrzynki odbiorczej"
"Go to notifications","Przejdź do powiadomień"
"Grand Total","Łącznie"
"Grid (default) / List","Siatka (domyślna) / Lista"
"Grid Only","Tylko siatka"
"Group:","Grupa:"
"Guest","Gość"
"Health Check","Ocena stanu"
"Helper attributes should not be used in custom layout updates.","Atrybuty pomocnika nie powinny być używane w niestandardowych aktualizacjach układu."
"Helper for options rendering doesn't implement required interface.","Pomocnik dla renderowania opcji nie zaimplementuje wymaganego interfejsu."
"Home","Strona główna"
"HTTP (unsecure)","HTTP (niezabezpieczone)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Id","Id"
"ID Path","Ścieżka ID"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Jeśli istnieje konto powiązane z %s otrzymasz e-mail z linkiem do zresetowania hasła."
"If this message persists, please contact the store owner.","Jeśli ta wiadomość będzie się powtarzała, skontaktuj się z właścicielem sklepu."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jeśli nie określisz wartości opcji dla określonego widoku sklepu, zostanie użyta domyślna wartość (Admin)."
"Images Cache","Images Cache"
"Import","Importuj"
"Import/Export","Import/Eksport"
"Import/Export Advanced","Import/Eksport Zaawansowany"
"Import/Export Profile","Importuj/Eksportuj profil"
"Import and Export","Import i eksport"
"Import and Export Tax Rates","Importuj i eksportuj stawki podatku"
"Imported <strong>%s</strong> records","Zaimportowano rekordy <strong>%s</strong>"
"Import Service","Usługa importu"
"Inactive","Nieaktywny"
"Incl. Tax","Z podatkiem"
"Incl. Tax:","Z podatkiem:"
"Incoming Message","Wiadomość przychodząca"
"In Database:","W bazie danych:"
"In File:","W pliku:"
"Informational","Informacje"
"Input fields (from - to)","Pola wejściowe (z - do)"
"Insert Variable...","Wstaw zmienną..."
"Interactive","Interaktywny"
"Interface Locale: %s","Lokalizacja interfejsu: %s"
"Internal Error","Błąd wewnętrzny"
"Invalid 2FA verification code","Nieprawidłowy kod weryfikacyjny 2FA"
"Invalidated","Niezatwierdzone"
"Invalid current password.","Nieprawidłowe aktualne hasło."
"Invalid data","Nieprawidłowe dane"
"Invalid email address ""%s"".","Nieprawidłowy adres e-mail ""%s""."
"Invalid email address.","Nieprawidłowy adres e-mail."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Nieprawidłowa nazwa pola '%s', nie może być jednym z NOT, AND, OR, XOR"
"Invalid Form Key. Please refresh the page.","Nieprawidłowy klucz formularza. Odśwież stronę."
"Invalid Import Service Specified","Niepoprawna usługa importu określona"
"Invalid input data for %s => %s rate","Nieprawidłowe dane wejściowe dla %s => %s rate"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Nieprawidłowy operator '%s', musi być jednym z NOT, AND, OR, XOR"
"Invalid parent block for this block","Nieprawidłowy blok nadrzędny dla tego bloku"
"Invalid parent block for this block.","Nieprawidłowy blok nadrzędny dla tego bloku."
"Invalid password reset token.","Nieprawidłowy token resetowania hasła."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Nieprawidłowe dane POST (proszę sprawdzić ustawienia post_max_size i upload_max_filesize w pliku php.ini)."
"Invalid request method","Nieprawidłowa metoda żądania"
"Invalid response","Nieprawidłowa odpowiedź"
"Invalid Secret Key. Please refresh the page.","Nieprawidłowy tajny klucz. Proszę odświeżyć stronę."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Nieprawidłowa nazwa nadawcy ""%s"". Użyj tylko widocznych znaków i spacji."
"Invalid template data.","Nieprawidłowe dane szablonu."
"Invalid template path used in layout update.","Nieprawidłowa ścieżka szablonu używana w aktualizacji układu."
"Invalid timezone","Nieprawidłowa strefa czasowa"
"Invalid User Name or Password.","Nieprawidłowa nazwa użytkownika lub hasło."
"Inventory Stock Status","Stan zapasów"
"Invoice #%s comment added","Invoice #%s comment added"
"Invoice #%s created","Faktura nr%s utworzona"
"Invoice canceling error.","Błąd anulowania faktury."
"Invoice capturing error.","Błąd przechwytywania faktury."
"Invoice History","Historia faktur"
"Invoices","Faktury"
"Invoice Totals","Suma faktur"
"Invoice voiding error.","Invoice voiding error."
"IP Address","Adres IP"
"Is Allowed","Jest dozwolony"
"Is Allowed is required field.","Dozwolone jest pole wymagane."
"Is Closed","Jest zamknięty"
"Is Default","Jest domyślny"
"Issue Number","Numer wydania"
"Items","Przedmioty"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Pamięć podręczna JavaScript/CSS"
"Languages","Języki"
"Last 5 Orders","Ostatnie 5 zamówień"
"Last 5 Search Terms","Ostatnie 5 wyszukiwarek"
"Last 7 Days","Ostatnie 7 dni"
"Last 24 Hours","Ostatnie 24 godziny"
"Last Credit Memo Created Date","Data utworzenia ostatniej faktury korygującej"
"Last Invoice Created Date","Data utworzenia ostatniej faktury"
"Last Logged In (%s):","Ostatnio zalogowany (%s):"
"Last Logged In:","Ostatnio zalogowane:"
"Last Name","Nazwisko"
"Last Name:","Nazwisko:"
"Last Name is required field.","Nazwisko jest wymagane."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Ostatnia aktualizacja: %s. Aby odświeżyć statystyki <a href=""%s"">z ostatniego dnia</a>kliknij <a href=""%s"">tutaj</a>."
"Latest Message:","Ostatnia wiadomość:"
"Layered Navigation Indices","Wskaźniki warstwowej nawigacji"
"Layered Navigation Indices were refreshed.","Wskaźniki warstwowej nawigacji zostały odświeżone."
"Leave empty to use tax identifier","Pozostaw puste, aby użyć identyfikatora podatku"
"Lifetime","Dożywotni"
