"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Action"
"Edit Rule '%s'","Edit Rule '%s'"
"Excluding prefix, suffix and separators.","En excluant le préfixe, le suffixe et les séparateurs."
"Fixed amount discount","Remise d'une valeur fixe"
"Fixed amount discount for whole cart","Remise d'un montant fixe pour l'ensemble du panier"
"For matching items only","Pour les objets concordants seulement"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"FOUND","PRÉSENT DANS LE"
"Free Shipping","Livraison gratuite"
"From Date","From Date"
"General Information","Informations générales"
"Generate","Générer"
"ID","Identifiant"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","Si vide, aucune séparation."
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Inactive","Inactif"
"is assigned","is assigned"
"is not assigned","is not assigned"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Libellés"
"Manage Coupon Codes","Gérer les codes de bons de réduction"
"Maximum Qty Discount is Applied To","Qté maxi à laquelle la remise est appliquée"
"New Rule","Nouvelle règle"
"No","Non"
"No Coupon","Pas de coupon de réduction"
"NOT FOUND","ABSENT DU"
"NOT LOGGED IN","NON CONNECTÉ"
"Not valid data provided","Not valid data provided"
"Number of Uses","Nombre d'utilisations"
"Numeric","Numérique"
"Payment Method","Mode de paiement"
"Percent of product price discount","Remise en pourcentage du prix du produit"
"Period","Période"
"Price in cart","Prix dans le panier"
"Priority","Priorité"
"Product attribute combination","Combinaison d'attributs de produit"
"Products subselection","Sous-sélection de produits"
"Promotions","Promotions"
"Public In RSS Feed","Public dans le flux RSS"
"Quantity in cart","Quantité dans le panier"
"Row total in cart","Total de la ligne du panier"
"Rule Information","Informations règle"
"Rule is not defined","La règle n'est pas définie"
"Rule Name","Nom de la règle"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Shipping Country","Pays de livraison"
"Shipping Method","Mode de livraison"
"Shipping Postcode","Code postal de livraison"
"Shipping Region","Région de livraison"
"Shipping State/Province","État/région/département de livraison"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Special Price","Prix spécial"
"Specific Coupon","Bon de réduction spécifique"
"Status","Statut"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Libellés spécifiques par vue magasin"
"Subtotal","Sous-total"
"Subtotal Amount","Subtotal Amount"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","Cette règle n'existe plus."
"Times Used","Nombre d'utilisations"
"To Date","To Date"
"To Fixed Value","Valeur fixe"
"To Percentage","En pourcentage"
"Total","Total"
"Total Amount","Montant total"
"total amount","le montant total"
"Total Items Quantity","Quantité totale d'articles"
"total quantity","la quantité totale"
"Total Weight","Poids total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Update prices using the following information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Mettre à jour le produit"
"Usage limit enforced for logged in customers only","Usage limit enforced for logged in customers only"
"Use Auto Generation","Utiliser la génération automatique"
"Used","Utilisé"
"Uses per Coupon","Nombre d'utilisations par coupon"
"Uses per Customer","Nombre d'utilisations par client"
"Website","Site web"
"Websites","Sites web"
"Wrong rule specified.","Mauvaise règle spécifiée."
"Yes","Oui"
