"(not processed yet)","(pas encore traité)"
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","D'autres demandes sont toujours enregistrées, mais l'e-mail de réception du client est supprimé (visible et renvoyable dans la grille d'administration). Défait le bombardement par e-mail de tiers. 0 désactive la limite."
"General","Généraux"
"Honeypot Field","Champ de miel"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Si vous ne recevez pas d'e-mail de confirmation dans quelques minutes, veuillez nous contacter à %s et nous faire parvenir votre numéro de référence."
"I hereby revoke this contract","Je révoque ce contrat"
"Information Requested","Informations demandées"
"Internal Note","Note interne"
"Invalid decision.","Décision invalide."
"Invalid form key. Please refresh the page and try again.","Clé de formulaire invalide. Veuillez rafraîchir la page et réessayer."
"Invalid processing status.","Statut de traitement invalide."
"IP Address","Adresse IP"
"Leave empty to use the General Contact email address.","Laisser vide pour utiliser l'adresse e-mail du contact général."
"Leave empty to use the label configured under Sales > Revocation Button.","Laisser vide pour utiliser le libellé configuré sous Ventes > Bouton de révocation."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Laisser vide pour utiliser le défaut traduit (""Révoquer le contrat"" / ""Vertrag widerrufen"")."
"Link Order","Lier la commande"
"Link to order (increment ID):","Lien vers la commande (ID incrément):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Lien vers le formulaire de révocation du contrat (Directive UE 2023/2673). Placez-le dans votre pied de page ou n'importe où où il doit rester visible pendant la période de rétractation."
"Locale","Locale"
"Mark as Accepted","Marquer comme accepté"
"Mark as Rejected","Marquer comme rejeté"
"Mark the selected requests as accepted? The matched orders are not modified.","Marquer les demandes sélectionnées comme acceptées? Les commandes correspondantes ne sont pas modifiées."
"Mark the selected requests as rejected? The matched orders are not modified.","Marquer les demandes sélectionnées comme rejetées ? Les commandes correspondantes ne sont pas modifiées."
"Matched Order","Commande correspondante"
"Merchant Notification Email","E-mail de notification du marchand"
"Merchant Notifications per Store per Hour","Notifications marchandes par magasin par heure"
"Merchant Notification Template","Modèle de notification marchande"
"Minimum Submit Time (Seconds)","Temps de soumission minimum (secondes)"
"Must only acknowledge receipt of the declaration, never acceptance.","Ne doit être avisé que la réception de la déclaration, jamais accepté."
"Name","Nom"
"No","Non"
"No (self-asserted via the public form)","Non (auto-affirmé via la forme publique)"
"No order could be matched to this request. The customer typed ""%s"".","Aucune commande n'a pu correspondre à cette demande. Le client a saisi «%s»."
"No order found for increment ID ""%s"".","Aucune commande trouvée pour l'ID d'incrément ""%s""."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Seules les mesures d'arrière-plan invisibles sont utilisées (pot de miel, timing, captcha invisible, limites de débit).<br>Les liens de vérification manuelle et les liens de vérification par e-mail sont légalement irrecevables pour le formulaire de révocation. Ne modifiez pas ces limites si strictement que les clients légitimes sont bloqués."
"Order","Commandes"
"Order Number","Numéro de commande"
"Order Reference","Référence de commande"
"Please enter a valid email address.","Veuillez entrer une adresse e-mail valide."
"Please fill in your name, your order reference and your email address.","Veuillez renseigner votre nom, votre référence de commande et votre adresse e-mail."
"Please select request(s).","Veuillez sélectionner la(les) demande(s)."
"Processed At","Traité le"
"Processed Status","Statut traité"
"Processing","Traitement en cours"
"Process Requests","Demandes de processus"
"Reason","Raison"
"Reason (optional)","Raison (optionnel)"
"Receipt Emails per Recipient per Day","Emails de reçus par destinataire par jour"
"Received","Reçu"
"Received at","Reçu le"
"Received at (UTC)","Reçu à (UTC)"
"Reference number","Numéro de référence"
"Rejected","Rejeté"
"Reject Revocation","Rejeter la révocation"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","Rejeter cette révocation ? Cela enregistre la décision et ajoute une note à la prescription correspondante. Aucun statut de commande ne change automatiquement."
"Request #%s","Demande n°%s"
"Resend Receipt Email","Renvoyer l'e-mail du reçu"
"Resend the receipt email to %s?","Renvoyer l'e-mail de réception à %s?"
"Revocation Button","Bouton de révocation"
"Revocation Form","Formulaire de révocation"
"Revocation Merchant Notification","Notification de révocation du marchand"
"Revocation Receipt Confirmation","Confirmation du reçu de révocation"
"Revocation received","Révocation reçue"
"Revocation Request","Demande de révocation"
"Revocation Request #%s","Demande de révocation #%s"
"Revocation request #%s accepted.","Demande de révocation #%s acceptée."
"Revocation request #%s rejected.","Demande de révocation #%s rejetée."
"Revocation Requests","Demandes de révocation"
"Revocation Success","Révocation Réussie"
"Revoke contract","Révoquer le contrat"
"Revoke this contract","Révoquer ce contrat"
"Sales","Ventes"
"Save Note","Enregistrer la note"
"Store View","Vue magasin"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Les soumissions plus rapides que cela après le rendu de la page sont automatiquement supprimées en tant que trafic du bot. 0 désactive la vérification."
"Submissions per IP per Hour","Soumissions par IP par heure"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","L'e-mail de réception du client a été supprimé (%s) à %s et n'a pas été distribué. Utilisez ""Renvoyer l'e-mail de reçu"" pour le livrer après le triage."
"The receipt email could not be sent. Please check the email configuration.","L'e-mail de reçu n'a pas pu être envoyé. Veuillez vérifier la configuration de l'email."
"The receipt email has been resent to %s.","L'e-mail de reçu a été renvoyé à %s."
"The request has been linked to order %s.","La demande a été liée à la commande %s."
"The revocation has been marked as accepted.","La révocation a été marquée comme acceptée."
"The revocation has been marked as rejected.","La révocation a été marquée comme rejetée."
"The revocation request has been saved.","La demande de révocation a été enregistrée."
"This revocation request no longer exists.","Cette demande de révocation n'existe plus."
"This revocation was accepted. To refund the customer, %s for order %s.","Cette révocation a été acceptée. Pour rembourser le client, %s pour la commande %s."
"Total of %d request(s) were updated.","Le total des demandes %d ont été mises à jour."
"Used to gate the my-account entry point. The statutory period is 14 days.","Utilisé pour la porte du point d’entrée de mon compte. La période légale est de 14 jours."
"User Agent","Agent Utilisateur"
"Verified","Vérifié"
"View Request","Voir la demande"
"View Requests","Voir les demandes"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Nous avons reçu votre déclaration de révocation. Veuillez noter que cela ne confirme que le reçu ; la validité de la révocation sera évaluée et nous vous contacterons séparément."
"Yes","Oui"
"Yes (submitted from an authenticated customer session)","Oui (soumis depuis une session client authentifiée)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received."
"Your request could not be processed right now. Please try again later or contact us directly.","Votre demande n'a pas pu être traitée pour le moment. Veuillez réessayer plus tard ou nous contacter directement."
"Your revocation has been received","Votre révocation a été reçue"
